,A.LAND1
13:03:32.097,-1.0
13:03:32.303,-1.0
13:03:32.506,-1.0
13:03:32.707,-1.0
13:03:32.913,-1.0
13:03:33.122,-1.0
13:03:33.327,-1.0
13:03:33.529,-1.0
13:03:33.732,-1.0
13:03:33.938,-1.0
13:03:34.151,-1.0
13:03:34.357,-1.0
13:03:34.565,-1.0
13:03:34.770,-1.0
13:03:34.978,-1.0
13:03:35.182,-1.0
13:03:35.384,-1.0
13:03:35.587,-1.0
13:03:35.796,-1.0
13:03:36.007,-1.0
13:03:36.210,-1.0
13:03:36.418,-1.0
13:03:36.621,-1.0
13:03:36.826,-1.0
13:03:37.030,-1.0
13:03:37.233,-1.0
13:03:37.439,-1.0
13:03:37.641,-1.0
13:03:37.844,-1.0
13:03:38.046,-1.0
13:03:38.250,-1.0
13:03:38.455,-1.0
13:03:38.657,-1.0
13:03:38.861,-1.0
13:03:39.065,-1.0
13:03:39.268,-1.0
13:03:39.472,-1.0
13:03:39.675,-1.0
13:03:39.882,-1.0
13:03:40.083,-1.0
13:03:40.286,-1.0
13:03:40.495,-1.0
13:03:40.699,-1.0
13:03:40.903,-1.0
13:03:41.105,-1.0
13:03:41.309,-1.0
13:03:41.514,-1.0
13:03:41.717,-1.0
13:03:41.922,-1.0
13:03:42.125,-1.0
13:03:42.330,-1.0
13:03:42.534,-1.0
13:03:42.744,-1.0
13:03:42.952,-1.0
13:03:43.159,-1.0
13:03:43.362,-1.0
13:03:43.563,-1.0
13:03:43.766,-1.0
13:03:43.969,-1.0
13:03:44.182,-1.0
13:03:44.387,-1.0
13:03:44.589,-1.0
13:03:44.791,-1.0
13:03:44.999,-1.0
13:03:45.209,-1.0
13:03:45.413,-1.0
13:03:45.616,-1.0
13:03:45.819,-1.0
13:03:46.026,-1.0
13:03:46.233,-9.0
13:03:46.435,-9.0
13:03:46.637,-9.0
13:03:46.848,-9.0
13:03:47.050,-9.0
13:03:47.254,-9.0
13:03:47.461,-9.0
13:03:47.667,-9.0
13:03:47.871,-9.0
13:03:48.079,-9.0
13:03:48.286,-9.0
13:03:48.495,-9.0
13:03:48.697,-2.333
13:03:48.902,-1.5
13:03:49.109,-1.5
13:03:49.315,-1.5
13:03:49.517,-1.5
13:03:49.719,-1.5
13:03:49.924,-1.5
13:03:50.128,-1.5
13:03:50.332,-1.5
13:03:50.535,-1.5
13:03:50.742,-1.5
13:03:50.952,-1.0
13:03:51.155,-1.0
13:03:51.357,-1.0
13:03:51.559,-1.0
13:03:51.762,-1.0
13:03:51.966,-1.0
13:03:52.172,-1.0
13:03:52.376,-1.0
13:03:52.580,-1.0
13:03:52.785,-1.0
13:03:52.991,-1.0
13:03:53.197,-1.0
13:03:53.400,-1.0
13:03:53.604,-1.0
13:03:53.810,-1.0
13:03:54.015,-1.0
13:03:54.217,-1.0
13:03:54.422,-1.0
13:03:54.626,-1.0
13:03:54.830,-1.0
13:03:55.036,-1.0
13:03:55.238,-1.0
13:03:55.441,-1.0
13:03:55.646,-1.0
13:03:55.849,-1.0
13:03:56.054,-1.0
13:03:56.262,-1.0
13:03:56.464,-1.0
13:03:56.666,-1.0
13:03:56.875,-1.0
13:03:57.082,-1.0
13:03:57.323,-1.0
13:03:57.526,-1.0
13:03:57.732,-1.0
13:03:57.935,-1.0
13:03:58.141,-1.0
13:03:58.345,-1.0
13:03:58.552,-1.0
13:03:58.757,-1.0
13:03:58.965,-1.0
13:03:59.168,-1.0
13:03:59.370,-1.0
13:03:59.583,-1.0
13:03:59.789,-1.0
13:03:59.993,-1.0
13:04:00.200,-1.0
13:04:00.410,-1.0
13:04:00.617,-1.0
13:04:00.822,-1.0
13:04:01.028,-1.0
13:04:01.230,-1.0
13:04:01.438,-1.0
13:04:01.647,-1.0
13:04:01.852,-1.0
13:04:02.058,-1.0
13:04:02.264,-1.0
13:04:02.471,-1.0
13:04:05.160,-1.0
13:04:05.362,-1.0
