,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
04:22:56.714,167891.0,0.5,1.4,-7.7,0.25,3.0,0.0,5680.0,0.0,1.0
04:23:00.238,200.0,0.8,1.9,-7.5,0.25,1.2,0.0,32000.0,130.0,1.0
04:23:04.252,200.0,1.1,0.0,-8.0,0.25,2.0,0.0,24939.0,940.0,1.0
04:23:08.279,64636.0,0.4,0.8,4.4,0.25,3.6,0.0,32000.0,30.0,1.0
04:23:12.313,60132.0,1.1,1.7,6.1,0.25,4.4,0.0,16631.0,750.0,1.0
04:23:16.328,200.0,1.1,2.0,-10.0,0.25,5.1,0.0,32000.0,620.0,1.0
04:23:20.349,200.0,1.0,0.6,3.9,0.25,3.5,0.0,32000.0,550.0,1.0
04:23:24.388,217203.0,0.6,1.5,-8.2,0.25,3.8,0.0,13348.0,0.0,1.0
04:23:28.413,300000.0,0.7,2.0,-6.7,0.25,1.3,0.0,1560.0,480.0,1.0
04:23:32.442,300000.0,1.0,0.7,10.1,0.25,2.9,0.0,8354.0,420.0,1.0
04:23:36.477,286341.0,0.4,0.7,1.3,0.25,2.5,0.0,32000.0,1000.0,1.0
04:23:40.495,124610.0,0.3,1.4,-0.6,0.25,0.0,0.0,0.0,270.0,1.0
04:23:44.022,70931.0,0.9,0.8,-4.0,0.25,1.9,0.0,0.0,1000.0,1.0
04:23:48.036,200.0,0.0,0.0,-1.9,0.25,3.9,0.0,17844.0,230.0,1.0
04:23:52.062,210799.0,0.0,1.0,-4.0,0.25,4.8,0.0,0.0,0.0,1.0
04:23:56.077,200.0,0.8,0.2,-4.2,0.25,5.1,0.0,9645.0,1000.0,1.0
04:24:00.100,200.0,0.6,0.9,2.0,0.25,0.0,0.0,2449.0,0.0,1.0
04:24:04.142,263242.0,1.1,1.6,-2.5,0.25,5.0,0.0,32000.0,730.0,1.0
04:24:08.169,286651.0,1.1,0.6,7.3,0.25,1.0,0.0,0.0,1000.0,1.0
04:24:12.201,129584.0,0.9,2.0,1.9,0.25,5.1,0.0,24112.0,160.0,1.0
04:24:16.237,107210.0,1.1,0.7,-0.1,0.25,0.0,0.0,29044.0,0.0,1.0
04:24:20.258,200.0,0.7,1.4,-4.6,0.25,4.8,0.0,12112.0,360.0,1.0
04:24:24.290,247349.0,1.0,1.0,-6.3,0.25,1.6,0.0,16536.0,510.0,1.0
04:24:28.314,200.0,0.0,1.1,9.5,0.25,0.9,0.0,5943.0,670.0,1.0
04:24:32.357,180076.0,0.1,0.0,-4.2,0.25,0.9,0.0,23744.0,770.0,1.0
04:24:36.392,250719.0,1.0,2.0,-4.4,0.25,0.0,0.0,21769.0,0.0,1.0
04:24:40.417,189077.0,0.7,1.7,-5.5,0.25,2.8,0.0,24808.0,0.0,1.0
04:24:44.436,51889.0,0.6,0.4,1.0,0.25,0.0,0.0,16683.0,60.0,1.0
04:24:48.460,200.0,0.5,0.0,-1.3,0.25,5.1,0.0,32000.0,860.0,1.0
04:24:52.492,203443.0,1.1,1.2,-7.6,0.25,0.9,0.0,21537.0,460.0,1.0
04:24:56.021,283305.0,1.1,0.8,-10.0,0.25,0.0,0.0,11304.0,760.0,1.0
04:25:00.052,118360.0,0.0,0.0,5.3,0.25,2.4,0.0,32000.0,530.0,1.0
04:25:04.095,300000.0,0.5,0.0,-0.7,0.25,4.6,0.0,15149.0,100.0,1.0
04:25:08.118,134160.0,0.0,2.0,3.2,0.25,0.0,0.0,32000.0,780.0,1.0
04:25:12.152,224402.0,0.2,0.6,10.1,0.25,1.6,0.0,11203.0,0.0,1.0
04:25:16.186,105423.0,1.0,2.0,10.1,0.25,3.7,0.0,494.0,300.0,1.0
04:25:20.209,127096.0,0.3,1.9,5.3,0.25,3.2,0.0,29017.0,380.0,1.0
04:25:24.228,78449.0,0.2,1.1,-9.5,0.25,1.0,0.0,0.0,50.0,1.0
04:25:28.245,200.0,0.6,0.8,3.7,0.25,2.6,0.0,28058.0,380.0,1.0
04:25:32.280,239931.0,0.6,1.0,-2.5,0.25,2.5,0.0,12871.0,1000.0,1.0
04:25:36.304,226677.0,0.7,0.4,10.1,0.25,0.0,0.0,2498.0,800.0,1.0
04:25:40.322,61893.0,1.0,0.0,-10.0,0.25,0.0,0.0,21540.0,10.0,1.0
04:25:44.356,300000.0,0.0,0.9,2.8,0.25,1.9,0.0,31773.0,1000.0,1.0
04:25:48.396,297703.0,0.1,0.0,5.9,0.25,5.1,0.0,30315.0,610.0,1.0
04:25:52.416,146792.0,0.3,1.6,-3.2,0.25,4.4,0.0,13711.0,200.0,1.0
04:25:56.451,300000.0,0.7,2.0,-5.9,0.25,2.8,0.0,5426.0,230.0,1.0
04:26:00.487,107626.0,0.3,2.0,-10.0,0.25,0.0,0.0,7510.0,980.0,1.0
04:26:04.518,234644.0,0.0,0.2,0.5,0.25,0.0,0.0,32000.0,290.0,1.0
04:26:08.052,253851.0,0.0,0.0,1.6,0.25,5.1,0.0,32000.0,50.0,1.0
04:26:12.101,263347.0,1.0,2.0,2.3,0.25,2.5,0.0,3898.0,0.0,1.0
04:26:16.125,173595.0,1.1,1.0,5.2,0.25,2.9,0.0,20936.0,960.0,1.0
