,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
14:46:18.220,159546.0,0.3,0.3,-4.7,0.25,0.1,0.0,9546.0,560.0,1.0
14:46:24.256,43727.0,0.2,0.9,-9.6,0.25,0.2,0.0,18011.0,40.0,1.0
14:46:30.241,41940.0,0.5,0.2,-0.7,0.25,0.2,0.0,1964.0,120.0,1.0
14:46:36.284,129803.0,0.3,0.7,-5.9,0.25,2.4,0.0,1468.0,30.0,1.0
14:46:42.310,113849.0,0.5,1.1,-4.1,0.25,1.2,0.0,5508.0,410.0,1.0
14:46:48.353,130477.0,0.4,0.7,-9.4,0.25,3.1,0.0,4603.0,100.0,1.0
14:46:54.343,73168.0,0.3,1.2,-4.7,0.25,2.9,0.0,11228.0,350.0,1.0
14:47:00.370,16509.0,0.5,0.9,-2.6,0.25,0.1,0.0,685.0,190.0,1.0
14:47:06.390,295131.0,0.3,0.5,-6.8,0.25,1.1,0.0,4225.0,250.0,1.0
14:47:12.373,6441.0,0.5,0.3,5.4,0.25,0.3,0.0,4283.0,410.0,1.0
14:47:18.311,39968.0,0.4,0.4,-5.3,0.25,1.1,0.0,15549.0,410.0,1.0
14:47:24.344,146018.0,0.5,0.2,-9.9,0.25,1.1,0.0,3704.0,100.0,1.0
14:47:30.411,202842.0,0.2,0.4,-7.2,0.25,1.0,0.0,6202.0,470.0,1.0
14:47:36.414,59548.0,0.3,0.7,-5.8,0.25,1.1,0.0,25404.0,160.0,1.0
14:47:42.407,26704.0,0.3,1.4,-7.1,0.25,2.5,0.0,12657.0,530.0,1.0
14:47:48.440,75907.0,0.5,1.3,-4.3,0.25,0.1,0.0,11209.0,150.0,1.0
14:47:54.484,188658.0,0.7,0.4,-8.1,0.25,3.2,0.0,4803.0,310.0,1.0
14:48:00.385,35891.0,0.4,0.2,6.5,0.25,0.8,0.0,597.0,380.0,1.0
14:48:06.432,22149.0,0.5,1.1,0.6,0.25,4.2,0.0,8330.0,190.0,1.0
14:48:12.449,3012.0,0.3,0.5,-1.9,0.25,4.5,0.0,7928.0,280.0,1.0
14:48:18.464,119550.0,0.2,1.2,-5.8,0.25,2.5,0.0,13426.0,440.0,1.0
14:48:24.600,189271.0,0.4,0.5,-9.6,0.25,2.1,0.0,26046.0,100.0,1.0
14:48:29.943,46037.0,0.7,0.7,-6.8,0.25,1.0,0.0,22991.0,380.0,1.0
14:48:34.981,52403.0,0.2,0.9,-5.8,0.25,1.6,0.0,6856.0,470.0,1.0
14:48:40.553,255642.0,0.2,0.3,-8.9,0.25,2.4,0.0,1841.0,340.0,1.0
14:48:46.168,123078.0,1.1,0.5,-7.6,0.25,0.8,0.0,1714.0,280.0,1.0
14:48:52.178,231724.0,0.5,0.5,-8.9,0.25,2.1,0.0,9042.0,40.0,1.0
14:48:58.181,33264.0,0.4,1.5,0.4,0.25,0.1,0.0,1084.0,350.0,1.0
14:49:03.245,70483.0,0.4,1.1,-8.1,0.25,1.5,0.0,9382.0,110.0,1.0
14:49:09.183,174079.0,0.4,1.8,-5.6,0.25,0.2,0.0,26175.0,110.0,1.0
14:49:14.249,95003.0,1.1,0.7,-5.9,0.25,2.1,0.0,1423.0,130.0,1.0
14:49:19.233,184707.0,0.9,0.5,-8.1,0.25,1.1,0.0,1547.0,160.0,1.0
14:49:25.218,89837.0,0.2,1.3,-6.2,0.25,0.6,0.0,22366.0,290.0,1.0
14:49:31.276,84780.0,0.2,1.8,-1.8,0.25,4.4,0.0,510.0,220.0,1.0
14:49:37.575,161435.0,0.4,0.4,1.0,0.25,0.8,0.0,556.0,150.0,1.0
14:49:43.157,57748.0,0.4,0.9,-1.8,0.25,2.1,0.0,1540.0,10.0,1.0
14:49:49.189,138220.0,0.5,1.1,-6.2,0.25,2.4,0.0,3981.0,520.0,1.0
14:49:55.240,90690.0,0.2,1.1,-6.2,0.25,3.2,0.0,5659.0,450.0,1.0
