time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
15:37:19,1500.0,0.0005587859050137922,0.0009820796840358526,0.021524639800190926,0.0003251138550695032,0.00028724540607072413,0.001580459880642593,-35.3632622,149.16523755,0.5,-1.0,3.5,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,AUTO
15:37:21,1500.0,0.000923952175071463,0.0013779655564576387,0.020669573917984962,0.0003982603666372597,0.0003273965558037162,0.001536983298137784,-35.3632621,149.16523745,0.0,0.0,-1.0,2.0,0.0,1.0,-1000.0,0.5,0.5,0.5,AUTO
15:37:22,11466.0,0.001138601073762402,0.0015940812008921057,0.020322986412793398,0.00035648759512696415,0.00029522016120608896,0.0014175295364111662,-35.3632621,149.1652374,0.0,0.0,-1.0,2.0,0.0,1.25,-1000.0,0.75,0.75,0.75,AUTO
15:37:23,11466.0,0.004359308746643364,0.0005623285537694755,0.020149484276771545,-0.0030089454230619594,0.004214806482195854,0.0018676011241041124,-35.3632621,149.16523745,240.5,0.0,0.0,-80.0,0.0,0.0,-1120.0,-2.5,5.0,0.5,AUTO
15:37:25,11466.0,0.056395191699266434,-0.0007612374611198902,-0.018959202338010073,-0.04603168461471796,0.05230552703142166,-0.059375299140810966,-35.363261550000004,149.1652402,3012.0,8.5,45.5,-144.5,2.0,-8.5,-993.5,-45.5,53.0,-59.5,AUTO
15:37:27,11466.0,-0.064699187874794,-0.006223032018169761,-0.09569434076547623,0.048415226861834526,-0.0007802346663083881,-0.009333082241937518,-35.3632609,149.16524565,6049.5,-2.0,-30.5,-147.0,-1.5,3.0,-1002.5,49.0,-0.5,-9.5,AUTO
15:37:28,70533.0,-0.01962328830268234,-0.00170631890068762,-0.09950753301382065,0.06406107638031244,0.010833628242835402,-0.0009479754589847289,-35.36326115,149.165241625,7205.25,-3.75,-56.5,-147.75,-6.25,11.0,-1002.5,64.25,10.75,-1.0,AUTO
15:37:29,70533.0,0.06118287146091461,0.010738227982074022,-0.09646506980061531,0.06097819656133652,0.0020676756103057414,0.0040600846987217665,-35.36326205,149.16523465,9142.5,-12.0,-24.0,-151.0,-2.0,8.0,-1002.0,61.0,2.5,3.0,AUTO
15:37:31,70533.0,-0.018312940374016762,-0.0013189769015298225,-0.10957745462656021,0.006446062325267121,0.010145183186978102,-0.03932846710085869,-35.363262399999996,149.16523675000002,12236.0,9.0,6.0,-150.0,0.0,-2.5,-1002.0,6.5,10.0,-39.0,AUTO
15:37:33,70533.0,0.013157935347408056,0.00853277975693345,-0.15683776885271072,0.00303570568212308,-0.001940786198247224,-0.008881529327481985,-35.3632614,149.16523545,15355.5,-1.5,-2.0,-151.0,-0.5,0.5,-999.0,3.0,-1.0,-8.5,AUTO
15:37:34,32686.0,0.011432028841227293,0.0062242638086900115,-0.16335778310894966,-0.004740894015412778,-0.0026794997975230217,-0.009868240565992892,-35.363261425,149.1652353,16528.0,-3.75,2.75,-151.0,0.0,0.0,-999.5,-3.25,-1.75,-9.5,AUTO
15:37:35,32686.0,0.005681556649506092,0.003515043295919895,-0.1808115392923355,-0.0035304115153849125,-0.0004979384539183229,-0.01675406936556101,-35.36326165,149.16523565,18471.5,-4.0,6.0,-151.0,1.0,0.0,-1000.0,-2.5,0.5,-16.5,AUTO
15:37:37,32686.0,0.0042449000757187605,0.0030669027473777533,-0.2212534323334694,0.0021802025148645043,6.384160951711237e-05,-0.021024424582719803,-35.3632618,149.16523625000002,21589.5,-2.0,4.0,-152.0,0.0,0.0,-1000.0,3.0,0.5,-21.0,AUTO
15:37:39,32686.0,0.004223905969411135,0.002121825353242457,-0.26034215092658997,-0.0003983822534792125,0.000535449682502076,-0.018591919913887978,-35.3632619,149.1652366,24709.0,-2.0,3.0,-152.0,0.0,0.0,-1000.0,0.0,1.0,-18.0,AUTO
15:37:40,168790.0,-0.0008514647488482296,0.004776185902301222,-0.2583589479327202,0.0118945580907166,0.002198502072133124,0.016203831299208105,-35.36326205,149.165236575,25877.0,-3.5,0.25,-151.75,0.0,0.25,-1001.0,12.5,3.25,15.5,AUTO
15:37:41,168790.0,0.01204182906076312,0.001482708496041596,-0.22870339453220367,-0.003722831606864929,0.0007241397397592664,0.024333869107067585,-35.36326235,149.16523654999997,27819.0,-2.5,6.0,-152.0,0.0,0.0,-999.0,-2.5,1.0,23.5,AUTO
15:37:43,168790.0,0.0010235324734821916,0.0015118324081413448,-0.1884881630539894,0.0009558183373883367,0.0006461120501626283,0.01831249240785837,-35.3632624,149.16523775000002,30922.5,0.0,5.5,-152.0,0.0,0.0,-1000.0,2.0,1.0,17.5,AUTO
15:37:45,168790.0,-0.0029710266971960664,0.006481768883531913,-0.14689058810472488,-0.042602404952049255,0.0460569299175404,0.11222953954711556,-35.3632623,149.165238,34029.0,-0.5,0.0,-149.5,-0.5,0.0,-986.0,-42.0,46.5,111.5,AUTO
15:37:46,2301.0,-0.03899412415921688,0.03495463798753917,0.10615928936749697,0.00460775475949049,-0.0682029495947063,0.3094457034021616,-35.363262999999996,149.16523695,35081.0,-22.5,-23.75,-122.5,2.25,5.0,-952.5,5.25,-67.0,309.0,AUTO
15:37:47,2301.0,0.04323987849056721,-0.049755532294511795,0.192860946059227,0.03919942397624254,0.0173423090018332,-0.03403247892856598,-35.3632652,149.16523304999998,36287.5,0.0,-8.0,-67.0,-0.5,4.0,-969.5,40.0,18.0,-33.5,AUTO
15:37:49,2301.0,0.009001995669677854,0.012606841512024403,0.14864515513181686,0.24383007362484932,0.012659568339586258,-0.01213311729952693,-35.36326205,149.16523665,37148.0,17.5,26.5,-20.0,-1.5,-4.0,-974.0,244.0,13.0,-11.5,AUTO
15:37:51,2301.0,0.008991398848593235,0.039345286786556244,0.12472272664308548,0.37738533318042755,0.00898217421490699,-0.02046650554984808,-35.363262399999996,149.16523755,37063.0,-33.0,-6.5,3.5,5.0,6.5,-1009.5,377.0,9.5,-20.0,AUTO
15:37:52,2773.0,-0.003828392451396212,0.05498765408992767,0.06257245130836964,-0.09563344717025757,0.015465770848095417,-0.2877175002358854,-35.363265725,149.1652364,37089.75,-62.5,-8.0,-11.5,12.25,6.75,-1021.25,-94.25,16.25,-287.0,AUTO
15:37:53,2773.0,-0.09425393864512444,0.04245598427951336,-0.8801267147064209,0.18810351565480232,0.005145623232237995,-0.7594668865203857,-35.36327795,149.16523395,37359.0,-146.0,-13.5,-32.5,-2.5,39.0,-1017.5,189.5,6.0,-758.5,AUTO
15:37:55,2773.0,-0.06513024680316448,-0.15505249053239822,-2.306078314781189,0.04056338220834732,0.01262833271175623,-0.6370066702365875,-35.36332195,149.16522659999998,38437.0,-348.0,-50.0,-78.0,-82.5,15.0,-1028.0,41.5,13.5,-636.5,AUTO
15:37:57,2773.0,-0.012132810894399881,-0.19178254902362823,-2.7631930112838745,0.02101874817162752,-0.09670562110841274,-0.05121070705354214,-35.363394799999995,149.16521085,40301.5,-460.5,-66.0,-74.5,-95.5,-26.0,-943.0,22.0,-95.5,-50.5,AUTO
15:37:58,103375.0,0.027309094381053,-0.18875844031572342,-2.833868980407715,0.039536777418106794,0.05308296624571085,-0.12086484022438526,-35.36342845,149.16520495000003,40768.25,-527.25,-72.5,-55.25,-105.0,-36.5,-991.75,40.25,53.5,-120.25,AUTO
15:37:59,103375.0,0.06327140145003796,-0.04684178903698921,-2.99814772605896,-0.0045722112990915775,0.05097772367298603,-0.14288713037967682,-35.3634903,149.1651943,41723.0,-543.0,-78.5,-110.0,-107.0,-52.5,-1044.5,-3.0,52.0,-142.5,AUTO
15:38:01,103375.0,0.057040490210056305,-0.028070352971553802,2.9924278259277344,-0.0027202616911381483,0.0010866124648600817,-0.15291859209537506,-35.3635813,149.1651783,44117.0,-467.5,-61.0,-129.0,-82.0,-76.5,-1004.0,-1.0,2.0,-152.5,AUTO
15:38:03,103375.0,0.06319320388138294,0.03182919789105654,2.9514251947402954,-0.08189042657613754,0.09951186366379261,0.11748382449150085,-35.36365705,149.16516215000001,46775.5,-379.0,-93.5,-139.0,-47.0,-72.0,-1029.0,-80.0,100.0,117.0,AUTO
15:38:04,85176.0,0.08038747124373913,0.04704359348397702,-1.4263301491737366,-0.008515139110386372,0.11675710789859295,0.4238094286993146,-35.363680075,149.1651539,47786.5,-312.0,-101.0,-115.25,-60.25,-49.0,-941.5,-7.25,117.25,423.75,AUTO
