,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
00:33:04.619,40547.0,0.4,0.7,-2.6,0.25,1.5,0.0,2869.0,30.0,1.0
00:33:09.400,46858.0,0.7,0.7,-8.1,0.25,0.6,0.0,11521.0,80.0,1.0
00:33:15.171,13549.0,0.5,0.4,-7.4,0.25,5.1,0.0,17313.0,150.0,1.0
00:33:20.942,152422.0,0.4,0.5,-7.9,0.25,1.5,0.0,3043.0,160.0,1.0
00:33:25.663,270286.0,1.1,0.5,0.1,0.25,3.7,0.0,5593.0,630.0,1.0
00:33:30.888,34758.0,0.3,0.7,-0.6,0.25,0.1,0.0,2543.0,120.0,1.0
00:33:35.590,127117.0,0.4,0.9,-1.3,0.25,0.2,0.0,3901.0,30.0,1.0
00:33:40.836,141843.0,0.4,0.9,-5.3,0.25,0.3,0.0,815.0,210.0,1.0
00:33:45.511,94514.0,0.4,1.5,-3.3,0.25,3.9,0.0,2675.0,60.0,1.0
00:33:50.920,6763.0,0.9,0.9,-6.2,0.25,0.3,0.0,3929.0,260.0,1.0
00:33:55.652,67835.0,0.7,0.7,-4.8,0.25,0.4,0.0,3214.0,210.0,1.0
00:34:00.854,89535.0,0.5,1.3,-9.4,0.25,1.1,0.0,11754.0,120.0,1.0
00:34:05.509,7628.0,0.7,0.2,-4.4,0.25,1.2,0.0,5459.0,450.0,1.0
00:34:10.612,61191.0,0.3,0.9,-8.7,0.25,0.8,0.0,17042.0,240.0,1.0
00:34:15.310,53207.0,0.9,0.5,-3.3,0.25,0.2,0.0,22090.0,340.0,1.0
00:34:20.953,90530.0,0.7,0.3,-2.2,0.25,0.3,0.0,2615.0,470.0,1.0
00:34:25.672,68405.0,0.9,0.7,-8.4,0.25,0.8,0.0,1068.0,690.0,1.0
00:34:30.923,162921.0,0.7,0.4,-6.5,0.25,3.5,0.0,1300.0,380.0,1.0
00:34:35.772,22890.0,0.2,1.8,-8.1,0.25,0.8,0.0,12268.0,80.0,1.0
00:34:40.971,52424.0,1.1,0.7,-2.6,0.25,0.6,0.0,11506.0,110.0,1.0
00:34:45.716,73720.0,0.3,0.2,-6.9,0.25,2.2,0.0,9643.0,750.0,1.0
00:34:50.960,1260.0,0.5,0.5,0.8,0.25,0.1,0.0,11936.0,470.0,1.0
00:34:55.683,216860.0,0.2,0.3,-3.7,0.25,0.4,0.0,19032.0,500.0,1.0
00:35:00.816,43353.0,0.9,0.3,-8.4,0.25,0.3,0.0,1724.0,750.0,1.0
00:35:05.569,25827.0,0.2,1.3,-4.4,0.25,1.3,0.0,22409.0,670.0,1.0
00:35:10.847,281924.0,0.2,0.5,-7.9,0.25,3.2,0.0,10971.0,80.0,1.0
00:35:15.532,40202.0,0.5,0.7,-8.1,0.25,0.2,0.0,9127.0,570.0,1.0
00:35:20.687,144036.0,0.3,0.9,-2.9,0.25,1.1,0.0,8351.0,530.0,1.0
00:35:25.504,202863.0,0.4,0.5,-5.9,0.25,0.3,0.0,1471.0,390.0,1.0
00:35:30.601,58830.0,0.3,0.2,-3.1,0.25,0.8,0.0,12605.0,10.0,1.0
00:35:35.225,149395.0,0.2,0.7,-7.1,0.25,0.3,0.0,6182.0,190.0,1.0
00:35:40.981,8792.0,0.3,0.7,-9.4,0.25,0.6,0.0,15183.0,60.0,1.0
00:35:45.662,7421.0,0.5,0.5,-3.7,0.25,2.6,0.0,145.0,80.0,1.0
00:35:50.733,48975.0,0.4,1.2,4.7,0.25,1.6,0.0,1020.0,560.0,1.0
00:35:55.522,189841.0,0.5,0.2,-5.3,0.25,1.3,0.0,20163.0,420.0,1.0
00:36:00.771,163073.0,0.3,0.2,-1.9,0.25,1.2,0.0,10702.0,110.0,1.0
00:36:05.487,23682.0,0.3,0.4,-8.9,0.25,0.6,0.0,1290.0,280.0,1.0
00:36:11.198,108008.0,0.2,0.7,-4.4,0.25,2.8,0.0,9403.0,340.0,1.0
00:36:16.882,28790.0,0.4,1.3,-8.1,0.25,1.2,0.0,2770.0,580.0,1.0
00:36:21.596,123209.0,0.4,0.5,-9.6,0.25,1.1,0.0,6402.0,290.0,1.0
00:36:26.741,68872.0,0.3,1.3,-6.5,0.25,1.0,0.0,7562.0,290.0,1.0
00:36:31.497,87781.0,0.7,1.7,-6.9,0.25,0.2,0.0,15827.0,160.0,1.0
00:36:36.746,105652.0,0.4,0.4,-2.4,0.25,1.0,0.0,24455.0,290.0,1.0
00:36:41.527,217394.0,0.2,1.3,-8.4,0.25,1.0,0.0,28938.0,340.0,1.0
00:36:46.742,213594.0,0.3,0.3,-5.8,0.25,3.9,0.0,2550.0,440.0,1.0
00:36:51.351,103474.0,0.4,0.5,-8.5,0.25,1.9,0.0,7126.0,470.0,1.0
00:36:56.160,46570.0,0.5,0.7,-9.8,0.25,1.1,0.0,30668.0,810.0,1.0
00:37:01.822,48450.0,0.5,1.2,-1.0,0.25,2.1,0.0,189.0,30.0,1.0
00:37:06.562,73131.0,0.9,0.9,-9.0,0.25,1.8,0.0,1594.0,40.0,1.0
00:37:11.892,214559.0,0.9,0.2,-8.4,0.25,0.4,0.0,29869.0,250.0,1.0
00:37:16.631,151131.0,0.7,0.3,-7.4,0.25,0.4,0.0,2971.0,160.0,1.0
00:37:21.886,149809.0,0.2,0.7,-9.9,0.25,1.1,0.0,19552.0,670.0,1.0
00:37:26.636,122169.0,0.7,0.2,-9.4,0.25,1.6,0.0,7482.0,280.0,1.0
00:37:31.957,111976.0,0.3,0.9,-3.8,0.25,2.9,0.0,15334.0,110.0,1.0
00:37:36.810,93964.0,0.7,0.5,-7.6,0.25,3.8,0.0,6480.0,260.0,1.0
00:37:42.080,79414.0,0.5,0.3,-8.9,0.25,1.0,0.0,2365.0,160.0,1.0
00:37:47.835,30346.0,1.1,0.9,-2.4,0.25,0.6,0.0,7501.0,240.0,1.0
00:37:52.663,7282.0,0.5,0.2,-1.1,0.25,1.3,0.0,12325.0,280.0,1.0
00:37:57.887,108659.0,0.4,0.4,-7.1,0.25,1.9,0.0,17559.0,310.0,1.0
00:38:02.651,246211.0,0.5,0.2,-9.2,0.25,3.5,0.0,9221.0,210.0,1.0
00:38:08.043,130762.0,0.4,0.2,-8.9,0.25,1.3,0.0,6323.0,180.0,1.0
00:38:13.854,16212.0,0.4,1.3,-1.2,0.25,0.6,0.0,21303.0,320.0,1.0
00:38:18.640,28609.0,0.5,2.0,-7.1,0.25,2.1,0.0,269.0,190.0,1.0
00:38:23.960,9181.0,0.3,1.1,-4.2,0.25,0.1,0.0,26098.0,410.0,1.0
00:38:28.760,67007.0,0.2,0.5,-6.6,0.25,3.8,0.0,19559.0,40.0,1.0
00:38:34.102,95499.0,0.4,0.5,-7.6,0.25,0.6,0.0,31299.0,180.0,1.0
00:38:39.901,284235.0,0.5,0.4,-2.2,0.25,0.3,0.0,1726.0,20.0,1.0
00:38:44.546,37532.0,0.5,1.7,-7.9,0.25,1.1,0.0,2652.0,280.0,1.0
00:38:49.614,112372.0,1.1,0.5,-5.6,0.25,0.4,0.0,8127.0,80.0,1.0
00:38:54.456,11545.0,0.5,0.5,-7.1,0.25,2.9,0.0,7487.0,440.0,1.0
