,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
01:51:11.771,177286.0,0.7,0.3,4.5,1.566802291565089,3.2,21624.39493703369,10695.0,520.0,1.1423138347680275
01:51:14.781,35392.0,0.6,2.0,3.5,2.508662007678541,3.4,7110.015136618049,26833.0,20.0,2.203292332800652
01:51:17.793,188371.0,0.7,0.8,-6.4,1.1548045421271138,3.2,30579.7923560039,29254.0,650.0,1.4221605463825706
01:51:20.806,137203.0,0.1,0.4,-9.4,2.2202212809584854,1.2,27219.933859729783,4711.0,480.0,1.617233336163698
01:51:23.816,143774.0,0.8,1.1,-5.3,1.1723868041510404,3.9,31520.29220681551,19315.0,760.0,1.1591637521883245
01:51:26.822,64520.0,1.0,1.3,-9.9,0.5045337622437223,4.0,14790.390357260845,2842.0,60.0,1.4325398156906444
01:51:29.828,55126.0,0.4,0.3,-9.8,2.448120519237829,3.4,32185.072401025725,12623.0,350.0,1.175393906939225
01:51:32.836,40643.0,1.0,0.8,5.1,0.8292531563631992,0.8,9072.618099054387,24643.0,890.0,1.6817180600588455
01:51:35.839,12334.0,0.1,1.4,-9.3,1.5733325714239719,3.0,10470.572972216098,20481.0,630.0,2.2963896696212216
01:51:38.847,167382.0,0.6,2.0,0.4,2.5864358628951605,2.2,32172.3673854219,352.0,970.0,1.702474936596136
01:51:41.862,281345.0,0.1,1.2,-0.1,1.2259023447072814,0.6,19000.64853409193,23182.0,400.0,2.4838044134395534
01:51:44.871,126790.0,1.0,1.0,2.4,2.506612854444788,0.9,28713.49436679529,28623.0,720.0,2.24537689040668
01:51:47.883,231844.0,0.2,1.1,3.3,2.5221771231116157,0.4,17733.41680393003,2684.0,20.0,1.3072991261309885
01:51:50.895,141186.0,0.7,0.8,3.0,1.7028252258130019,2.8,16666.99932936539,15032.0,30.0,2.6383000347981853
01:51:53.917,269197.0,0.6,1.7,-9.1,0.8246317838133178,4.1,27338.088893015956,879.0,740.0,2.657114396789571
01:51:56.930,227365.0,0.6,1.8,-4.4,1.3958684978614966,0.3,2717.8246512644782,21974.0,50.0,2.9487444329887245
01:51:59.940,120826.0,0.7,1.9,-2.5,1.2389872242397049,0.9,10171.909435211019,26654.0,340.0,2.250450646839574
01:52:02.944,16912.0,0.6,0.6,-4.5,1.5511591292048554,3.1,15366.751278880072,4282.0,40.0,1.9676244796598505
01:52:05.950,13662.0,0.3,0.9,-2.4,0.4222438960933056,2.2,7100.1777426884555,31267.0,130.0,1.1296700037490595
01:52:08.961,259274.0,0.3,1.0,4.5,0.6979084049144335,4.7,31717.799144238623,14585.0,40.0,1.3520840774938157
01:52:11.965,69302.0,0.5,1.6,-4.2,1.0481779651911918,3.1,13972.883706343977,161.0,840.0,2.058382977226086
