,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN
12:30:55.140,200.0,0.25,0.1,1000.0,30.0,0.0,12600.0,1000.0,17420.0,2200.0
12:30:59.182,77235.0,0.25,0.1,1000.0,30.0,0.4,7100.0,1000.0,24724.0,0.0
12:31:03.204,200.0,0.25,0.1,1000.0,30.0,5.1,12600.0,1000.0,17292.0,550.0
12:31:07.235,95092.0,0.25,0.1,1000.0,30.0,2.4,6100.0,1000.0,0.0,2420.0
12:31:11.262,235583.0,0.25,0.1,1000.0,30.0,2.3,500.0,1000.0,31426.0,2220.0
12:31:15.277,24129.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,10736.0,530.0
12:31:19.303,110145.0,0.25,0.1,1000.0,30.0,4.8,500.0,1000.0,20158.0,1720.0
12:31:23.331,248144.0,0.25,0.1,1000.0,30.0,3.5,8300.0,1000.0,12455.0,2040.0
12:31:27.369,262317.0,0.25,0.1,1000.0,30.0,3.2,18000.0,1000.0,3280.0,2800.0
12:31:31.400,143465.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,19665.0,3000.0
12:31:35.438,300000.0,0.25,0.1,1000.0,30.0,2.2,13900.0,1000.0,8222.0,850.0
12:31:39.487,18029.0,0.25,0.1,1000.0,30.0,2.3,9200.0,1000.0,32000.0,490.0
12:31:43.013,115489.0,0.25,0.1,1000.0,30.0,0.3,500.0,1000.0,0.0,0.0
12:31:47.039,259195.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,21440.0,2390.0
12:31:51.063,220042.0,0.25,0.1,1000.0,30.0,1.5,500.0,1000.0,26792.0,2830.0
12:31:55.089,200.0,0.25,0.1,1000.0,30.0,4.0,3400.0,1000.0,0.0,1720.0
12:31:59.132,84387.0,0.25,0.1,1000.0,30.0,3.4,18000.0,1000.0,0.0,2020.0
12:32:03.155,118751.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,32000.0,1480.0
12:32:07.203,156614.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,32000.0,1570.0
12:32:11.221,13077.0,0.25,0.1,1000.0,30.0,4.3,18000.0,1000.0,32000.0,280.0
12:32:16.252,193219.0,0.25,0.1,1000.0,30.0,2.5,14000.0,1000.0,24238.0,470.0
12:32:20.271,200.0,0.25,0.1,1000.0,30.0,1.1,10400.0,1000.0,18496.0,0.0
12:32:24.306,13038.0,0.25,0.1,1000.0,30.0,1.8,11900.0,1000.0,27103.0,1450.0
12:32:28.319,5188.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,7774.0,2160.0
12:32:32.345,148823.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,0.0,3000.0
12:32:36.367,123816.0,0.25,0.1,1000.0,30.0,0.1,500.0,1000.0,32000.0,2590.0
12:32:40.399,200.0,0.25,0.1,1000.0,30.0,5.1,15600.0,1000.0,10669.0,3000.0
12:32:44.441,272664.0,0.25,0.1,1000.0,30.0,3.3,15600.0,1000.0,32000.0,2230.0
12:32:48.473,106638.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,32000.0,1140.0
12:32:52.022,30222.0,0.25,0.1,1000.0,30.0,0.0,11700.0,1000.0,9955.0,1970.0
12:32:56.035,200.0,0.25,0.1,1000.0,30.0,1.5,3400.0,1000.0,26527.0,2450.0
12:33:00.050,71144.0,0.25,0.1,1000.0,30.0,2.3,8600.0,1000.0,0.0,1610.0
12:33:04.081,286910.0,0.25,0.1,1000.0,30.0,3.5,1800.0,1000.0,24279.0,2040.0
12:33:08.107,50429.0,0.25,0.1,1000.0,30.0,1.5,500.0,1000.0,27378.0,2990.0
12:33:12.137,200.0,0.25,0.1,1000.0,30.0,2.0,4600.0,1000.0,6440.0,1520.0
12:33:16.153,22435.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,32000.0,1760.0
12:33:20.183,254993.0,0.25,0.1,1000.0,30.0,0.5,18000.0,1000.0,0.0,1850.0
12:33:24.211,183443.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,9248.0,2510.0
12:33:28.247,148508.0,0.25,0.1,1000.0,30.0,5.1,5700.0,1000.0,14701.0,0.0
12:33:32.267,86349.0,0.25,0.1,1000.0,30.0,2.0,8200.0,1000.0,32000.0,3000.0
12:33:36.293,146352.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,22472.0,3000.0
12:33:40.325,178350.0,0.25,0.1,1000.0,30.0,1.3,18000.0,1000.0,0.0,3000.0
12:33:44.356,273652.0,0.25,0.1,1000.0,30.0,0.3,3400.0,1000.0,13726.0,1320.0
12:33:48.391,165935.0,0.25,0.1,1000.0,30.0,0.0,2200.0,1000.0,18506.0,1040.0
12:33:52.430,172082.0,0.25,0.1,1000.0,30.0,5.1,5400.0,1000.0,0.0,0.0
12:33:56.466,300000.0,0.25,0.1,1000.0,30.0,1.2,3100.0,1000.0,0.0,1470.0
