,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN
07:21:02.109,243130.0,0.25,0.1,1000.0,30.0,0.6,3100.0,1000.0,19962.0,1170.0
07:21:08.236,142171.0,0.25,0.1,1000.0,30.0,1.1,8100.0,1000.0,21852.0,190.0
07:21:14.172,722.0,0.25,0.1,1000.0,30.0,4.7,2800.0,1000.0,4802.0,1520.0
07:21:20.192,132317.0,0.25,0.1,1000.0,30.0,0.6,3700.0,1000.0,16899.0,110.0
07:21:26.123,40811.0,0.25,0.1,1000.0,30.0,0.8,3400.0,1000.0,17775.0,850.0
07:21:32.247,73672.0,0.25,0.1,1000.0,30.0,1.1,3700.0,1000.0,299.0,570.0
07:21:38.309,138964.0,0.25,0.1,1000.0,30.0,3.4,3700.0,1000.0,189.0,60.0
07:21:44.416,63909.0,0.25,0.1,1000.0,30.0,0.6,13700.0,1000.0,9608.0,2810.0
07:21:50.479,75012.0,0.25,0.1,1000.0,30.0,0.4,10200.0,1000.0,703.0,30.0
07:21:56.495,96253.0,0.25,0.1,1000.0,30.0,1.5,7900.0,1000.0,2010.0,440.0
07:22:01.935,29363.0,0.25,0.1,1000.0,30.0,1.6,10100.0,1000.0,11304.0,1750.0
07:22:06.910,4329.0,0.25,0.1,1000.0,30.0,0.1,12600.0,1000.0,18733.0,310.0
07:22:12.481,169384.0,0.25,0.1,1000.0,30.0,0.8,1900.0,1000.0,14080.0,80.0
07:22:18.693,62233.0,0.25,0.1,1000.0,30.0,2.4,1700.0,1000.0,3800.0,760.0
07:22:24.215,249227.0,0.25,0.1,1000.0,30.0,3.1,14200.0,1000.0,6084.0,240.0
07:22:30.313,95546.0,0.25,0.1,1000.0,30.0,1.2,3200.0,1000.0,5514.0,940.0
07:22:36.269,57696.0,0.25,0.1,1000.0,30.0,0.8,13200.0,1000.0,3497.0,220.0
07:22:42.163,60773.0,0.25,0.1,1000.0,30.0,0.3,3200.0,1000.0,10063.0,920.0
07:22:48.076,120138.0,0.25,0.1,1000.0,30.0,0.1,2300.0,1000.0,8094.0,890.0
07:22:53.990,50992.0,0.25,0.1,1000.0,30.0,3.8,8900.0,1000.0,13308.0,1340.0
07:22:58.995,64868.0,0.25,0.1,1000.0,30.0,1.8,12800.0,1000.0,4309.0,190.0
07:23:04.494,283534.0,0.25,0.1,1000.0,30.0,0.4,10700.0,1000.0,12660.0,1480.0
07:23:10.362,18374.0,0.25,0.1,1000.0,30.0,2.8,5100.0,1000.0,2560.0,940.0
07:23:16.250,23391.0,0.25,0.1,1000.0,30.0,0.4,2300.0,1000.0,3783.0,2830.0
07:23:22.330,29071.0,0.25,0.1,1000.0,30.0,0.1,8100.0,1000.0,9917.0,560.0
07:23:28.390,31023.0,0.25,0.1,1000.0,30.0,4.1,1300.0,1000.0,26903.0,1310.0
07:23:34.255,29997.0,0.25,0.1,1000.0,30.0,1.9,7700.0,1000.0,12513.0,1520.0
07:23:40.188,105260.0,0.25,0.1,1000.0,30.0,0.8,600.0,1000.0,17188.0,1660.0
07:23:46.189,78366.0,0.25,0.1,1000.0,30.0,4.7,2400.0,1000.0,4906.0,2270.0
07:23:52.185,112940.0,0.25,0.1,1000.0,30.0,2.9,1700.0,1000.0,2474.0,520.0
07:23:58.171,45779.0,0.25,0.1,1000.0,30.0,2.1,7900.0,1000.0,8974.0,180.0
07:24:04.196,57207.0,0.25,0.1,1000.0,30.0,1.9,5800.0,1000.0,4895.0,1340.0
07:24:09.262,283818.0,0.25,0.1,1000.0,30.0,1.9,11200.0,1000.0,2964.0,60.0
07:24:15.212,129882.0,0.25,0.1,1000.0,30.0,0.8,3700.0,1000.0,5082.0,280.0
07:24:21.116,70860.0,0.25,0.1,1000.0,30.0,1.1,4100.0,1000.0,24227.0,720.0
07:24:27.037,57542.0,0.25,0.1,1000.0,30.0,1.0,7900.0,1000.0,3955.0,580.0
07:24:33.058,74843.0,0.25,0.1,1000.0,30.0,2.6,8900.0,1000.0,11537.0,2730.0
07:24:39.098,262203.0,0.25,0.1,1000.0,30.0,0.6,8900.0,1000.0,2648.0,1140.0
07:24:44.956,32016.0,0.25,0.1,1000.0,30.0,4.2,3100.0,1000.0,7414.0,390.0
07:24:49.932,35613.0,0.25,0.1,1000.0,30.0,2.6,3200.0,1000.0,11994.0,780.0
07:24:55.327,32391.0,0.25,0.1,1000.0,30.0,0.4,2100.0,1000.0,1422.0,60.0
07:25:01.234,43619.0,0.25,0.1,1000.0,30.0,0.6,4500.0,1000.0,16809.0,530.0
07:25:07.242,32682.0,0.25,0.1,1000.0,30.0,3.5,1100.0,1000.0,6941.0,2680.0
07:25:13.340,18670.0,0.25,0.1,1000.0,30.0,3.5,5100.0,1000.0,21958.0,690.0
07:25:19.351,34798.0,0.25,0.1,1000.0,30.0,0.8,10000.0,1000.0,2241.0,1760.0
07:25:25.428,87075.0,0.25,0.1,1000.0,30.0,1.1,5000.0,1000.0,5323.0,2830.0
07:25:31.369,236847.0,0.25,0.1,1000.0,30.0,0.6,2800.0,1000.0,3809.0,1650.0
07:25:37.318,40838.0,0.25,0.1,1000.0,30.0,0.3,15700.0,1000.0,13466.0,260.0
07:25:43.252,45919.0,0.25,0.1,1000.0,30.0,2.5,1700.0,1000.0,4033.0,1720.0
07:25:49.235,23394.0,0.25,0.1,1000.0,30.0,1.3,13200.0,1000.0,13641.0,710.0
07:25:55.239,42532.0,0.25,0.1,1000.0,30.0,2.9,8700.0,1000.0,15533.0,310.0
07:26:01.129,82021.0,0.25,0.1,1000.0,30.0,1.6,2400.0,1000.0,14782.0,940.0
07:26:07.115,31693.0,0.25,0.1,1000.0,30.0,0.1,7400.0,1000.0,1237.0,660.0
07:26:13.042,4792.0,0.25,0.1,1000.0,30.0,0.3,11100.0,1000.0,5901.0,760.0
07:26:19.022,34164.0,0.25,0.1,1000.0,30.0,0.4,600.0,1000.0,5489.0,480.0
07:26:24.964,58599.0,0.25,0.1,1000.0,30.0,2.4,5100.0,1000.0,13065.0,360.0
07:26:29.919,240500.0,0.25,0.1,1000.0,30.0,0.4,1100.0,1000.0,83.0,2990.0
07:26:35.447,16768.0,0.25,0.1,1000.0,30.0,1.3,3400.0,1000.0,1111.0,2710.0
07:26:41.400,11066.0,0.25,0.1,1000.0,30.0,2.6,11700.0,1000.0,30807.0,950.0
07:26:47.406,136298.0,0.25,0.1,1000.0,30.0,0.8,4700.0,1000.0,17282.0,180.0
07:26:53.400,60007.0,0.25,0.1,1000.0,30.0,0.4,8600.0,1000.0,25750.0,290.0
07:26:59.446,180135.0,0.25,0.1,1000.0,30.0,0.8,2100.0,1000.0,1200.0,180.0
07:27:05.531,100941.0,0.25,0.1,1000.0,30.0,1.5,14800.0,1000.0,14492.0,890.0
07:27:11.045,116039.0,0.25,0.1,1000.0,30.0,2.6,8700.0,1000.0,18364.0,1070.0
07:27:16.933,53272.0,0.25,0.1,1000.0,30.0,2.6,1200.0,1000.0,27559.0,240.0
07:27:21.928,97749.0,0.25,0.1,1000.0,30.0,1.6,6600.0,1000.0,9579.0,2090.0
07:27:27.462,225460.0,0.25,0.1,1000.0,30.0,0.2,1300.0,1000.0,15561.0,920.0
07:27:33.430,29199.0,0.25,0.1,1000.0,30.0,1.1,10200.0,1000.0,13211.0,550.0
07:27:39.479,57977.0,0.25,0.1,1000.0,30.0,1.9,7600.0,1000.0,3800.0,1700.0
07:27:45.706,71654.0,0.25,0.1,1000.0,30.0,1.0,3300.0,1000.0,1339.0,1620.0
07:27:51.300,17896.0,0.25,0.1,1000.0,30.0,1.3,5800.0,1000.0,6823.0,480.0
