time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
08:56:11,90671.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,1.0,0.0,0.0,STABILIZE,-0.00040792813524603844,0.001198832644149661,0.026905905455350876,0.00025413365801796317,0.00025097824982367456,0.0021066779736429453
08:56:17,90671.0,-35.3632621,149.1652375,0.0,-1.0,2.0,2.0,0.0,1.0,-1000.5,0.0,0.5,0.0,STABILIZE,-0.0009077665163204074,0.0009595519513823092,0.02449467033147812,0.0002528989571146667,0.00036205764627084136,0.0017935691867023706
08:56:23,90671.0,-35.3632622,149.1652375,0.0,-1.0,0.0,0.0,0.0,2.0,-1000.0,0.0,0.0,0.0,STABILIZE,-0.001251742010936141,0.0009731127647683024,0.02314116060733795,0.00030594668351113796,0.0003382761497050524,0.0015489753568544984
08:56:25,90671.0,-35.3632622,149.1652375,5.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,1.0,1.0,0.0,AUTO,-0.0010449228575453162,0.0009779500542208552,0.02269178442656994,0.00031557667534798384,0.00027378025697544217,0.0013703994918614626
08:56:27,81521.5,-35.3632621,149.1652375,8.0,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.5,0.0,AUTO,-0.0008732062415219843,0.0012341870460659266,0.02233152650296688,0.0003329671162646264,0.0003129732795059681,0.0014084072317928076
08:56:29,72372.0,-35.3632621,149.16523745,105.5,0.0,0.0,-36.0,0.0,0.5,-1065.5,3.0,2.5,0.5,AUTO,0.0012643022928386927,0.0009212982113240287,0.02181953378021717,0.0029967698501423,0.002274603903060779,0.0017758944304659963
08:56:31,72372.0,-35.363262,149.1652377,1773.0,1.0,11.0,-148.0,0.0,-1.0,-1007.0,45.0,-7.0,2.0,AUTO,0.03382802754640579,-0.0030031350906938314,0.021734721958637238,0.044627681374549866,-0.008114578202366829,0.0029842203948646784
08:56:33,270705.0,-35.36326095,149.16524575,4787.0,-4.0,24.5,-149.5,5.0,-7.0,-1001.0,-73.0,-46.0,-10.5,AUTO,-0.05334513820707798,0.010989954229444265,-0.0834302082657814,-0.07435379549860954,-0.04751419275999069,-0.009913732297718525
08:56:35,270705.0,-35.363261449999996,149.1652386,7875.5,-3.0,-55.0,-151.5,-7.0,13.5,-1004.0,67.0,14.5,2.5,AUTO,0.010477454867213964,0.0010235240042675287,-0.08786390349268913,0.06642856448888779,0.014091047924011946,0.0031230038730427623
08:56:37,270705.0,-35.3632624,149.16523525,10989.0,-1.0,18.0,-150.0,2.5,-3.0,-1002.5,-44.0,-1.0,-15.0,AUTO,-0.0004709898494184017,-0.00398214056622237,-0.08115112036466599,-0.04492170549929142,-0.0020606384496204555,-0.015387315303087234
08:56:38,67855.0,-35.363262250000005,149.165236275,12923.25,3.75,-0.5,-152.5,-0.5,-0.5,-1000.5,13.75,5.0,-23.0,AUTO,-0.008130161848384887,-0.0009514626581221819,-0.1121065653860569,0.013488946482539177,0.005133475526235998,-0.023256463930010796
08:56:39,67855.0,-35.363261949999995,149.165236,14093.0,3.0,-4.0,-153.0,-1.5,0.0,-1000.0,13.5,5.0,-19.0,AUTO,0.0020369508711155504,0.0029091951437294483,-0.12955708801746368,0.013017826713621616,0.004881952307187021,-0.01898959092795849
08:56:41,67855.0,-35.3632616,149.1652354,17209.5,-2.0,4.5,-153.0,0.0,0.0,-1000.0,-1.5,-0.5,-13.5,AUTO,0.0070803407579660416,0.005582954967394471,-0.16126396507024765,-0.0028958083130419254,-0.001865866535808891,-0.013345456682145596
08:56:43,67855.0,-35.3632617,149.1652361,20321.0,-4.0,-3.0,-150.0,0.0,0.0,-990.0,-73.0,31.5,36.5,AUTO,-0.03406541235744953,0.006121814250946045,-0.19245291501283646,-0.07440942898392677,0.03091595636215061,0.03674215171486139
08:56:44,3242.0,-35.36326375,149.16523275,22019.75,-27.0,-26.5,-111.25,1.5,8.25,-958.25,93.25,-97.0,43.0,AUTO,0.02047125273384154,-0.015540249412879348,0.08008250314742327,0.09274317044764757,-0.09826671029441059,0.043492650613188744
08:56:45,3242.0,-35.36326485,149.16523145000002,22768.5,-3.0,7.5,-82.0,0.5,0.5,-968.0,-12.0,23.0,-24.0,AUTO,0.05572848208248615,-0.03888178616762161,0.06509621255099773,-0.01266935741296038,0.0223788283765316,-0.024370018392801285
