,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
03:01:02.896,-1.0,-1.0,-1.0,-1
03:01:03.097,-1.0,-1.0,-1.0,-1
03:01:03.299,-1.0,-1.0,-1.0,-1
03:01:03.503,-1.0,-1.0,-1.0,-1
03:01:03.705,-1.0,-1.0,-1.0,-1
03:01:03.906,-1.0,-1.0,-1.0,-1
03:01:04.108,-1.0,-1.0,-1.0,-1
03:01:04.309,-1.0,-1.0,-1.0,-1
03:01:04.511,-1.0,-1.0,-1.0,-1
03:01:04.713,-1.0,-1.0,-1.0,-1
03:01:04.915,-1.0,-1.0,-1.0,-1
03:01:05.117,-1.0,-1.0,-1.0,-1
03:01:05.318,-1.0,-1.0,-1.0,-1
03:01:05.520,-1.0,-1.0,-1.0,-1
03:01:05.721,-1.0,-1.0,-1.0,-1
03:01:05.937,-1.0,-1.0,-1.0,-1
03:01:06.172,-1.0,-1.0,-1.0,-1
03:01:06.411,-1.0,-1.0,-1.0,-1
03:01:06.641,-1.0,-1.0,-1.0,-1
03:01:06.860,-1.0,-1.0,-1.0,-1
03:01:07.067,-1.0,-1.0,-1.0,-1
03:01:07.270,-1.0,-1.0,-1.0,-1
03:01:07.472,-1.0,-1.0,-1.0,-1
03:01:07.673,-1.0,-1.0,-1.0,-1
03:01:07.875,-1.0,-1.0,-1.0,-1
03:01:08.078,-1.0,-1.0,-1.0,-1
03:01:08.281,-1.0,-1.0,-1.0,-1
03:01:08.483,-1.0,-1.0,-1.0,-1
03:01:08.685,-1.0,-1.0,-1.0,-1
03:01:08.887,-1.0,-1.0,-1.0,-1
03:01:09.093,-1.0,-1.0,-1.0,-1
03:01:09.295,-1.0,-1.0,-1.0,-1
03:01:09.501,-1.0,-1.0,-1.0,-1
03:01:09.703,-1.0,-1.0,-1.0,-1
03:01:09.905,-1.0,-1.0,-1.0,-1
03:01:10.106,-1.0,-1.0,-1.0,-1
03:01:10.308,-1.0,-1.0,-1.0,-1
03:01:10.510,-1.0,-1.0,-1.0,-1
03:01:10.712,-1.0,-1.0,-1.0,-1
03:01:10.914,-1.0,-1.0,-1.0,-1
03:01:11.164,-1.0,-1.0,-1.0,-1
03:01:11.383,-1.0,-1.0,-1.0,-1
03:01:11.598,-1.0,-1.0,-1.0,-1
03:01:11.884,-1.0,-1.0,-1.0,-1
03:01:12.119,-1.0,-1.0,-1.0,-1
03:01:12.321,-1.0,-1.0,-1.0,-1
03:01:12.524,-1.0,-1.0,-1.0,-1
03:01:12.726,-1.0,-1.0,-1.0,-1
03:01:12.928,-1.0,-1.0,-1.0,-1
03:01:13.129,-1.0,-1.0,-1.0,-1
03:01:13.331,-1.0,-1.0,-1.0,-1
03:01:13.532,-1.0,-1.0,-1.0,-1
03:01:13.734,-1.0,-1.0,-1.0,-1
03:01:13.936,-1.0,-1.0,-1.0,-1
03:01:14.137,-1.0,-1.0,-1.0,-1
03:01:14.339,-1.0,-1.0,-1.0,-1
03:01:14.541,-1.0,-1.0,-1.0,-1
03:01:14.743,-1.0,-1.0,-1.0,-1
