,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN
03:32:59.776,76630.0,0.25,0.1,1000.0,30.0,1.1,3300.0,1000.0,6804.0,120.0
03:33:04.458,89940.0,0.25,0.1,1000.0,30.0,0.1,1900.0,1000.0,28265.0,2420.0
03:33:10.084,13994.0,0.25,0.1,1000.0,30.0,2.1,14800.0,1000.0,3208.0,120.0
03:33:15.856,154215.0,0.25,0.1,1000.0,30.0,1.6,6400.0,1000.0,2385.0,530.0
03:33:20.579,151485.0,0.25,0.1,1000.0,30.0,0.4,600.0,1000.0,30064.0,1760.0
03:33:25.778,76234.0,0.25,0.1,1000.0,30.0,0.8,7600.0,1000.0,1522.0,1050.0
03:33:30.520,19515.0,0.25,0.1,1000.0,30.0,0.1,4000.0,1000.0,28632.0,690.0
03:33:35.664,55567.0,0.25,0.1,1000.0,30.0,1.6,6400.0,1000.0,715.0,1440.0
03:33:40.439,102844.0,0.25,0.1,1000.0,30.0,2.2,6300.0,1000.0,11065.0,1040.0
03:33:46.095,183804.0,0.25,0.1,1000.0,30.0,0.3,2300.0,1000.0,638.0,220.0
03:33:51.657,171345.0,0.25,0.1,1000.0,30.0,1.0,4100.0,1000.0,22560.0,410.0
03:33:56.364,125943.0,0.25,0.1,1000.0,30.0,0.4,900.0,1000.0,6553.0,120.0
03:34:02.037,165588.0,0.25,0.1,1000.0,30.0,0.4,900.0,1000.0,1685.0,1740.0
03:34:07.830,31611.0,0.25,0.1,1000.0,30.0,0.4,4300.0,1000.0,5160.0,660.0
03:34:12.611,37385.0,0.25,0.1,1000.0,30.0,1.6,3600.0,1000.0,29366.0,850.0
03:34:17.769,10906.0,0.25,0.1,1000.0,30.0,2.6,9200.0,1000.0,401.0,650.0
03:34:22.497,51516.0,0.25,0.1,1000.0,30.0,0.8,4100.0,1000.0,17111.0,130.0
03:34:27.706,97336.0,0.25,0.1,1000.0,30.0,2.1,600.0,1000.0,25473.0,1090.0
03:34:32.337,145604.0,0.25,0.1,1000.0,30.0,0.6,1900.0,1000.0,5775.0,430.0
03:34:37.922,71444.0,0.25,0.1,1000.0,30.0,0.1,5600.0,1000.0,5837.0,770.0
03:34:42.672,169234.0,0.25,0.1,1000.0,30.0,1.6,4600.0,1000.0,5798.0,660.0
03:34:47.981,91673.0,0.25,0.1,1000.0,30.0,1.1,2300.0,1000.0,12917.0,260.0
03:34:52.733,16639.0,0.25,0.1,1000.0,30.0,1.2,2300.0,1000.0,1701.0,710.0
03:34:57.934,17278.0,0.25,0.1,1000.0,30.0,1.9,7900.0,1000.0,4086.0,1110.0
03:35:02.621,126259.0,0.25,0.1,1000.0,30.0,3.2,5300.0,1000.0,15674.0,30.0
03:35:07.782,246839.0,0.25,0.1,1000.0,30.0,2.9,700.0,1000.0,2968.0,160.0
03:35:12.496,26581.0,0.25,0.1,1000.0,30.0,0.2,5800.0,1000.0,4823.0,1540.0
03:35:18.247,57920.0,0.25,0.1,1000.0,30.0,2.6,12100.0,1000.0,3820.0,240.0
03:35:23.933,9636.0,0.25,0.1,1000.0,30.0,0.4,10500.0,1000.0,4533.0,2250.0
03:35:28.673,42389.0,0.25,0.1,1000.0,30.0,0.3,5300.0,1000.0,7189.0,1500.0
03:35:33.841,29201.0,0.25,0.1,1000.0,30.0,2.1,15900.0,1000.0,12877.0,1810.0
03:35:38.615,47263.0,0.25,0.1,1000.0,30.0,0.6,8100.0,1000.0,22414.0,950.0
03:35:43.843,52407.0,0.25,0.1,1000.0,30.0,1.3,10600.0,1000.0,618.0,1120.0
03:35:48.559,136145.0,0.25,0.1,1000.0,30.0,3.7,2100.0,1000.0,12521.0,220.0
