time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
11:27:06,STABILIZE,-0.000568629358895123,0.0010764525504782796,0.025921929627656937,0.00023287656949833035,0.00023198869894258678,0.0020487820729613304,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,1.0,0.0,1500.0
11:27:08,STABILIZE,-0.0005628083017654717,0.000951740745222196,0.025048941373825073,0.0003511518007144332,0.00021537317661568522,0.001937533961609006,-35.3632621,149.1652374,0.0,-1.0,0.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0
11:27:10,STABILIZE,-0.00017064769053831697,0.0009365392616018653,0.024160370230674744,0.011170760728418827,0.00033811491448432207,0.0017260531894862652,-35.3632621,149.16523745,0.0,-1.0,2.0,1.0,0.0,60.0,-912.0,11.0,1.0,0.0,1500.0
11:27:18,AUTO,-0.0010189390741288662,0.0009855983662419021,0.021877942606806755,0.00025653617922216654,0.0002631499955896288,0.0014475695206783712,-35.3632622,149.1652375,0.0,-1.0,0.0,0.0,0.0,1.0,-1000.0,0.0,1.0,0.0,78117.0
11:27:20,AUTO,-0.0008673719130456448,0.0011436707573011518,0.021465346217155457,0.00019861629698425531,0.0002850951277650893,0.001422660716343671,-35.3632621,149.1652375,7.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.0,0.5,1.0,154734.0
11:27:21,AUTO,-0.0002915082404797431,0.0014583360170945525,0.02115847822278738,0.000312229894916527,0.0002857841463992372,0.0014199934375938028,-35.3632621,149.1652375,0.0,0.0,1.0,2.0,0.0,1.25,-1000.0,0.25,0.25,0.25,267413.0
11:27:22,AUTO,-0.0001016385322145652,0.0016838060691952705,0.020933836698532104,0.00038006098475307226,0.0002775983593892306,0.0014304667129181325,-35.3632621,149.1652375,0.0,0.0,0.0,1.0,0.0,1.5,-1000.0,0.0,0.0,0.0,267413.0
11:27:24,AUTO,0.02674426417797804,-0.0017328727699350566,0.020559090189635754,0.045866718515753746,-0.008085283217951655,0.002485611941665411,-35.363262,149.1652377,1553.0,1.0,8.0,-144.5,0.0,-0.5,-1013.5,46.0,-6.5,1.5,227002.5
11:27:26,AUTO,-0.03772945702075958,0.007485817419365048,-0.07301968336105347,-0.0240944754332304,-0.021750930231064558,-0.030244636349380016,-35.3632609,149.1652455,4610.5,0.5,30.5,-149.5,4.0,-7.0,-1004.0,-22.5,-20.5,-30.0,186592.0
11:27:27,AUTO,-0.05088728200644255,-0.000482522213133052,-0.10088768042623997,0.05577954649925232,0.0033305780234513804,-0.01139650191180408,-35.363260925,149.165244675,6532.0,-3.5,-41.5,-149.25,-3.5,6.25,-1002.0,56.0,3.75,-11.25,118654.0
11:27:28,AUTO,-0.004225373035296798,0.005119830719195306,-0.1056305393576622,0.06621618568897247,0.01111068855971098,-0.00038110162131488323,-35.3632613,149.1652403,7688.5,-9.0,-58.0,-150.5,-6.0,12.5,-1003.0,66.0,11.0,-1.0,118654.0
11:27:30,AUTO,0.011028475440980401,-0.032778856344521046,-0.05750110745429993,-0.08982880041003227,0.04586220346391201,-0.022817203833255917,-35.3632634,149.16523560000002,10811.5,7.0,22.0,-149.0,1.0,-3.5,-1000.0,-88.5,46.0,-22.5,90094.5
11:27:32,AUTO,0.003035941403140896,0.014558036345988512,-0.14917666465044022,0.0241418844088912,0.0035024085082113743,-0.01858916273340583,-35.3632609,149.16523625,13911.5,4.0,-9.5,-153.0,-2.5,0.0,-1000.0,24.5,3.5,-18.5,61535.0
11:27:33,AUTO,0.011717218440026045,0.009202485322020948,-0.15928160399198532,-0.0035188975743949413,-0.007118607638403773,-0.003792508621700108,-35.363260975,149.1652354,15862.0,-6.75,2.0,-153.0,0.25,0.5,-999.5,-2.5,-6.0,-3.5,228557.0
11:27:34,AUTO,0.005053174681961536,0.00425646873190999,-0.16458655893802643,-0.029602650552988052,-0.004985852167010307,-0.011211438104510307,-35.36326135,149.16523554999998,17029.5,-8.0,7.0,-152.5,1.0,0.0,-998.0,-28.5,-4.0,-11.0,228557.0
