time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
04:46:31,1500.0,0.0,1.0,-1001.0,0.0,1.0,0.5,-35.3632621,149.1652375,1.0,0.0,0.5,0.0,AUTO,-0.000257726976997219,0.0011200600420124829,0.02178284339606762,0.0003602085344027728,0.00028237374499440193,0.001525056955870241
04:46:32,300000.0,0.0,1.25,-1000.0,0.5,0.0,0.25,-35.3632621,149.1652375,0.0,0.0,0.25,0.0,AUTO,-2.3083598307493958e-05,0.0013138278445694596,0.021536180283874273,0.00029143413121346384,0.0002832443860825151,0.0015433303778991103
04:46:33,300000.0,0.0,1.5,-1000.0,0.5,0.0,0.0,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,AUTO,0.0003109578392468393,0.001669539138674736,0.021092595532536507,0.0004093286406714469,0.0002621728926897049,0.0014459029771387577
04:46:35,300000.0,0.0,-0.5,-1012.5,46.0,-6.5,1.5,-35.363262,149.1652376,1553.5,1.0,8.0,-145.0,AUTO,0.028405869379639626,-0.0018392032361589372,0.020412585698068142,0.04599178582429886,-0.007706656353548169,0.0024948222562670708
04:46:36,231100.0,1.25,-6.0,-996.75,-13.0,24.5,-31.25,-35.363261675000004,149.165239425,2699.25,6.25,36.0,-146.25,AUTO,0.05154103506356478,-0.002526250551454723,0.0003997508902102709,-0.013625531923025846,0.02410459006205201,-0.030950463376939297
04:46:37,231100.0,3.0,-8.0,-1001.5,-48.5,1.0,-37.5,-35.363260749999995,149.16524545,4594.5,5.5,31.5,-148.0,AUTO,-0.03553626220673323,-0.001713172416202724,-0.060709645971655846,-0.049766392447054386,0.0003448799252510071,-0.03725433722138405
04:46:39,231100.0,-5.5,15.0,-1003.5,70.0,8.0,-4.0,-35.36326155,149.16523965,7656.5,-22.0,-61.5,-149.5,AUTO,-0.004371022339910269,0.015270619187504053,-0.12504278868436813,0.07000543549656868,0.007796404650434852,-0.0036790716112591326
04:46:40,216754.0,-0.25,12.0,-1001.75,46.5,-22.75,22.75,-35.363263450000005,149.16523535,8824.25,-31.25,-34.75,-151.5,AUTO,0.04442486306652427,0.014098876970820129,-0.12015011720359325,0.04599206708371639,-0.023433065522112884,0.023511429404607043
04:46:41,216754.0,2.0,-4.0,-998.0,12.0,-42.0,83.0,-35.3632658,149.1652345,10769.0,12.0,25.5,-149.5,AUTO,0.04913308843970299,-0.07767976447939873,-0.022335870657116175,0.011923178099095821,-0.04276839643716812,0.08427199348807335
04:46:43,216754.0,-7.5,-1.0,-1001.5,44.5,16.5,-47.0,-35.3632584,149.16523745,13839.0,18.0,-19.5,-153.0,AUTO,-0.024453984573483467,0.04023440182209015,-0.1791277378797531,0.04442429728806019,0.01626171777024865,-0.04683799855411053
04:46:44,300000.0,-2.0,4.75,-999.5,48.0,-3.25,-11.75,-35.363258325000004,149.16523565,15016.75,-15.5,-16.5,-152.25,AUTO,0.012028937111608684,0.0454610837623477,-0.19846686348319054,0.04794426588341594,-0.003937863511964679,-0.011464697308838367
04:46:45,300000.0,6.0,0.5,-1000.0,-41.5,-39.5,49.5,-35.3632612,149.1652353,16962.5,-25.5,17.5,-151.0,AUTO,0.0188341005705297,-0.02403926756232977,-0.1422559842467308,-0.04263881593942642,-0.04024759749881923,0.05055032856762409
04:46:47,300000.0,-1.0,0.0,-1000.0,16.5,10.0,-37.5,-35.363262,149.1652367,20072.0,0.5,-3.5,-152.0,AUTO,-0.0016481146012665704,0.002966272411867976,-0.2078862264752388,0.016351531259715557,0.009711960330605507,-0.03729471191763878
04:46:48,300000.0,-0.75,0.0,-999.5,8.0,3.25,-23.75,-35.3632619,149.1652363,21244.0,-1.25,-2.0,-152.5,AUTO,0.006653057935182005,0.006458731717430055,-0.22953243553638458,0.007650063373148441,0.00313605455448851,-0.023767217993736267
04:46:49,300000.0,0.0,0.0,-1000.5,-2.0,-0.5,-16.0,-35.3632619,149.1652361,23192.5,-4.0,4.5,-152.0,AUTO,0.006675801007077098,0.00513694086112082,-0.2521028220653534,-0.0033853258937597275,-0.0012558678281493485,-0.016073939856141806
04:46:51,300000.0,0.0,0.5,-1000.0,33.0,5.0,4.5,-35.363262250000005,149.1652364,26308.0,-4.0,-1.0,-153.0,AUTO,0.0020840904908254743,0.0034385552862659097,-0.2824350893497467,0.032811179757118225,0.004632112802937627,0.004958656936651096
04:46:52,168132.0,0.0,0.25,-999.25,3.25,0.0,22.0,-35.36326245,149.1652364,27483.75,-3.25,3.5,-152.25,AUTO,0.012331399600952864,0.0029719884623773396,-0.2691788375377655,0.0023239466827362776,-0.0009618787153158337,0.022697689477354288
04:46:53,168132.0,1.0,-1.0,-1000.0,-6.0,1.5,21.5,-35.3632625,149.16523715,29414.5,0.0,10.0,-152.0,AUTO,0.003773983335122466,0.001551666355226189,-0.23971745371818542,-0.007378500420600176,0.0008754521841183305,0.02203830424696207
04:46:55,168132.0,0.0,0.0,-1000.5,5.5,1.0,15.0,-35.3632625,149.1652382,32519.5,0.0,1.5,-152.0,AUTO,-2.4561159079894423e-06,0.0007696808024775237,-0.20249399542808533,0.004675059812143445,0.000437291368143633,0.01595323160290718
04:46:56,166875.0,0.0,0.0,-999.75,3.0,1.75,13.0,-35.3632624,149.1652382,33684.0,0.0,0.25,-152.0,AUTO,0.0013966176775284111,0.0013869190588593483,-0.19082091376185417,0.0021111805690452456,0.001386479678330943,0.013728387653827667
04:46:57,166875.0,0.0,0.0,-1000.0,1.0,1.0,13.0,-35.3632623,149.165238,35627.0,0.0,0.0,-152.0,AUTO,0.002190524712204933,0.0013410202809609473,-0.17467840015888214,0.0004753623506985605,0.0006036234844941646,0.013480649795383215
04:46:59,166875.0,0.0,0.0,-1000.5,4.0,2.0,8.5,-35.3632622,149.1652377,38740.5,0.0,0.0,-152.0,AUTO,0.002931451308541,0.0010585640848148614,-0.15412646532058716,0.0034621120430529118,0.0011248469236306846,0.009161908645182848
04:47:00,113641.0,0.0,0.0,-1000.25,2.0,1.0,8.5,-35.363262175,149.165237575,39905.25,0.0,0.0,-152.0,AUTO,0.0032499254448339343,0.0013466592936310917,-0.14779530093073845,0.001462671731133014,0.0007291692309081554,0.008751935209147632
04:47:01,113641.0,0.0,0.0,-999.5,0.5,1.0,7.5,-35.3632621,149.1652375,41846.5,0.0,1.0,-152.0,AUTO,0.002515568514354527,0.0015830432530492544,-0.13845323771238327,-0.0004336094716563821,0.00048047653399407864,0.007943503791466355
04:47:03,113641.0,0.0,0.0,-1000.5,1.5,2.0,5.0,-35.3632621,149.1652374,44952.0,0.0,1.0,-152.0,AUTO,0.0024839516263455153,0.0015130197280086577,-0.12573274970054626,0.0013032521237619221,0.0012508360960055143,0.005433922400698066
04:47:04,219650.0,0.0,0.0,-990.5,-30.75,33.75,82.0,-35.363262074999994,149.1652374,46118.0,-1.5,0.75,-150.25,AUTO,-0.002233576844446361,0.006301399786025286,-0.11102384515106678,-0.03208271990297362,0.0329823175270576,0.08222762832883745
04:47:05,219650.0,3.5,10.0,-940.5,109.0,-174.0,138.0,-35.36326345,149.1652354,47797.5,-31.5,-36.0,-98.0,AUTO,-0.0213456517085433,-0.0023795701563358307,0.24552571773529053,0.10886414349079132,-0.17563442140817642,0.13841713592410088
04:47:07,219650.0,-2.5,-5.0,-973.0,116.0,35.0,-32.0,-35.363263599999996,149.16523395000002,48989.0,21.0,27.5,-30.5,AUTO,0.026323551312088966,-0.008529929677024484,0.22629932314157486,0.11562913656234741,0.034717220813035965,-0.032773980870842934
04:47:08,200.0,-1.0,0.75,-979.75,73.75,18.25,-25.5,-35.363262175,149.16523617500002,49142.0,17.25,28.25,-12.75,AUTO,0.005029190186178312,0.010781767079606652,0.20281502977013588,0.07223744690418243,0.017719870200380683,-0.026266344357281923
04:47:09,200.0,0.5,-31.5,-1017.5,-652.5,-86.5,-14.0,-35.363261249999994,149.1652388,49081.5,-4.5,2.5,14.0,AUTO,-0.013908001128584146,0.006741953315213323,0.17215386778116226,-0.6538806259632111,-0.08779626712203026,-0.014871577732264996
04:47:11,200.0,-10.0,5.0,-992.0,370.0,-26.0,819.0,-35.363258849999994,149.16524655,48877.5,54.5,75.0,10.5,AUTO,0.05180670507252216,-0.09490014612674713,0.5243676155805588,0.36882742680609226,-0.027761573437601328,0.818957656621933
