,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
05:24:37.411,115106.0,0.5,1.7,-10.0,0.25,4.3,0.0,30115.0,370.0,1.0,0.1,50.0,50.0,196.0,0.0
05:24:41.430,80273.0,0.3,0.7,-10.0,0.25,2.5,0.0,32000.0,790.0,1.0,0.1,50.0,50.0,107.0,0.0
05:24:45.448,200.0,0.9,1.4,0.8,0.25,3.5,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,568.0,0.0
05:24:49.466,200.0,1.1,0.2,7.5,0.25,2.6,0.0,10939.0,1000.0,1.0,0.1,50.0,50.0,815.0,0.0
05:24:53.496,294502.0,0.8,1.1,4.8,0.25,1.6,0.0,15133.0,570.0,1.0,0.1,50.0,50.0,322.0,0.0
05:24:57.030,300000.0,1.1,1.6,7.3,0.25,3.0,0.0,19574.0,480.0,1.0,0.1,50.0,50.0,114.0,0.0
05:25:01.045,14155.0,1.0,2.0,10.1,0.25,4.1,0.0,19030.0,820.0,1.0,0.1,50.0,50.0,1.0,0.0
05:25:05.076,300000.0,0.0,0.8,3.7,0.25,0.1,0.0,0.0,290.0,1.0,0.1,50.0,50.0,738.0,0.0
05:25:09.093,71479.0,0.4,0.2,-10.0,0.25,1.2,0.0,18293.0,500.0,1.0,0.1,50.0,50.0,997.0,0.0
05:25:13.109,64875.0,0.0,2.0,-10.0,0.25,2.7,0.0,32000.0,860.0,1.0,0.1,50.0,50.0,397.0,0.0
05:25:17.121,200.0,0.8,1.7,6.3,0.25,0.5,0.0,19555.0,0.0,1.0,0.1,50.0,50.0,324.0,0.0
05:25:21.138,200.0,0.5,0.1,-10.0,0.25,0.0,0.0,29350.0,1000.0,1.0,0.1,50.0,50.0,395.0,0.0
05:25:25.154,51827.0,1.1,2.0,3.3,0.25,2.2,0.0,0.0,0.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:25:29.184,109260.0,1.1,0.0,-1.1,0.25,5.1,0.0,32000.0,0.0,1.0,0.1,50.0,50.0,558.0,0.0
05:25:33.214,188925.0,0.0,2.0,3.8,0.25,3.8,0.0,10830.0,960.0,1.0,0.1,50.0,50.0,708.0,0.0
05:25:37.243,265364.0,0.9,0.6,-8.8,0.25,4.6,0.0,31370.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0
05:25:41.278,300000.0,1.1,1.6,10.1,0.25,4.7,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,676.0,0.0
05:25:45.305,147028.0,0.2,1.2,10.1,0.25,5.1,0.0,16456.0,870.0,1.0,0.1,50.0,50.0,303.0,0.0
05:25:49.340,202084.0,0.8,2.0,-0.3,0.25,0.2,0.0,15541.0,310.0,1.0,0.1,50.0,50.0,534.0,0.0
05:25:53.376,257727.0,0.9,1.7,-3.9,0.25,1.8,0.0,17739.0,660.0,1.0,0.1,50.0,50.0,50.0,0.0
05:25:57.402,172084.0,0.4,1.4,-10.0,0.25,2.1,0.0,23149.0,150.0,1.0,0.1,50.0,50.0,0.0,0.0
05:26:01.431,138148.0,0.1,1.4,-9.0,0.25,3.2,0.0,21339.0,420.0,1.0,0.1,50.0,50.0,353.0,0.0
05:26:05.458,227619.0,0.0,0.8,-10.0,0.25,2.4,0.0,27787.0,890.0,1.0,0.1,50.0,50.0,195.0,0.0
05:26:09.482,109002.0,0.0,0.3,8.9,0.25,2.8,0.0,0.0,240.0,1.0,0.1,50.0,50.0,552.0,0.0
05:26:13.499,91279.0,0.0,1.6,-10.0,0.25,2.1,0.0,9288.0,190.0,1.0,0.1,50.0,50.0,0.0,0.0
05:26:17.019,108444.0,1.1,1.2,-2.3,0.25,0.0,0.0,11656.0,1000.0,1.0,0.1,50.0,50.0,647.0,0.0
05:26:21.032,46838.0,0.5,1.2,6.8,0.25,1.4,0.0,0.0,530.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:26:25.049,89161.0,0.0,1.0,10.1,0.25,5.0,0.0,13814.0,430.0,1.0,0.1,50.0,50.0,791.0,0.0
05:26:29.066,110521.0,0.5,1.5,-9.4,0.25,4.1,0.0,0.0,960.0,1.0,0.1,50.0,50.0,0.0,0.0
05:26:33.082,200.0,1.1,0.4,-9.1,0.25,0.7,0.0,0.0,220.0,1.0,0.1,50.0,50.0,0.0,0.0
05:26:37.112,173161.0,0.9,0.0,5.9,0.25,4.1,0.0,18432.0,0.0,1.0,0.1,50.0,50.0,2.0,0.0
05:26:41.151,288511.0,0.7,0.4,1.3,0.25,4.8,0.0,22247.0,630.0,1.0,0.1,50.0,50.0,414.0,0.0
05:26:45.175,68514.0,1.1,1.5,6.5,0.25,1.6,0.0,17435.0,0.0,1.0,0.1,50.0,50.0,547.0,0.0
05:26:49.202,240461.0,1.0,1.2,-10.0,0.25,2.2,0.0,32000.0,990.0,1.0,0.1,50.0,50.0,920.0,0.0
05:26:53.227,191185.0,0.5,2.0,-1.4,0.25,5.1,0.0,9331.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0
