time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
17:52:10,-0.000679960852721706,0.0009573492279741913,0.026334245689213276,-0.00016235277871601284,0.00025541140348650515,0.0020433831959962845,-35.3632621,149.1652375,0.0,-1.0,2.0,1.5,STABILIZE,0.0,6.5,-991.5,0.0,0.0,0.0,146107.0
17:52:14,-0.0008859343361109495,0.0009654554596636444,0.02497231960296631,0.0002490085025783628,0.0002750196435954422,0.0018304604454897344,-35.3632621,149.1652375,0.0,-1.0,1.0,1.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.5,146107.0
17:52:16,-0.0011307894601486623,0.0009878526907414198,0.024381548166275024,0.00020789291011169553,0.00019604101544246078,0.0017268233350478113,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE,0.0,1.0,-1000.0,0.0,1.0,1.0,146107.0
17:52:22,-0.0007666177116334438,0.0009855787502601743,0.022947450168430805,0.0002783880627248436,0.0002283845387864858,0.0015697195194661617,-35.36326215,149.1652375,12.0,-1.0,0.0,-2.0,AUTO,0.0,2.0,-1000.0,0.5,0.5,0.5,146107.0
17:52:24,-5.460873308038572e-05,0.0013563123648054898,0.022389408200979233,0.00036714374436996877,0.0002593897806946188,0.001429141964763403,-35.3632621,149.1652375,13.5,0.0,1.0,0.0,AUTO,0.0,1.0,-1000.0,0.5,0.5,1.0,146107.0
17:52:25,0.00014897805340297054,0.0015647091204300523,0.022121187299489975,0.0003486938076093793,0.00024216777819674462,0.0014433480682782829,-35.3632621,149.1652375,10.75,0.0,0.5,0.0,AUTO,0.0,1.25,-1000.0,0.0,0.25,0.75,240560.0
17:52:26,0.0028827994829043746,0.000699989526765421,0.021888778544962406,-0.003908604616299272,0.0034119506599381566,0.0019125708495266736,-35.3632621,149.1652375,319.0,0.0,1.0,-86.0,AUTO,0.0,0.0,-1118.0,-3.5,3.5,0.5,240560.0
17:52:28,0.05298589915037155,0.0014164308086037636,-0.019659518729895353,-0.0745345950126648,0.06010182574391365,-0.07267022877931595,-35.3632615,149.16524045,3117.0,9.0,48.0,-146.0,AUTO,2.0,-9.0,-991.0,-73.5,60.5,-72.5,240560.0
17:52:30,-0.0675372276455164,-0.0007011038833297789,-0.0985981784760952,0.051455266773700714,-0.0010310689685866237,-0.01688089407980442,-35.3632608,149.1652458,6162.5,-2.0,-32.0,-148.0,AUTO,-2.0,4.5,-1002.0,51.5,-0.5,-16.5,240560.0
17:52:31,-0.022292105888482183,0.003563597143511288,-0.10523776523768902,0.06502228416502476,0.0098811638308689,-0.0037900231836829334,-35.363261124999994,149.165241725,7312.75,-8.25,-58.25,-149.25,AUTO,-5.5,10.25,-1002.25,65.5,10.0,-3.5,161985.0
17:52:32,0.060425786301493645,0.01335825864225626,-0.10251841694116592,0.06249392032623291,-0.0014818391064181924,0.003941945149563253,-35.3632627,149.1652345,9257.5,-20.0,-24.5,-153.0,AUTO,-1.5,9.5,-1002.0,62.5,-1.0,3.5,161985.0
17:52:34,-0.034133367240428925,0.0008486913284286857,-0.10754089802503586,0.004519626498222351,0.03958444856107235,-0.07937846332788467,-35.363262199999994,149.1652378,12335.0,28.0,7.0,-150.5,AUTO,-3.5,-6.0,-1005.0,5.0,40.0,-79.0,161985.0
17:52:36,0.018629890866577625,0.017374600283801556,-0.17228806018829346,-0.0007978940848261118,-0.012160341255366802,0.005236620316281915,-35.36326015,149.16523535,15459.0,-9.5,-3.5,-152.0,AUTO,-0.5,1.5,-998.5,0.0,-11.0,4.5,161985.0
17:52:37,0.01187268563080579,0.0074393622926436365,-0.16898448020219803,-0.011792824603617191,-0.011427560704760253,-0.00011320138582959771,-35.363260775,149.1652353,16624.75,-12.5,6.0,-151.5,AUTO,1.75,0.5,-999.5,-10.5,-10.25,-0.5,196161.0
17:52:38,0.0006139292527223006,-0.0018817586824297905,-0.1807677149772644,-0.004077468067407608,-0.0006160614429973066,-0.01885748002678156,-35.363261800000004,149.16523610000002,18571.0,-7.5,7.5,-152.0,AUTO,1.5,0.0,-1000.0,-2.5,0.0,-18.5,196161.0
17:52:40,0.003602198325097561,0.001845902414061129,-0.22986764460802078,0.0034158206544816494,0.003392339334823191,-0.023286201991140842,-35.3632621,149.1652365,21688.0,0.0,2.0,-153.0,AUTO,0.0,0.0,-1000.0,4.0,3.5,-23.0,196161.0
17:52:42,0.0032447066623717546,0.0033995903795585036,-0.27101123332977295,-0.006257431727135554,-0.0002132049121428281,-0.014225377701222897,-35.3632621,149.1652367,24807.5,-1.0,3.0,-152.5,AUTO,0.0,-0.5,-998.0,-5.5,0.0,-14.0,196161.0
17:52:43,-0.0010733871022239327,0.005176650593057275,-0.26752636581659317,0.01730724680237472,0.00015427934704348445,0.01690507587045431,-35.363262125,149.165236675,25976.0,-3.5,0.0,-152.25,AUTO,0.0,0.0,-1001.75,18.25,1.0,16.5,147704.0
17:52:44,0.009541109669953585,0.0022929717088118196,-0.23783855885267258,-0.0071759033016860485,-0.0016626863507553935,0.023468835279345512,-35.36326235,149.16523675000002,27910.0,-2.5,6.5,-152.0,AUTO,0.5,0.0,-999.5,-6.0,-0.5,22.5,147704.0
17:52:46,-0.0008286200754810125,0.001479076105169952,-0.19753963500261307,-0.00010830641258507967,-0.0008796917682047933,0.016424505040049553,-35.3632624,149.16523805,31021.0,0.0,4.5,-152.0,AUTO,0.0,0.0,-1000.5,0.5,0.0,15.5,147704.0
17:52:48,-0.053989216685295105,0.05172944255173206,0.11934707686305046,0.027120308950543404,-0.12383668683469296,0.33315837383270264,-35.363263,149.16523745,34023.0,-27.0,-25.5,-122.5,AUTO,2.5,5.5,-943.5,28.5,-122.5,333.0,147704.0
17:52:49,0.016059653367847204,-0.03999709547497332,0.18657580763101578,0.07714593596756458,-0.06168014672584832,-0.0027773802867159247,-35.363264775,149.16523475,34801.5,-18.5,-27.25,-86.0,AUTO,1.75,8.0,-958.5,77.75,-60.5,-2.5,107311.0
17:52:50,0.03352153208106756,-0.021210718899965286,0.15229392051696777,-0.07266149669885635,0.04234692640602589,-0.017925440333783627,-35.3632646,149.16523375,35637.0,20.5,19.0,-48.5,AUTO,-3.5,-10.5,-978.5,-72.0,42.5,-17.5,107311.0
17:52:52,-0.013164438540115952,0.029619434848427773,0.1192847229540348,0.6345135867595673,0.04391045117517933,-0.0016755657270550728,-35.363261,149.1652386,36132.0,6.0,14.5,4.0,AUTO,0.5,36.0,-970.5,636.0,44.5,-1.5,107311.0
17:52:54,-0.02540461253374815,-0.045148929581046104,0.10106078162789345,0.5507079809904099,-0.04235225357115269,-0.011236587073653936,-35.3632607,149.1652351,35953.5,19.5,-33.5,-3.0,AUTO,-7.5,31.0,-1011.5,551.5,-41.0,-10.5,107311.0
