,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
19:07:35.927,-1.0,-1.0,-1.0,-1
19:07:36.129,-1.0,-1.0,-1.0,-1
19:07:36.330,-1.0,-1.0,-1.0,-1
19:07:36.532,-1.0,-1.0,-1.0,-1
19:07:36.734,-1.0,-1.0,-1.0,-1
19:07:36.935,-1.0,-1.0,-1.0,-1
19:07:37.137,-1.0,-1.0,-1.0,-1
19:07:37.338,-1.0,-1.0,-1.0,-1
19:07:37.540,-1.0,-1.0,-1.0,-1
19:07:37.742,-1.0,-1.0,-1.0,-1
19:07:37.944,-1.0,-1.0,-1.0,-1
19:07:38.145,-1.0,-1.0,-1.0,-1
19:07:38.347,-1.0,-1.0,-1.0,-1
19:07:38.549,-1.0,-1.0,-1.0,-1
19:07:38.751,-1.0,-1.0,-1.0,-1
19:07:38.953,-1.0,-1.0,-1.0,-1
19:07:39.155,-1.0,-1.0,-1.0,-1
19:07:39.358,-1.0,-1.0,-1.0,-1
19:07:39.560,-1.0,-1.0,-1.0,-1
19:07:39.761,-1.0,-1.0,-1.0,-1
19:07:39.963,-1.0,-1.0,-1.0,-1
19:07:40.165,-1.0,-1.0,-1.0,-1
19:07:40.368,-1.0,-1.0,-1.0,-1
19:07:40.569,-1.0,-1.0,-1.0,-1
19:07:40.771,-1.0,-1.0,-1.0,-1
19:07:40.973,-1.0,-1.0,-1.0,-1
19:07:41.174,-1.0,-1.0,-1.0,-1
19:07:41.375,-1.0,-1.0,-1.0,-1
19:07:41.577,-1.0,-1.0,-1.0,-1
19:07:41.778,-1.0,-1.0,-1.0,-1
19:07:41.980,-1.0,-1.0,-1.0,-1
19:07:42.182,-1.0,-1.0,-1.0,-1
19:07:42.383,-1.0,-1.0,-1.0,-1
19:07:42.585,-1.0,-1.0,-1.0,-1
19:07:42.786,-1.0,-1.0,-1.0,-1
19:07:42.987,-1.0,-1.0,-1.0,-1
19:07:43.189,-1.0,-1.0,-1.0,-1
19:07:43.390,-1.0,-1.0,-1.0,-1
19:07:43.592,-1.0,-1.0,-1.0,-1
19:07:43.794,-1.0,-1.0,-1.0,-1
19:07:43.995,-1.0,-1.0,-1.0,-1
19:07:44.197,-1.0,-1.0,-1.0,-1
19:07:44.399,-1.0,-1.0,-1.0,-1
19:07:44.601,-1.0,-1.0,-1.0,-1
19:07:44.803,-1.0,-1.0,-1.0,-1
19:07:45.005,-1.0,-1.0,-1.0,-1
19:07:45.206,-1.0,-1.0,-1.0,-1
19:07:45.408,-1.0,-1.0,-1.0,-1
19:07:45.610,-1.0,-1.0,-1.0,-1
19:07:45.811,-1.0,-1.0,-1.0,-1
19:07:46.013,-1.0,-1.0,-1.0,-1
19:07:46.215,-1.0,-1.0,-1.0,-1
19:07:46.416,-1.0,-1.0,-1.0,-1
19:07:46.627,-1.0,-1.0,-1.0,-1
19:07:46.837,-1.0,-1.0,-1.0,-1
19:07:47.039,-1.0,-1.0,-1.0,-1
19:07:47.240,-1.0,-1.0,-1.0,-1
19:07:47.442,-1.0,-1.0,-1.0,-1
19:07:47.643,-1.0,-1.0,-1.0,-1
19:07:47.845,-1.0,-1.0,-1.0,-1
19:07:48.046,-1.0,-1.0,-1.0,-1
19:07:48.248,-1.0,-1.0,-1.0,-1
19:07:48.450,-1.0,-1.0,-1.0,-1
19:07:48.652,-1.0,-1.0,-1.0,-1
19:07:48.854,-1.0,-1.0,-1.0,-1
19:07:49.055,-1.0,-1.0,-1.0,-1
19:07:49.257,-1.0,-1.0,-1.0,-1
19:07:54.393,-1.0,-1.0,-1.0,-1
19:07:54.595,-1.0,-1.0,-1.0,-1
19:07:54.797,-1.0,-1.0,-1.0,-1
19:07:54.999,-1.0,-1.0,-1.0,-1
19:07:55.201,-1.0,-1.0,-1.0,-1
19:07:55.403,-1.0,-1.0,-1.0,-1
19:07:55.605,-1.0,-1.0,-1.0,-1
19:07:55.808,-1.0,-1.0,-1.0,-1
19:07:56.010,-1.0,-1.0,-1.0,-1
19:07:56.213,-1.0,-1.0,-1.0,-1
19:07:56.415,-1.0,-1.0,-1.0,-1
19:07:56.627,-1.0,-1.0,-1.0,-1
19:07:56.829,-1.0,-1.0,-1.0,-1
19:07:57.031,-1.0,-1.0,-1.0,-1
19:07:57.233,-1.0,-1.0,-1.0,-1
19:07:57.572,-1.0,-1.0,-1.0,-1
19:07:57.779,-1.0,-1.0,-1.0,-1
19:07:57.986,-1.0,-1.0,-1.0,-1
19:07:58.241,-1.0,-1.0,-1.0,-1
19:07:58.473,-1.0,-1.0,-1.0,-1
19:07:58.680,-1.0,-1.0,-1.0,-1
19:07:58.882,-1.0,-1.0,-1.0,-1
19:07:59.084,-1.0,-1.0,-1.0,-1
19:07:59.286,-1.0,-1.0,-1.0,-1
19:07:59.488,-1.0,-1.0,-1.0,-1
19:07:59.690,-1.0,-1.0,-1.0,-1
19:07:59.892,-1.0,-1.0,-1.0,-1
19:08:00.094,-1.0,-1.0,-1.0,-1
19:08:00.296,-1.0,-1.0,-1.0,-1
19:08:00.498,-1.0,-1.0,-1.0,-1
19:08:00.700,-1.0,-1.0,-1.0,-1
19:08:00.902,-1.0,-1.0,-1.0,-1
19:08:01.103,-1.0,-1.0,-1.0,-1
19:08:01.305,-1.0,-1.0,-1.0,-1
19:08:01.507,-1.0,-1.0,-1.0,-1
19:08:01.709,-1.0,-1.0,-1.0,-1
19:08:01.910,-1.0,-1.0,-1.0,-1
19:08:02.112,-1.0,-1.0,-1.0,-1
19:08:02.315,-1.0,-1.0,-1.0,-1
19:08:02.517,-1.0,-1.0,-1.0,-1
19:08:02.731,-1.0,-1.0,-1.0,-1
19:08:02.932,-1.0,-1.0,-1.0,-1
19:08:03.145,-1.0,-1.0,-1.0,-1
19:08:03.347,-1.0,-1.0,-1.0,-1
19:08:03.594,-1.0,-1.0,-1.0,-1
19:08:03.861,-1.0,-1.0,-1.0,-1
19:08:04.083,-1.0,-1.0,-1.0,-1
19:08:04.375,-1.0,-1.0,-1.0,-1
19:08:04.589,-1.0,-1.0,-1.0,-1
19:08:04.791,-1.0,-1.0,-1.0,-1
19:08:04.993,-1.0,-1.0,-1.0,-1
19:08:05.196,-1.0,-1.0,-1.0,-1
19:08:05.398,-1.0,-1.0,-1.0,-1
19:08:05.600,-1.0,-1.0,-1.0,-1
19:08:05.802,-1.0,-1.0,-1.0,-1
19:08:06.004,-1.0,-1.0,-1.0,-1
19:08:06.206,-1.0,-1.0,-1.0,-1
19:08:06.407,-1.0,-1.0,-1.0,-1
19:08:06.610,-1.0,-1.0,-1.0,-1
19:08:06.812,-1.0,-1.0,-1.0,-1
19:08:07.014,-1.0,-1.0,-1.0,-1
19:08:07.216,-1.0,-1.0,-1.0,-1
19:08:07.417,-1.0,-1.0,-1.0,-1
19:08:07.620,-1.0,-1.0,-1.0,-1
19:08:07.822,-1.0,-1.0,-1.0,-1
19:08:08.024,-1.0,-1.0,-1.0,-1
19:08:08.226,-1.0,-1.0,-1.0,-1
19:08:08.428,-1.0,-1.0,-1.0,-1
19:08:08.630,-1.0,-1.0,-1.0,-1
19:08:08.831,-1.0,-1.0,-1.0,-1
19:08:09.033,-1.0,-1.0,-1.0,-1
19:08:09.235,-1.0,-1.0,-1.0,-1
19:08:09.436,-1.0,-1.0,-1.0,-1
19:08:09.654,-1.0,-1.0,-1.0,-1
19:08:09.894,-1.0,-1.0,-1.0,-1
19:08:10.107,-1.0,-1.0,-1.0,-1
19:08:10.376,-1.0,-1.0,-1.0,-1
19:08:10.587,-1.0,-1.0,-1.0,-1
19:08:10.832,-1.0,-1.0,-1.0,-1
19:08:11.035,-1.0,-1.0,-1.0,-1
19:08:11.238,-1.0,-1.0,-1.0,-1
19:08:11.440,-1.0,-1.0,-1.0,-1
19:08:11.642,-1.0,-1.0,-1.0,-1
19:08:11.843,-1.0,-1.0,-1.0,-1
19:08:12.045,-1.0,-1.0,-1.0,-1
19:08:12.248,-1.0,-1.0,-1.0,-1
19:08:12.449,-1.0,-1.0,-1.0,-1
19:08:12.651,-1.0,-1.0,-1.0,-1
19:08:12.853,-1.0,-1.0,-1.0,-1
19:08:13.055,-1.0,-1.0,-1.0,-1
19:08:13.256,-1.0,-1.0,-1.0,-1
19:08:13.458,-1.0,-1.0,-1.0,-1
19:08:13.660,-1.0,-1.0,-1.0,-1
19:08:13.862,-1.0,-1.0,-1.0,-1
19:08:14.064,-1.0,-1.0,-1.0,-1
19:08:14.266,-1.0,-1.0,-1.0,-1
19:08:14.469,-1.0,-1.0,-1.0,-1
19:08:14.671,-1.0,-1.0,-1.0,-1
19:08:14.873,-1.0,-1.0,-1.0,-1
19:08:15.133,-1.0,-1.0,-1.0,-1
19:08:15.478,-1.0,-1.0,-1.0,-1
19:08:15.690,-1.0,-1.0,-1.0,-1
19:08:15.979,-1.0,-1.0,-1.0,-1
19:08:16.205,-1.0,-1.0,-1.0,-1
19:08:16.408,-1.0,-1.0,-1.0,-1
19:08:16.610,-1.0,-1.0,-1.0,-1
19:08:16.813,-1.0,-1.0,-1.0,-1
19:08:17.016,-1.0,-1.0,-1.0,-1
19:08:17.219,-1.0,-1.0,-1.0,-1
19:08:17.421,-1.0,-1.0,-1.0,-1
19:08:17.623,-1.0,-1.0,-1.0,-1
19:08:17.825,-1.0,-1.0,-1.0,-1
19:08:18.028,-1.0,-1.0,-1.0,-1
19:08:18.229,-1.0,-1.0,-1.0,-1
19:08:18.432,-1.0,-1.0,-1.0,-1
19:08:18.634,-1.0,-1.0,-1.0,-1
19:08:18.836,-1.0,-1.0,-1.0,-1
19:08:19.038,-1.0,-1.0,-1.0,-1
19:08:19.239,-1.0,-1.0,-1.0,-1
19:08:19.441,-1.0,-1.0,-1.0,-1
19:08:19.643,-1.0,-1.0,-1.0,-1
19:08:19.845,-1.0,-1.0,-1.0,-1
19:08:20.047,-1.0,-1.0,-1.0,-1
19:08:20.249,-1.0,-1.0,-1.0,-1
19:08:20.451,-1.0,-1.0,-1.0,-1
19:08:20.653,-1.0,-1.0,-1.0,-1
19:08:20.856,-1.0,-1.0,-1.0,-1
19:08:21.058,-1.0,-1.0,-1.0,-1
19:08:21.463,-1.0,-1.0,-1.0,-1
19:08:21.846,-1.0,-1.0,-1.0,-1
19:08:22.212,-1.0,-1.0,-1.0,-1
19:08:22.415,-1.0,-1.0,-1.0,-1
19:08:22.618,-1.0,-1.0,-1.0,-1
19:08:22.821,-1.0,-1.0,-1.0,-1
19:08:23.040,-1.0,-1.0,-1.0,-1
19:08:23.242,-1.0,-1.0,-1.0,-1
19:08:23.444,-1.0,-1.0,-1.0,-1
19:08:23.645,-1.0,-1.0,-1.0,-1
19:08:23.847,-1.0,-1.0,-1.0,-1
19:08:24.049,-1.0,-1.0,-1.0,-1
19:08:24.251,-1.0,-1.0,-1.0,-1
19:08:24.455,-1.0,-1.0,-1.0,-1
19:08:24.658,-1.0,-1.0,-1.0,-1
19:08:24.860,-1.0,-1.0,-1.0,-1
19:08:25.062,-1.0,-1.0,-1.0,-1
19:08:25.263,-1.0,-1.0,-1.0,-1
19:08:25.468,-1.0,-1.0,-1.0,-1
19:08:25.670,-1.0,-1.0,-1.0,-1
19:08:25.872,-1.0,-1.0,-1.0,-1
19:08:26.074,-1.0,-1.0,-1.0,-1
19:08:26.276,-1.0,-1.0,-1.0,-1
19:08:26.478,-1.0,-1.0,-1.0,-1
19:08:26.680,-1.0,-1.0,-1.0,-1
19:08:26.882,-1.0,-1.0,-1.0,-1
19:08:27.084,-1.0,-1.0,-1.0,-1
19:08:27.351,-1.0,-1.0,-1.0,-1
19:08:27.688,-1.0,-1.0,-1.0,-1
19:08:27.972,-1.0,-1.0,-1.0,-1
19:08:28.245,-1.0,-1.0,-1.0,-1
19:08:28.448,-1.0,-1.0,-1.0,-1
19:08:28.651,-1.0,-1.0,-1.0,-1
19:08:28.861,-1.0,-1.0,-1.0,-1
19:08:29.067,-1.0,-1.0,-1.0,-1
19:08:29.270,-1.0,-1.0,-1.0,-1
19:08:29.473,-1.0,-1.0,-1.0,-1
19:08:29.675,-1.0,-1.0,-1.0,-1
19:08:29.877,-1.0,-1.0,-1.0,-1
19:08:30.079,-1.0,-1.0,-1.0,-1
19:08:30.281,-1.0,-1.0,-1.0,-1
