,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
20:31:20.490,20770.0,0.5,0.9,-4.3,0.25,0.2,0.0,4107.0,500.0,1.0,0.1,50.0,50.0,392.0,0.0
20:31:26.440,15650.0,0.9,0.7,-3.1,0.25,0.1,0.0,26452.0,40.0,1.0,0.1,50.0,50.0,480.0,0.0
20:31:32.507,45546.0,0.3,0.3,-2.4,0.25,1.1,0.0,13066.0,60.0,1.0,0.1,50.0,50.0,959.0,0.0
20:31:38.044,62880.0,0.5,0.9,-9.0,0.25,4.7,0.0,26341.0,80.0,1.0,0.1,50.0,50.0,510.0,0.0
20:31:44.101,37186.0,0.7,0.5,-4.4,0.25,2.8,0.0,7522.0,220.0,1.0,0.1,50.0,50.0,387.0,0.0
20:31:49.998,224.0,0.9,0.9,-5.5,0.25,0.8,0.0,6172.0,80.0,1.0,0.1,50.0,50.0,237.0,0.0
20:31:55.053,107225.0,0.3,0.3,3.9,0.25,1.8,0.0,2435.0,440.0,1.0,0.1,50.0,50.0,47.0,0.0
20:32:00.058,29402.0,0.5,0.2,8.7,0.25,0.1,0.0,4463.0,290.0,1.0,0.1,50.0,50.0,58.0,0.0
20:32:05.951,11435.0,0.7,0.5,-4.5,0.25,4.1,0.0,15613.0,420.0,1.0,0.1,50.0,50.0,459.0,0.0
20:32:10.910,44229.0,0.2,0.9,-6.5,0.25,1.2,0.0,3971.0,610.0,1.0,0.1,50.0,50.0,464.0,0.0
20:32:16.428,135729.0,0.3,1.4,-9.8,0.25,0.6,0.0,6682.0,510.0,1.0,0.1,50.0,50.0,894.0,0.0
20:32:22.440,20373.0,0.2,1.4,0.8,0.25,1.5,0.0,9209.0,510.0,1.0,0.1,50.0,50.0,102.0,0.0
20:32:28.522,41361.0,0.5,0.3,-1.1,0.25,1.6,0.0,1338.0,180.0,1.0,0.1,50.0,50.0,401.0,0.0
