,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
01:59:30.274,57577.0,0.7,0.3,-9.2,0.25,1.6,0.0,4073.0,630.0,1.0,0.1,50.0,50.0,36.0,0.0
01:59:36.007,55816.0,0.9,0.2,0.8,0.25,0.8,0.0,201.0,500.0,1.0,0.1,50.0,50.0,533.0,0.0
01:59:41.623,70979.0,0.5,0.9,0.9,0.25,1.9,0.0,1198.0,160.0,1.0,0.1,50.0,50.0,109.0,0.0
01:59:46.310,8396.0,0.5,1.1,-7.9,0.25,2.4,0.0,575.0,160.0,1.0,0.1,50.0,50.0,348.0,0.0
01:59:51.960,74028.0,0.2,1.2,-5.8,0.25,0.1,0.0,87.0,440.0,1.0,0.1,50.0,50.0,112.0,0.0
01:59:56.670,66119.0,0.3,0.7,-8.7,0.25,1.9,0.0,3497.0,410.0,1.0,0.1,50.0,50.0,325.0,0.0
02:00:01.697,7456.0,0.3,1.8,-8.7,0.25,3.9,0.0,9714.0,410.0,1.0,0.1,50.0,50.0,498.0,0.0
02:00:06.335,152214.0,0.3,1.1,-7.6,0.25,0.6,0.0,11455.0,500.0,1.0,0.1,50.0,50.0,350.0,0.0
02:00:11.938,154957.0,0.5,0.4,-7.9,0.25,0.8,0.0,13461.0,310.0,1.0,0.1,50.0,50.0,740.0,0.0
02:00:16.600,82913.0,0.5,0.3,6.6,0.25,2.4,0.0,7196.0,590.0,1.0,0.1,50.0,50.0,715.0,0.0
02:00:21.734,216437.0,0.3,2.0,-7.1,0.25,1.1,0.0,3096.0,80.0,1.0,0.1,50.0,50.0,154.0,0.0
02:00:26.405,115388.0,0.4,0.9,-5.9,0.25,3.2,0.0,2484.0,820.0,1.0,0.1,50.0,50.0,255.0,0.0
02:00:32.146,80144.0,0.4,0.4,-5.9,0.25,3.2,0.0,242.0,310.0,1.0,0.1,50.0,50.0,954.0,0.0
02:00:37.837,47210.0,0.3,0.5,-9.2,0.25,2.2,0.0,5976.0,280.0,1.0,0.1,50.0,50.0,769.0,0.0
02:00:42.586,18946.0,0.5,0.5,-4.7,0.25,3.9,0.0,8223.0,370.0,1.0,0.1,50.0,50.0,470.0,0.0
