,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
02:28:20.740,130863.0,0.9,0.3,-4.7,0.6861332785975824,2.3,30642.291708368917,24784.0,940.0,2.948702155075531,80.55987860220239,144.6847606015492,75.44208839989341,696.0,72.9654741245359
02:28:23.754,194331.0,0.5,0.2,2.2,2.0645896315208248,4.3,20750.023901950048,8991.0,150.0,2.8948702712675205,68.94984860073,168.95449738124324,147.1160142974074,315.0,219.40641625938844
02:28:26.768,216990.0,0.3,0.2,-5.1,1.6320633788073708,0.9,17657.454256538786,13865.0,430.0,2.1127093610093404,10.890027871410863,127.65111979681544,84.89672698143143,397.0,119.51316608217576
02:28:29.776,135196.0,0.7,1.5,-1.1,0.4922568608247732,4.1,5937.906099129884,30166.0,800.0,2.1657971124058744,38.04983662785144,123.79939427508916,142.2656732319772,546.0,191.83511427682615
02:28:32.790,240199.0,0.3,0.2,1.7,0.757487880930482,4.9,8173.858147255369,21654.0,120.0,2.5472573966095267,46.874211380111134,146.91730722486085,130.7162462099935,434.0,116.1576586626258
02:28:35.798,93558.0,0.7,1.4,9.3,0.3645793431415374,2.6,3719.379482025328,30301.0,790.0,2.2796034132667824,16.98682762416038,94.41211912250448,159.57951173934984,346.0,72.62845404783972
02:28:38.810,290790.0,0.5,1.5,3.0,2.4578038650473384,1.7,27362.4283801872,8706.0,120.0,1.3632578612311657,85.9628822663411,193.54687849121024,158.1842480713771,416.0,57.65423129929711
02:28:41.814,40510.0,1.0,1.5,0.7,1.0504843495722327,5.0,25035.384986871657,26065.0,980.0,2.904828225518547,50.75273803367801,154.07095646296398,161.92742170976334,47.0,193.65871887114344
02:28:44.821,85599.0,0.1,1.7,-3.2,1.023276885715779,1.9,15930.450256154903,21609.0,460.0,1.6789448642809377,64.12762165945666,114.26387509291712,108.2773299386092,594.0,246.63131967945256
02:28:47.830,120895.0,1.0,0.7,-7.7,0.5206824098751623,4.7,11213.549531691027,22435.0,820.0,1.180572645406635,36.305988313877386,155.99111701169767,110.71061678003258,563.0,58.0685412646619
02:28:50.841,173421.0,0.7,0.7,-3.7,2.7656854660695704,1.4,11195.874099892271,5602.0,660.0,2.698275123052293,4.62059057090181,50.55985913321652,58.72585046265449,90.0,193.3250215670306
02:28:53.847,29170.0,0.4,0.7,-8.2,2.477021675182428,0.2,16962.521729207743,30222.0,600.0,1.4806290561078246,21.00164165581233,130.37269433876963,180.4638427414473,3.0,245.94494072592863
02:28:56.874,290742.0,0.5,0.8,5.5,2.067354237977248,3.0,7100.131726105335,18834.0,800.0,2.895269962555304,30.652872687911103,65.66951280056739,109.18397173160602,664.0,122.7998214645698
02:28:59.884,216618.0,0.3,0.2,-8.4,1.4887675936776463,3.4,21062.692188079956,7495.0,830.0,1.3275639633861356,95.89879553654926,72.03707465507517,91.22767593105922,102.0,27.372203340214725
02:29:02.894,177609.0,0.1,0.9,-9.8,0.4091835517791125,2.3,20799.815106776543,7121.0,450.0,1.2773941211893252,47.67143010648043,89.80044460328864,123.8787385840409,460.0,11.733596402863329
02:29:05.906,196042.0,0.1,1.1,8.2,1.689923004326752,3.0,3409.589086754225,8989.0,450.0,2.39342182343508,19.87605106174015,133.12485566633725,130.18067711126008,448.0,119.71026980519876
02:29:08.919,221007.0,0.9,0.2,-3.3,1.951739337137789,1.9,26217.993818999745,19522.0,550.0,1.6902087522101916,68.71199597026366,52.21258143198676,101.61091112375026,46.0,226.9068420092352
02:29:11.924,109775.0,0.8,1.3,5.2,1.4391963562222354,0.3,25397.55960679653,8118.0,960.0,1.4964863598574338,3.925682308995152,110.03675255532426,123.61368257075772,175.0,22.516666241149903
02:29:14.937,246503.0,0.8,0.9,-4.6,0.6125128018157597,0.7,30512.480419223502,2725.0,240.0,1.4020157547314036,83.24014212449558,55.29936186209553,187.5726695028419,318.0,206.5626735900828
02:29:17.946,104033.0,0.4,1.9,4.1,2.47998526736463,2.2,10512.368492406298,2395.0,290.0,1.796569861863321,98.43963088660873,101.03306502830542,100.54900691121206,446.0,226.7897002634164
02:29:20.959,235001.0,0.5,1.8,-9.8,1.6185732602083984,3.9,29450.6462683896,9996.0,930.0,2.6947888351658422,0.1203677799481314,119.63281081739768,128.43877052891784,566.0,1.154486845271185
02:29:23.965,64681.0,0.2,1.9,-2.7,2.9059499526765564,1.4,21912.28931239077,8207.0,100.0,2.127261797166418,58.12978437140704,140.21998176168168,169.9108744377382,723.0,123.44592312374562
02:29:26.974,120361.0,0.1,0.5,-0.6,1.1127243384647154,4.8,431.3424954070769,26081.0,510.0,1.5100864708989945,37.090497008786784,151.51180235000868,60.81383450459296,709.0,123.80229435224912
02:29:29.988,286892.0,0.9,1.2,5.1,0.730746394710459,0.5,11994.00198889219,15916.0,440.0,2.0067087182713554,47.51626412738619,80.24171710541006,52.40747013959652,126.0,229.64714350235667
02:29:32.997,127716.0,0.3,0.9,-1.8,2.158817252936453,4.0,25567.93908740593,5987.0,130.0,1.4487416272592577,86.92643137303229,126.41166780715967,63.52730580540694,427.0,103.17129066394538
02:29:36.000,14288.0,1.0,0.8,1.1,1.4364877799504543,1.6,13719.35358314434,18465.0,700.0,1.9519277084370148,48.06543375752266,124.75024148807614,108.6955669478219,849.0,191.6974006793492
02:29:39.007,55744.0,0.5,0.1,1.8,2.8250220311735066,2.6,23828.25247536974,28837.0,170.0,2.847226384927593,58.86215718765253,136.34333381961585,115.80665872767042,791.0,234.17665261000133
02:29:42.014,73970.0,0.7,0.8,-4.5,1.6544741761336743,3.6,2415.803056233572,5991.0,480.0,2.7616884923468934,61.7667756728523,97.56265577038728,176.01930900872196,99.0,221.51718458335168
02:29:45.024,156502.0,0.7,0.6,7.4,1.7544438086220877,1.7,26718.41292352723,25738.0,840.0,2.0246391822331704,52.41146214644901,122.25291503153524,54.07450392337162,4.0,82.54345905350768
02:29:48.029,95633.0,0.4,1.9,-4.9,1.654192827726819,2.6,8702.679437227793,920.0,400.0,2.2230351754115123,91.60293566116778,167.20059024928068,106.53829929755204,632.0,162.50932058249435
02:29:51.038,128154.0,0.4,0.6,1.7,0.3247097805351424,1.2,2276.4810152692426,8634.0,630.0,2.510281804678452,80.68293603211916,120.91782302503452,91.03491183593296,25.0,241.22906804694952
02:29:54.053,240476.0,0.7,0.9,10.0,0.2936959801126796,0.7,2396.114872402989,17377.0,230.0,1.7466134180003523,87.61006399785083,117.52423889063058,99.1483573780444,212.0,227.1046765982175
02:29:57.067,231111.0,0.2,1.7,0.7,2.3489645397426364,4.8,2586.928813494359,7240.0,190.0,1.849706707060028,40.54604261976055,85.86206248282103,177.91437129725583,283.0,180.94838763006427
02:30:00.088,164758.0,0.8,1.5,-0.8,1.763135312160583,2.7,29975.28316757224,3345.0,520.0,2.9213614496091624,80.01709138539286,77.2777288427354,112.6372423639578,950.0,240.03770431939552
02:30:03.092,71015.0,0.3,2.0,-5.6,0.7432323373034502,0.7,4986.267641771783,3803.0,990.0,1.7913077495765997,83.69964378440619,123.77424144791355,107.64726933569688,203.0,155.89110613019184
02:30:06.107,250295.0,0.3,0.1,6.8,1.9912714619178569,1.9,16872.560778975807,25674.0,480.0,2.1724594517112665,41.13652718023336,160.4281145550601,75.9530421065102,868.0,16.793522116968003
02:30:09.114,94909.0,0.2,0.5,-2.6,2.8314165705016694,0.5,31698.699028454583,19895.0,430.0,2.4114991353019244,28.092455424347644,66.89919335596889,139.398890457862,451.0,6.171646844408171
02:30:12.131,271570.0,0.8,1.9,-0.4,0.9686139465207948,4.7,26510.626783362917,27501.0,700.0,1.8300244087391293,60.06816218300399,56.31947543467761,70.97463611721676,373.0,178.9159548725181
02:30:15.143,252927.0,0.8,0.5,4.2,2.918178342530947,1.7,25737.81443454153,8749.0,740.0,2.988776792471572,11.941402510199378,122.85799566287972,197.82052116486727,416.0,224.68571367915405
02:30:18.158,288617.0,0.9,1.5,9.5,2.0729049930868326,3.0,4125.210263940958,3535.0,210.0,2.3532201831084887,43.40419419036452,174.6393878948336,109.9126742661898,406.0,15.287802517651691
02:30:21.169,169675.0,0.7,1.0,-1.0,1.561865853718635,0.6,26977.60695683436,28370.0,140.0,2.885544781143085,80.52523300298199,184.11346307988836,193.9400451572099,734.0,70.42360319655863
