,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
02:36:54.541,283390.0,0.7,0.1,3.4,1.4071604838380272,4.5,23145.919456919088,23532.0,600.0,1.4027191775182408,93.19338989845063,144.05357044807192,185.91325179528556,307.0,49.19295711877648
02:36:57.553,61489.0,0.7,0.4,0.9,1.1384136491708814,2.1,5630.3769565121875,31301.0,140.0,2.008283453014586,69.69298901159006,160.2512688564645,56.63847022205986,851.0,95.8920180122085
02:37:00.559,12938.0,0.1,1.0,-4.9,2.5473674096814936,3.9,2032.76305414579,27031.0,890.0,2.335601579515477,28.41746063757143,132.6215811686484,100.83768621549754,381.0,142.21498751673855
02:37:03.568,144769.0,0.8,1.0,2.9,1.451984356120747,2.1,14423.442375740638,19639.0,530.0,1.9578496094884283,6.573317378572311,90.84193533740009,94.98429604580866,211.0,151.63882858615017
02:37:06.573,76632.0,0.8,0.3,-7.3,0.6872725760976757,4.7,18377.12652490288,18213.0,1000.0,1.7012083013209534,49.147664209657094,122.37609716816449,94.21137282479592,620.0,61.580068270888
02:37:09.586,260616.0,0.2,2.0,5.8,2.754087484872727,0.3,22665.069854268928,26797.0,220.0,1.3428889940568336,99.82768479394127,120.48441334870328,123.8054816952555,237.0,194.50840414095606
02:37:12.596,215257.0,0.2,0.8,-0.2,2.972112978653093,2.0,26387.682448524345,17367.0,200.0,1.4892485907290278,67.15092219382994,105.7097935986827,60.99235921638446,223.0,183.105254503808
02:37:15.609,215785.0,0.4,0.4,2.0,1.5569495170696253,1.1,4633.3546626710195,26910.0,840.0,2.657455261161044,77.97279671411388,119.83224857950863,169.53929891484302,838.0,75.32975692605613
02:37:18.622,232618.0,0.3,0.7,-1.9,1.8275681356509232,2.8,1833.877509353497,7095.0,580.0,2.1210482950389022,82.35968162031274,107.7003328082962,130.39539526393884,657.0,79.81657361439828
02:37:21.636,248886.0,0.5,0.7,-3.5,0.4111550336347432,2.2,9022.304288167905,11015.0,160.0,1.8564305827010614,22.547390740807558,193.0876082912349,172.89130024924884,743.0,19.131524418488755
