time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
03:17:50,1500.0,-0.0007040643249638379,0.0009459284483455122,0.023508029989898205,0.0002321709180250764,0.0002743456279858947,0.0017875126795843244,-35.3632621,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.5,0.5,STABILIZE
03:17:59,244187.0,-0.0010799865995068103,0.0010105448309332132,0.021393208764493465,0.000265215479885228,0.0002727118117036298,0.0015167523524723947,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,0.0,1.25,-1000.0,0.75,0.75,0.75,AUTO
03:18:00,244187.0,-0.0009528846421744674,0.001067748700734228,0.021236566826701164,0.00022264296421781182,0.0002287027018610388,0.0015222691581584513,-35.36326215,149.1652375,0.0,-0.5,0.5,1.5,0.0,1.5,-1000.0,0.0,0.5,0.0,AUTO
03:18:02,204828.5,-0.00044643737783189863,0.0015532345278188586,0.020833413116633892,0.00028579909121617675,0.0002845463459379971,0.001458073384128511,-35.3632621,149.1652374,0.0,0.0,0.0,0.5,0.0,1.0,-1000.0,0.5,0.5,0.5,AUTO
03:18:04,165470.0,0.01336489588720724,2.9074493795633316e-05,0.0199388787150383,0.01975264260545373,-0.0017814524471759796,0.0014859375078231096,-35.36326205,149.1652375,1028.5,0.5,3.0,-129.5,0.0,0.0,-1054.0,20.5,-1.0,1.0,AUTO
03:18:05,173144.0,0.049928078427910805,-0.005874766851775348,0.011441753711551428,0.018868910148739815,0.006627352442592382,-0.01671218266710639,-35.363261824999995,149.16523875000001,2513.5,5.0,28.25,-147.75,0.25,-4.5,-998.5,19.25,8.0,-17.0,AUTO
03:18:06,173144.0,-0.023844771087169647,0.013758482877165079,-0.056752368807792664,-0.11189699172973633,0.028827844187617302,-0.06698638387024403,-35.3632611,149.16524315,4038.5,4.5,36.5,-146.5,3.5,-9.5,-1001.0,-111.0,29.5,-66.5,AUTO
03:18:08,232773.0,-0.008418615907430649,0.005330783664248884,-0.10224886611104012,0.0668465793132782,0.008139211917296052,-0.001695192651823163,-35.36326175,149.1652391,7108.5,-12.5,-56.0,-150.5,-4.5,13.0,-1002.5,67.0,8.5,-2.0,AUTO
03:18:10,292402.0,0.025264984229579568,-0.03260262310504913,-0.052512047812342644,-0.051634286530315876,-0.00827106088399887,0.020830504596233368,-35.36326415,149.16523375,10219.0,7.5,18.5,-149.5,2.0,-3.0,-1000.5,-50.0,-7.5,20.5,AUTO
03:18:11,52077.0,-0.022265401668846607,0.0029708267320529558,-0.09547763876616955,-0.002040017396211624,0.04193867277354002,-0.0745274918153882,-35.363262275,149.165235575,11758.5,29.25,7.25,-151.5,-3.5,-5.5,-1004.0,-1.5,42.0,-74.25,AUTO
