,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG
13:31:49.284,175989.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,1584.0,2410.0,0.0,50.0,3.5,0.0,0.0
13:31:53.322,104849.0,0.25,0.1,1000.0,30.0,5.1,9300.0,1000.0,20147.0,1130.0,0.0,1000.0,4.2,0.0,0.0
13:31:57.342,61451.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,5835.0,860.0,0.0,650.0,7.4,0.0,0.0
13:32:01.369,237196.0,0.25,0.1,1000.0,30.0,3.3,17300.0,1000.0,28793.0,1250.0,0.0,450.0,9.9,0.0,0.0
13:32:05.400,201022.0,0.25,0.1,1000.0,30.0,3.8,18000.0,1000.0,31190.0,0.0,0.0,1350.0,10.1,0.0,0.0
13:32:09.439,281723.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,17318.0,1740.0,0.0,1300.0,9.1,0.0,0.0
13:32:13.470,300000.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,30209.0,1760.0,0.0,1200.0,1.1,0.0,0.0
13:32:17.502,300000.0,0.25,0.1,1000.0,30.0,4.6,4100.0,1000.0,0.0,1890.0,0.0,250.0,4.1,0.0,0.0
13:32:21.022,117271.0,0.25,0.1,1000.0,30.0,3.1,500.0,1000.0,24999.0,1150.0,0.0,1350.0,10.1,0.0,0.0
13:32:25.053,300000.0,0.25,0.1,1000.0,30.0,4.7,500.0,1000.0,27511.0,1100.0,0.0,1650.0,1.9,0.0,0.0
13:32:29.068,73220.0,0.25,0.1,1000.0,30.0,0.7,18000.0,1000.0,6847.0,0.0,0.0,0.0,4.8,0.0,0.0
13:32:33.109,240912.0,0.25,0.1,1000.0,30.0,3.5,1800.0,1000.0,2148.0,760.0,0.0,850.0,10.1,0.0,0.0
13:32:37.136,195295.0,0.25,0.1,1000.0,30.0,5.1,11300.0,1000.0,23260.0,0.0,0.0,600.0,0.5,0.0,0.0
13:32:41.164,70242.0,0.25,0.1,1000.0,30.0,3.8,18000.0,1000.0,2871.0,1710.0,0.0,1100.0,0.5,0.0,0.0
13:32:45.174,200.0,0.25,0.1,1000.0,30.0,4.5,13100.0,1000.0,0.0,3000.0,0.0,0.0,9.8,0.0,0.0
13:32:49.214,199558.0,0.25,0.1,1000.0,30.0,1.2,15200.0,1000.0,0.0,3000.0,0.0,0.0,10.1,0.0,0.0
13:32:53.230,200.0,0.25,0.1,1000.0,30.0,4.2,18000.0,1000.0,0.0,1810.0,0.0,1550.0,8.4,0.0,0.0
13:32:57.251,113953.0,0.25,0.1,1000.0,30.0,0.3,8700.0,1000.0,23743.0,2250.0,0.0,200.0,1.8,0.0,0.0
13:33:01.278,224571.0,0.25,0.1,1000.0,30.0,3.5,12200.0,1000.0,27728.0,630.0,0.0,1050.0,6.3,0.0,0.0
13:33:05.301,91986.0,0.25,0.1,1000.0,30.0,2.5,9700.0,1000.0,0.0,2890.0,0.0,550.0,10.1,0.0,0.0
13:33:09.325,158712.0,0.25,0.1,1000.0,30.0,0.0,14100.0,1000.0,25597.0,1770.0,0.0,1000.0,8.7,0.0,0.0
13:33:13.360,254121.0,0.25,0.1,1000.0,30.0,0.0,5100.0,1000.0,1800.0,0.0,0.0,1000.0,0.5,0.0,0.0
