,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG
11:41:03.933,32123.0,0.25,0.1,1000.0,30.0,3.5,1900.0,1000.0,2096.0,740.0,0.0,1650.0,5.4,0.0,0.0
11:41:08.961,2069.0,0.25,0.1,1000.0,30.0,3.2,2800.0,1000.0,5794.0,460.0,0.0,1300.0,5.4,0.0,0.0
11:41:13.927,116371.0,0.25,0.1,1000.0,30.0,0.8,1300.0,1000.0,240.0,780.0,0.0,1150.0,3.3,0.0,0.0
11:41:19.378,45263.0,0.25,0.1,1000.0,30.0,2.5,6600.0,1000.0,18250.0,1380.0,0.0,850.0,1.7,0.0,0.0
11:41:24.289,32801.0,0.25,0.1,1000.0,30.0,1.3,4600.0,1000.0,22726.0,690.0,0.0,900.0,1.1,0.0,0.0
11:41:29.238,99209.0,0.25,0.1,1000.0,30.0,1.9,4700.0,1000.0,9079.0,790.0,0.0,1900.0,1.1,0.0,0.0
11:41:35.349,32430.0,0.25,0.1,1000.0,30.0,0.1,4600.0,1000.0,10204.0,2360.0,0.0,1400.0,1.0,0.0,0.0
11:41:41.161,135524.0,0.25,0.1,1000.0,30.0,2.2,2100.0,1000.0,8782.0,220.0,0.0,450.0,1.6,0.0,0.0
11:41:47.077,7714.0,0.25,0.1,1000.0,30.0,3.1,800.0,1000.0,30066.0,150.0,0.0,1250.0,9.0,0.0,0.0
11:41:52.948,42572.0,0.25,0.1,1000.0,30.0,0.8,15700.0,1000.0,325.0,860.0,0.0,750.0,3.1,0.0,0.0
11:41:58.011,26807.0,0.25,0.1,1000.0,30.0,0.8,12500.0,1000.0,1423.0,1310.0,0.0,500.0,1.2,0.0,0.0
11:42:03.004,187128.0,0.25,0.1,1000.0,30.0,0.4,3100.0,1000.0,5724.0,330.0,0.0,1300.0,3.5,0.0,0.0
11:42:08.821,55913.0,0.25,0.1,1000.0,30.0,0.6,2900.0,1000.0,6523.0,2010.0,0.0,1300.0,6.8,0.0,0.0
11:42:13.758,109206.0,0.25,0.1,1000.0,30.0,3.5,4700.0,1000.0,8103.0,260.0,0.0,150.0,6.0,0.0,0.0
11:42:19.272,114974.0,0.25,0.1,1000.0,30.0,2.9,4200.0,1000.0,21812.0,3000.0,0.0,1500.0,1.7,0.0,0.0
11:42:25.168,213757.0,0.25,0.1,1000.0,30.0,0.3,4100.0,1000.0,25729.0,430.0,0.0,200.0,4.0,0.0,0.0
11:42:31.116,106663.0,0.25,0.1,1000.0,30.0,0.4,4100.0,1000.0,8532.0,1130.0,0.0,1900.0,2.5,0.0,0.0
11:42:37.079,30550.0,0.25,0.1,1000.0,30.0,0.6,1200.0,1000.0,23435.0,30.0,0.0,700.0,1.1,0.0,0.0
11:42:42.985,43635.0,0.25,0.1,1000.0,30.0,1.6,3200.0,1000.0,23262.0,1590.0,0.0,500.0,3.1,0.0,0.0
11:42:47.862,272390.0,0.25,0.1,1000.0,30.0,5.0,12800.0,1000.0,31130.0,2690.0,0.0,1400.0,2.4,0.0,0.0
11:42:53.368,75985.0,0.25,0.1,1000.0,30.0,1.2,2300.0,1000.0,9676.0,190.0,0.0,450.0,4.2,0.0,0.0
11:42:59.166,19101.0,0.25,0.1,1000.0,30.0,3.4,9700.0,1000.0,16935.0,430.0,0.0,450.0,2.8,0.0,0.0
11:43:05.134,111752.0,0.25,0.1,1000.0,30.0,3.1,6600.0,1000.0,178.0,910.0,0.0,100.0,8.7,0.0,0.0
11:43:11.083,85056.0,0.25,0.1,1000.0,30.0,0.6,2400.0,1000.0,16779.0,660.0,0.0,1400.0,0.7,0.0,0.0
11:43:17.046,284592.0,0.25,0.1,1000.0,30.0,3.5,900.0,1000.0,22345.0,1870.0,0.0,250.0,3.5,0.0,0.0
11:43:23.012,130603.0,0.25,0.1,1000.0,30.0,1.5,4000.0,1000.0,4289.0,30.0,0.0,150.0,5.1,0.0,0.0
11:43:29.086,160983.0,0.25,0.1,1000.0,30.0,0.2,10400.0,1000.0,84.0,1770.0,0.0,750.0,9.4,0.0,0.0
11:43:35.075,183304.0,0.25,0.1,1000.0,30.0,3.9,17200.0,1000.0,2993.0,570.0,0.0,100.0,0.8,0.0,0.0
11:43:41.080,68898.0,0.25,0.1,1000.0,30.0,0.6,9700.0,1000.0,812.0,290.0,0.0,950.0,2.7,0.0,0.0
11:43:46.799,30042.0,0.25,0.1,1000.0,30.0,4.2,2800.0,1000.0,11535.0,850.0,0.0,1750.0,2.5,0.0,0.0
11:43:51.746,27186.0,0.25,0.1,1000.0,30.0,4.7,5600.0,1000.0,15507.0,1010.0,0.0,250.0,4.4,0.0,0.0
11:43:57.280,295134.0,0.25,0.1,1000.0,30.0,0.3,2300.0,1000.0,16160.0,2590.0,0.0,700.0,0.8,0.0,0.0
11:44:03.128,33804.0,0.25,0.1,1000.0,30.0,0.6,3300.0,1000.0,19351.0,920.0,0.0,1900.0,2.0,0.0,0.0
11:44:09.135,225342.0,0.25,0.1,1000.0,30.0,0.8,6100.0,1000.0,19671.0,1040.0,0.0,350.0,2.9,0.0,0.0
11:44:15.194,8770.0,0.25,0.1,1000.0,30.0,0.2,11800.0,1000.0,27577.0,210.0,0.0,100.0,4.4,0.0,0.0
11:44:21.230,151288.0,0.25,0.1,1000.0,30.0,0.1,13300.0,1000.0,5665.0,610.0,0.0,1650.0,5.1,0.0,0.0
11:44:27.375,229009.0,0.25,0.1,1000.0,30.0,1.6,800.0,1000.0,29115.0,330.0,0.0,350.0,1.1,0.0,0.0
11:44:33.368,126288.0,0.25,0.1,1000.0,30.0,2.1,4100.0,1000.0,19334.0,1570.0,0.0,900.0,2.3,0.0,0.0
11:44:39.368,250018.0,0.25,0.1,1000.0,30.0,3.4,1900.0,1000.0,19462.0,1140.0,0.0,2000.0,2.7,0.0,0.0
11:44:45.290,28373.0,0.25,0.1,1000.0,30.0,0.8,12200.0,1000.0,487.0,220.0,0.0,1500.0,2.7,0.0,0.0
11:44:51.313,119814.0,0.25,0.1,1000.0,30.0,1.9,9200.0,1000.0,17313.0,180.0,0.0,200.0,0.8,0.0,0.0
11:44:57.254,39372.0,0.25,0.1,1000.0,30.0,1.9,14300.0,1000.0,3504.0,750.0,0.0,950.0,4.0,0.0,0.0
11:45:03.209,77540.0,0.25,0.1,1000.0,30.0,4.1,6400.0,1000.0,5311.0,960.0,0.0,150.0,1.4,0.0,0.0
11:45:09.260,290607.0,0.25,0.1,1000.0,30.0,3.9,7400.0,1000.0,8620.0,2690.0,0.0,850.0,4.6,0.0,0.0
11:45:15.143,159632.0,0.25,0.1,1000.0,30.0,1.5,4600.0,1000.0,26320.0,1830.0,0.0,250.0,1.1,0.0,0.0
11:45:21.122,4259.0,0.25,0.1,1000.0,30.0,4.5,7100.0,1000.0,1943.0,2750.0,0.0,450.0,5.4,0.0,0.0
11:45:27.103,7000.0,0.25,0.1,1000.0,30.0,3.8,5100.0,1000.0,7782.0,410.0,0.0,350.0,6.0,0.0,0.0
11:45:33.074,47563.0,0.25,0.1,1000.0,30.0,1.0,11100.0,1000.0,9461.0,2680.0,0.0,150.0,9.8,0.0,0.0
11:45:39.191,1602.0,0.25,0.1,1000.0,30.0,1.6,2600.0,1000.0,14615.0,1030.0,0.0,450.0,2.7,0.0,0.0
11:45:45.160,8812.0,0.25,0.1,1000.0,30.0,2.1,6100.0,1000.0,19560.0,1320.0,0.0,350.0,7.4,0.0,0.0
11:45:51.014,197059.0,0.25,0.1,1000.0,30.0,4.1,3600.0,1000.0,25719.0,1710.0,0.0,350.0,1.0,0.0,0.0
11:45:56.941,76254.0,0.25,0.1,1000.0,30.0,0.3,15200.0,1000.0,23691.0,1500.0,0.0,750.0,5.3,0.0,0.0
11:46:01.823,3868.0,0.25,0.1,1000.0,30.0,1.1,1100.0,1000.0,13877.0,1950.0,0.0,1500.0,1.4,0.0,0.0
11:46:07.342,5814.0,0.25,0.1,1000.0,30.0,1.1,600.0,1000.0,2399.0,1130.0,0.0,1550.0,6.0,0.0,0.0
11:46:13.428,145945.0,0.25,0.1,1000.0,30.0,0.8,3400.0,1000.0,21243.0,470.0,0.0,250.0,6.4,0.0,0.0
11:46:19.368,132193.0,0.25,0.1,1000.0,30.0,3.4,4600.0,1000.0,9011.0,1090.0,0.0,1500.0,1.6,0.0,0.0
