,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG
04:06:29.232,17169.0,0.25,0.1,1000.0,30.0,0.6,12700.0,1000.0,6963.0,1290.0,0.0,250.0,1.6,0.0,0.0
04:06:34.822,32400.0,0.25,0.1,1000.0,30.0,2.5,1900.0,1000.0,936.0,1000.0,0.0,1150.0,2.4,0.0,0.0
04:06:39.528,111162.0,0.25,0.1,1000.0,30.0,1.9,8700.0,1000.0,4343.0,60.0,0.0,250.0,6.7,0.0,0.0
04:06:44.717,85991.0,0.25,0.1,1000.0,30.0,1.6,10100.0,1000.0,8421.0,780.0,0.0,1250.0,1.7,0.0,0.0
04:06:49.389,149072.0,0.25,0.1,1000.0,30.0,2.4,12100.0,1000.0,968.0,1540.0,0.0,1550.0,0.8,0.0,0.0
04:06:55.071,22857.0,0.25,0.1,1000.0,30.0,2.2,14300.0,1000.0,19480.0,470.0,0.0,350.0,4.4,0.0,0.0
04:07:00.603,69435.0,0.25,0.1,1000.0,30.0,3.1,5300.0,1000.0,11374.0,850.0,0.0,900.0,3.3,0.0,0.0
04:07:05.338,60718.0,0.25,0.1,1000.0,30.0,2.4,6100.0,1000.0,18984.0,660.0,0.0,650.0,1.1,0.0,0.0
04:07:11.020,49527.0,0.25,0.1,1000.0,30.0,0.6,8400.0,1000.0,20092.0,2520.0,0.0,500.0,5.1,0.0,0.0
04:07:16.556,125034.0,0.25,0.1,1000.0,30.0,1.3,5100.0,1000.0,18687.0,920.0,0.0,350.0,1.4,0.0,0.0
04:07:21.192,217022.0,0.25,0.1,1000.0,30.0,0.8,10100.0,1000.0,26723.0,130.0,0.0,650.0,1.9,0.0,0.0
04:07:26.907,121078.0,0.25,0.1,1000.0,30.0,0.1,9600.0,1000.0,12204.0,310.0,0.0,200.0,2.8,0.0,0.0
04:07:31.615,253532.0,0.25,0.1,1000.0,30.0,3.4,2300.0,1000.0,4804.0,1870.0,0.0,850.0,2.3,0.0,0.0
04:07:36.750,25222.0,0.25,0.1,1000.0,30.0,3.4,3600.0,1000.0,29747.0,940.0,0.0,450.0,2.7,0.0,0.0
04:07:41.486,7320.0,0.25,0.1,1000.0,30.0,0.8,2100.0,1000.0,9655.0,20.0,0.0,1500.0,1.7,0.0,0.0
04:07:47.204,110849.0,0.25,0.1,1000.0,30.0,0.1,6800.0,1000.0,10007.0,860.0,0.0,900.0,4.4,0.0,0.0
04:07:52.805,35629.0,0.25,0.1,1000.0,30.0,4.7,800.0,1000.0,16344.0,860.0,0.0,950.0,1.7,0.0,0.0
04:07:57.492,15823.0,0.25,0.1,1000.0,30.0,3.9,11500.0,1000.0,10461.0,1930.0,0.0,200.0,1.4,0.0,0.0
04:08:03.181,51668.0,0.25,0.1,1000.0,30.0,4.4,5100.0,1000.0,14461.0,810.0,0.0,700.0,7.1,0.0,0.0
04:08:08.769,80074.0,0.25,0.1,1000.0,30.0,2.4,2300.0,1000.0,23900.0,2110.0,0.0,100.0,4.6,0.0,0.0
04:08:13.487,111019.0,0.25,0.1,1000.0,30.0,0.4,2100.0,1000.0,21330.0,670.0,0.0,100.0,2.4,0.0,0.0
04:08:19.217,523.0,0.25,0.1,1000.0,30.0,0.3,10100.0,1000.0,23680.0,1440.0,0.0,650.0,7.8,0.0,0.0
04:08:24.880,43688.0,0.25,0.1,1000.0,30.0,1.8,1100.0,1000.0,11926.0,1290.0,0.0,600.0,2.9,0.0,0.0
04:08:29.565,111119.0,0.25,0.1,1000.0,30.0,1.1,3700.0,1000.0,5169.0,1030.0,0.0,1750.0,2.5,0.0,0.0
04:08:34.802,239703.0,0.25,0.1,1000.0,30.0,0.6,16800.0,1000.0,491.0,620.0,0.0,100.0,1.1,0.0,0.0
04:08:39.547,147943.0,0.25,0.1,1000.0,30.0,0.8,7900.0,1000.0,6449.0,720.0,0.0,250.0,6.4,0.0,0.0
04:08:44.735,40809.0,0.25,0.1,1000.0,30.0,1.1,12600.0,1000.0,11018.0,520.0,0.0,150.0,5.1,0.0,0.0
04:08:49.411,51021.0,0.25,0.1,1000.0,30.0,2.4,2600.0,1000.0,14188.0,1310.0,0.0,500.0,5.6,0.0,0.0
04:08:55.040,52955.0,0.25,0.1,1000.0,30.0,0.8,6600.0,1000.0,4751.0,790.0,0.0,650.0,5.3,0.0,0.0
04:09:00.656,202048.0,0.25,0.1,1000.0,30.0,3.4,1600.0,1000.0,12339.0,380.0,0.0,500.0,3.5,0.0,0.0
04:09:05.424,159713.0,0.25,0.1,1000.0,30.0,1.6,3700.0,1000.0,10617.0,380.0,0.0,250.0,6.8,0.0,0.0
04:09:11.192,48634.0,0.25,0.1,1000.0,30.0,2.5,9200.0,1000.0,2977.0,1320.0,0.0,250.0,1.4,0.0,0.0
04:09:16.977,16116.0,0.25,0.1,1000.0,30.0,0.4,13300.0,1000.0,1606.0,410.0,0.0,200.0,1.1,0.0,0.0
04:09:21.805,229824.0,0.25,0.1,1000.0,30.0,1.3,9400.0,1000.0,550.0,90.0,0.0,100.0,3.3,0.0,0.0
04:09:27.105,218800.0,0.25,0.1,1000.0,30.0,1.9,6800.0,1000.0,21139.0,1380.0,0.0,1250.0,4.0,0.0,0.0
04:09:32.885,10660.0,0.25,0.1,1000.0,30.0,5.0,8100.0,1000.0,5369.0,380.0,0.0,1150.0,1.1,0.0,0.0
04:09:37.596,60887.0,0.25,0.1,1000.0,30.0,3.2,11100.0,1000.0,5961.0,360.0,0.0,100.0,7.1,0.0,0.0
04:09:42.667,37961.0,0.25,0.1,1000.0,30.0,3.2,6100.0,1000.0,10259.0,530.0,0.0,250.0,1.5,0.0,0.0
04:09:47.433,126292.0,0.25,0.1,1000.0,30.0,2.5,2100.0,1000.0,15218.0,440.0,0.0,450.0,2.7,0.0,0.0
04:09:53.090,91962.0,0.25,0.1,1000.0,30.0,3.2,6900.0,1000.0,8601.0,60.0,0.0,650.0,1.2,0.0,0.0
04:09:58.893,126143.0,0.25,0.1,1000.0,30.0,4.5,10900.0,1000.0,15096.0,1680.0,0.0,200.0,3.1,0.0,0.0
04:10:03.584,89907.0,0.25,0.1,1000.0,30.0,1.1,6100.0,1000.0,4781.0,410.0,0.0,350.0,1.5,0.0,0.0
