time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
04:17:42,1500.0,STABILIZE,-0.0005658199661411345,0.0010611469042487442,0.02592706773430109,0.00022116412583272904,0.0002780293580144644,0.002029998111538589,-35.3632622,149.1652375,8.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.5,0.0
04:17:50,1500.0,STABILIZE,-0.00045711631537415087,0.000967417552601546,0.0229499451816082,0.00022461387561634183,0.00037362793227657676,0.0016189494635909796,-35.3632622,149.1652375,0.0,-1.0,2.0,1.0,0.0,1.0,-1000.0,0.0,1.0,1.0
04:17:56,1500.0,AUTO,-0.0007990398735273629,0.0009993462008424103,0.021392148919403553,0.0001796918804757297,0.0002985251194331795,0.0013998868525959551,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.5,-1000.0,0.5,0.5,0.5
04:17:58,55276.5,AUTO,-0.0005351161526050419,0.0011139896232634783,0.020973720587790012,0.0003187935217283666,0.000313308002660051,0.0015263542300090194,-35.3632621,149.1652375,0.0,0.0,0.0,1.0,0.0,1.5,-1000.0,1.0,0.0,1.0
04:18:00,109053.0,AUTO,-7.79726560722338e-05,0.0016648246673867106,0.02047371305525303,0.00033208352397195995,0.00026855585747398436,0.001346360833849758,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,0.0,1.5,-1000.0,1.0,0.5,0.0
04:18:02,109053.0,AUTO,0.02764288429170847,-0.0017004282271955162,0.020077639259397984,0.04606027156114578,-0.007584926905110478,0.0024053497472777963,-35.363262,149.1652376,1571.5,0.5,7.0,-145.5,0.0,-0.5,-1012.5,46.0,-6.5,1.5
04:18:03,156226.0,AUTO,0.02022357942769304,0.011851429240778089,-0.0380443335743621,-0.09147686218784656,0.02743422274943441,-0.06817978387698531,-35.3632613,149.16524165,3487.5,6.25,48.75,-146.0,3.0,-10.0,-998.5,-90.5,28.25,-68.25
04:18:04,156226.0,AUTO,-0.03771713376045227,0.01570112770423293,-0.08309957385063171,-0.030117319896817207,-0.018971826415508986,-0.04125128500163555,-35.3632609,149.1652453,4631.0,-1.5,30.5,-149.0,4.0,-7.0,-1003.5,-28.5,-18.0,-41.0
04:18:06,156226.0,AUTO,-0.0032446389086544514,-0.0038657980039715767,-0.08973763138055801,0.06426341831684113,0.014277921989560127,0.003640123875811696,-35.3632613,149.16524015,7709.5,-0.5,-57.5,-150.5,-7.5,12.0,-1003.0,64.5,14.5,2.5
04:18:08,226048.0,AUTO,0.014062489615753293,0.0009941778844222426,-0.0874074250459671,-0.0625362005084753,-0.01765711046755314,0.0007434615399688482,-35.36326215,149.1652349,10820.5,-6.5,18.5,-149.0,3.0,-1.5,-1000.5,-61.5,-16.5,0.5
04:18:10,295870.0,AUTO,-0.0013313631061464548,-0.0008017187865334563,-0.1261008195579052,0.012968722730875015,0.007425918476656079,-0.02287597395479679,-35.363262250000005,149.16523635,13921.0,3.5,-3.5,-152.0,-1.5,0.0,-1000.0,13.5,8.0,-23.0
04:18:12,295870.0,AUTO,0.008726332802325487,0.006285283016040921,-0.1626211181282997,-0.0004750204097945243,-0.0007830678950995207,-0.013393655885010958,-35.36326165,149.1652355,17042.0,-0.5,2.5,-152.0,0.0,0.0,-1000.0,0.5,0.0,-13.0
04:18:13,30706.0,AUTO,0.00476967531722039,0.004763233358971775,-0.18092240765690804,-0.0014880400558467954,-0.0004192272244836204,-0.016483671497553587,-35.3632616,149.16523575,18984.0,-2.25,5.75,-152.0,0.0,0.0,-1000.0,-0.5,0.25,-16.25
04:18:14,30706.0,AUTO,-0.008169952935228745,0.0038890501794715724,-0.19649515549341837,-0.05335522427534064,0.00019773740010956922,-0.020173865060011547,-35.36326163333334,149.16523606666667,20346.0,-3.3333333333333335,4.0,-151.66666666666666,0.0,0.0,-997.0,-52.0,0.3333333333333333,-20.0
04:18:16,30706.0,AUTO,0.05048801936209202,-0.04257913492619991,0.0821976512670517,0.04316119011491537,-0.014936262043192983,-0.04686051234602928,-35.36326455,149.16523180000002,23002.5,-17.0,-12.0,-96.0,1.0,5.5,-962.5,43.5,-14.0,-46.5
04:18:18,45077.5,AUTO,0.0006008560303598642,0.010224095545709133,0.05943579412996769,-0.02361754048615694,0.017837524879723787,0.0010720969294197857,-35.3632628,149.16523645,24342.0,18.0,34.5,-41.0,0.0,-9.0,-976.5,-22.0,18.5,0.5
04:18:20,59449.0,AUTO,-0.039884405210614204,0.0016768835484981537,0.05177944898605347,-0.5930115282535553,-0.10078179836273193,-0.009096421767026186,-35.36326115,149.1652398,24592.5,-4.0,-10.0,20.0,0.0,-19.5,-994.0,-591.5,-99.0,-9.0
04:18:22,59449.0,AUTO,0.019935677759349346,-0.1156124584376812,-0.10778127238154411,0.4173586964607239,-0.04495767690241337,-0.06021492090076208,-35.363254049999995,149.16523545,24384.5,109.0,-24.0,1.0,-23.5,7.5,-1004.0,418.5,-43.5,-59.5
04:18:23,22234.0,AUTO,0.0316141452640295,-0.17444892972707748,-0.1022009588778019,0.0907370001077652,-0.04302763333544135,0.00614479180512717,-35.3632346,149.16523087500002,24313.75,241.5,-37.5,6.0,-51.25,-21.25,-1003.75,91.5,-41.75,6.0
04:18:24,22234.0,AUTO,0.04272908717393875,-0.18575524538755417,-0.1077277921140194,-0.16178529523313046,0.00892978603951633,0.011867526220157743,-35.363215749999995,149.16522695,24245.5,332.5,-48.0,7.0,-70.0,-41.5,-1005.5,-160.5,10.0,11.5
04:18:26,22234.0,AUTO,0.05826759710907936,-0.21599064767360687,-0.11192674189805984,0.012603132287040353,0.052653081715106964,0.0005662522744387388,-35.3631369,149.16521254999998,23983.0,552.0,-74.0,15.0,-113.5,-57.0,-1007.0,13.0,53.0,0.5
04:18:28,28024.5,AUTO,0.06963799521327019,-0.16277439147233963,-0.11582956090569496,0.009463666821829975,0.024451994337141514,-0.0031127575784921646,-35.3630255,149.16519355,23748.5,665.5,-95.5,11.0,-129.5,-74.5,-984.0,10.0,25.0,-3.0
04:18:30,33815.0,AUTO,0.08047622069716454,-0.13693927228450775,-0.12075875699520111,0.0032804105430841446,-0.015433880500495434,-0.004522992530837655,-35.3629033,149.16517184999998,23450.0,673.5,-96.5,18.0,-138.0,-67.0,-978.0,4.5,-14.5,-4.0
04:18:32,33815.0,AUTO,0.08399505168199539,-0.0615821648389101,-0.12196822836995125,-0.006324118468910456,0.04715866409242153,-0.004659854574128985,-35.3627836,149.16515045,23127.5,625.5,-88.5,8.5,-126.0,-84.0,-988.0,-5.0,48.0,-3.5
04:18:33,15665.0,AUTO,0.07275919616222382,0.0018575533758848906,-0.12272003665566444,0.070770263671875,0.04301348188892007,-0.018774933414533734,-35.362718275,149.165139275,22958.0,520.0,-71.75,13.25,-108.0,-65.75,-1001.0,72.0,43.75,-18.5
04:18:34,15665.0,AUTO,0.06954708136618137,0.036005161702632904,-0.12110147625207901,0.0007067471742630005,0.053240057080984116,0.03006621729582548,-35.3626855,149.1651339,22830.5,436.0,-59.5,13.0,-89.0,-77.0,-1009.5,0.5,53.5,30.0
04:18:36,15665.0,AUTO,0.039012908935546875,0.06866716593503952,-0.12191206589341164,-0.5971102118492126,0.027019664645195007,-0.0022870167158544064,-35.362627950000004,149.16512345,22602.0,208.5,-22.0,3.5,-45.0,-54.5,-1014.5,-595.5,27.5,-2.0
04:18:38,15665.0,AUTO,0.018346525728702545,0.04116244241595268,-0.1256163977086544,0.10659060627222061,-0.018181057646870613,-0.005079735303297639,-35.3626082,149.16511945,22546.5,42.5,7.0,0.0,-9.0,12.5,-1004.5,109.0,-17.0,-4.0
04:18:39,15296.0,AUTO,0.008875196857843548,0.01417454588226974,-0.12876201048493385,-0.05982749164104462,-0.02858828194439411,0.000677467614877969,-35.3626067,149.16511885,22561.75,4.0,14.0,-1.0,0.25,-1.0,-1003.75,-58.0,-27.0,1.25
04:18:40,15296.0,RTL,0.0027434126241132617,-0.0071803194005042315,-0.1297409012913704,-0.4268840402364731,-0.021959999576210976,0.003217760589905083,-35.362607,149.16511895000002,22573.0,0.5,12.5,-0.5,2.0,-25.5,-996.0,-425.0,-20.5,3.5
04:18:42,15296.0,RTL,-0.0012834965746151283,0.000713624176569283,-0.13047204166650772,0.15548453480005264,-0.0014160090941004455,-0.003778521087951958,-35.3626072,149.1651205,22729.0,3.5,2.0,-28.5,1.0,-4.0,-1038.0,157.0,-0.5,-3.0
04:18:44,88254.0,RTL,-0.007572991074994206,-0.0006008468626532704,-0.1327044665813446,0.005247454508207738,-0.0006758416420780122,-0.002271807985380292,-35.3626072,149.1651217,24187.5,2.0,-8.5,-112.0,0.0,0.0,-1042.0,6.5,0.0,-1.0
04:18:46,88254.0,RTL,0.05424815975129604,-0.006438838317990303,-0.13348989188671112,0.012387669179588556,0.00984533317387104,-0.021860305569134653,-35.36260645,149.16512319999998,27071.5,12.0,27.0,-147.5,0.0,-6.0,-995.5,14.0,11.0,-21.5
04:18:48,88254.0,RTL,-0.05112205259501934,-0.00903930771164596,-0.2073102444410324,0.04568221606314182,-0.01661261380650103,0.01582409953698516,-35.3626053,149.16512799999998,30127.0,-12.0,-29.5,-149.0,-1.0,4.5,-1001.0,46.5,-15.0,16.0
04:18:49,125200.0,RTL,0.00927965808659792,0.0007572292233817279,-0.2019384689629078,0.030988108832389116,0.010467230051290244,0.002924893458839506,-35.3626061,149.16512252500002,32072.5,-9.0,-40.75,-150.75,-6.25,8.5,-1000.75,31.75,10.5,3.5
04:18:50,125200.0,RTL,0.020902606658637524,0.0038994690403342247,-0.198086716234684,0.0013234278885647655,0.0020782342180609703,0.0073572269175201654,-35.36260645,149.16511965,33244.0,-8.0,-23.5,-151.0,-3.5,5.5,-999.5,2.5,2.5,8.0
04:18:52,125200.0,RTL,0.004998392658308148,0.004249967634677887,-0.20704036206007004,-0.004619151819497347,0.0019210083410143852,-0.012848923448473215,-35.362606650000004,149.1651178,36353.0,-3.0,2.5,-151.0,0.0,0.0,-1000.0,-3.0,2.5,-11.5
04:18:54,125200.0,RTL,0.002667279914021492,0.005580177530646324,-0.24370116740465164,0.000992919725831598,0.0012182238860987127,-0.019254665821790695,-35.36260645,149.1651181,39469.5,-2.0,4.0,-152.0,0.0,0.0,-1000.0,2.5,2.0,-17.5
04:18:55,30441.0,RTL,0.002102761820424348,0.005674566724337637,-0.26916898787021637,0.00015277968486770988,0.0008967621688498184,-0.02020638668909669,-35.3626064,149.165118475,41425.25,-3.0,4.25,-152.0,0.0,0.0,-1000.0,1.0,1.5,-18.75
04:18:56,30441.0,RTL,0.0019434912246651947,0.005582605954259634,-0.2848639488220215,-0.000487135024741292,0.0006461882148869336,-0.020216059871017933,-35.3626064,149.16511874999998,42598.5,-3.5,5.0,-152.0,0.0,0.0,-999.5,1.5,1.0,-19.0
04:18:58,30441.0,RTL,0.000644941785139963,0.004925187444314361,-0.3283143788576126,-3.727257717400789e-05,0.001056757988408208,-0.02142461109906435,-35.3626064,149.1651194,45723.0,-4.0,4.0,-152.5,0.0,0.0,-999.5,1.5,2.0,-20.0
04:19:00,69618.0,RTL,0.001055253902450204,0.0035167124588042498,-0.3707924783229828,0.0021628140821121633,0.00027478704578243196,-0.01955842599272728,-35.3626066,149.16511985,48837.5,-3.0,3.0,-153.0,0.0,0.0,-1000.0,3.5,1.5,-18.0
04:19:02,69618.0,RTL,0.0024119524750858545,0.004437980824150145,-0.4090571403503418,0.005040046758949757,0.006714480230584741,-0.005946740391664207,-35.3626067,149.16512,51954.5,-2.0,2.0,-152.5,0.0,0.0,-999.0,6.0,8.0,-5.0
04:19:04,69618.0,RTL,0.0006286881980486214,0.0034983904333785176,-0.3697211444377899,-0.0022672367631457746,-0.0005141579604241997,0.026249147951602936,-35.3626069,149.16512065,55062.0,-3.0,5.5,-152.0,0.0,0.0,-1000.0,-0.5,0.5,26.5
04:19:05,30260.0,RTL,-0.0005016701034037396,0.0022927304380573332,-0.34093010425567627,8.587914635427296e-05,0.0001435626472812146,0.0207076002843678,-35.362606975,149.165121025,56997.75,-2.0,2.5,-152.0,0.0,0.0,-1000.25,1.25,1.5,21.75
