time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT
04:42:30.211,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:30.412,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:30.612,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:30.813,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:31.014,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:31.214,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:31.415,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:31.618,STABILIZE,-35.3632621,149.1652374,0,-5.5565883485542145e-06,0.0015163164352998137,0.027212224900722504,0.00033247159444727004,0.0003222233790438622,0.002163951052352786,0,1,-1000,0,0,0,-2,1,0,38228.0
04:42:31.818,STABILIZE,-35.3632622,149.1652375,0,-0.00040815569809637964,0.0011927543673664331,0.026346033439040184,0.00023698119912296534,0.0003585467638913542,0.002117143478244543,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:32.019,STABILIZE,-35.3632622,149.1652375,0,-0.00040815569809637964,0.0011927543673664331,0.026346033439040184,0.00023698119912296534,0.0003585467638913542,0.002117143478244543,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:32.221,STABILIZE,-35.3632622,149.1652375,0,-0.0005334909656085074,0.0011099273106083274,0.026095738634467125,0.0001133258338086307,0.00021105221821926534,0.0021331063471734524,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:32.422,STABILIZE,-35.3632622,149.1652375,0,-0.0005334909656085074,0.0011099273106083274,0.026095738634467125,0.0001133258338086307,0.00021105221821926534,0.0021331063471734524,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:32.624,STABILIZE,-35.3632622,149.1652375,0,-0.0005852732574567199,0.0010717755649238825,0.02598443068563938,0.00023059890372678638,0.00023994609364308417,0.0020936159417033195,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:32.825,STABILIZE,-35.3632622,149.1652375,0,-0.0006387471221387386,0.0010426698718219995,0.025863520801067352,0.0001985851558856666,0.0001752230164129287,0.0019720783457159996,0,2,-1000,0,0,0,-1,1,0,38228.0
04:42:33.026,STABILIZE,-35.3632622,149.1652375,0,-0.0006900231819599867,0.0010169731685891747,0.025752799585461617,0.0002703478094190359,0.0001829323300626129,0.002071672584861517,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:33.227,STABILIZE,-35.3632622,149.1652375,0,-0.0006900231819599867,0.0010169731685891747,0.025752799585461617,0.0002703478094190359,0.0001829323300626129,0.002071672584861517,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:33.429,STABILIZE,-35.3632622,149.1652375,0,-0.0006900231819599867,0.0010169731685891747,0.025752799585461617,0.0002703478094190359,0.0001829323300626129,0.002071672584861517,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:33.630,STABILIZE,-35.3632622,149.1652375,0,-0.0006900231819599867,0.0010169731685891747,0.025752799585461617,0.0002703478094190359,0.0001829323300626129,0.002071672584861517,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:33.832,STABILIZE,-35.3632621,149.1652375,0,-0.0006430791690945625,0.0009590279078111053,0.025455957278609276,0.0002065551234409213,0.00019845989299938083,0.001984531758353114,0,1,-1000,1,0,0,-1,1,0,38228.0
04:42:34.033,STABILIZE,-35.3632621,149.1652375,0,-0.0006430791690945625,0.0009590279078111053,0.025455957278609276,0.0002065551234409213,0.00019845989299938083,0.001984531758353114,0,1,-1000,1,0,0,-1,1,0,38228.0
04:42:34.234,STABILIZE,-35.3632621,149.1652375,0,-0.0006884121103212237,0.0009378478862345219,0.025268569588661194,0.00017799320630729198,0.00027973175747320056,0.0019604105036705732,0,1,-1000,0,1,1,-1,1,0,38228.0
04:42:34.435,STABILIZE,-35.3632621,149.1652375,0,-0.0006884121103212237,0.0009378478862345219,0.025268569588661194,0.00017799320630729198,0.00027973175747320056,0.0019604105036705732,0,1,-1000,0,1,1,-1,1,0,38228.0
04:42:34.637,STABILIZE,-35.3632621,149.1652375,0,-0.0006884121103212237,0.0009378478862345219,0.025268569588661194,0.00017799320630729198,0.00027973175747320056,0.0019604105036705732,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:34.838,STABILIZE,-35.3632621,149.1652374,0,-0.0007370530511252582,0.0009425834869034588,0.02506021037697792,0.0002622926258482039,0.00028889154782518744,0.001982972491532564,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:35.039,STABILIZE,-35.3632621,149.1652374,0,-0.0007370530511252582,0.0009425834869034588,0.02506021037697792,0.0002622926258482039,0.00028889154782518744,0.001982972491532564,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:35.240,STABILIZE,-35.3632621,149.1652374,0,-0.0007370530511252582,0.0009425834869034588,0.02506021037697792,0.0002622926258482039,0.00028889154782518744,0.001982972491532564,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:35.442,STABILIZE,-35.3632621,149.1652374,0,-0.0007370530511252582,0.0009425834869034588,0.02506021037697792,0.0002622926258482039,0.00028889154782518744,0.001982972491532564,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:35.643,STABILIZE,-35.3632621,149.1652374,0,-0.0007370530511252582,0.0009425834869034588,0.02506021037697792,0.0002622926258482039,0.00028889154782518744,0.001982972491532564,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:35.844,STABILIZE,-35.3632621,149.1652375,0,-0.0008169868960976601,0.0009244862012565136,0.024695290252566338,0.00014057190855965018,0.00023891445016488433,0.0018607594538480043,0,2,-1000,0,0,0,-1,1,0,38228.0
04:42:36.045,STABILIZE,-35.3632621,149.1652375,0,-0.0008169868960976601,0.0009244862012565136,0.024695290252566338,0.00014057190855965018,0.00023891445016488433,0.0018607594538480043,0,2,-1000,0,0,0,-1,1,0,38228.0
04:42:36.247,STABILIZE,-35.3632621,149.1652375,0,-0.0008585668401792645,0.0009248037240467966,0.024510608986020088,0.00026080873794853687,0.00029784132493659854,0.0017461234237998724,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:36.448,STABILIZE,-35.3632621,149.1652375,0,-0.0008585668401792645,0.0009248037240467966,0.024510608986020088,0.00026080873794853687,0.00029784132493659854,0.0017461234237998724,0,1,-1000,0,0,0,-1,1,0,38228.0
04:42:36.649,STABILIZE,-35.3632621,149.1652375,0,-0.0008701008628122509,0.0009285423438996077,0.024425992742180824,0.00028741825371980667,0.00023974687792360783,0.001798161887563765,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:36.851,STABILIZE,-35.3632621,149.1652375,0,-0.0008701008628122509,0.0009285423438996077,0.024425992742180824,0.00028741825371980667,0.00023974687792360783,0.001798161887563765,0,1,-1000,0,0,1,-1,1,0,38228.0
04:42:37.052,STABILIZE,-35.3632621,149.1652375,0,-0.000731772743165493,0.000937830307520926,0.024247637018561363,0.00032712885877117515,0.0002949445624835789,0.0017688462976366282,0,1,-1000,0,0,0,-1,2,1,38228.0
04:42:37.253,STABILIZE,-35.3632621,149.1652375,0,-0.000731772743165493,0.000937830307520926,0.024247637018561363,0.00032712885877117515,0.0002949445624835789,0.0017688462976366282,0,1,-1000,0,0,0,-1,2,1,38228.0
04:42:37.455,STABILIZE,-35.3632621,149.1652375,0,-0.000731772743165493,0.000937830307520926,0.024247637018561363,0.00032712885877117515,0.0002949445624835789,0.0017688462976366282,0,1,-1000,0,0,0,-1,2,1,38228.0
04:42:37.656,STABILIZE,-35.3632621,149.1652375,0,-0.000731772743165493,0.000937830307520926,0.024247637018561363,0.00032712885877117515,0.0002949445624835789,0.0017688462976366282,0,1,-1000,0,0,0,-1,2,1,38228.0
04:42:37.857,STABILIZE,-35.3632621,149.1652375,0,-0.0008378049824386835,0.0009566866792738438,0.0239744670689106,0.0001853291760198772,0.00022214761702343822,0.0017796503379940987,0,1,-1000,0,0,1,-1,2,1,38228.0
04:42:38.058,STABILIZE,-35.3632621,149.1652375,0,-0.0008378049824386835,0.0009566866792738438,0.0239744670689106,0.0001853291760198772,0.00022214761702343822,0.0017796503379940987,0,1,-1000,0,0,0,-1,2,1,38228.0
04:42:38.259,STABILIZE,-35.3632621,149.1652375,0,-0.0008378049824386835,0.0009566866792738438,0.0239744670689106,0.0001853291760198772,0.00022214761702343822,0.0017796503379940987,0,1,-1000,0,0,0,-1,2,1,38228.0
04:42:38.461,STABILIZE,-35.3632622,149.1652375,0,-0.0009577288874424994,0.0009778955718502402,0.0237394068390131,0.00027659954503178596,0.00032895326148718596,0.001738988095894456,0,1,-1000,0,1,1,-1,1,0,38228.0
04:42:38.664,STABILIZE,-35.3632622,149.1652375,0,-0.0009577288874424994,0.0009778955718502402,0.0237394068390131,0.00027659954503178596,0.00032895326148718596,0.001738988095894456,0,1,-1000,0,1,1,-1,1,0,38228.0
04:42:38.865,STABILIZE,-35.3632622,149.1652375,0,-0.0009986620862036943,0.0009753672638908029,0.023664994165301323,6.270181620493531e-05,0.0002532494836486876,0.0017244082409888506,0,1,-1000,0,1,0,-1,1,0,38228.0
04:42:39.066,STABILIZE,-35.3632622,149.1652375,0,-0.0010302942246198654,0.0009762583067640662,0.023594558238983154,0.00020996516104787588,0.00018385873408988118,0.0017530940240249038,0,1,-1000,1,0,1,-1,1,0,38228.0
04:42:39.267,STABILIZE,-35.3632622,149.1652375,0,-0.0010302942246198654,0.0009762583067640662,0.023594558238983154,0.00020996516104787588,0.00018385873408988118,0.0017530940240249038,0,1,-1000,1,0,1,-1,1,0,38228.0
04:42:39.469,STABILIZE,-35.3632622,149.1652375,0,-0.0010302942246198654,0.0009762583067640662,0.023594558238983154,0.00020996516104787588,0.00018385873408988118,0.0017530940240249038,0,1,-1000,1,0,1,-1,1,0,38228.0
04:42:39.670,STABILIZE,-35.3632622,149.1652375,0,-0.0010302942246198654,0.0009762583067640662,0.023594558238983154,0.00020996516104787588,0.00018385873408988118,0.0017530940240249038,0,1,-1000,1,0,1,-1,1,0,38228.0
