time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz
05:41:46,76691.0,STABILIZE,-0.00043527112575247884,0.0010430706315673888,0.026332969777286053,0.00021362272673286498,0.0002523040020605549,0.002076410921290517,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632622,149.1652375,33.0,-1.0,1.0,0.0
05:41:48,76691.0,STABILIZE,-0.0004174909166370829,0.0009089469482811788,0.02546224370598793,0.000262836751062423,0.00031477697969724733,0.002032505658765634,0.0,1.0,-1000.0,0.0,0.0,0.5,-35.3632621,149.16523745,52.5,-1.0,0.0,-2.5
05:41:59,76691.0,AUTO,-0.0007460907800123096,0.0011094623478129506,0.021727961488068104,0.00026154713123105466,0.0002672214468475431,0.0014576938701793551,0.0,1.0,-1000.0,0.5,0.0,0.0,-35.3632621,149.1652375,2.0,0.0,0.0,0.0
05:42:01,50107.5,AUTO,-0.0001752446696627885,0.001660881855059415,0.021181868389248848,0.0003751358890440315,0.00022935174638405442,0.0014396208571270108,0.0,1.0,-1000.0,0.5,0.0,0.5,-35.3632621,149.1652375,1.0,0.0,0.0,0.0
05:42:03,23524.0,AUTO,0.02782211359590292,-0.0016998086648527533,0.020695151761174202,0.04603584297001362,-0.007429968100041151,0.0026085035642609,0.0,-0.5,-1012.5,46.0,-6.5,2.0,-35.36326205,149.1652376,1588.5,0.5,8.0,-145.5
05:42:05,23524.0,AUTO,-0.039256030693650246,0.03197158873081207,-0.10376503691077232,-0.027391467243433,-0.026231442112475634,-0.04919689055532217,4.5,-6.5,-1003.5,-26.0,-26.0,-49.0,-35.363261050000006,149.1652453,4639.5,-7.5,31.5,-148.5
05:42:06,71040.0,AUTO,-0.06226416863501072,-0.0185541408136487,-0.08290535770356655,-0.006864378694444895,-0.05092115548904985,0.034498086431995034,1.5,1.75,-1001.0,-6.25,-50.0,33.5,-35.363261725,149.16524605,5792.75,-8.25,-11.0,-148.25
05:42:07,71040.0,AUTO,-0.007072351756505668,-0.015993567649275064,-0.06977652758359909,0.06304186955094337,0.019953390583395958,0.006781223928555846,-9.0,10.0,-1002.5,63.0,20.0,6.0,-35.36326165,149.16524035,7715.0,11.0,-59.0,-149.5
05:42:09,71040.0,AUTO,0.046864092350006104,0.03537469170987606,-0.11214599385857582,-0.06989789940416813,-0.05459776520729065,0.013111794833093882,4.0,0.0,-994.5,-68.5,-53.5,13.0,-35.363260999999994,149.1652337,10830.5,-19.0,21.0,-149.0
05:42:11,71040.0,AUTO,-0.01669441908597946,-0.014404462650418282,-0.11296888440847397,0.01651145238429308,0.011014662683010101,-0.02940475381910801,-0.5,0.0,-1000.0,17.0,11.0,-29.5,-35.3632633,149.1652378,13917.5,2.5,-2.0,-152.0
05:42:12,180718.0,AUTO,-0.0017783126968424767,-0.0048158829304156825,-0.13653045892715454,0.019285837886855006,0.014571615494787693,-0.029659188352525234,-3.0,0.0,-999.75,19.5,14.75,-29.75,-35.363262899999995,149.16523715,15087.25,8.25,-9.75,-152.0
05:42:13,180718.0,AUTO,0.011724147945642471,0.008266111370176077,-0.16525372117757797,0.0024134513223543763,0.004529524710960686,-0.013931930530816317,-1.5,0.0,-1000.0,2.5,4.5,-13.5,-35.3632619,149.16523575000002,17038.0,5.0,-4.0,-152.0
05:42:15,180718.0,AUTO,-0.039114560931921005,0.04538234509527683,-0.03782225726172328,0.04112259205430746,-0.00658431276679039,0.37214139103889465,0.5,5.5,-969.5,42.0,-6.0,371.5,-35.3632619,149.1652342,20103.5,-21.0,-27.5,-138.0
05:42:17,99602.0,AUTO,0.034839251078665257,-0.015724153257906437,0.04767083004117012,-0.044103026390075684,0.034049900248646736,0.0002421385725028813,0.0,-7.0,-974.5,-43.0,34.5,0.0,-35.3632641,149.16523235,22142.0,11.5,35.0,-66.0
05:42:19,18486.0,AUTO,-0.011229390744119883,0.013882201630622149,0.04241439327597618,0.03541208151727915,-0.0032691331580281258,-0.0032769679091870785,0.0,-5.0,-972.0,35.5,-2.0,-3.0,-35.3632614,149.16523925,22997.0,6.0,17.5,-17.5
05:42:21,18486.0,AUTO,-0.019971709698438644,-0.0513121597468853,0.035691969096660614,-0.5803869664669037,-0.04013532027602196,-0.006945394445210695,-9.0,-15.5,-1021.5,-579.0,-39.0,-6.5,-35.36326075,149.16523725000002,22809.5,18.5,-28.0,4.5
05:42:22,89761.0,AUTO,-0.0009458982385694981,-0.07740954495966434,-0.09861750272102654,0.10860974795650691,-0.046590203419327736,-0.41283620172180235,-14.0,7.0,-1011.5,109.75,-45.5,-412.5,-35.36325805,149.165234275,22782.0,59.0,-35.0,0.0
05:42:23,89761.0,AUTO,0.013041175436228514,-0.12778525426983833,-0.42253682017326355,0.2575303460471332,-0.04103661887347698,0.05771327763795853,-29.5,-2.5,-1005.0,259.0,-39.5,57.0,-35.36324705,149.16522795,22777.0,147.5,-69.5,-0.5
05:42:25,89761.0,AUTO,0.03903684578835964,-0.19013457745313644,-0.40771569311618805,0.10629160515964031,-0.02601295243948698,-0.018827930092811584,-77.5,-42.5,-1002.0,107.0,-25.0,-18.5,-35.363204100000004,149.16520365,22724.5,339.5,-172.5,2.0
05:42:27,59078.5,AUTO,0.07240709289908409,-0.194325752556324,-0.4172840416431427,0.03600835520774126,0.01629515690729022,-0.005129681201651692,-114.0,-67.0,-1002.0,36.5,17.0,-5.0,-35.3631264,149.16515785,22654.0,527.0,-256.0,-0.5
05:42:29,28396.0,AUTO,0.08444717153906822,-0.15099294483661652,-0.42064353823661804,-0.0045259047619765624,0.03475039452314377,-0.001720064552500844,-126.0,-78.0,-989.5,-4.0,35.0,-1.5,-35.36302285,149.1650984,22680.0,610.5,-288.5,-2.5
05:42:31,28396.0,AUTO,0.08222522214055061,-0.140301413834095,-0.42451147735118866,-0.03262436855584383,0.007828630623407662,0.005775156430900097,-128.5,-90.5,-989.5,-32.0,8.0,6.0,-35.3629122,149.1650357,22636.0,611.5,-290.0,5.0
05:42:32,23890.0,AUTO,0.08476032130420208,-0.14275893568992615,-0.42453986406326294,0.02556878258474171,-0.005231645947787911,0.0034961785713676363,-129.25,-77.25,-987.75,25.5,-4.5,3.5,-35.362870650000005,149.16501195,22574.5,616.0,-292.0,2.25
05:42:33,23890.0,AUTO,0.09166231751441956,-0.13358084857463837,-0.4247829020023346,0.014215304981917143,0.009887005435302854,-0.0075401682406663895,-130.0,-89.0,-990.0,14.0,10.0,-7.0,-35.36280095,149.16497149999998,22519.0,620.0,-294.0,-2.0
05:42:35,23890.0,AUTO,0.09466928243637085,-0.07727004587650299,-0.4249463230371475,0.008920158725231886,0.07797642797231674,-0.008619489381089807,-130.5,-92.5,-1001.5,9.5,78.5,-8.0,-35.36269005,149.16490685,22500.5,604.0,-276.5,-9.5
05:42:37,23890.0,AUTO,0.08233906328678131,0.012816637987270951,-0.42388203740119934,0.07049277424812317,0.04447482340037823,-0.02048190687492024,-97.0,-55.0,-995.5,71.5,44.5,-20.0,-35.36259269999999,149.16485135,22539.5,459.0,-203.0,1.0
