time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
06:00:08,-0.0009654018795117736,0.0009786461887415498,0.02313652914017439,0.00015826441813260317,0.0002249843964818865,0.001658260589465499,STABILIZE,-35.36326215,149.1652376,0.0,-1.0,2.0,2.0,0.0,1.0,-1000.0,0.0,0.0,0.0,53746.0
06:00:10,-0.0012813347857445478,0.0009821531712077558,0.022669101133942604,0.0002423980040475726,0.00028216763166710734,0.0016561027150601149,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,0.5,1.0,0.0,1.0,-1000.0,0.5,0.0,0.5,53746.0
06:00:12,-0.0012574433349072933,0.0009750151075422764,0.02230080869048834,0.0002667914086487144,0.0003076049033552408,0.0015405624289996922,AUTO,-35.3632622,149.1652375,1.5,-1.0,0.0,0.0,0.0,2.0,-1000.0,0.5,0.5,0.5,53746.0
06:00:13,-0.0006084702617954463,0.0011655851267278194,0.022072760853916407,0.003905985606252216,0.00034778815461322665,0.0015173704887274653,AUTO,-35.3632621,149.16523742500002,10.25,0.0,-1.0,-2.0,0.0,-11.5,-1019.5,4.0,0.5,0.5,64815.0
06:00:14,-0.0004436050949152559,0.0013598701334558427,0.021873977966606617,0.0002828204014804214,0.00026705567142926157,0.0014390071155503392,AUTO,-35.3632621,149.1652374,18.5,0.0,0.0,-2.0,0.0,1.5,-1000.0,0.0,0.0,1.0,64815.0
06:00:16,0.0008138373668771237,0.0007079132628859952,0.021392730996012688,0.003302499186247587,0.0031044374918565154,0.0009280273952754214,AUTO,-35.3632621,149.1652375,342.5,0.0,0.0,-90.0,0.0,0.0,-1118.5,3.5,3.5,0.5,64815.0
06:00:18,0.05127616226673126,0.0029350100085139275,-0.0193706969730556,-0.0863523194566369,0.06140068266540766,-0.07594483159482479,AUTO,-35.3632615,149.16524025,3180.0,8.5,49.5,-146.5,2.0,-9.5,-991.5,-85.5,61.5,-75.5,100324.5
06:00:20,-0.0549887977540493,-0.014642000664025545,-0.09833606705069542,0.05854395963251591,-0.006474217865616083,0.008237595204263926,AUTO,-35.3632623,149.165245,6383.0,-11.0,-39.0,-149.0,-2.0,9.0,-1001.0,59.0,-5.0,7.5,135834.0
06:00:22,0.06101399287581444,-0.007785625522956252,-0.08166412264108658,0.002469729632139206,-0.04353234451264143,0.054518889635801315,AUTO,-35.363263149999995,149.16523495,9495.5,1.0,-10.0,-152.0,-2.0,4.0,-997.0,3.0,-42.5,53.5,135834.0
06:00:23,-0.009955294721294194,0.003254153800298809,-0.08618590608239174,-0.025892116595059633,0.04948429064825177,-0.06002407055348158,AUTO,-35.3632613,149.165235725,11413.75,24.75,9.0,-149.5,-3.5,-5.0,-1003.75,-25.0,49.75,-59.75,134561.0
