,A.ALT_HOLD1
13:30:14.881,1
13:30:15.082,1
13:30:15.284,-1
13:30:15.485,1
13:30:15.687,1
13:30:15.887,1
13:30:16.089,1
13:30:16.289,1
13:30:16.490,1
13:30:16.691,1
13:30:16.893,1
13:30:17.094,1
13:30:17.295,1
13:30:17.495,1
13:30:17.696,1
13:30:17.897,1
13:30:18.098,1
13:30:18.299,1
13:30:18.499,1
13:30:18.701,1
13:30:18.903,1
13:30:19.105,1
13:30:19.306,1
13:30:19.507,1
13:30:19.708,1
13:30:19.909,1
13:30:20.110,1
13:30:20.311,1
13:30:20.511,1
13:30:20.714,1
13:30:20.916,1
13:30:21.117,1
13:30:21.318,1
13:30:21.519,1
13:30:21.720,1
13:30:21.921,1
13:30:22.121,1
13:30:22.323,1
13:30:22.524,1
13:30:22.725,1
13:30:22.926,1
13:30:23.127,1
13:30:23.328,1
13:30:23.529,1
13:30:23.730,1
13:30:23.931,1
13:30:24.132,1
13:30:24.333,1
13:30:24.534,1
13:30:24.735,1
13:30:24.938,1
13:30:25.139,1
13:30:25.339,1
13:30:25.541,1
13:30:25.742,1
13:30:25.943,1
13:30:26.144,1
13:30:26.345,1
13:30:26.547,1
13:30:26.749,1
13:30:26.952,1
13:30:27.154,1
13:30:27.355,1
13:30:27.556,1
13:30:27.757,1
13:30:27.958,1
13:30:28.159,1
13:30:28.360,1
13:30:28.561,1
13:30:28.763,1
13:30:28.965,1
13:30:29.166,1
13:30:29.367,1
13:30:29.568,1
13:30:29.769,1
13:30:29.970,1
13:30:30.171,1
13:30:30.372,1
13:30:30.573,1
13:30:30.774,1
13:30:30.975,1
13:30:31.176,1
13:30:31.377,1
13:30:31.577,1
13:30:31.778,1
13:30:31.979,1
13:30:32.181,1
13:30:32.383,1
13:30:32.584,1
13:30:32.784,1
13:30:32.985,1
13:30:33.186,-1
13:30:33.387,1
13:30:33.588,1
13:30:33.789,1
13:30:33.990,1
13:30:34.191,1
13:30:34.392,1
13:30:34.593,1
13:30:34.793,1
13:30:34.994,1
13:30:35.195,1
13:30:35.396,-1
13:30:35.597,1
13:30:35.799,1
13:30:36.000,1
13:30:36.201,1
13:30:36.402,1
13:30:36.605,1
13:30:36.808,1
13:30:37.009,1
13:30:37.210,1
13:30:37.411,1
13:30:37.611,-1
13:30:37.812,1
13:30:38.013,1
13:30:38.214,1
13:30:38.415,1
13:30:38.617,1
13:30:38.819,1
13:30:39.020,1
13:30:39.222,1
13:30:39.423,1
13:30:39.624,1
13:30:39.824,-1
13:30:40.025,-1
13:30:40.226,1
13:30:40.427,1
13:30:40.628,1
13:30:40.830,1
13:30:41.031,1
13:30:41.232,1
13:30:41.433,1
13:30:41.634,1
13:30:41.836,1
13:30:42.036,1
13:30:42.238,1
13:30:42.438,1
13:30:42.640,1
13:30:42.841,1
13:30:43.043,1
13:30:43.244,1
13:30:43.445,1
13:30:43.646,1
13:30:43.847,1
13:30:44.049,-1
13:30:44.249,1
13:30:44.451,1
13:30:44.652,1
13:30:44.854,1
13:30:45.055,1
13:30:45.256,1
13:30:45.457,1
13:30:45.658,1
13:30:45.860,1
13:30:46.061,1
13:30:46.262,1
13:30:46.463,1
13:30:46.664,1
13:30:46.866,1
13:30:47.067,1
13:30:47.269,1
13:30:47.469,1
13:30:47.670,1
13:30:47.871,1
13:30:48.072,1
13:30:48.273,1
13:30:48.474,1
13:30:48.676,1
13:30:48.878,1
13:30:49.081,1
13:30:49.282,1
13:30:49.483,1
13:30:49.684,1
13:30:49.885,1
13:30:50.086,1
13:30:50.287,1
13:30:50.489,1
13:30:50.690,1
13:30:50.891,1
13:30:51.092,1
13:30:51.293,1
13:30:51.494,1
13:30:51.695,1
13:30:51.896,1
13:30:52.097,1
13:30:52.299,1
13:30:52.501,1
13:30:52.703,1
13:30:52.904,1
13:30:53.106,1
13:30:53.308,1
13:30:53.510,1
13:30:53.710,1
13:30:53.911,1
13:30:54.112,-1
13:30:54.313,-1
13:30:54.514,-1
13:30:54.716,-1
13:30:54.917,-1
13:30:55.118,1
13:30:55.319,1
13:30:55.520,1
13:30:55.721,1
13:30:55.921,1
13:30:56.123,1
13:30:56.323,1
13:30:56.524,1
13:30:56.724,1
13:30:56.926,1
13:30:57.128,1
13:30:57.329,-1
13:30:57.529,-1
13:30:57.730,1
13:30:57.931,1
13:30:58.132,1
13:30:58.333,1
13:30:58.534,1
13:30:58.735,1
13:30:58.936,1
13:30:59.137,1
13:30:59.338,1
13:30:59.539,1
13:30:59.740,1
13:30:59.941,1
13:31:00.142,1
13:31:00.343,1
13:31:00.544,1
13:31:00.745,1
13:31:00.946,1
13:31:01.148,1
13:31:01.348,1
13:31:01.550,1
13:31:01.751,1
13:31:01.952,1
13:31:02.153,1
13:31:02.354,1
13:31:02.555,1
13:31:02.756,1
13:31:02.956,1
13:31:03.157,1
13:31:03.358,1
13:31:03.560,1
13:31:03.762,1
13:31:03.963,1
13:31:04.164,1
13:31:04.365,1
13:31:04.568,1
13:31:04.768,1
13:31:04.970,1
13:31:05.171,1
13:31:05.372,1
13:31:05.573,1
13:31:05.774,1
13:31:05.975,1
13:31:06.175,1
13:31:06.379,1
13:31:06.580,1
13:31:06.781,1
13:31:06.982,1
13:31:07.183,1
13:31:07.383,1
13:31:07.584,1
13:31:07.785,1
13:31:07.986,1
13:31:08.187,1
13:31:08.388,1
13:31:08.589,1
13:31:08.790,1
13:31:08.993,1
13:31:09.194,1
13:31:09.395,1
13:31:09.596,1
13:31:09.797,1
13:31:09.997,1
13:31:10.198,1
13:31:10.399,1
13:31:10.600,1
13:31:10.802,1
13:31:11.003,1
13:31:11.206,1
13:31:11.407,1
13:31:11.608,1
13:31:11.809,1
13:31:12.010,1
13:31:12.211,1
13:31:12.412,1
13:31:12.613,1
13:31:12.814,1
13:31:13.015,1
13:31:13.215,1
13:31:13.416,1
13:31:13.737,1
13:31:13.939,1
13:31:14.141,1
13:31:14.343,1
13:31:14.545,1
13:31:14.750,1
13:31:14.954,1
13:31:15.157,1
13:31:15.358,1
13:31:15.560,1
13:31:15.761,1
13:31:15.962,1
13:31:16.163,1
13:31:16.364,1
13:31:16.565,1
13:31:16.767,1
13:31:16.970,1
13:31:17.171,1
13:31:17.373,1
13:31:17.574,1
13:31:17.775,1
13:31:17.975,1
13:31:18.176,1
13:31:18.377,1
13:31:18.580,1
13:31:18.780,1
13:31:18.982,1
13:31:19.183,1
13:31:19.387,1
13:31:19.589,-1
13:31:19.791,-1
13:31:19.993,-1
13:31:20.194,1
13:31:20.395,1
13:31:20.597,1
13:31:20.798,1
13:31:21.000,1
13:31:21.201,1
13:31:21.402,-1
13:31:21.603,1
13:31:21.805,1
13:31:22.006,1
13:31:22.207,1
13:31:22.407,1
13:31:22.609,1
13:31:22.811,1
13:31:23.012,1
13:31:23.213,1
13:31:23.415,1
13:31:23.617,1
13:31:23.820,1
13:31:24.022,1
13:31:24.223,1
13:31:24.425,1
13:31:24.627,1
13:31:24.828,1
13:31:25.030,1
13:31:25.231,1
13:31:25.432,1
13:31:25.633,1
13:31:25.834,1
13:31:26.035,1
13:31:26.236,1
13:31:26.438,1
13:31:26.639,1
13:31:26.841,1
13:31:27.043,1
13:31:27.244,1
13:31:27.514,1
13:31:27.715,1
13:31:27.917,1
13:31:28.119,1
13:31:28.321,1
13:31:28.522,1
13:31:28.724,1
13:31:28.926,1
13:31:29.127,1
13:31:29.328,1
13:31:29.530,1
13:31:29.730,-1
13:31:29.932,1
13:31:30.132,1
13:31:30.333,1
13:31:30.534,1
13:31:30.735,1
13:31:30.937,1
13:31:31.139,1
13:31:31.340,1
13:31:31.579,1
13:31:31.781,1
13:31:31.983,1
13:31:32.184,1
13:31:32.386,1
13:31:32.587,1
13:31:32.788,1
13:31:32.991,1
13:31:33.194,1
13:31:33.395,1
13:31:33.596,1
13:31:33.797,1
13:31:33.998,1
13:31:34.199,1
13:31:34.400,1
13:31:34.601,1
13:31:34.802,1
13:31:35.004,1
13:31:35.205,1
13:31:35.406,-1
13:31:35.607,1
13:31:35.808,1
13:31:36.009,1
13:31:36.210,1
13:31:36.411,-1
13:31:36.612,1
13:31:36.813,1
13:31:37.015,1
13:31:37.216,1
13:31:37.417,1
13:31:37.619,1
13:31:37.820,1
13:31:38.021,1
13:31:38.222,1
13:31:38.423,1
13:31:38.624,1
13:31:38.824,1
13:31:39.025,1
13:31:39.227,1
13:31:39.427,1
13:31:39.628,1
13:31:39.829,1
13:31:40.030,1
13:31:40.231,1
13:31:40.433,1
13:31:40.634,1
13:31:40.835,1
13:31:41.036,1
13:31:41.237,1
13:31:41.439,1
