,INS_HNTC2_ATT,INS_HNTCH_ATT,FOLL_SYSID,FOLL_OFS_Z,FOLL_POS_P,FOLL_OFS_X,FOLL_DIST_MAX,FOLL_OFS_Y,EK3_GPS_VACC_MAX,EK2_RNG_USE_HGT,EK3_RNG_USE_HGT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD,AHRS_YAW_P,ADSB_LIST_ALT,CHUTE_ALT_MIN,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,FS_DR_TIMEOUT,LGR_DEPLOY_ALT,LGR_RETRACT_ALT,ATC_ANG_LIM_TC
14:19:24.756,5.0,5.0,0.0,74.0,0.56,75.0,1.0,-68.0,2.6,48.0,68.0,4.5,6.0,0.22,0.0,16862.0,0.7,0.2,940.0,1.0,0.1,0.0,722.0,516.0,0.5
14:19:29.722,5.0,5.0,0.0,61.0,0.4,28.0,1.0,67.0,7.6,29.0,68.0,4.0,5.5,0.23,0.0,18982.0,0.7,1.2,940.0,1.0,0.1,0.0,960.0,538.0,0.5
14:19:35.736,5.0,5.0,0.0,21.0,0.74,25.0,1.0,-12.0,9.8,68.0,37.0,3.0,5.5,0.39,0.0,31918.0,0.9,0.9,620.0,1.0,0.1,0.0,466.0,672.0,0.5
14:19:41.269,5.0,5.0,0.0,66.0,0.35,93.0,1.0,-31.0,4.1,67.0,53.0,6.0,4.5,0.35,0.0,16827.0,0.9,2.0,440.0,1.0,0.1,0.0,862.0,780.0,0.5
14:19:49.164,5.0,5.0,0.0,68.0,0.2,50.0,1.0,34.0,5.1,61.0,34.0,5.5,5.0,0.31,0.0,27894.0,0.7,0.5,880.0,1.0,0.1,0.0,304.0,680.0,0.5
14:19:55.373,5.0,5.0,0.0,9.0,0.98,77.0,1.0,40.0,9.3,23.0,68.0,3.5,6.0,0.33,0.0,29154.0,0.9,1.9,750.0,1.0,0.1,0.0,848.0,834.0,0.5
14:20:01.478,5.0,5.0,0.0,75.0,0.74,66.0,1.0,-79.0,10.0,68.0,41.0,5.0,6.0,0.29,0.0,25223.0,0.3,1.7,810.0,1.0,0.1,0.0,954.0,673.0,0.5
14:20:07.280,5.0,5.0,0.0,60.0,0.53,-72.0,1.0,71.0,6.3,31.0,40.0,5.5,4.5,0.23,0.0,20167.0,0.7,1.3,990.0,1.0,0.1,0.0,922.0,991.0,0.5
14:20:13.288,5.0,5.0,0.0,64.0,0.8,11.0,1.0,84.0,3.8,46.0,58.0,5.5,6.0,0.25,0.0,29057.0,0.7,0.5,1000.0,1.0,0.1,0.0,602.0,295.0,0.5
14:20:18.860,5.0,5.0,0.0,-58.0,0.99,98.0,1.0,71.0,1.9,53.0,57.0,4.5,5.5,0.39,0.0,13370.0,0.7,1.8,640.0,1.0,0.1,0.0,10.0,233.0,0.5
14:20:23.710,5.0,5.0,0.0,-18.0,0.84,77.0,1.0,46.0,7.4,62.0,66.0,6.0,3.5,0.37,0.0,7566.0,0.4,1.2,900.0,1.0,0.1,0.0,846.0,431.0,0.5
14:20:28.438,5.0,5.0,0.0,22.0,0.99,91.0,1.0,2.0,4.5,31.0,8.0,5.0,4.5,0.33,0.0,15655.0,1.1,1.9,380.0,1.0,0.1,0.0,803.0,9.0,0.5
14:20:33.472,5.0,5.0,0.0,-8.0,0.92,-6.0,1.0,-43.0,7.1,69.0,66.0,5.5,4.0,0.25,0.0,26928.0,0.9,0.4,920.0,1.0,0.1,0.0,663.0,769.0,0.5
14:20:39.115,5.0,5.0,0.0,46.0,0.68,-59.0,1.0,-37.0,7.4,31.0,61.0,5.5,5.5,0.27,0.0,8212.0,1.1,1.7,550.0,1.0,0.1,0.0,883.0,332.0,0.5
14:20:46.337,5.0,5.0,0.0,73.0,0.9,74.0,1.0,48.0,5.7,45.0,46.0,6.0,6.0,0.33,0.0,19535.0,0.5,0.5,820.0,1.0,0.1,0.0,645.0,565.0,0.5
14:20:51.796,5.0,5.0,0.0,43.0,0.4,91.0,1.0,97.0,6.4,23.0,47.0,4.0,4.5,0.22,0.0,28095.0,0.7,1.5,980.0,1.0,0.1,0.0,907.0,546.0,0.5
14:20:59.040,5.0,5.0,0.0,16.0,0.84,68.0,1.0,48.0,6.3,56.0,62.0,5.5,3.0,0.33,0.0,2665.0,0.9,1.4,1000.0,1.0,0.1,0.0,436.0,596.0,0.5
14:21:04.454,5.0,5.0,0.0,83.0,0.47,50.0,1.0,-92.0,7.0,31.0,58.0,5.0,5.5,0.4,0.0,1875.0,1.1,1.5,1000.0,1.0,0.1,0.0,57.0,8.0,0.5
14:21:11.461,5.0,5.0,0.0,-68.0,0.92,67.0,1.0,2.0,5.6,69.0,35.0,5.0,5.5,0.29,0.0,11565.0,0.9,2.0,80.0,1.0,0.1,0.0,849.0,598.0,0.5
14:21:17.770,5.0,5.0,0.0,25.0,0.58,97.0,1.0,40.0,0.4,57.0,17.0,3.5,5.5,0.37,0.0,23362.0,0.9,1.1,450.0,1.0,0.1,0.0,715.0,922.0,0.5
