,INS_HNTC2_ATT,INS_HNTCH_ATT,FOLL_SYSID,FOLL_OFS_Z,FOLL_POS_P,FOLL_OFS_X,FOLL_DIST_MAX,FOLL_OFS_Y,EK3_GPS_VACC_MAX,EK2_RNG_USE_HGT,EK3_RNG_USE_HGT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD,AHRS_YAW_P,ADSB_LIST_ALT,CHUTE_ALT_MIN,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,FS_DR_TIMEOUT,LGR_DEPLOY_ALT,LGR_RETRACT_ALT,ATC_ANG_LIM_TC
10:39:03.933,23.26539768332602,25.254303672813176,213.84338163415418,-65.0,0.72,9.0,768.3987612068089,-2.0,5.3,45.0,64.0,4.5,3.0,0.23,8696.81217713373,22589.0,0.3,0.9,360.0,1.8444276474193946,35.819513801661756,5.9333999787901615,37.0,246.0,3.839006135167534
10:39:06.954,26.67425831446123,46.2824516108946,222.5163938176969,-33.0,0.04,-97.0,219.3354639298924,48.0,9.8,54.0,49.0,3.0,5.5,0.11,12929.269724718088,5323.0,0.4,1.9,290.0,2.17460736007394,13.652811977688506,77.61783509421421,123.0,121.0,2.2538549106452437
10:39:09.973,9.508009715407436,11.673157302471399,118.0048307507064,-88.0,0.45,85.0,641.5728131581799,90.0,6.8,60.0,64.0,5.5,5.0,0.11,15109.202146010253,15877.0,0.7,0.6,400.0,2.9453483002573875,13.979828378770659,59.24200089645447,608.0,574.0,2.607317302810022
10:39:12.981,18.284954695968352,49.68173007367007,197.93497460686802,83.0,0.1,93.0,25.395079252647196,42.0,7.1,15.0,43.0,5.0,4.5,0.11,4530.081308048377,7195.0,0.3,1.9,710.0,2.34164664851225,44.240762589933155,104.5887947114464,107.0,121.0,9.679519015878174
10:39:15.991,27.83701468585603,22.42518287533055,173.50521934992102,26.0,0.24,25.0,252.54675826366065,7.0,2.4,12.0,58.0,5.0,3.0,0.2,20823.554875652066,26137.0,0.7,1.1,290.0,1.7084680397144671,44.24874360200358,9.199841258738704,220.0,553.0,1.0962933451126913
10:39:19.005,36.844245445918624,31.68908086825249,58.47032404121236,67.0,0.27,-94.0,579.0164114611806,-10.0,4.7,33.0,59.0,6.0,5.0,0.21,19555.931661935327,10744.0,0.9,0.6,150.0,1.0569063672398489,41.23691646087946,89.05346502536264,150.0,549.0,3.541578356168548
10:39:25.603,34.16249952433804,16.694792652095696,117.71538434228682,68.0,0.16,-56.0,556.0265238757859,-64.0,6.4,13.0,11.0,6.0,5.0,0.39,28864.752513410876,20894.0,0.4,1.8,60.0,1.55333134903928,10.900063104711593,92.60188025815526,257.0,594.0,3.031688025822943
10:39:28.617,22.121290051242273,19.334996048057597,134.09271891074974,71.0,0.42,-62.0,116.46835231597927,-13.0,4.8,25.0,12.0,5.0,6.0,0.36,14955.379925809117,16532.0,0.9,1.1,860.0,2.27770997045047,85.84991778296842,73.65289711661164,953.0,406.0,6.270012267439326
10:39:31.629,8.891283082533665,48.74855819818072,201.36984460398972,50.0,0.63,3.0,132.99986464878288,-99.0,7.6,23.0,39.0,3.0,5.0,0.39,5765.802647544547,26046.0,0.3,1.3,400.0,1.961493493487454,96.64008193549591,64.83742387756362,167.0,502.0,7.387775595722239
10:39:34.638,35.97776666030796,12.330056832972662,165.61539316381933,-59.0,0.74,54.0,80.70688274688511,-57.0,6.9,40.0,13.0,5.5,4.0,0.14,17546.513618108227,24039.0,0.1,0.3,240.0,2.2156729233417543,53.952153111249714,71.36642872708607,270.0,668.0,7.991006528880787
