,A.ALT_HOLD2
08:12:25.290,-1.0
08:12:25.491,-1.0
08:12:25.692,-1.0
08:12:25.893,-1.0
08:12:26.093,-1.0
08:12:26.294,-1.0
08:12:26.495,-1.0
08:12:26.696,-1.0
08:12:26.897,-1.0
08:12:27.097,-1.0
08:12:27.298,-1.0
08:12:27.499,-1.0
08:12:27.699,-1.0
08:12:27.899,-1.0
08:12:28.100,-1.0
08:12:28.301,-1.0
08:12:28.501,-1.0
08:12:28.702,-1.0
08:12:28.903,-1.0
08:12:29.103,-1.0
08:12:29.304,-1.0
08:12:29.505,-1.0
08:12:29.705,-1.0
08:12:29.906,-1.0
08:12:30.106,-1.0
08:12:30.307,-1.0
08:12:30.508,-1.0
08:12:30.709,-1.0
08:12:30.909,-1.0
08:12:31.110,-1.0
08:12:31.310,-1.0
08:12:31.511,-1.0
08:12:31.712,-1.0
08:12:31.912,-1.0
08:12:32.113,-1.0
08:12:32.314,-1.0
08:12:32.514,-1.0
08:12:32.715,-1.0
08:12:32.915,-1.0
08:12:33.116,-1.0
08:12:33.317,-1.0
08:12:33.518,-1.0
08:12:33.719,-1.0
08:12:33.920,-1.0
08:12:34.121,-1.0
08:12:34.322,-1.0
08:12:34.522,-1.0
08:12:34.723,-1.0
08:12:34.923,-1.0
08:12:35.124,-1.0
08:12:35.325,-1.0
08:12:35.525,-1.0
08:12:35.726,-1.0
08:12:35.927,-1.0
08:12:36.128,-1.0
08:12:36.329,-1.0
08:12:36.530,-1.0
08:12:36.731,-1.0
08:12:36.931,-1.0
08:12:37.132,-1.0
08:12:37.333,-1.0
08:12:37.534,-1.0
08:12:37.734,-1.0
08:12:37.935,-1.0
08:12:38.136,-1.0
08:12:38.337,-1.0
08:12:38.537,-1.0
08:12:38.738,-1.0
08:12:38.939,-1.0
08:12:39.140,-1.0
08:12:39.341,-1.0
08:12:39.541,-1.0
08:12:39.742,-1.0
08:12:39.943,-1.0
08:12:40.144,-1.0
08:12:40.344,-1.0
08:12:40.546,-1.0
08:12:40.746,-1.0
08:12:40.947,-1.0
08:12:41.147,-1.0
08:12:41.348,-1.0
08:12:41.550,-1.0
08:12:41.750,-1.0
08:12:41.951,-1.0
08:12:42.151,-1.0
08:12:42.352,-1.0
08:12:42.555,-1.0
08:12:42.755,-1.0
08:12:42.957,-1.0
08:12:43.157,-1.0
08:12:43.358,-1.0
