time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,alt,VFR_HUD_alt,EK2_ALT_SOURCE,RTL_ALT
09:14:22.022,AUTO,-35.363262,149.1652374,1509,0.026750877499580383,-0.001598801463842392,0.019794302061200142,0.04687952995300293,-0.006867882329970598,0.0024100986775010824,0,1,-1000,1,1,0,1,6,-146,585500,585.5,0.0,1500.0
09:14:22.223,AUTO,-35.363262,149.1652374,1509,0.026750877499580383,-0.001598801463842392,0.019794302061200142,0.04687952995300293,-0.006867882329970598,0.0024100986775010824,0,0,-1013,47,-6,2,1,6,-146,585500,585.5,0.0,1500.0
09:14:22.424,AUTO,-35.363262,149.1652376,1887,0.038142308592796326,-0.003483985783532262,0.01997186802327633,0.04478083923459053,-0.00785418227314949,0.0027810512110590935,0,-1,-1005,45,-7,2,2,14,-148,585880,585.8800048828125,0.0,1500.0
09:14:22.624,AUTO,-35.3632619,149.1652381,2270,0.04889800027012825,-0.005778326652944088,0.020185669884085655,0.04188789054751396,-0.009454874321818352,0.0033111514057964087,1,-3,-1001,42,-8,2,3,23,-149,586270,586.2699584960938,0.0,1500.0
09:14:22.825,AUTO,-35.3632618,149.1652388,2654,0.05883539468050003,-0.008435009978711605,0.020424580201506615,0.038317810744047165,-0.011735351756215096,0.0033528744243085384,1,-5,-999,39,-11,2,6,34,-149,586650,586.6499633789062,0.0,1500.0
09:14:23.025,AUTO,-35.3632616,149.1652399,3036,0.060255374759435654,-0.005214633885771036,-0.013271183706820011,-0.055565595626831055,0.06553242355585098,-0.07784634828567505,1,-9,-990,-54,66,-78,9,47,-147,587030,587.0299682617188,0.0,1500.0
09:14:23.226,AUTO,-35.3632616,149.1652399,3036,0.060255374759435654,-0.005214633885771036,-0.013271183706820011,-0.055565595626831055,0.06553242355585098,-0.07784634828567505,1,-9,-990,-54,66,-78,9,47,-147,587030,587.0299682617188,0.0,1500.0
09:14:23.427,AUTO,-35.3632613,149.1652412,3413,0.030138196423649788,0.01865483447909355,-0.03747197240591049,-0.17425799369812012,0.06664223968982697,-0.08918415009975433,4,-13,-992,-173,67,-89,9,55,-145,587410,587.4099731445312,0.0,1500.0
09:14:23.628,AUTO,-35.3632613,149.1652412,3413,0.030138196423649788,0.01865483447909355,-0.03747197240591049,-0.17425799369812012,0.06664223968982697,-0.08918415009975433,4,-13,-992,-173,67,-89,9,55,-145,587410,587.4099731445312,0.0,1500.0
09:14:23.828,AUTO,-35.3632613,149.1652412,3413,0.030138196423649788,0.01865483447909355,-0.03747197240591049,-0.17425799369812012,0.06664223968982697,-0.08918415009975433,4,-13,-992,-173,67,-89,9,55,-145,587410,587.4099731445312,0.0,1500.0
09:14:24.030,AUTO,-35.3632609,149.1652451,4548,-0.03391488641500473,0.013253199867904186,-0.07731766253709793,-0.05270441621541977,-0.018606344237923622,-0.0387742705643177,4,-7,-1002,-51,-17,-39,0,36,-149,588540,588.5399780273438,0.0,1500.0
09:14:24.230,AUTO,-35.3632609,149.1652451,4548,-0.03391488641500473,0.013253199867904186,-0.07731766253709793,-0.05270441621541977,-0.018606344237923622,-0.0387742705643177,4,-7,-1002,-51,-17,-39,0,36,-149,588540,588.5399780273438,0.0,1500.0
09:14:24.431,AUTO,-35.3632609,149.1652459,4933,-0.05164588242769241,0.006578486412763596,-0.08301135897636414,-0.08474156260490417,-0.029872599989175797,-0.021408116444945335,4,-4,-999,-84,-29,-21,-1,23,-148,588930,588.9299926757812,0.0,1500.0
09:14:24.632,AUTO,-35.3632609,149.1652463,5316,-0.07509385794401169,-0.001788634923286736,-0.08447253704071045,-0.08756917715072632,-0.03440386429429054,-0.008305889554321766,2,-3,-1001,-86,-33,-8,-2,6,-148,589310,589.3099975585938,0.0,1500.0
09:14:24.832,AUTO,-35.3632609,149.1652461,5698,-0.07832308113574982,-0.005903877783566713,-0.08746319264173508,0.03193508833646774,-0.004603309091180563,-0.013708388432860374,0,0,-1005,32,-3,-13,-2,-14,-148,589690,589.6900024414062,0.0,1500.0
09:14:25.033,AUTO,-35.363261,149.1652455,6082,-0.0665924921631813,-0.00702998461201787,-0.09059794247150421,0.05287567153573036,-0.0026717213913798332,-0.007915422320365906,-2,4,-1001,53,-1,-8,-2,-31,-148,590080,590.0800170898438,0.0,1500.0
09:14:25.234,AUTO,-35.363261,149.1652455,6082,-0.0665924921631813,-0.00702998461201787,-0.09059794247150421,0.05287567153573036,-0.0026717213913798332,-0.007915422320365906,-2,4,-1001,53,-1,-8,-2,-31,-148,590080,590.0800170898438,0.0,1500.0
09:14:25.434,AUTO,-35.363261,149.1652445,6464,-0.052630551159381866,-0.006948364898562431,-0.09283801913261414,0.05818873643875122,0.0032952383626252413,-0.004389421548694372,-4,8,-1000,59,4,-4,-2,-45,-148,590460,590.4599609375,0.0,1500.0
09:14:25.635,AUTO,-35.363261,149.1652445,6464,-0.052630551159381866,-0.006948364898562431,-0.09283801913261414,0.05818873643875122,0.0032952383626252413,-0.004389421548694372,-4,8,-1000,59,4,-4,-2,-45,-148,590460,590.4599609375,0.0,1500.0
09:14:25.836,AUTO,-35.363261,149.1652445,6464,-0.052630551159381866,-0.006948364898562431,-0.09283801913261414,0.05818873643875122,0.0032952383626252413,-0.004389421548694372,-4,8,-1000,59,4,-4,-2,-45,-148,590460,590.4599609375,0.0,1500.0
