,WPNAV_SPEED,WPNAV_SPEED_DN,H_COL_LAND_MIN,ATC_ANG_LIM_TC,FENCE_MARGIN,WPNAV_SPEED_UP,RTL_SPEED,AROT_TARG_SP,CAM_DURATION,FFT_NUM_FRAMES,PILOT_TKOFF_ALT,IM_STB_COL_1,IM_STB_COL_4,ACRO_Y_EXPO,ACRO_RP_EXPO,PILOT_Y_EXPO,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,FHLD_BRAKE_RATE,H_CYC_MAX,IM_STB_COL_2,IM_STB_COL_3,PSC_POSZ_P,ADSB_LIST_ALT,CHUTE_ALT_MIN
10:13:38.886,420.0,310.0,-2.2,0.5,1.0,210.0,1400.0,1100.0,0.0,0.0,530.0,13.0,35.0,-1.0,-0.5,-0.5,101.0,0.0,1.0,3500.0,51.0,6.0,1.0,0.0,1428.0
10:13:43.195,70.0,90.0,-4.2,0.5,1.0,210.0,350.0,1050.0,0.0,0.0,100.0,34.0,32.0,-1.0,-0.5,-0.5,100.0,0.0,1.0,1600.0,29.0,75.0,1.0,0.0,22792.0
10:13:48.064,1470.0,70.0,-1.2,0.5,1.0,410.0,1400.0,1500.0,0.0,0.0,890.0,98.0,87.0,-1.0,-0.5,-0.5,38.0,0.0,1.0,1900.0,12.0,6.0,1.0,0.0,7117.0
10:13:51.952,820.0,160.0,-4.2,0.5,1.0,210.0,250.0,1100.0,0.0,0.0,40.0,83.0,22.0,-1.0,-0.5,-0.5,82.0,0.0,1.0,2400.0,34.0,50.0,1.0,0.0,9160.0
10:13:56.307,420.0,50.0,-4.9,0.5,1.0,260.0,1300.0,950.0,0.0,0.0,470.0,16.0,69.0,-1.0,-0.5,-0.5,133.0,0.0,1.0,2400.0,15.0,2.0,1.0,0.0,10233.0
10:14:00.203,1020.0,380.0,-2.6,0.5,1.0,960.0,450.0,1400.0,0.0,0.0,180.0,8.0,22.0,-1.0,-0.5,-0.5,131.0,0.0,1.0,1100.0,56.0,82.0,1.0,0.0,16535.0
10:14:04.160,620.0,50.0,-2.9,0.5,1.0,610.0,500.0,950.0,0.0,0.0,420.0,44.0,58.0,-1.0,-0.5,-0.5,79.0,0.0,1.0,2300.0,35.0,32.0,1.0,0.0,18012.0
10:14:08.036,420.0,230.0,-3.9,0.5,1.0,60.0,150.0,1250.0,0.0,0.0,60.0,28.0,64.0,-1.0,-0.5,-0.5,115.0,0.0,1.0,1000.0,13.0,51.0,1.0,0.0,3192.0
10:14:12.014,770.0,120.0,-4.9,0.5,1.0,510.0,950.0,1100.0,0.0,0.0,20.0,44.0,45.0,-1.0,-0.5,-0.5,184.0,0.0,1.0,300.0,29.0,98.0,1.0,0.0,6128.0
10:14:15.888,420.0,430.0,0.1,0.5,1.0,210.0,500.0,1250.0,0.0,0.0,30.0,21.0,67.0,-1.0,-0.5,-0.5,76.0,0.0,1.0,1200.0,55.0,44.0,1.0,0.0,276.0
10:14:20.670,620.0,120.0,-1.2,0.5,1.0,260.0,250.0,900.0,0.0,0.0,30.0,25.0,32.0,-1.0,-0.5,-0.5,68.0,0.0,1.0,3400.0,12.0,29.0,1.0,0.0,30619.0
10:14:24.528,1320.0,50.0,-2.9,0.5,1.0,110.0,250.0,1100.0,0.0,0.0,860.0,56.0,35.0,-1.0,-0.5,-0.5,41.0,0.0,1.0,2700.0,41.0,88.0,1.0,0.0,2398.0
10:14:28.370,1470.0,330.0,-4.2,0.5,1.0,260.0,500.0,1550.0,0.0,0.0,150.0,39.0,21.0,-1.0,-0.5,-0.5,40.0,0.0,1.0,2700.0,19.0,28.0,1.0,0.0,23507.0
10:14:32.282,1170.0,80.0,-4.7,0.5,1.0,610.0,950.0,1400.0,0.0,0.0,310.0,29.0,26.0,-1.0,-0.5,-0.5,42.0,0.0,1.0,400.0,50.0,82.0,1.0,0.0,18713.0
10:14:36.178,970.0,90.0,-4.2,0.5,1.0,1010.0,350.0,1150.0,0.0,0.0,510.0,75.0,87.0,-1.0,-0.5,-0.5,46.0,0.0,1.0,700.0,29.0,8.0,1.0,0.0,1037.0
10:14:42.062,70.0,30.0,-3.8,0.5,1.0,410.0,1400.0,1500.0,0.0,0.0,900.0,6.0,1.0,-1.0,-0.5,-0.5,69.0,0.0,1.0,2900.0,45.0,21.0,1.0,0.0,25857.0
10:14:50.040,420.0,220.0,-3.1,0.5,1.0,360.0,1650.0,1950.0,0.0,0.0,260.0,52.0,8.0,-1.0,-0.5,-0.5,91.0,0.0,1.0,700.0,11.0,35.0,1.0,0.0,13709.0
