,A.ALT_HOLD2
15:26:27.529,-1.0
15:26:27.731,-1.0
15:26:27.933,-1.0
15:26:28.135,-1.0
15:26:28.337,-1.0
15:26:28.539,-1.0
15:26:28.744,-1.0
15:26:28.945,-1.0
15:26:29.148,-1.0
15:26:29.352,-1.0
15:26:29.554,-1.0
15:26:29.755,-1.0
15:26:29.957,-1.0
15:26:30.159,-1.0
15:26:30.360,-1.0
15:26:30.562,-1.0
15:26:30.764,-1.0
15:26:30.965,-1.0
15:26:31.167,-1.0
15:26:31.370,-1.0
15:26:31.573,-1.0
15:26:31.776,-1.0
15:26:31.980,-1.0
15:26:32.181,-1.0
15:26:32.382,-1.0
15:26:32.589,-1.0
15:26:32.792,-1.0
15:26:32.994,-1.0
15:26:33.197,-1.0
15:26:33.399,-1.0
15:26:33.601,-1.0
15:26:33.803,-1.0
15:26:34.004,-1.0
15:26:34.205,-1.0
15:26:34.406,-1.0
15:26:34.611,-1.0
15:26:34.813,-1.0
15:26:35.014,-1.0
15:26:35.220,-1.0
15:26:35.425,-1.0
15:26:35.628,-1.0
15:26:35.832,-1.0
15:26:36.034,-1.0
15:26:36.237,-1.0
15:26:36.438,-1.0
15:26:36.645,-1.0
15:26:36.847,-1.0
15:26:37.048,-1.0
15:26:37.250,-1.0
15:26:37.454,-1.0
15:26:37.657,-1.0
15:26:37.858,-1.0
15:26:38.062,-1.0
15:26:38.264,-1.0
15:26:38.469,-1.0
15:26:38.670,-1.0
15:26:38.872,-1.0
15:26:39.074,-1.0
15:26:39.277,-1.0
15:26:39.481,-1.0
15:26:39.682,-1.0
15:26:39.884,-1.0
15:26:40.086,-1.0
15:26:40.287,-1.0
15:26:40.489,-1.0
15:26:40.690,-1.0
15:26:40.891,-1.0
15:26:41.093,-1.0
15:26:41.295,-1.0
15:26:41.497,-1.0
15:26:41.703,-1.0
15:26:41.905,-1.0
15:26:42.108,-1.0
15:26:42.310,-1.0
15:26:42.512,-1.0
15:26:42.713,-1.0
15:26:42.916,-1.0
15:26:43.118,-1.0
15:26:43.325,-1.0
15:26:43.528,-1.0
15:26:43.731,-1.0
15:26:43.936,-1.0
15:26:44.138,-1.0
15:26:44.339,-1.0
15:26:44.540,-1.0
15:26:44.745,-1.0
15:26:44.952,-1.0
15:26:45.155,-1.0
15:26:45.357,-1.0
15:26:45.558,-1.0
15:26:45.764,-1.0
15:26:45.966,-1.0
15:26:46.170,-1.0
15:26:46.372,-1.0
15:26:46.574,-1.0
15:26:46.776,-1.0
15:26:46.978,-1.0
15:26:47.182,-1.0
15:26:47.384,-1.0
15:26:47.585,-1.0
15:26:47.787,-1.0
15:26:47.989,-1.0
15:26:48.194,-1.0
15:26:48.395,-1.0
15:26:48.596,-1.0
15:26:48.798,-1.0
15:26:48.999,-1.0
15:26:49.202,-1.0
15:26:49.405,-1.0
15:26:49.610,-1.0
15:26:49.812,-1.0
15:26:50.014,-1.0
15:26:50.216,-1.0
15:26:50.420,-1.0
15:26:50.623,-1.0
15:26:50.825,-1.0
15:26:51.029,-1.0
15:26:51.235,-1.0
15:26:51.436,-1.0
15:26:51.640,-1.0
15:26:51.842,-1.0
15:26:52.044,-1.0
15:26:52.246,-1.0
15:26:52.448,-1.0
15:26:52.651,-1.0
15:26:52.853,-1.0
15:26:53.054,-1.0
15:26:53.258,-1.0
15:26:53.461,-1.0
15:26:53.664,-1.0
15:26:53.867,-1.0
15:26:54.068,-1.0
15:26:54.275,-1.0
15:26:54.478,-1.0
15:26:54.679,-1.0
15:26:54.881,-1.0
15:26:55.085,-1.0
15:26:55.288,-1.0
15:26:55.491,-1.0
15:26:55.702,-1.0
15:26:55.904,-1.0
15:26:56.108,-1.0
15:26:56.309,-1.0
15:26:56.511,-1.0
15:26:56.712,-1.0
15:26:56.913,-1.0
15:26:57.119,-1.0
15:26:57.322,-1.0
15:26:57.526,-1.0
15:26:57.732,-1.0
15:26:57.938,-1.0
15:26:58.141,-1.0
15:26:58.342,-1.0
15:26:58.548,-1.0
15:26:58.749,-1.0
15:26:58.953,-1.0
15:26:59.154,-1.0
15:26:59.356,-1.0
15:26:59.558,-1.0
15:26:59.760,-1.0
15:26:59.962,-1.0
15:27:00.165,-1.0
15:27:00.367,-1.0
15:27:00.568,-1.0
15:27:00.771,-1.0
15:27:00.974,-1.0
15:27:01.176,-1.0
15:27:01.378,-1.0
15:27:01.579,-1.0
15:27:01.781,-1.0
15:27:01.982,-1.0
15:27:02.186,-1.0
15:27:02.387,-1.0
15:27:02.589,-1.0
15:27:02.791,-1.0
15:27:02.993,-1.0
15:27:03.195,-1.0
15:27:03.399,-1.0
15:27:03.604,-1.0
15:27:03.807,-1.0
15:27:04.009,-1.0
15:27:04.213,-1.0
15:27:04.416,-1.0
15:27:04.619,-1.0
15:27:04.821,-1.0
15:27:05.022,-1.0
15:27:05.224,-1.0
15:27:05.426,-1.0
15:27:05.627,-1.0
15:27:05.834,-1.0
15:27:06.039,0.002
15:27:06.240,0.002
15:27:06.446,0.002
15:27:06.648,0.002
15:27:06.850,0.002
15:27:07.052,0.002
15:27:07.254,0.002
15:27:07.457,0.002
15:27:07.659,0.002
15:27:07.863,0.002
15:27:08.066,0.002
15:27:08.270,0.003
15:27:08.478,0.003
15:27:08.683,0.003
15:27:08.885,0.003
15:27:09.089,0.003
15:27:09.290,0.003
15:27:09.492,0.003
15:27:09.694,0.003
15:27:09.895,0.005
15:27:10.096,0.005
15:27:10.299,0.005
15:27:10.502,0.005
