time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,EK2_ALT_SOURCE
15:44:26,-0.0007968842013118168,0.0010432112321723253,0.021846744542320568,0.0002412396618941178,0.0002429638795244197,0.0015074149123393,583956.6666666666,-35.3632622,149.1652375,0.0,-0.8333333333333334,0.8333333333333334,0.3333333333333333,583.9566345214844,0.0,1.3333333333333333,-1000.0,0.0,0.16666666666666666,0.5,1500.0,AUTO,0.0
15:44:28,0.017239506402984262,0.0007574444636702538,0.008237275667488575,0.03383542625233531,-0.005055237107444555,0.001130707818083465,586466.0,-35.363262,149.1652376,2510.8,0.2,4.2,-147.6,586.4659912109375,0.0,-0.2,-1003.6,33.8,-4.0,0.6,1500.0,AUTO,0.0
15:45:19,0.025439465418457985,-0.11551913246512413,0.8309774696826935,0.4729658216238022,-0.042090775445103645,0.7483433485031128,625055.0,-35.36329995,149.16522515000003,41100.0,97.5,107.5,-10.5,625.0549926757812,-27.5,-3.5,-999.5,474.5,-40.5,748.5,1500.0,AUTO,0.0
15:46:54,-0.005757231258030515,-6.319103704299778e-06,-2.1673583388328552,-0.07282707095146179,-0.0024234390584751964,-0.019850308657623827,630317.5,-35.362471025,149.1667913,46364.25,-165.5,-122.25,179.5,630.3174743652344,-53.0,43.25,-1004.25,-57.0,0.75,-17.75,1500.0,ALT_HOLD,0.0
15:47:38,0.05120290908962488,-0.10411020368337631,-2.1001177430152893,-0.005053425673395395,0.011172440950758755,-0.07463621813803911,609517.5,-35.363095,149.16585265,25564.5,-185.25,-394.25,-94.75,609.5175018310547,-76.25,-54.75,-1001.25,0.5,14.0,-70.75,1500.0,AUTO,0.0
15:48:19,0.013095780974254012,-0.018895252142101526,1.030531495809555,-0.0006446533370763063,0.0032250116346403956,-0.0015413440996780992,628770.0,-35.3635691,149.164723275,44813.5,67.25,104.25,-131.75,628.7699890136719,-24.75,-13.5,-1000.75,4.0,6.5,1.75,1500.0,AUTO,0.0
15:48:25,0.034741347655653954,-0.0010701052378863096,1.0159474611282349,0.9029748439788818,-0.0038827870739623904,-0.00030491314828395844,630385.0,-35.3635404,149.1647747,46431.0,45.5,44.0,161.0,630.3849792480469,-13.5,-17.5,-981.5,898.0,0.0,4.0,1500.0,ALT_HOLD,0.0
15:48:51,0.007666978907460968,0.0044389448982353015,-2.3096076250076294,-0.004730077227577567,0.000616277529237171,-0.00021072729335476956,628968.3333333334,-35.36355045,149.164763,45011.0,13.0,-13.0,-132.83333333333334,628.9683227539062,0.6666666666666666,-1.8333333333333333,-1011.6666666666666,0.6666666666666666,4.0,3.5,1500.0,AUTO,0.0
15:48:54,-0.0069550370099022985,0.00436438899487257,-2.3114389181137085,-0.0026819498743861914,-0.0005177593557164073,-0.00025227590231224895,633090.0,-35.3635487,149.164761425,49133.75,1.25,-1.5,-86.75,633.0899810791016,1.0,-1.25,-952.75,2.5,2.5,3.5,1500.0,AUTO,0.0
15:49:04,0.01686276835389435,0.00010158429049624828,-2.316356086730957,0.5566178262233734,-0.00571469864808023,-0.017493976419791578,633330.0,-35.36354944,149.16476254,49374.0,-2.8,-1.0,107.6,633.32998046875,0.2,1.2,-898.6,556.4,-2.0,-13.4,1500.0,ALT_HOLD,0.0
