,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
14:11:55.039,0.0,0.0,1.0,180.0,-0.5,420.0,-1.0,-0.5,180.0,0.0,96.0,2000.0,176.0,0.0,100.0,7.0,10.0,0.46,3.0,1.0,0.11,0.014,1.0,180.0,91.0
14:11:59.675,0.0,0.0,1.0,-52.0,-0.5,80.0,-1.0,-0.5,-180.0,0.0,33.0,3500.0,25.0,0.0,4.0,0.0,6.0,0.31,3.0,1.0,0.17,0.0,1.0,38.0,-175.0
14:12:05.029,0.0,0.0,1.0,-180.0,-0.5,870.0,-1.0,-0.5,15.0,72.0,100.0,4200.0,243.0,0.0,70.0,75.0,2.0,0.255,3.0,10.0,0.15,0.013,1.0,-180.0,-180.0
14:12:09.821,0.0,0.0,1.0,180.0,-0.5,90.0,-1.0,-0.5,-180.0,100.0,23.0,0.0,25.0,0.0,71.0,0.0,9.0,0.18,3.0,8.0,0.2,0.004,1.0,36.0,-113.0
14:12:14.016,0.0,0.0,1.0,-180.0,-0.5,1000.0,-1.0,-0.5,63.0,9.0,0.0,3700.0,188.0,0.0,100.0,51.0,10.0,0.325,3.0,3.0,0.2,0.001,1.0,180.0,36.0
14:12:19.383,0.0,0.0,1.0,122.0,-0.5,850.0,-1.0,-0.5,180.0,0.0,6.0,1600.0,25.0,0.0,20.0,26.0,7.0,0.345,3.0,1.0,0.09,0.0,1.0,-71.0,-174.0
14:12:23.586,0.0,0.0,1.0,-152.0,-0.5,630.0,-1.0,-0.5,-115.0,0.0,74.0,4500.0,156.0,0.0,56.0,71.0,4.0,0.6,3.0,10.0,0.17,0.015,1.0,-91.0,-180.0
14:12:29.117,0.0,0.0,1.0,33.0,-0.5,1000.0,-1.0,-0.5,180.0,47.0,0.0,4500.0,25.0,0.0,68.0,34.0,9.0,0.6,3.0,1.0,0.13,0.0,1.0,-87.0,180.0
14:12:33.596,0.0,0.0,1.0,-75.0,-0.5,1000.0,-1.0,-0.5,-47.0,97.0,98.0,4500.0,79.0,0.0,0.0,73.0,6.0,0.6,3.0,3.0,0.17,0.016,1.0,73.0,27.0
14:12:44.143,0.0,0.0,1.0,-66.0,-0.5,520.0,-1.0,-0.5,49.0,44.0,18.0,4500.0,250.0,0.0,55.0,20.0,7.0,0.495,3.0,6.0,0.01,0.006,1.0,101.0,154.0
14:12:50.093,0.0,0.0,1.0,142.0,-0.5,930.0,-1.0,-0.5,-172.0,65.0,37.0,4100.0,250.0,0.0,55.0,16.0,1.0,0.6,3.0,6.0,0.12,0.02,1.0,-69.0,-71.0
14:12:54.369,0.0,0.0,1.0,-15.0,-0.5,480.0,-1.0,-0.5,-180.0,0.0,59.0,4400.0,250.0,0.0,4.0,26.0,2.0,0.18,3.0,3.0,0.01,0.005,1.0,-145.0,140.0
14:12:58.767,0.0,0.0,1.0,139.0,-0.5,310.0,-1.0,-0.5,-180.0,13.0,16.0,1600.0,25.0,0.0,87.0,61.0,10.0,0.485,3.0,9.0,0.17,0.0,1.0,-27.0,-180.0
14:13:04.478,0.0,0.0,1.0,-176.0,-0.5,620.0,-1.0,-0.5,63.0,100.0,60.0,1100.0,234.0,0.0,83.0,22.0,4.0,0.59,3.0,6.0,0.04,0.0,1.0,-38.0,180.0
14:13:08.728,0.0,0.0,1.0,-50.0,-0.5,120.0,-1.0,-0.5,180.0,38.0,72.0,3500.0,196.0,0.0,0.0,19.0,1.0,0.475,3.0,5.0,0.12,0.015,1.0,180.0,-180.0
14:13:14.250,0.0,0.0,1.0,-120.0,-0.5,230.0,-1.0,-0.5,-14.0,0.0,29.0,0.0,179.0,0.0,8.0,43.0,5.0,0.215,3.0,2.0,0.2,0.013,1.0,128.0,29.0
14:13:23.046,0.0,0.0,1.0,29.0,-0.5,770.0,-1.0,-0.5,6.0,100.0,60.0,3200.0,211.0,0.0,78.0,33.0,4.0,0.18,3.0,10.0,0.2,0.016,1.0,-180.0,109.0
14:13:27.905,0.0,0.0,1.0,-70.0,-0.5,0.0,-1.0,-0.5,-180.0,100.0,51.0,0.0,211.0,0.0,45.0,0.0,4.0,0.355,3.0,1.0,0.17,0.004,1.0,112.0,-71.0
14:13:33.430,0.0,0.0,1.0,180.0,-0.5,80.0,-1.0,-0.5,8.0,0.0,71.0,2600.0,101.0,0.0,100.0,90.0,10.0,0.59,3.0,2.0,0.11,0.0,1.0,167.0,-148.0
14:13:39.398,0.0,0.0,1.0,-149.0,-0.5,610.0,-1.0,-0.5,108.0,56.0,51.0,2700.0,181.0,0.0,100.0,0.0,4.0,0.33,3.0,10.0,0.14,0.019,1.0,-125.0,-180.0
14:13:46.123,0.0,0.0,1.0,158.0,-0.5,1000.0,-1.0,-0.5,-180.0,32.0,42.0,1700.0,203.0,0.0,33.0,100.0,5.0,0.505,3.0,9.0,0.1,0.006,1.0,148.0,-21.0
14:13:50.187,0.0,0.0,1.0,175.0,-0.5,230.0,-1.0,-0.5,-46.0,19.0,100.0,900.0,185.0,0.0,28.0,1.0,7.0,0.6,3.0,7.0,0.14,0.014,1.0,180.0,-103.0
14:14:00.404,0.0,0.0,1.0,-25.0,-0.5,590.0,-1.0,-0.5,120.0,41.0,0.0,4000.0,250.0,0.0,100.0,100.0,5.0,0.18,3.0,1.0,0.17,0.005,1.0,180.0,-180.0
14:14:04.521,0.0,0.0,1.0,47.0,-0.5,950.0,-1.0,-0.5,-180.0,66.0,26.0,1400.0,131.0,0.0,100.0,100.0,2.0,0.18,3.0,1.0,0.17,0.007,1.0,-180.0,80.0
14:14:08.982,0.0,0.0,1.0,-118.0,-0.5,0.0,-1.0,-0.5,47.0,96.0,38.0,3400.0,90.0,0.0,100.0,51.0,4.0,0.18,3.0,9.0,0.12,0.02,1.0,-111.0,-96.0
