,A.AUTO1
14:46:00.861,-1
14:46:01.062,-1
14:46:01.264,-1
14:46:01.469,-1
14:46:01.671,-1
14:46:01.875,-1
14:46:02.092,-1
14:46:02.299,-1
14:46:02.500,-1
14:46:02.702,-1
14:46:02.905,-1
14:46:03.106,-1
14:46:03.308,-1
14:46:03.510,-1
14:46:03.720,-1
14:46:03.923,-1
14:46:04.132,-1
14:46:04.335,-1
14:46:04.537,-1
14:46:04.739,-1
14:46:04.945,-1
14:46:05.146,-1
14:46:05.348,-1
14:46:05.550,-1
14:46:05.753,-1
14:46:05.956,-1
14:46:06.169,-1
14:46:06.384,-1
14:46:06.588,-1
14:46:06.792,-1
14:46:06.996,-1
14:46:07.214,-1
14:46:07.421,-1
14:46:07.636,-1
14:46:07.849,-1
14:46:08.054,-1
14:46:08.259,-1
14:46:08.464,-1
14:46:08.665,-1
14:46:08.868,-1
14:46:09.070,-1
14:46:09.279,-1
14:46:09.481,-1
14:46:09.686,-1
14:46:09.888,-1
14:46:10.090,-1
14:46:10.293,-1
14:46:10.494,-1
14:46:10.703,-1
14:46:10.904,-1
14:46:11.105,-1
14:46:11.310,-1
14:46:11.516,-1
14:46:11.729,-1
