,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
16:50:09.445,0.0,0.0,1.0,-27.0,-0.5,80.0,-1.0,-0.5,14.0,6.0,57.0,900.0,96.0,0.0,71.0,11.0,7.0,0.465,3.0,3.0,0.15,0.0,1.0,-163.0,-149.0
16:50:14.534,0.0,0.0,1.0,-95.0,-0.5,930.0,-1.0,-0.5,53.0,32.0,37.0,2100.0,56.0,0.0,31.0,61.0,5.0,0.285,3.0,3.0,0.03,0.01,1.0,37.0,-178.0
16:50:19.342,0.0,0.0,1.0,-46.0,-0.5,320.0,-1.0,-0.5,-9.0,32.0,55.0,200.0,89.0,0.0,31.0,61.0,4.0,0.39,3.0,6.0,0.15,0.0,1.0,-125.0,159.0
16:50:24.135,0.0,0.0,1.0,-84.0,-0.5,520.0,-1.0,-0.5,-123.0,74.0,12.0,2600.0,93.0,0.0,58.0,3.0,8.0,0.215,3.0,5.0,0.12,0.0,1.0,85.0,-75.0
16:50:29.386,0.0,0.0,1.0,-95.0,-0.5,240.0,-1.0,-0.5,117.0,42.0,24.0,600.0,141.0,0.0,84.0,11.0,6.0,0.385,3.0,3.0,0.03,0.01,1.0,-172.0,-42.0
16:50:34.351,0.0,0.0,1.0,114.0,-0.5,240.0,-1.0,-0.5,6.0,77.0,16.0,2100.0,72.0,0.0,94.0,4.0,3.0,0.315,3.0,6.0,0.1,0.0,1.0,88.0,-111.0
16:50:40.005,0.0,0.0,1.0,-105.0,-0.5,240.0,-1.0,-0.5,59.0,74.0,48.0,3100.0,235.0,0.0,2.0,64.0,6.0,0.215,3.0,6.0,0.1,0.0,1.0,146.0,-58.0
16:50:45.205,0.0,0.0,1.0,91.0,-0.5,470.0,-1.0,-0.5,64.0,32.0,19.0,1100.0,199.0,0.0,44.0,82.0,3.0,0.215,3.0,5.0,0.03,0.0,1.0,38.0,48.0
16:50:49.279,0.0,0.0,1.0,-135.0,-0.5,380.0,-1.0,-0.5,-178.0,10.0,19.0,4300.0,159.0,0.0,69.0,38.0,5.0,0.225,3.0,9.0,0.04,0.01,1.0,-43.0,48.0
16:50:53.400,0.0,0.0,1.0,-27.0,-0.5,130.0,-1.0,-0.5,-156.0,82.0,22.0,1100.0,42.0,0.0,35.0,37.0,9.0,0.39,3.0,10.0,0.12,0.0,1.0,-93.0,-131.0
16:50:57.592,0.0,0.0,1.0,-109.0,-0.5,440.0,-1.0,-0.5,-119.0,32.0,21.0,3100.0,157.0,0.0,94.0,74.0,4.0,0.315,3.0,5.0,0.12,0.0,1.0,-161.0,-45.0
16:51:03.693,0.0,0.0,1.0,-161.0,-0.5,470.0,-1.0,-0.5,61.0,16.0,13.0,400.0,174.0,0.0,2.0,73.0,7.0,0.385,3.0,5.0,0.15,0.01,1.0,-171.0,-75.0
16:51:08.881,0.0,0.0,1.0,-172.0,-0.5,40.0,-1.0,-0.5,133.0,71.0,29.0,700.0,89.0,0.0,11.0,21.0,4.0,0.55,3.0,6.0,0.04,0.0,1.0,-111.0,61.0
16:51:13.731,0.0,0.0,1.0,-2.0,-0.5,30.0,-1.0,-0.5,-14.0,77.0,83.0,900.0,44.0,0.0,51.0,25.0,5.0,0.275,3.0,4.0,0.12,0.0,1.0,1.0,-30.0
16:51:19.099,0.0,0.0,1.0,51.0,-0.5,20.0,-1.0,-0.5,-178.0,75.0,1.0,1800.0,38.0,0.0,8.0,58.0,6.0,0.315,3.0,9.0,0.04,0.01,1.0,141.0,-55.0
16:51:25.065,0.0,0.0,1.0,-62.0,-0.5,770.0,-1.0,-0.5,-43.0,32.0,38.0,500.0,29.0,0.0,13.0,39.0,4.0,0.245,3.0,10.0,0.03,0.01,1.0,101.0,3.0
16:51:30.018,0.0,0.0,1.0,43.0,-0.5,40.0,-1.0,-0.5,112.0,44.0,29.0,200.0,177.0,0.0,90.0,37.0,3.0,0.325,3.0,4.0,0.2,0.01,1.0,77.0,-167.0
16:51:34.232,0.0,0.0,1.0,-41.0,-0.5,440.0,-1.0,-0.5,-156.0,69.0,34.0,1700.0,156.0,0.0,47.0,18.0,6.0,0.375,3.0,3.0,0.15,0.0,1.0,11.0,-113.0
16:51:38.979,0.0,0.0,1.0,151.0,-0.5,30.0,-1.0,-0.5,-144.0,75.0,76.0,300.0,159.0,0.0,6.0,13.0,10.0,0.585,3.0,5.0,0.03,0.0,1.0,-129.0,-136.0
16:51:43.695,0.0,0.0,1.0,-135.0,-0.5,160.0,-1.0,-0.5,-55.0,37.0,37.0,1600.0,89.0,0.0,78.0,82.0,7.0,0.325,3.0,3.0,0.12,0.0,1.0,-6.0,-55.0
16:51:48.946,0.0,0.0,1.0,-82.0,-0.5,10.0,-1.0,-0.5,-63.0,21.0,71.0,2800.0,157.0,0.0,41.0,70.0,6.0,0.205,3.0,3.0,0.03,0.0,1.0,-50.0,35.0
16:51:53.645,0.0,0.0,1.0,-22.0,-0.5,130.0,-1.0,-0.5,-74.0,6.0,48.0,1600.0,29.0,0.0,94.0,19.0,4.0,0.445,3.0,3.0,0.15,0.0,1.0,-152.0,-55.0
16:51:58.946,0.0,0.0,1.0,-152.0,-0.5,370.0,-1.0,-0.5,59.0,74.0,3.0,2500.0,182.0,0.0,50.0,4.0,5.0,0.39,3.0,10.0,0.03,0.0,1.0,-99.0,-15.0
16:52:03.746,0.0,0.0,1.0,-33.0,-0.5,30.0,-1.0,-0.5,-144.0,15.0,70.0,2400.0,38.0,0.0,38.0,80.0,3.0,0.47,3.0,6.0,0.04,0.01,1.0,-23.0,51.0
