,A.AUTO1
17:09:36.223,-1
17:09:36.424,-1
17:09:36.625,-1
17:09:36.827,-1
17:09:37.027,-1
17:09:37.229,-1
17:09:37.431,-1
17:09:37.631,-1
17:09:37.832,-1
17:09:38.033,-1
17:09:38.234,-1
17:09:38.435,-1
17:09:38.636,-1
17:09:38.837,-1
17:09:39.038,-1
17:09:39.239,-1
17:09:39.441,-1
17:09:39.643,-1
17:09:39.843,-1
17:09:40.044,-1
17:09:40.245,-1
17:09:40.447,-1
17:09:40.648,-1
17:09:40.849,-1
17:09:41.050,-1
17:09:41.252,-1
17:09:41.453,-1
17:09:41.655,-1
17:09:41.856,-1
17:09:42.057,-1
17:09:42.258,-1
17:09:42.459,-1
17:09:42.660,-1
17:09:42.861,-1
17:09:43.062,-1
17:09:43.267,-1
17:09:43.469,-1
17:09:43.670,-1
17:09:43.872,-1
17:09:44.073,-1
17:09:44.274,-1
17:09:44.475,-1
17:09:44.676,-1
17:09:44.877,-1
17:09:45.078,-1
17:09:45.279,-1
17:09:45.482,-1
17:09:45.685,-1
17:09:45.889,-1
17:09:46.089,-1
17:09:46.291,-1
17:09:46.492,-1
17:09:46.693,-1
17:09:46.894,-1
17:09:47.096,-1
17:09:47.299,-1
17:09:47.502,-1
17:09:47.704,-1
17:09:47.905,-1
17:09:48.106,-1
17:09:48.307,-1
17:09:48.509,-1
17:09:48.710,-1
17:09:48.911,-1
17:09:49.112,-1
17:09:49.313,-1
17:09:49.515,-1
17:09:49.716,-1
17:09:49.917,-1
17:09:50.118,-1
17:09:50.319,-1
17:09:50.520,-1
17:09:50.721,-1
17:09:50.922,-1
17:09:51.123,-1
17:09:51.324,-1
17:09:51.526,-1
17:09:51.727,-1
17:09:51.928,-1
17:09:52.129,-1
17:09:52.330,-1
17:09:52.531,-1
17:09:52.731,-1
17:09:52.932,-1
17:09:53.133,-1
17:09:53.334,-1
17:09:53.535,-1
17:09:53.737,-1
17:09:53.939,-1
17:09:54.142,-1
17:09:54.343,-1
17:09:54.544,-1
17:09:54.746,-1
17:09:54.947,-1
17:09:55.148,-1
17:09:55.349,-1
17:09:55.551,-1
17:09:55.754,-1
17:09:55.955,-1
17:09:56.156,-1
17:09:56.357,-1
17:09:56.558,-1
17:09:56.759,-1
17:09:56.960,-1
17:09:57.161,-1
17:09:57.363,-1
17:09:57.564,-1
17:09:57.766,-1
17:09:57.967,-1
17:09:58.168,-1
17:09:58.371,-1
17:09:58.573,-1
17:09:58.774,-1
17:09:58.976,-1
17:09:59.177,-1
17:09:59.382,-1
17:09:59.585,-1
17:09:59.788,-1
17:09:59.992,-1
17:10:00.194,-1
17:10:00.395,-1
17:10:00.596,-1
17:10:00.797,-1
17:10:00.999,-1
17:10:01.200,-1
17:10:01.401,-1
17:10:01.604,-1
17:10:01.804,-1
17:10:02.005,-1
17:10:02.207,-1
17:10:02.408,-1
17:10:02.609,-1
17:10:02.810,-1
17:10:03.012,-1
17:10:03.215,-1
17:10:03.418,-1
17:10:03.620,-1
17:10:03.824,-1
17:10:04.026,-1
17:10:04.227,-1
17:10:04.429,-1
17:10:04.630,-1
17:10:04.832,-1
17:10:05.033,-1
17:10:05.235,-1
17:10:05.439,-1
17:10:05.641,-1
17:10:05.843,-1
17:10:06.044,-1
17:10:06.246,-1
17:10:06.447,-1
17:10:06.648,-1
17:10:06.850,-1
17:10:07.051,-1
17:10:07.252,-1
17:10:07.454,-1
17:10:07.656,-1
17:10:07.859,-1
17:10:08.059,-1
17:10:08.260,-1
17:10:08.463,-1
17:10:08.665,-1
17:10:08.866,-1
17:10:09.068,-1
17:10:09.272,-1
17:10:09.475,-1
17:10:09.678,-1
17:10:09.882,-1
17:10:10.083,-1
17:10:10.285,-1
17:10:10.486,-1
17:10:10.687,-1
17:10:10.888,-1
17:10:11.089,-1
17:10:11.290,-1
17:10:11.493,-1
17:10:11.695,-1
17:10:11.897,-1
17:10:12.098,-1
17:10:12.299,-1
17:10:12.500,-1
17:10:12.702,-1
17:10:12.903,-1
17:10:13.105,-1
17:10:13.306,-1
17:10:13.513,-1
17:10:13.716,-1
17:10:13.920,-1
17:10:14.122,-1
17:10:14.324,-1
17:10:14.526,-1
17:10:14.727,-1
17:10:14.928,-1
17:10:15.130,-1
17:10:15.332,-1
17:10:15.533,-1
17:10:15.734,-1
17:10:15.935,-1
17:10:16.136,-1
17:10:16.337,-1
17:10:16.538,-1
17:10:16.739,-1
17:10:16.940,-1
17:10:17.141,-1
17:10:17.342,-1
17:10:17.544,-1
