,A.AUTO1
14:07:31.866,-1
14:07:32.067,-1
14:07:32.268,-1
14:07:32.469,-1
14:07:32.670,-1
14:07:32.871,-1
14:07:33.072,-1
14:07:33.276,-1
14:07:33.476,-1
14:07:33.679,-1
14:07:33.880,-1
14:07:34.081,-1
14:07:34.283,-1
14:07:34.484,-1
14:07:34.684,-1
14:07:34.886,-1
14:07:35.087,-1
14:07:35.289,-1
14:07:35.492,-1
14:07:35.693,-1
14:07:35.894,-1
14:07:36.094,-1
14:07:36.295,-1
14:07:36.498,-1
14:07:36.699,-1
14:07:36.900,-1
14:07:37.101,-1
14:07:37.303,-1
14:07:37.504,-1
14:07:37.705,-1
14:07:38.401,-1
14:07:38.602,-1
14:07:38.803,-1
14:07:39.004,-1
14:07:39.205,-1
14:07:39.406,-1
14:07:39.607,-1
14:07:39.808,-1
14:07:40.009,-1
14:07:40.210,-1
14:07:40.411,-1
14:07:40.612,-1
14:07:40.813,-1
14:07:41.014,-1
14:07:41.215,-1
14:07:41.417,-1
14:07:41.618,-1
14:07:41.821,-1
14:07:42.022,-1
14:07:42.227,-1
14:07:42.428,-1
14:07:42.629,-1
14:07:42.830,-1
14:07:43.031,-1
14:07:43.232,-1
14:07:43.433,-1
14:07:43.634,-1
14:07:43.836,-1
14:07:44.037,-1
14:07:44.239,-1
14:07:44.440,-1
14:07:44.641,-1
14:07:44.841,-1
14:07:45.043,-1
14:07:45.244,-1
14:07:45.444,-1
14:07:45.645,-1
14:07:45.846,-1
14:07:46.049,-1
14:07:46.250,-1
14:07:46.452,-1
14:07:46.653,-1
14:07:46.854,-1
14:07:47.055,-1
14:07:47.257,-1
14:07:47.458,-1
14:07:47.658,-1
14:07:47.860,-1
14:07:48.062,-1
14:07:48.263,-1
14:07:48.464,-1
14:07:48.664,-1
14:07:48.866,-1
14:07:49.067,-1
14:07:49.268,-1
14:07:49.469,-1
14:07:49.671,-1
14:07:49.872,-1
14:07:50.073,-1
14:07:50.274,-1
14:07:50.475,-1
14:07:50.676,-1
14:07:50.877,-1
14:07:51.078,-1
14:07:51.279,-1
14:07:51.480,-1
14:07:51.681,-1
14:07:51.882,-1
14:07:52.083,-1
14:07:52.284,-1
