time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,chan4_raw,RTL_ALT
14:27:04.818,STABILIZE,-35.3632621,149.1652375,0,-0.0004701594007201493,0.001075954525731504,0.023784106597304344,0.000277255690889433,0.0002903589338529855,0.002045979956164956,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:05.019,STABILIZE,-35.3632621,149.1652375,0,-0.0004701594007201493,0.001075954525731504,0.023784106597304344,0.000277255690889433,0.0002903589338529855,0.002045979956164956,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:05.220,STABILIZE,-35.3632621,149.1652375,0,-0.0004701594007201493,0.001075954525731504,0.023784106597304344,0.000277255690889433,0.0002903589338529855,0.002045979956164956,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:05.421,STABILIZE,-35.3632621,149.1652375,0,-0.0004701594007201493,0.001075954525731504,0.023784106597304344,0.000277255690889433,0.0002903589338529855,0.002045979956164956,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:05.622,STABILIZE,-35.3632621,149.1652375,0,-0.0009460970759391785,0.0009320175740867853,0.022640513256192207,0.00030356168281286955,0.00018557702424004674,0.0017532168421894312,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:27:05.823,STABILIZE,-35.3632621,149.1652375,0,-0.0009499513544142246,0.0009286068379878998,0.022559596225619316,0.00031167606357485056,0.00015298259677365422,0.0017059885431081057,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:27:06.024,STABILIZE,-35.3632621,149.1652375,0,-0.0009522362961433828,0.0009291245369240642,0.022487111389636993,0.00038003060035407543,0.00013983930693939328,0.0016895299777388573,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:06.225,STABILIZE,-35.3632621,149.1652375,0,-0.0009522362961433828,0.0009291245369240642,0.022487111389636993,0.00038003060035407543,0.00013983930693939328,0.0016895299777388573,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:06.426,STABILIZE,-35.3632621,149.1652375,0,-0.0009522362961433828,0.0009291245369240642,0.022487111389636993,0.00038003060035407543,0.00013983930693939328,0.0016895299777388573,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:27:06.626,STABILIZE,-35.3632621,149.1652375,0,-0.0009512774413451552,0.0009369717445224524,0.022363556548953056,0.0002604415058158338,0.00025614857440814376,0.001707978779450059,0,1,-1000,0,1,1,-1,1,0,1500,1500.0
