,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
14:50:31.778,2351.028532952338,79277.11434976719,972.4124948111329,46.0,-0.4873825861615761,100.0,-0.7820259470566181,0.36390112982717393,171.0,61.0,38.0,1000.0,110.0,29.25400810307278,77.0,68.0,8.0,0.52,3.269406959516841,8.0,0.1,0.0,22.15974501026808,-178.0,11.0
14:50:34.784,12071.194062117778,56663.971727759636,688.9495528124819,158.0,0.5198624725125613,250.0,0.3500823416480605,0.2827839496818185,143.0,69.0,18.0,1000.0,52.0,81.91153063644869,20.0,97.0,5.0,0.35,10.209245185729838,4.0,0.19,0.01,23.139743722989156,-139.0,-53.0
14:50:37.788,18605.698151892677,80021.21032402449,638.4010410978751,98.0,0.27540764179658006,870.0,-0.681233575401525,0.5309491131840136,-103.0,75.0,31.0,1300.0,119.0,19.15206114988346,39.0,61.0,5.0,0.2,11.914508547866026,2.0,0.16,0.02,28.81050452085185,-97.0,-107.0
14:50:40.792,4042.3282833066964,50589.16832842404,776.6492567475487,-163.0,0.6715822898198285,210.0,-0.7807977750743547,0.6046967644349337,102.0,11.0,64.0,4000.0,177.0,21.51810278027314,68.0,32.0,9.0,0.52,5.2893933873400325,8.0,0.12,0.0,14.648508340811349,-45.0,146.0
14:50:43.796,25712.354649749,93283.44982966948,101.14714356229295,58.0,0.5943422047984224,410.0,-0.5493454635372113,0.04667548411926625,75.0,9.0,59.0,700.0,249.0,83.67816733318676,88.0,96.0,10.0,0.23,7.540519080292701,6.0,0.18,0.01,2.376371434171847,-6.0,-11.0
14:50:47.244,436.01491193668113,9700.695356449196,437.88270455455995,-161.0,-0.4270261151613368,350.0,0.8529871271309615,-0.22747847697942525,-44.0,70.0,61.0,2300.0,144.0,79.03389958242339,20.0,43.0,10.0,0.54,10.259107890554194,5.0,0.1,0.01,11.027681184265845,-6.0,39.0
14:50:50.248,25762.92489812881,13065.705481997602,978.1159635762733,39.0,0.3545684018609777,890.0,0.8346636368925484,0.6691049037002386,-103.0,8.0,56.0,500.0,66.0,17.876372763505664,98.0,38.0,6.0,0.38,6.809875211126599,9.0,0.05,0.01,18.789366282550425,-84.0,43.0
14:50:53.253,22438.17193745334,12085.648956581863,662.3272642189312,-166.0,0.6646020661676075,790.0,0.1579811341500965,-0.3416015704542291,-36.0,72.0,98.0,1700.0,110.0,0.3267901176375876,75.0,48.0,10.0,0.27,3.5414187509785604,10.0,0.06,0.02,28.114037527883067,126.0,-158.0
14:50:56.256,7986.170517957263,26348.28661714339,924.8714584929529,6.0,-0.24647502666597682,890.0,-0.5007359457329646,0.3164699285439412,-156.0,40.0,9.0,1000.0,124.0,14.315387868372586,36.0,59.0,10.0,0.56,7.015634685063455,5.0,0.09,0.0,11.759720751016062,-50.0,42.0
14:50:59.261,2737.7096003297884,63672.73331572002,675.3328292900443,-115.0,-0.21991192430164697,90.0,-0.7326922275312235,-0.35038962224859643,60.0,76.0,16.0,4300.0,60.0,4.3778739793636,64.0,90.0,8.0,0.57,8.64836502669074,5.0,0.17,0.02,21.23142423843931,150.0,-157.0
14:51:02.267,17482.575658238817,49597.76773425246,777.2335049003626,63.0,0.2451484375791746,850.0,0.20206640352190952,0.5955333444713389,115.0,52.0,2.0,800.0,142.0,57.56995197182591,40.0,38.0,5.0,0.56,3.5141304189405043,4.0,0.2,0.01,14.728761248149064,-100.0,61.0
14:51:05.275,29162.841350986553,78534.6892984667,897.4100945142909,166.0,0.9138077188772549,210.0,0.2285391766079754,0.5491047793954544,66.0,89.0,88.0,300.0,173.0,33.673501149429164,10.0,33.0,9.0,0.24,3.8834364592178896,4.0,0.09,0.02,19.468283052010182,114.0,-79.0
14:51:08.280,28543.27573473453,59298.64590693762,103.93209487160985,-171.0,0.5945250206781736,730.0,0.021625651450786876,0.3160264113055413,73.0,45.0,29.0,1700.0,46.0,93.60907963549839,6.0,86.0,7.0,0.22,4.349482813855323,7.0,0.05,0.02,24.738537623518695,78.0,-22.0
14:51:11.286,18793.664033591747,82444.08791363199,229.04369626868782,-56.0,0.47447507317136317,20.0,-0.6005656137876786,0.593026091071261,24.0,97.0,48.0,3400.0,197.0,68.09318833382855,99.0,70.0,5.0,0.48,8.931008005219368,9.0,0.16,0.02,22.826558056251887,-6.0,-1.0
14:51:14.290,10308.273571876856,78383.01089787878,728.216224554702,122.0,0.6227293674124041,870.0,-0.07494503290347476,-0.39436862096232056,-137.0,79.0,71.0,1200.0,106.0,11.521996474075646,64.0,8.0,5.0,0.5,11.846942574298849,9.0,0.13,0.01,6.677636425234985,124.0,68.0
14:51:17.300,21043.535461545554,41724.95344512722,407.18318270102145,25.0,0.6915194967183957,620.0,-0.20075787001458056,-0.17450109793311497,47.0,95.0,6.0,200.0,229.0,77.86131410038108,89.0,72.0,5.0,0.53,3.538683369467576,7.0,0.09,0.0,21.025617731971572,152.0,171.0
14:51:20.303,1800.7470157818866,51215.087196684304,541.8893398268127,179.0,-0.3253549990729244,630.0,0.5959386322412119,-0.46152249462213374,29.0,57.0,21.0,4200.0,227.0,54.4060066019708,72.0,23.0,2.0,0.56,10.851441003292845,6.0,0.15,0.01,12.61904693614122,162.0,-37.0
