,A.BRAKE1
16:09:47.956,-1
16:09:48.157,-1
16:09:48.358,-1
16:09:48.558,-1
16:09:48.759,-1
16:09:48.960,-1
16:09:49.161,-1
16:09:49.363,-1
16:09:49.564,-1
16:09:49.764,-1
16:09:49.965,-1
16:09:50.166,-1
16:09:50.367,-1
16:09:50.568,-1
16:09:50.768,-1
16:09:50.969,-1
16:09:51.170,-1
16:09:51.372,-1
16:09:51.573,-1
16:09:51.774,-1
16:09:51.974,-1
16:09:52.175,-1
16:09:52.376,-1
16:09:52.577,-1
16:09:52.778,-1
16:09:52.979,-1
16:09:53.180,-1
16:09:53.381,-1
16:09:53.582,-1
16:09:53.783,-1
16:09:53.984,-1
16:09:54.185,-1
16:09:54.386,-1
16:09:54.587,-1
16:09:54.788,-1
16:09:54.988,-1
16:09:55.189,-1
16:09:55.390,-1
16:09:55.591,-1
16:09:55.792,-1
16:09:55.992,-1
16:09:56.193,-1
16:09:56.394,-1
16:09:56.595,-1
16:09:56.796,-1
16:09:56.997,-1
16:09:57.198,-1
16:09:57.400,-1
16:09:57.601,-1
16:09:57.802,-1
16:09:58.004,-1
16:09:58.205,-1
16:09:58.405,-1
16:09:58.606,-1
16:09:58.807,-1
16:09:59.008,-1
16:09:59.210,-1
16:09:59.413,-1
16:09:59.614,-1
16:09:59.815,-1
16:10:00.016,-1
16:10:00.217,-1
16:10:00.418,-1
16:10:00.619,-1
16:10:00.820,-1
16:10:01.020,-1
16:10:01.222,-1
16:10:01.423,-1
16:10:01.624,-1
16:10:01.825,-1
16:10:02.025,-1
16:10:02.227,-1
16:10:02.428,-1
16:10:02.630,-1
16:10:02.831,-1
16:10:03.033,-1
16:10:03.234,-1
16:10:03.436,-1
16:10:03.637,-1
16:10:03.837,-1
16:10:04.038,-1
16:10:04.239,-1
16:10:04.440,-1
16:10:04.641,-1
16:10:04.841,-1
16:10:05.043,-1
16:10:05.244,-1
16:10:05.446,-1
16:10:05.646,-1
16:10:05.847,-1
16:10:06.048,-1
16:10:06.249,-1
16:10:06.450,-1
16:10:06.651,-1
16:10:06.851,-1
16:10:07.056,-1
16:10:07.258,-1
16:10:07.458,-1
16:10:07.659,-1
16:10:07.860,-1
16:10:08.061,-1
16:10:08.262,-1
16:10:08.463,-1
16:10:08.664,-1
16:10:08.865,-1
16:10:09.066,-1
16:10:09.267,-1
16:10:09.469,-1
16:10:09.670,-1
16:10:09.871,-1
16:10:10.072,-1
16:10:10.273,-1
16:10:10.474,-1
