time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT
18:38:35,-0.0008666758367326111,0.0010004231589846313,0.021739106625318527,0.0002286408853251487,0.00013436094741337,0.0013869657996110618,-35.3632622,149.1652375,44.5,-1.0,2.0,1.0,0.0,1.5,-1000.0,0.5,0.5,0.5,AUTO,1500.0
18:38:37,-0.0010338680585846305,0.0011270717368461192,0.021340313367545605,0.0003405916504561901,0.00027739990036934614,0.0013817258877679706,-35.3632621,149.1652375,1.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.5,0.0,0.0,AUTO,1500.0
18:38:39,-0.0004415842267917469,0.001652641745749861,0.020887715741991997,0.0002768610720522702,0.00025265556178055704,0.001346596924122423,-35.3632621,149.1652374,10.0,0.0,0.0,-1.0,0.0,1.0,-1000.0,0.5,0.5,0.0,AUTO,1500.0
18:38:41,0.024973511695861816,-0.001332891042693518,0.020271001383662224,0.04661890119314194,-0.007197192404419184,0.0022631303872913122,-35.36326205,149.16523755,1510.5,0.5,6.0,-146.5,0.0,-0.5,-1015.0,47.0,-6.0,1.5,AUTO,1500.0
18:38:43,-0.03449862543493509,0.013796946965157986,-0.07515166699886322,-0.041371836327016354,-0.018240547738969326,-0.040436094626784325,-35.36326095,149.16524505,4562.5,0.0,35.5,-149.5,4.0,-8.0,-1003.5,-40.0,-17.0,-40.5,AUTO,1500.0
18:38:45,-0.008044160378631204,-0.00031545478850603104,-0.0951562449336052,0.06606769189238548,0.013256656005978584,0.001817653828766197,-35.363261249999994,149.16524015,7634.5,-4.5,-60.0,-150.5,-7.5,13.0,-1003.0,66.5,13.5,1.0,AUTO,1500.0
18:38:47,0.01858549634926021,-0.015176496468484402,-0.06889184936881065,-0.09608444198966026,0.012474433984607458,-0.010743428603745997,-35.3632628,149.1652348,10751.0,-0.5,25.0,-148.5,3.0,-3.0,-999.5,-95.0,12.5,-11.0,AUTO,1500.0
18:38:49,-0.0033026256132870913,0.006123512517660856,-0.13585849851369858,0.0238563921302557,0.006561765214428306,-0.02324170060455799,-35.36326165,149.1652364,13856.0,4.0,-7.5,-152.5,-2.0,0.0,-1000.0,24.0,7.0,-23.0,AUTO,1500.0
18:38:51,0.007950372993946075,0.005378175061196089,-0.16052526235580444,-0.005098503897897899,-0.0013964979443699121,-0.011347819585353136,-35.363261449999996,149.1652353,16981.5,-4.0,4.0,-152.0,0.0,0.0,-1000.0,-4.0,0.0,-11.0,AUTO,1500.0
18:38:53,0.001527359476312995,0.0025679694954305887,-0.19484004378318787,0.00047584017738699913,0.0007869196706451476,-0.02067186590284109,-35.36326175,149.16523604999998,20109.5,-3.0,5.0,-153.0,0.0,0.0,-1000.0,1.0,1.0,-20.0,AUTO,1500.0
18:38:55,0.0020314462017267942,0.0030606272630393505,-0.23671428114175797,-0.0012684962712228298,0.0004996926436433569,-0.020222690887749195,-35.36326185,149.1652364,23226.0,-2.0,3.0,-153.0,0.0,0.0,-1000.0,-0.5,1.0,-20.0,AUTO,1500.0
18:38:57,0.003006384678883478,0.0048079462721943855,-0.2509623169898987,0.02996869944036007,-0.0029056642670184374,0.02233145199716091,-35.3632621,149.1652365,26352.5,-4.5,-1.5,-153.0,0.0,0.5,-1001.0,30.0,-2.0,21.5,AUTO,1500.0
18:38:59,0.0024569372762925923,0.0017601018189452589,-0.2036183550953865,-0.004974596900865436,0.0016129903378896415,0.021449093706905842,-35.3632624,149.1652371,29470.5,0.0,8.0,-152.0,0.0,-1.0,-1000.0,-3.5,2.0,20.5,AUTO,1500.0
18:39:01,-0.0010165426065213978,0.001209819980431348,-0.16867569833993912,0.0015014101518318057,0.000489087076857686,0.015557055827230215,-35.3632623,149.165238,32578.5,0.0,1.5,-153.0,0.0,0.0,-1000.0,2.5,1.0,15.0,AUTO,1500.0
18:39:03,0.0012348928139545023,0.0010466125095263124,-0.14287136495113373,0.0015504286857321858,-0.00021071333321742713,0.011311713606119156,-35.3632622,149.16523784999998,35694.0,0.0,0.0,-153.0,0.0,0.0,-1000.5,2.0,0.5,10.5,AUTO,1500.0
18:39:05,0.0019524343078956008,0.001796656521037221,-0.12342676520347595,0.0015015299431979656,0.0009049869840964675,0.009794667828828096,-35.3632621,149.1652375,38812.0,0.0,0.0,-153.0,0.0,0.0,-1000.0,2.0,1.5,9.5,AUTO,1500.0
18:39:07,0.001459952094592154,0.0017106742016039789,-0.10860506817698479,-0.0019311026553623378,0.0001861079945228994,0.006495183100923896,-35.363262,149.1652373,41922.5,-1.0,1.0,-153.0,0.0,0.0,-999.5,-0.5,0.5,6.0,AUTO,1500.0
18:39:09,0.0019559000502340496,0.0014193059760145843,-0.09620870277285576,0.0008694744319655001,0.0004906500689685345,0.006153653142973781,-35.363262,149.1652372,45036.0,-1.0,1.0,-153.0,0.0,0.0,-1000.0,2.0,1.5,5.5,AUTO,1500.0
18:39:11,-0.056071311235427856,0.0588600542396307,0.17772382497787476,-0.00826830044388771,-0.0878370851278305,0.4041468948125839,-35.363262500000005,149.16523655,48064.0,-23.5,-22.5,-126.5,2.5,5.0,-947.0,-7.0,-86.5,403.5,AUTO,1500.0
18:39:13,0.033560872077941895,-0.02380569837987423,0.2733936756849289,0.02726197335869074,0.04374654032289982,-0.034294554963707924,-35.36326415,149.1652328,49704.5,17.0,20.5,-47.0,-2.5,-5.0,-977.5,28.0,44.5,-33.5,AUTO,1500.0
18:39:15,-0.029895585030317307,0.02947518602013588,0.21387100964784622,-0.37081003934144974,0.018057507346384227,-0.032351850531995296,-35.363261050000006,149.16523825,50170.5,4.0,16.0,4.5,1.0,1.0,-952.0,-366.5,19.0,-31.5,AUTO,1500.0
18:39:17,-0.01000851602293551,-0.0016363781760446727,0.17136573791503906,0.018748342990875244,0.0033229809487238526,-0.01429057028144598,-35.36326165,149.1652391,49964.5,-0.5,1.0,-0.5,0.5,17.5,-1004.5,23.0,4.0,-13.5,BRAKE,1500.0
18:39:19,-0.0014967989536671666,-0.0031332557555288076,0.1405922695994377,0.35726107843220234,-0.003422671929001808,-0.013109929393976927,-35.363262250000005,149.16524005000002,49964.0,2.5,-8.5,-2.0,1.0,1.5,-996.0,356.0,-1.5,-12.5,ALT_HOLD,1500.0
