,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
21:33:08.830,1.1,0.1,236.0,847.0,0.1,0.0,0.0,20.0,50.0,10.0,62.0,16.0,3.0,3.0,84.0,53.0,78.0,2.0,14.0,105.0,84.0,82.0,0.0,1.0,35.0
21:33:13.855,0.3,0.1,55.0,1957.0,0.1,0.0,0.0,20.0,10.0,160.0,8.0,87.0,9.0,61.0,114.0,23.0,3.0,93.0,53.0,34.0,42.0,6.0,0.0,1.0,25.0
21:33:19.313,1.2,0.1,142.0,967.0,0.1,0.0,0.0,10.0,70.0,80.0,16.0,84.0,28.0,116.0,12.0,81.0,27.0,67.0,8.0,99.0,29.0,19.0,0.0,1.0,25.0
21:33:26.375,0.2,0.1,31.0,3092.0,0.1,0.0,0.0,20.0,40.0,120.0,52.0,19.0,30.0,119.0,15.0,7.0,99.0,42.0,17.0,35.0,57.0,5.0,0.0,1.0,15.0
21:33:31.298,0.3,0.1,27.0,997.0,0.1,0.0,0.0,50.0,20.0,240.0,56.0,99.0,12.0,71.0,9.0,15.0,48.0,78.0,84.0,12.0,17.0,29.0,0.0,1.0,35.0
21:33:37.381,0.5,0.1,112.0,235.0,0.1,0.0,0.0,130.0,20.0,60.0,69.0,4.0,2.0,17.0,119.0,53.0,112.0,21.0,30.0,23.0,23.0,34.0,0.0,1.0,20.0
21:33:43.317,0.7,0.1,181.0,3543.0,0.1,0.0,0.0,10.0,40.0,20.0,90.0,24.0,7.0,29.0,113.0,57.0,25.0,13.0,2.0,25.0,52.0,45.0,0.0,1.0,15.0
21:33:49.363,0.7,0.1,91.0,2217.0,0.1,0.0,0.0,70.0,40.0,120.0,8.0,6.0,30.0,116.0,75.0,4.0,3.0,23.0,95.0,6.0,49.0,112.0,0.0,1.0,15.0
21:33:55.150,1.2,0.1,201.0,2359.0,0.1,0.0,0.0,50.0,80.0,10.0,37.0,57.0,26.0,98.0,17.0,2.0,37.0,57.0,23.0,23.0,23.0,82.0,0.0,1.0,50.0
21:34:01.151,1.2,0.1,79.0,3243.0,0.1,0.0,0.0,40.0,20.0,60.0,35.0,24.0,12.0,42.0,30.0,39.0,4.0,17.0,14.0,31.0,41.0,27.0,0.0,1.0,50.0
21:34:06.398,0.7,0.1,226.0,180.0,0.1,0.0,0.0,100.0,40.0,160.0,19.0,8.0,12.0,6.0,74.0,76.0,77.0,13.0,73.0,38.0,99.0,60.0,0.0,1.0,30.0
21:34:11.354,0.5,0.1,129.0,2258.0,0.1,0.0,0.0,70.0,80.0,160.0,13.0,1.0,28.0,60.0,116.0,42.0,21.0,23.0,17.0,29.0,90.0,5.0,0.0,1.0,50.0
21:34:17.198,1.4,0.1,133.0,541.0,0.1,0.0,0.0,20.0,10.0,40.0,16.0,1.0,21.0,111.0,15.0,60.0,38.0,74.0,19.0,4.0,71.0,23.0,0.0,1.0,25.0
21:34:23.240,1.3,0.1,58.0,838.0,0.1,0.0,0.0,80.0,20.0,210.0,2.0,8.0,5.0,114.0,21.0,67.0,7.0,30.0,62.0,70.0,74.0,56.0,0.0,1.0,30.0
21:34:31.124,0.5,0.1,121.0,1965.0,0.1,0.0,0.0,40.0,10.0,40.0,10.0,31.0,13.0,6.0,48.0,69.0,80.0,15.0,21.0,60.0,21.0,13.0,0.0,1.0,45.0
21:34:36.590,0.5,0.1,98.0,1041.0,0.1,0.0,0.0,10.0,50.0,120.0,50.0,86.0,10.0,33.0,42.0,3.0,45.0,57.0,31.0,7.0,46.0,78.0,0.0,1.0,30.0
21:34:41.488,0.3,0.1,162.0,4798.0,0.1,0.0,0.0,50.0,100.0,110.0,28.0,29.0,9.0,103.0,23.0,31.0,5.0,21.0,53.0,15.0,42.0,15.0,0.0,1.0,25.0
21:34:47.356,0.5,0.1,115.0,2207.0,0.1,0.0,0.0,20.0,130.0,110.0,2.0,63.0,20.0,21.0,110.0,38.0,45.0,39.0,9.0,19.0,83.0,62.0,0.0,1.0,15.0
21:34:53.144,0.3,0.1,82.0,2346.0,0.1,0.0,0.0,20.0,10.0,130.0,63.0,77.0,7.0,34.0,56.0,67.0,49.0,81.0,25.0,33.0,13.0,99.0,0.0,1.0,25.0
21:34:59.141,0.5,0.1,30.0,836.0,0.1,0.0,0.0,70.0,20.0,100.0,80.0,98.0,21.0,14.0,80.0,113.0,21.0,8.0,66.0,27.0,34.0,69.0,0.0,1.0,45.0
21:35:04.783,1.3,0.1,194.0,1804.0,0.1,0.0,0.0,100.0,40.0,80.0,16.0,35.0,35.0,74.0,30.0,27.0,21.0,34.0,29.0,25.0,19.0,21.0,0.0,1.0,20.0
21:35:09.582,0.5,0.1,69.0,1968.0,0.1,0.0,0.0,40.0,20.0,60.0,65.0,53.0,7.0,53.0,5.0,25.0,115.0,5.0,37.0,45.0,57.0,21.0,0.0,1.0,15.0
21:35:14.463,0.2,0.1,77.0,2780.0,0.1,0.0,0.0,10.0,120.0,80.0,21.0,32.0,2.0,83.0,5.0,83.0,3.0,21.0,5.0,37.0,105.0,27.0,0.0,1.0,35.0
21:35:19.478,0.7,0.1,136.0,865.0,0.1,0.0,0.0,80.0,40.0,120.0,57.0,32.0,7.0,98.0,34.0,34.0,65.0,27.0,37.0,45.0,29.0,34.0,0.0,1.0,35.0
21:35:25.283,0.9,0.1,147.0,3283.0,0.1,0.0,0.0,10.0,20.0,60.0,13.0,87.0,13.0,3.0,58.0,49.0,12.0,14.0,49.0,92.0,9.0,29.0,0.0,1.0,25.0
21:35:33.252,0.3,0.1,58.0,2497.0,0.1,0.0,0.0,10.0,40.0,40.0,53.0,44.0,10.0,98.0,42.0,39.0,54.0,34.0,27.0,38.0,3.0,57.0,0.0,1.0,40.0
21:35:38.846,1.3,0.1,203.0,210.0,0.1,0.0,0.0,50.0,40.0,210.0,63.0,4.0,20.0,34.0,34.0,56.0,10.0,23.0,27.0,68.0,8.0,96.0,0.0,1.0,25.0
