,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
16:32:08.554,1.0,0.1,48.0,4283.0,0.1,0.0,0.0,30.0,0.0,90.0,14.0,38.0,13.0,120.0,27.0,49.0,0.0,55.0,103.0,24.0,99.0,120.0,0.0,1.0,40.0
16:32:17.295,2.0,0.1,25.0,3280.0,0.1,0.0,0.0,0.0,130.0,160.0,0.0,71.0,0.0,120.0,80.0,120.0,11.0,0.0,63.0,0.0,0.0,77.0,0.0,1.0,50.0
16:32:23.076,2.0,0.1,56.0,3078.0,0.1,0.0,0.0,90.0,130.0,90.0,100.0,92.0,9.0,120.0,27.0,47.0,0.0,71.0,0.0,0.0,49.0,29.0,0.0,1.0,10.0
16:32:28.071,1.5,0.1,25.0,5000.0,0.1,0.0,0.0,100.0,0.0,250.0,67.0,100.0,29.0,13.0,120.0,102.0,0.0,120.0,66.0,8.0,86.0,75.0,0.0,1.0,30.0
16:32:33.068,2.0,0.1,25.0,2514.0,0.1,0.0,0.0,20.0,80.0,180.0,90.0,0.0,40.0,28.0,120.0,65.0,0.0,0.0,0.0,82.0,71.0,29.0,0.0,1.0,10.0
16:32:50.355,0.5,0.1,61.0,0.0,0.1,0.0,0.0,110.0,0.0,0.0,48.0,95.0,9.0,96.0,74.0,0.0,120.0,47.0,0.0,52.0,69.0,0.0,0.0,1.0,10.0
16:33:16.301,0.9,0.1,144.0,0.0,0.1,0.0,0.0,30.0,130.0,150.0,0.0,51.0,7.0,93.0,120.0,21.0,0.0,101.0,120.0,72.0,120.0,68.0,0.0,1.0,10.0
16:33:22.154,1.3,0.1,91.0,2087.0,0.1,0.0,0.0,130.0,10.0,220.0,0.0,0.0,9.0,0.0,53.0,0.0,83.0,87.0,55.0,120.0,5.0,0.0,0.0,1.0,50.0
16:33:26.524,1.6,0.1,170.0,2908.0,0.1,0.0,0.0,50.0,0.0,250.0,100.0,68.0,18.0,31.0,120.0,31.0,87.0,78.0,43.0,102.0,28.0,0.0,0.0,1.0,40.0
16:33:32.031,2.0,0.1,250.0,0.0,0.1,0.0,0.0,80.0,50.0,0.0,85.0,100.0,3.0,0.0,42.0,0.0,51.0,0.0,98.0,103.0,72.0,52.0,0.0,1.0,25.0
16:33:36.359,0.0,0.1,250.0,2571.0,0.1,0.0,0.0,30.0,50.0,0.0,9.0,94.0,40.0,87.0,0.0,22.0,45.0,60.0,82.0,0.0,38.0,94.0,0.0,1.0,15.0
16:33:40.914,0.4,0.1,250.0,5000.0,0.1,0.0,0.0,110.0,130.0,220.0,68.0,60.0,20.0,64.0,0.0,69.0,63.0,12.0,60.0,73.0,120.0,63.0,0.0,1.0,10.0
16:33:46.099,0.8,0.1,25.0,2510.0,0.1,0.0,0.0,60.0,40.0,120.0,70.0,100.0,17.0,120.0,116.0,74.0,78.0,14.0,86.0,29.0,27.0,20.0,0.0,1.0,35.0
16:33:54.318,1.9,0.1,96.0,888.0,0.1,0.0,0.0,90.0,10.0,100.0,0.0,24.0,30.0,21.0,0.0,14.0,19.0,23.0,120.0,96.0,31.0,120.0,0.0,1.0,45.0
16:34:00.304,2.0,0.1,215.0,252.0,0.1,0.0,0.0,0.0,20.0,70.0,100.0,33.0,24.0,55.0,120.0,63.0,120.0,4.0,120.0,120.0,88.0,27.0,0.0,1.0,20.0
16:34:06.412,1.5,0.1,90.0,1756.0,0.1,0.0,0.0,130.0,30.0,220.0,0.0,100.0,22.0,120.0,120.0,120.0,58.0,79.0,60.0,110.0,106.0,23.0,0.0,1.0,30.0
16:34:10.851,0.0,0.1,250.0,3242.0,0.1,0.0,0.0,120.0,10.0,150.0,33.0,51.0,40.0,78.0,69.0,16.0,120.0,0.0,70.0,94.0,62.0,31.0,0.0,1.0,20.0
16:34:16.058,1.0,0.1,137.0,4335.0,0.1,0.0,0.0,130.0,0.0,140.0,0.0,0.0,13.0,120.0,10.0,79.0,0.0,17.0,67.0,86.0,78.0,119.0,0.0,1.0,40.0
16:34:20.303,2.0,0.1,211.0,5000.0,0.1,0.0,0.0,120.0,130.0,100.0,0.0,98.0,40.0,0.0,32.0,103.0,46.0,100.0,61.0,0.0,116.0,0.0,0.0,1.0,30.0
16:34:28.851,2.0,0.1,139.0,569.0,0.1,0.0,0.0,130.0,130.0,0.0,77.0,74.0,30.0,0.0,120.0,120.0,120.0,71.0,50.0,120.0,59.0,120.0,0.0,1.0,20.0
