,A.BRAKE1
18:33:17.473,-1
18:33:17.675,-1
18:33:17.879,-1
18:33:18.087,-1
18:33:18.289,-1
18:33:18.492,-1
18:33:18.693,-1
18:33:18.901,-1
18:33:19.104,-1
18:33:19.307,-1
18:33:19.509,-1
18:33:19.714,-1
18:33:19.917,-1
18:33:20.118,-1
18:33:20.322,-1
18:33:20.525,-1
18:33:20.732,-1
18:33:20.936,-1
18:33:21.139,-1
18:33:21.342,-1
18:33:21.546,-1
18:33:21.750,-1
18:33:21.953,-1
18:33:22.156,-1
18:33:22.357,-1
18:33:22.559,-1
18:33:22.766,-1
18:33:22.967,-1
18:33:23.169,-1
18:33:23.374,-1
18:33:23.578,-1
18:33:23.780,-1
18:33:23.984,-1
18:33:24.188,-1
18:33:24.390,-1
18:33:24.598,-1
18:33:24.804,-1
18:33:25.006,-1
18:33:25.217,-1
18:33:25.419,-1
18:33:25.622,-1
18:33:25.826,-1
18:33:26.029,-1
18:33:26.231,-1
18:33:26.432,-1
18:33:26.637,-1
18:33:26.843,-1
18:33:27.047,-1
18:33:27.254,-1
18:33:27.464,-1
18:33:27.666,-1
18:33:27.873,-1
18:33:28.078,-1
18:33:28.280,-1
18:33:28.482,-1
18:33:28.684,-1
18:33:28.891,-1
18:33:29.095,-1
18:33:29.297,-1
18:33:29.501,-1
18:33:29.705,-1
18:33:29.908,-1
18:33:30.115,-1
18:33:30.316,-1
18:33:30.518,-1
18:33:30.721,-1
18:33:30.923,-1
18:33:31.125,-1
18:33:31.333,-1
18:33:31.542,-1
18:33:31.745,-1
18:33:31.950,-1
18:33:32.153,-1
18:33:32.354,-1
18:33:32.558,-1
18:33:32.766,-1
18:33:32.976,-1
18:33:33.181,-1
18:33:33.383,-1
18:33:33.590,-1
18:33:33.792,-1
18:33:33.995,-1
18:33:34.200,-1
18:33:34.401,-1
18:33:34.603,-1
18:33:34.806,-1
18:33:35.010,-1
18:33:35.212,-1
18:33:35.415,-1
18:33:35.617,-1
18:33:35.822,-1
18:33:36.024,-1
18:33:36.227,-1
18:33:36.428,-1
18:33:36.633,-1
18:33:36.835,-1
18:33:37.039,-1
18:33:37.245,-1
18:33:37.451,-1
18:33:37.654,-1
18:33:37.857,-1
18:33:38.058,-1
18:33:38.261,-1
18:33:38.464,-1
18:33:38.670,-1
18:33:38.882,-1
18:33:39.087,-1
18:33:39.289,-1
18:33:39.494,-1
18:33:39.697,-1
18:33:39.899,-1
18:33:40.103,-1
18:33:40.306,-1
18:33:40.510,-1
18:33:40.712,-1
18:33:40.916,-1
18:33:41.126,-1
18:33:41.334,-1
18:33:41.536,-1
18:33:41.742,-1
18:33:41.944,-1
18:33:42.152,-1
18:33:42.356,-1
18:33:42.558,-1
18:33:42.762,-1
18:33:42.969,-1
18:33:43.172,-1
18:33:43.374,-1
18:33:43.579,-1
18:33:43.783,-1
18:33:43.987,-1
18:33:44.192,-1
18:33:44.393,-1
18:33:44.595,-1
18:33:44.800,-1
18:33:45.004,-1
18:33:45.209,-1
18:33:45.411,-1
18:33:45.613,-1
18:33:45.815,-1
18:33:46.017,-1
18:33:46.219,-1
18:33:46.422,-1
18:33:46.623,-1
18:33:46.826,-1
18:33:47.028,-1
18:33:47.232,-1
18:33:47.467,-1
18:33:47.671,-1
18:33:47.873,-1
18:33:48.076,-1
18:33:48.278,-1
18:33:48.487,-1
18:33:48.691,-1
18:33:48.894,-1
18:33:49.096,-1
18:33:49.298,-1
18:33:49.500,-1
18:33:53.284,-1
18:33:53.486,-1
18:33:53.694,-1
18:33:53.896,-1
18:33:54.104,-1
18:33:54.306,-1
18:33:54.515,-1
18:33:54.725,-1
18:33:54.953,-1
18:33:55.183,-1
18:33:55.442,-1
18:33:55.653,-1
18:33:55.861,-1
18:33:56.065,-1
18:33:56.268,-1
18:33:56.471,-1
18:33:56.677,-1
18:33:56.882,-1
18:33:57.085,-1
18:33:57.288,-1
18:33:57.492,-1
18:33:57.697,-1
18:33:57.900,-1
18:33:58.104,-1
18:33:58.308,-1
18:33:58.511,-1
18:33:58.725,-1
18:33:58.951,-1
18:33:59.178,-1
18:33:59.392,-1
18:33:59.668,-1
18:33:59.896,-1
18:34:00.106,-1
18:34:00.309,-1
18:34:00.513,-1
18:34:00.718,-1
18:34:00.922,-1
18:34:01.140,-1
18:34:01.345,-1
18:34:01.550,-1
18:34:01.752,-1
18:34:01.956,-1
18:34:02.159,-1
18:34:02.361,-1
18:34:02.564,-1
18:34:02.766,-1
18:34:02.968,-1
18:34:03.170,-1
18:34:03.375,-1
18:34:03.577,-1
18:34:03.780,-1
18:34:03.982,-1
18:34:04.185,-1
18:34:04.423,-1
18:34:04.627,-1
18:34:04.848,-1
18:34:05.057,-1
18:34:05.272,-1
18:34:05.504,-1
18:34:05.709,-1
18:34:05.913,-1
18:34:06.114,-1
18:34:06.323,-1
18:34:06.527,-1
18:34:06.732,-1
18:34:06.938,-1
18:34:07.142,-1
18:34:07.352,-1
18:34:07.554,-1
18:34:07.762,-1
18:34:07.965,-1
18:34:08.168,-1
18:34:08.373,-1
18:34:08.575,-1
18:34:08.797,-1
18:34:09.010,-1
18:34:09.244,-1
18:34:09.461,-1
18:34:09.710,-1
18:34:09.944,-1
18:34:10.167,-1
18:34:10.370,1
18:34:10.573,1
18:34:10.785,1
18:34:10.988,1
18:34:11.191,1
18:34:11.393,1
18:34:11.595,1
18:34:11.805,1
18:34:12.008,1
18:34:12.210,-1
18:34:12.412,-1
18:34:12.620,-1
18:34:12.825,-1
18:34:13.030,-1
18:34:13.232,-1
18:34:13.434,-1
18:34:13.637,-1
18:34:13.841,-1
18:34:14.045,-1
18:34:14.251,-1
18:34:14.456,-1
18:34:14.670,-1
18:34:14.926,-1
18:34:15.156,-1
18:34:15.403,-1
18:34:15.608,-1
18:34:15.815,-1
18:34:16.017,-1
18:34:16.219,-1
18:34:16.425,-1
18:34:16.633,-1
18:34:16.837,-1
18:34:17.039,-1
18:34:17.242,-1
18:34:17.445,-1
18:34:17.648,-1
18:34:17.852,-1
18:34:18.066,-1
18:34:18.272,-1
18:34:18.475,-1
18:34:18.682,-1
18:34:18.906,-1
18:34:19.120,-1
18:34:19.342,-1
18:34:19.548,-1
18:34:19.753,-1
18:34:19.954,-1
18:34:20.160,-1
18:34:20.373,-1
18:34:20.578,-1
18:34:20.783,-1
18:34:20.988,-1
18:34:21.190,-1
18:34:21.392,-1
18:34:21.593,-1
18:34:21.796,-1
18:34:21.997,-1
18:34:22.199,-1
18:34:22.409,-1
18:34:22.611,-1
18:34:22.815,-1
18:34:23.131,-1
18:34:23.381,-1
18:34:23.588,-1
18:34:23.807,-1
18:34:24.011,-1
18:34:24.305,-1
18:34:24.555,-1
18:34:24.758,-1
18:34:24.962,-1
18:34:25.165,-1
18:34:25.371,-1
18:34:29.164,-1
18:34:29.367,-1
18:34:29.576,-1
18:34:29.778,-1
18:34:29.980,-1
18:34:30.182,-1
18:34:30.384,-1
18:34:30.587,-1
18:34:30.794,-1
18:34:31.006,-1
18:34:31.213,-1
18:34:31.415,-1
18:34:31.620,-1
18:34:31.859,-1
18:34:32.067,-1
18:34:32.272,-1
18:34:32.490,-1
18:34:32.702,-1
18:34:32.934,-1
18:34:33.156,-1
