,A.BRAKE1
20:35:57.216,-1
20:35:57.419,-1
20:35:57.622,-1
20:35:57.824,-1
20:35:58.027,-1
20:35:58.230,-1
20:35:58.432,-1
20:35:58.634,-1
20:35:58.835,-1
20:35:59.037,-1
20:35:59.239,-1
20:35:59.440,-1
20:35:59.646,-1
20:35:59.848,-1
20:36:00.050,-1
20:36:00.252,-1
20:36:00.453,-1
20:36:00.657,-1
20:36:00.859,-1
20:36:01.061,-1
20:36:01.262,-1
20:36:01.464,-1
20:36:01.665,-1
20:36:01.867,-1
20:36:02.070,-1
20:36:02.271,-1
20:36:02.473,-1
20:36:02.674,-1
20:36:02.878,-1
20:36:05.723,-1
20:36:05.925,-1
20:36:06.126,-1
20:36:06.327,-1
20:36:06.530,-1
20:36:06.732,-1
20:36:06.934,-1
20:36:07.135,-1
20:36:07.337,-1
20:36:07.538,-1
20:36:07.739,-1
20:36:07.941,-1
20:36:08.142,-1
20:36:08.343,-1
20:36:08.546,-1
20:36:08.747,-1
20:36:08.959,-1
20:36:09.160,-1
20:36:09.362,-1
20:36:09.565,-1
20:36:09.767,-1
20:36:09.968,-1
20:36:10.169,-1
20:36:10.374,-1
20:36:10.576,-1
20:36:10.779,-1
20:36:10.984,-1
20:36:11.186,-1
20:36:11.388,-1
20:36:11.590,-1
20:36:11.791,-1
20:36:11.994,-1
20:36:12.199,-1
20:36:12.401,-1
20:36:12.604,-1
20:36:12.807,-1
20:36:13.009,-1
20:36:13.213,-1
20:36:13.415,-1
20:36:13.618,-1
20:36:13.820,-1
20:36:14.021,-1
20:36:14.226,-1
20:36:14.427,-1
20:36:14.631,-1
20:36:14.833,-1
20:36:15.034,-1
20:36:15.236,-1
20:36:15.438,-1
20:36:15.641,-1
20:36:15.843,-1
20:36:16.044,-1
20:36:16.247,-1
20:36:16.453,-1
20:36:16.657,-1
20:36:16.858,-1
20:36:17.063,-1
20:36:17.267,-1
20:36:17.471,-1
20:36:17.673,-1
20:36:17.874,-1
