,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
20:47:46.195,0.6,46.686127257049236,209.0,1106.0,2.3318284965751483,3122.1382607797204,2266.3277448034096,10.0,100.0,250.0,43.0,100.0,21.0,73.0,85.0,117.0,76.0,74.0,108.0,120.0,5.0,70.0,102.52480430961182,18.404665418517805,45.0
20:47:49.240,1.9,27.924069062257857,67.0,4653.0,0.3805830409363623,2277.406053397494,1976.5018143571733,60.0,70.0,90.0,80.0,95.0,3.0,41.0,82.0,47.0,83.0,18.0,46.0,110.0,102.0,43.0,27.40474088623415,14.052340099994193,50.0
20:47:52.249,0.2,88.77734614374567,175.0,3574.0,2.461897810487706,108.84233322197079,2687.9543488030836,50.0,90.0,10.0,70.0,23.0,25.0,14.0,92.0,58.0,46.0,32.0,8.0,116.0,40.0,52.0,120.99470814942742,7.321407991639587,25.0
20:47:55.266,1.7,75.00150253758595,223.0,2572.0,1.038570743337608,575.2845861518773,2388.6799278977032,20.0,90.0,90.0,13.0,36.0,14.0,94.0,19.0,63.0,105.0,62.0,117.0,64.0,23.0,57.0,73.16460575986547,15.31269678211559,50.0
20:47:58.283,0.5,56.63997585279788,163.0,1787.0,1.2194801211199866,1377.4690933008196,2630.5032970367597,120.0,80.0,100.0,45.0,21.0,34.0,61.0,105.0,64.0,61.0,9.0,29.0,110.0,109.0,95.0,125.95134556748285,14.803924171216925,25.0
20:48:01.295,1.6,98.85870080245242,144.0,836.0,3.0309202475905517,3055.6622784291894,787.536225725773,80.0,60.0,40.0,84.0,17.0,19.0,44.0,78.0,71.0,65.0,11.0,27.0,115.0,88.0,41.0,116.21831141179881,10.682460783605967,20.0
20:48:04.308,1.5,56.36832876211332,147.0,165.0,0.4931846902945991,21.87037978017142,550.3214546604854,50.0,70.0,60.0,46.0,93.0,33.0,61.0,36.0,63.0,81.0,27.0,37.0,40.0,23.0,42.0,109.52546500369193,19.773382159867378,50.0
20:48:07.314,1.7,79.75891216485103,103.0,4561.0,0.18971524556237715,1192.191601977306,3960.935050396733,110.0,60.0,120.0,75.0,45.0,30.0,26.0,75.0,17.0,92.0,36.0,114.0,42.0,95.0,109.0,66.44158710445876,15.777540186310127,40.0
20:48:12.763,0.1,41.31086737042153,68.0,710.0,4.741174519506393,711.0792612710898,3246.1662291074913,40.0,60.0,200.0,46.0,93.0,11.0,119.0,58.0,7.0,18.0,16.0,17.0,3.0,108.0,11.0,61.8129310908924,3.516774074598472,50.0
20:48:15.785,0.9,77.65832590893748,54.0,1573.0,4.566094707382269,1268.9574471546593,171.52926210898664,100.0,120.0,40.0,15.0,20.0,9.0,60.0,81.0,53.0,89.0,21.0,47.0,21.0,38.0,1.0,58.093917296923,13.886086162419359,15.0
