,A.LAND1
12:49:35.115,-1.0
12:49:35.317,-1.0
12:49:35.521,-1.0
12:49:35.723,-1.0
12:49:35.925,-1.0
12:49:36.127,-1.0
12:49:36.329,-1.0
12:49:36.531,-1.0
12:49:36.735,-1.0
12:49:36.937,-1.0
12:49:37.139,-1.0
12:49:37.348,-1.0
12:49:37.551,-1.0
12:49:37.753,-1.0
12:49:37.959,-1.0
12:49:38.162,-1.0
12:49:38.364,-1.0
12:49:38.567,-1.0
12:49:38.772,-1.0
12:49:38.974,-1.0
12:49:39.176,-1.0
12:49:39.379,-1.0
12:49:39.582,-1.0
12:49:39.783,-1.0
12:49:39.986,-1.0
12:49:40.187,-1.0
12:49:40.389,-1.0
12:49:40.590,-1.0
12:49:40.793,-1.0
12:49:40.996,-1.0
12:49:41.198,-1.0
12:49:41.399,-1.0
12:49:41.604,-1.0
12:49:41.806,-1.0
12:49:42.010,-1.0
12:49:42.216,-1.0
12:49:42.420,-1.0
12:49:42.624,-1.0
12:49:42.827,-1.0
12:49:43.030,-1.0
12:49:43.232,-1.0
12:49:43.434,-1.0
12:49:43.636,-1.0
12:49:43.837,-1.0
12:49:44.040,-1.0
12:49:44.246,-1.0
12:49:44.457,-1.0
12:49:44.666,-1.0
12:49:44.868,-1.0
12:49:45.070,-1.0
12:49:45.276,-1.0
12:49:45.480,-1.0
12:49:45.683,-1.0
12:49:45.886,-1.0
12:49:46.088,-1.0
12:49:46.295,-1.0
12:49:46.498,-1.0
12:49:46.700,-1.0
12:49:46.902,-1.0
12:49:47.107,-1.0
12:49:47.308,-1.0
12:49:47.514,-1.0
12:49:47.716,-1.0
12:49:47.922,-1.0
12:49:48.128,-1.0
12:49:48.330,-1.0
12:49:48.532,-1.0
12:49:48.734,-1.0
12:49:48.936,-1.0
12:49:49.139,-1.0
12:49:49.344,-1.0
12:49:49.548,-1.0
12:49:49.750,-1.0
12:49:49.961,-1.0
12:49:50.167,-1.0
12:49:50.371,-1.0
12:49:50.573,-1.0
12:49:50.781,-1.0
12:49:50.982,-1.0
12:49:51.183,-1.0
12:49:51.388,-1.0
12:49:51.591,-1.0
12:49:51.793,-1.0
12:49:51.995,-1.0
12:49:52.198,-1.0
12:49:52.404,-1.0
12:49:52.608,-1.0
12:49:52.810,-1.0
12:49:53.013,-1.0
12:49:53.214,-1.0
12:49:53.416,-1.0
12:49:53.620,-1.0
12:49:53.822,-1.0
12:49:54.024,-1.0
12:49:54.229,-1.0
12:49:54.432,-1.0
12:49:54.637,-1.0
12:49:54.841,-1.0
12:49:55.044,-1.0
12:49:55.245,-1.0
12:49:55.448,-1.0
12:49:55.650,-1.0
12:49:55.852,-1.0
12:49:56.053,-1.0
12:49:56.255,-1.0
12:49:56.457,-1.0
12:49:56.658,-1.0
12:49:56.860,-1.0
12:49:57.062,-1.0
12:49:57.264,-1.0
12:49:57.466,-1.0
12:49:57.667,-1.0
12:49:57.869,-1.0
12:49:58.070,-1.0
12:49:58.272,-1.0
12:49:58.476,-1.0
12:49:58.681,-1.0
12:49:58.883,-1.0
12:49:59.085,-1.0
12:49:59.287,-1.0
12:49:59.489,-1.0
12:49:59.691,-1.0
12:49:59.892,-1.0
12:50:00.094,-1.0
12:50:00.297,-1.0
12:50:00.504,-1.0
12:50:00.708,-1.0
12:50:00.913,-1.0
12:50:01.115,-1.0
12:50:01.317,-1.0
12:50:01.520,-1.0
12:50:01.722,-1.0
12:50:01.926,-1.0
12:50:02.130,-1.0
12:50:02.334,-1.0
12:50:02.536,-1.0
12:50:02.741,-1.0
12:50:02.943,-1.0
12:50:03.145,-1.0
12:50:03.351,-1.0
12:50:03.555,-1.0
12:50:03.757,-1.0
12:50:03.963,-1.0
12:50:04.166,-1.0
12:50:04.371,-1.0
12:50:04.573,-1.0
12:50:04.776,-1.0
12:50:04.980,-1.0
12:50:05.181,-1.0
12:50:05.384,-1.0
12:50:05.585,-1.0
12:50:05.787,-1.0
12:50:05.992,-1.0
12:50:06.197,-1.0
12:50:06.399,-1.0
12:50:06.602,-1.0
12:50:06.805,-1.0
12:50:07.006,-1.0
12:50:07.208,-1.0
12:50:07.411,-1.0
12:50:07.612,-1.0
12:50:07.814,-1.0
12:50:08.017,-1.0
12:50:08.223,-1.0
12:50:08.428,-1.0
12:50:08.629,-1.0
12:50:08.831,-1.0
12:50:09.032,-1.0
12:50:09.233,-1.0
12:50:09.435,-1.0
12:50:09.641,-1.0
12:50:09.845,-1.0
12:50:10.047,-1.0
12:50:10.250,-1.0
12:50:10.452,-1.0
12:50:10.654,-1.0
12:50:10.859,-1.0
12:50:11.061,-1.0
12:50:11.263,-1.0
12:50:11.464,-1.0
12:50:11.668,-1.0
12:50:11.870,-1.0
12:50:12.074,-1.0
12:50:12.276,-1.0
12:50:12.478,-1.0
12:50:12.680,-1.0
12:50:12.882,-1.0
12:50:13.086,-1.0
12:50:13.290,-1.0
12:50:13.493,-1.0
12:50:13.695,-1.0
12:50:13.898,-1.0
12:50:14.101,-1.0
12:50:14.303,-1.0
12:50:14.515,-1.0
12:50:14.719,-1.0
12:50:14.923,-1.0
12:50:15.125,-1.0
12:50:15.329,1.0
12:50:15.534,1.0
12:50:15.737,1.0
12:50:15.939,1.0
12:50:16.148,1.0
12:50:16.350,1.0
12:50:16.555,1.0
12:50:16.760,1.0
12:50:16.965,1.0
12:50:17.170,1.0
12:50:17.371,1.0
12:50:17.573,1.0
12:50:17.776,1.0
12:50:17.978,1.0
12:50:18.182,1.0
12:50:18.388,1.0
