time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT,LAND_SPEED_HIGH,WPNAV_SPEED_DN
21:15:23,-0.00036509495112113655,0.0012592372950166464,0.03034825436770916,0.00032245158217847347,0.0001609303872101009,0.002496149390935898,-35.3632621,149.1652374,34.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,GUIDED,1500.0,0.0,150.0
21:15:25,4.758690010930877e-05,0.001573387358803302,0.029005002230405807,0.0003632953012129292,0.0003212386218365282,0.002381789614446461,-35.3632621,149.1652375,6.0,-1.0,2.0,1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,GUIDED,1500.0,0.0,150.0
21:15:27,-0.00026130622427444905,0.001422421366441995,0.02763214334845543,0.0002166929916711524,0.00030069201602600515,0.0022764435270801187,-35.3632622,149.1652375,0.0,-1.0,2.0,1.5,0.0,1.0,-1000.0,0.0,0.0,0.0,GUIDED,1500.0,0.0,150.0
21:15:29,-0.00010151342939934693,0.0017292463453486562,0.02637485321611166,0.0002573268866399303,0.0003135129372822121,0.0020121283014304936,-35.3632621,149.1652374,0.0,0.0,0.0,1.5,0.0,1.0,-1000.0,0.5,0.0,1.0,GUIDED,1500.0,0.0,150.0
21:15:31,0.0034247413277626038,-0.00023450706794392318,0.02541642915457487,0.0022890031104907393,-0.006792220345232636,0.0028915409930050373,-35.3632621,149.1652374,36.5,0.0,0.0,-29.5,0.0,0.0,-1136.0,3.0,-6.0,1.0,GUIDED,1500.0,0.0,150.0
21:15:33,0.05218346044421196,-0.006092877127230167,0.025556009262800217,0.04021736979484558,-0.010442356579005718,0.0042609774973243475,-35.363261800000004,149.16523855,2437.5,4.0,26.5,-148.0,0.5,-4.0,-1000.5,40.0,-9.5,2.5,GUIDED,1500.0,0.0,150.0
21:15:35,-0.06453855149447918,-0.0002037988742813468,-0.0881950594484806,-0.07728380337357521,-0.02317924052476883,-0.011793032987043262,-35.3632609,149.16524665,5510.0,-2.0,4.0,-149.0,1.5,-2.0,-998.5,-76.5,-22.0,-12.0,GUIDED,1500.0,0.0,150.0
21:15:37,0.02721037995070219,0.0078779230825603,-0.09841316193342209,0.06735710799694061,0.011735386215150356,0.0036406919825822115,-35.3632616,149.16523684999999,8602.0,-9.0,-51.5,-152.5,-5.5,11.0,-1004.0,67.0,11.5,2.5,GUIDED,1500.0,0.0,150.0
21:15:39,-0.015518221072852612,-0.010200711898505688,-0.08161115646362305,-0.04710955172777176,0.02643782366067171,-0.04641736112535,-35.36326285,149.16523619999998,11707.5,10.5,24.5,-150.5,0.5,-5.5,-1004.5,-46.0,26.5,-47.0,GUIDED,1500.0,0.0,150.0
21:15:41,0.007562248967587948,0.011610608082264662,-0.15479908138513565,0.01723645254969597,-0.00010356726124882698,-0.01245146943256259,-35.36326115,149.16523605,14824.0,0.5,-9.0,-153.0,-2.0,1.0,-999.5,17.5,0.5,-12.5,GUIDED,1500.0,0.0,150.0
21:15:43,0.005872115725651383,0.0038533186307176948,-0.1708419770002365,-0.004553346894681454,-0.0028884586645290256,-0.013244553934782743,-35.363261550000004,149.16523554999998,17950.0,-5.5,6.0,-153.0,1.0,0.0,-1000.0,-3.0,-2.0,-14.0,GUIDED,1500.0,0.0,150.0
21:15:45,0.0019368220819160342,0.0023647486232221127,-0.2095366194844246,0.0017967430176213384,0.0010835617722477764,-0.021396057680249214,-35.3632619,149.16523625000002,21071.0,-2.0,3.5,-154.0,0.0,0.0,-1000.0,2.0,1.5,-22.0,GUIDED,1500.0,0.0,150.0
21:15:47,0.002862385124899447,0.003027642611414194,-0.250408336520195,0.001959146757144481,-5.159346619620919e-05,-0.01871083490550518,-35.3632619,149.16523654999997,24200.0,-1.0,3.0,-154.0,0.0,0.0,-1000.0,2.5,0.5,-19.0,GUIDED,1500.0,0.0,150.0
21:15:49,0.012293076608330011,0.00308973400387913,-0.24128439277410507,0.00020854535978287458,-0.004264250746928155,0.024239017628133297,-35.363262250000005,149.1652364,27310.5,-4.0,2.5,-153.5,0.0,0.0,-999.5,1.0,-3.0,23.0,GUIDED,1500.0,0.0,150.0
21:15:51,9.894561662804335e-05,0.0019070773269049823,-0.1972666159272194,-0.004774999804794788,9.347888408228755e-06,0.018844266422092915,-35.3632624,149.16523755,30422.0,0.0,7.5,-153.0,0.0,-0.5,-1000.0,-3.5,0.5,17.5,GUIDED,1500.0,0.0,150.0
21:15:53,0.0006344568973872811,0.001117524632718414,-0.16492873430252075,0.0012700126972049475,0.000890430441359058,0.01543074194341898,-35.3632623,149.165238,33535.0,0.0,0.5,-153.0,0.0,0.0,-1000.0,2.0,1.0,14.5,GUIDED,1500.0,0.0,150.0
21:15:55,0.0023722148034721613,0.0010091968579217792,-0.14090175181627274,0.0003729565942194313,-0.00026011065347120166,0.012075433973222971,-35.3632622,149.16523775000002,36643.5,0.0,0.0,-153.0,0.0,0.0,-1000.0,0.5,0.5,11.0,GUIDED,1500.0,0.0,150.0
21:15:57,0.002292234799824655,0.0016619788366369903,-0.12236649543046951,0.0003390572383068502,0.00021285045659169555,0.009942820761352777,-35.3632621,149.1652375,39750.5,0.0,0.0,-153.0,0.0,0.0,-1000.0,1.0,1.0,9.0,GUIDED,1500.0,0.0,150.0
21:15:59,0.002018697210587561,0.001537585398182273,-0.10835490003228188,0.0008903521811589599,0.00018953360267914832,0.00936253322288394,-35.363262,149.16523734999998,42863.5,-1.0,0.0,-153.0,0.0,0.0,-999.5,1.5,1.0,8.5,GUIDED,1500.0,0.0,90.0
21:16:01,0.0017472089966759086,0.0011912427144125104,-0.09644275158643723,0.0006164108635857701,0.0003322269767522812,0.007048263680189848,-35.363262,149.1652373,45970.5,-1.0,1.0,-153.0,0.0,0.0,-1000.0,1.0,1.0,6.5,GUIDED,1500.0,0.0,90.0
21:16:03,0.0022941473871469498,0.0012204162776470184,-0.08596781641244888,-0.0005522359278984368,0.0010955360194202513,0.005692556966096163,-35.363262,149.1652372,49077.0,-1.0,1.0,-153.0,0.0,0.0,-1000.0,0.5,1.5,5.5,GUIDED,1500.0,90.0,90.0
21:16:05,0.0017866776906885207,0.0009943299810402095,-0.07614031434059143,-0.0014493237249553204,-0.0011456843058113009,0.006182822398841381,-35.363262,149.1652372,52191.0,-1.0,1.0,-153.0,0.0,0.0,-1000.0,-0.5,0.0,6.0,LAND,1500.0,90.0,90.0
21:16:07,-0.05746731534600258,0.059132352471351624,0.2261761873960495,0.038193708285689354,-0.14492978900671005,0.3708031326532364,-35.36326255,149.1652365,55163.0,-25.0,-27.0,-108.0,3.0,5.5,-906.0,39.5,-143.5,370.5,LAND,1500.0,60.0,90.0
21:16:09,0.04615931026637554,-0.024959337897598743,0.3116198480129242,1.0526594519615173,0.044016651809215546,-0.03490892052650452,-35.363264099999995,149.1652327,55751.5,17.5,22.5,32.5,-2.0,40.0,-957.5,1054.0,45.0,-34.0,LAND,1500.0,60.0,90.0
21:16:11,-0.016959745436906815,0.013349273707717657,0.24351225048303604,-1.0990892052650452,-0.006116402102634311,-0.03301426023244858,-35.3632612,149.16523835,54669.5,6.0,17.5,53.5,1.0,-64.5,-967.5,-1100.0,-4.5,-32.0,LAND,1500.0,380.0,90.0
21:16:13,0.007958852569572628,0.0019417399307712913,0.19075797498226166,-0.09242463111877441,-0.026979527436196804,-0.02883282583206892,-35.3632614,149.16524085,50957.5,-1.0,-4.0,295.0,4.5,-70.5,-999.5,-97.0,-25.5,-28.0,LAND,1500.0,380.0,90.0
21:16:15,-0.009562878083670512,-0.010054417420178652,0.15434840321540833,-0.22650042176246643,0.011492918245494366,-0.00991069246083498,-35.36326245,149.16524045,45242.0,4.0,-23.0,211.0,-4.5,31.0,-1379.0,-222.5,11.5,-9.0,LAND,1500.0,40.0,90.0
21:16:17,0.026235935278236866,-0.00708092306740582,0.12965448945760727,0.5282878428697586,-0.0027132310206070542,-0.013484678696841002,-35.3632624,149.1652363,44781.5,5.0,-0.5,-2.0,-1.0,19.0,-961.0,529.0,-1.5,-12.0,LAND,1500.0,40.0,90.0
21:16:19,0.013814939185976982,0.002080646576359868,0.11048983782529831,-0.20162807404994965,-0.0028944086807314306,-0.012543350923806429,-35.3632621,149.16523545,44328.0,3.0,14.0,34.0,1.0,-35.0,-980.0,-203.0,-2.0,-11.5,LAND,1500.0,130.0,90.0
21:16:22,-0.02155847754329443,-0.0013605154235847294,0.08644970506429672,-1.243728518486023,-0.006523268995806575,-0.002070576651021838,-35.36326235,149.1652375,41771.0,2.0,1.0,83.5,0.5,-44.5,-998.0,-1242.0,-5.5,-1.0,LAND,1500.0,130.0,90.0
21:16:24,-0.016201598569750786,5.758697443525307e-05,0.07442983239889145,-0.6941261142492294,-0.003282324760220945,-0.008798008784651756,-35.3632625,149.1652382,39683.5,4.0,-3.0,216.0,0.0,-4.5,-633.0,-690.5,-3.0,-8.0,LAND,1500.0,500.0,90.0
21:16:26,-0.0005988921038806438,-0.002597847720608115,0.05953685939311981,1.1812711656093597,-0.10275174677371979,0.026237497106194496,-35.3632625,149.16523875000001,32730.0,4.0,-4.0,364.0,1.5,85.5,-1024.5,1186.0,-101.5,26.5,LAND,1500.0,500.0,90.0
21:16:28,-0.0024053511733654886,-0.0009360458643641323,0.054543718695640564,1.5193033814430237,0.0072075960342772305,0.016841482487507164,-35.3632625,149.16523915,26279.5,3.0,-10.5,164.5,-2.0,97.5,-1107.5,1523.0,7.5,17.0,LAND,1500.0,280.0,90.0
21:16:30,0.04206182435154915,-0.0015412828070111573,0.04983413405716419,1.2203289717435837,0.005349266808480024,0.013810833916068077,-35.36326235,149.16523665,23135.5,2.0,-5.0,165.0,-0.5,11.5,-969.0,1217.5,5.0,14.5,LAND,1500.0,280.0,90.0
21:16:32,0.001454906421713531,0.004292425699532032,0.04183131642639637,0.4679993838071823,0.0014964088040869683,0.011385196354240179,-35.3632621,149.1652378,19555.0,1.0,0.0,154.0,3.0,-34.5,-1093.0,464.0,1.0,12.0,LAND,1500.0,250.0,90.0
21:16:34,-0.031556556932628155,0.001986795919947326,0.03503683768212795,0.24251006729900837,-0.004688806366175413,0.016473067924380302,-35.3632622,149.16524015,16674.5,1.0,-18.0,144.0,0.5,62.0,-998.5,248.0,-4.0,16.5,LAND,1500.0,220.0,90.0
21:16:36,0.016566114965826273,-0.003936026827432215,0.028900105506181717,1.7726418375968933,-0.010237938957288861,-0.020292998757213354,-35.3632624,149.16524005,13613.5,1.0,-25.5,177.0,-1.5,45.5,-980.0,1770.5,-9.5,-18.5,LAND,1500.0,315.0,90.0
21:16:38,0.019699379801750183,-0.0004955303884344175,0.024724318645894527,0.9431315064430237,0.0025600771768949926,0.0005754060111939907,-35.3632623,149.16523715,11123.5,2.0,-7.0,59.5,-2.0,48.5,-1059.5,944.0,2.5,1.0,LAND,1500.0,410.0,90.0
21:16:40,0.0220473175868392,0.000844978349050507,0.020397987216711044,0.7814765870571136,-0.0015985482605174184,-0.0006495693814940751,-35.363262,149.16523605,10534.0,0.0,4.5,28.5,-1.0,32.5,-1002.0,781.5,-1.0,0.5,LAND,1500.0,310.0,90.0
21:16:42,0.02553669735789299,0.0012754729250445962,0.01707235723733902,0.9215005338191986,0.0004231751663610339,-0.0020352667779661715,-35.363262,149.1652353,9890.0,0.0,13.5,36.5,0.0,39.0,-1013.0,922.0,0.5,-1.0,LAND,1500.0,310.0,90.0
