time_stamp,MODE_LAND,relative_alt,vx,vy,vz
11:21:28.014,0,40,-1,0,-2
11:21:28.215,0,40,-1,0,-2
11:21:28.417,0,40,-1,0,-2
11:21:28.619,0,40,-1,0,-2
11:21:28.823,0,40,-1,0,-2
11:21:29.026,0,40,-1,0,-2
11:21:29.228,0,40,-1,0,-2
11:21:29.430,0,40,-1,0,-2
11:21:29.632,0,40,-1,0,-2
11:21:29.834,0,40,-1,0,-2
11:21:30.036,0,42,-2,1,-1
11:21:30.237,0,3,-2,1,-1
11:21:30.439,0,3,-2,1,-1
11:21:30.645,0,3,-2,1,-1
11:21:30.848,0,3,-2,1,-1
11:21:31.051,0,3,-2,1,-1
11:21:31.254,0,3,-2,1,-1
11:21:31.457,0,3,-2,1,-1
11:21:31.660,0,3,-2,1,-1
11:21:31.864,0,4,-1,1,-1
11:21:32.066,0,5,0,0,0
11:21:32.269,0,5,0,0,0
11:21:32.471,0,5,0,0,0
11:21:32.674,0,5,0,0,0
11:21:32.876,0,5,0,0,0
11:21:33.080,0,5,0,0,0
11:21:33.281,0,5,0,0,0
11:21:33.484,0,5,0,0,0
11:21:33.687,0,5,0,0,0
11:21:33.889,0,5,0,0,0
11:21:34.090,0,3,0,0,0
11:21:34.293,0,11,0,0,-13
11:21:34.495,0,11,0,0,-13
11:21:34.698,0,11,0,0,-13
11:21:34.901,0,11,0,0,-13
11:21:35.104,0,11,0,0,-13
11:21:35.305,0,11,0,0,-13
11:21:35.510,0,11,0,0,-13
11:21:35.712,0,11,0,0,-13
11:21:35.922,0,1129,0,2,-140
11:21:36.124,0,2268,3,23,-148
11:21:36.325,0,2268,3,23,-148
11:21:36.527,0,2268,3,23,-148
11:21:36.730,0,2268,3,23,-148
11:21:36.931,0,2268,3,23,-148
11:21:37.133,0,2268,3,23,-148
11:21:37.338,0,2268,3,23,-148
11:21:37.539,0,2268,3,23,-148
11:21:37.741,0,2268,3,23,-148
11:21:37.945,0,4168,6,45,-148
11:21:38.148,0,5319,25,11,-146
11:21:38.349,0,5319,25,11,-146
11:21:38.550,0,5319,25,11,-146
11:21:38.753,0,5319,25,11,-146
11:21:38.954,0,5319,25,11,-146
11:21:39.156,0,5319,25,11,-146
11:21:39.358,0,5319,25,11,-146
11:21:39.560,0,5319,25,11,-146
11:21:39.762,0,5319,25,11,-146
11:21:39.965,0,7970,-58,-80,-147
11:21:40.168,0,8350,-69,-74,-148
11:21:40.369,0,8350,-69,-74,-148
11:21:40.571,0,8350,-69,-74,-148
11:21:40.773,0,8350,-69,-74,-148
11:21:40.974,0,8350,-69,-74,-148
11:21:41.176,0,8350,-69,-74,-148
11:21:41.379,0,8350,-69,-74,-148
11:21:41.583,0,8350,-69,-74,-148
11:21:41.785,0,9353,-88,-34,-150
11:21:41.989,0,10914,-30,13,-153
11:21:42.191,0,11308,-1,22,-152
11:21:42.393,0,11308,-1,22,-152
11:21:42.595,0,11308,-1,22,-152
11:21:42.799,0,11308,-1,22,-152
11:21:43.001,0,11308,-1,22,-152
11:21:43.203,0,11308,-1,22,-152
11:21:43.406,0,11308,-1,22,-152
11:21:43.611,0,11308,-1,22,-152
11:21:43.812,0,12810,111,63,-137
11:21:44.014,0,13917,125,48,-148
11:21:44.216,0,14302,116,36,-151
11:21:44.418,0,14302,116,36,-151
11:21:44.621,0,14302,116,36,-151
11:21:44.822,0,14302,116,36,-151
11:21:45.025,0,14302,116,36,-151
11:21:45.228,0,14302,116,36,-151
11:21:45.434,0,14302,116,36,-151
11:21:45.637,0,14302,116,36,-151
11:21:45.846,0,16293,19,-26,-155
11:21:46.048,0,17080,-29,-34,-151
11:21:46.249,0,17468,-52,-31,-150
11:21:46.451,0,17468,-52,-31,-150
11:21:46.653,0,17468,-52,-31,-150
11:21:46.855,0,17468,-52,-31,-150
11:21:47.059,0,17468,-52,-31,-150
11:21:47.263,0,17468,-52,-31,-150
11:21:47.465,0,17468,-52,-31,-150
11:21:47.667,0,17468,-52,-31,-150
11:21:47.869,0,19369,-105,24,-148
11:21:48.071,0,20145,-70,32,-154
11:21:48.272,0,20542,-40,31,-155
11:21:48.474,0,20542,-40,31,-155
11:21:48.678,0,20542,-40,31,-155
11:21:48.880,0,20542,-40,31,-155
11:21:49.082,0,20542,-40,31,-155
11:21:49.283,0,20542,-40,31,-155
11:21:49.486,0,20542,-40,31,-155
11:21:49.689,0,20542,-40,31,-155
11:21:49.891,0,21706,50,-7,-147
11:21:50.096,0,23602,63,-86,-150
11:21:50.298,0,23602,63,-86,-150
11:21:50.500,0,23602,63,-86,-150
11:21:50.702,0,23602,63,-86,-150
11:21:50.905,0,23602,63,-86,-150
11:21:51.107,0,23602,63,-86,-150
11:21:51.310,0,23602,63,-86,-150
11:21:51.513,0,23602,63,-86,-150
11:21:51.715,0,23602,63,-86,-150
11:21:51.919,0,25964,-17,-42,-156
11:21:52.121,0,26755,-45,4,-153
11:21:52.323,0,26755,-45,4,-153
11:21:52.527,0,26755,-45,4,-153
11:21:52.731,0,26755,-45,4,-153
11:21:52.933,0,26755,-45,4,-153
11:21:53.140,0,26755,-45,4,-153
11:21:53.343,0,26755,-45,4,-153
11:21:53.544,0,26755,-45,4,-153
11:21:53.748,0,27898,-63,90,-144
11:21:53.950,0,29345,-8,122,-148
11:21:54.151,0,29730,3,98,-153
11:21:54.352,0,29730,3,98,-153
11:21:54.554,0,29730,3,98,-153
11:21:54.755,0,29730,3,98,-153
11:21:54.958,0,29730,3,98,-153
11:21:55.162,0,29730,3,98,-153
11:21:55.364,0,29730,3,98,-153
11:21:55.565,0,29730,3,98,-153
11:21:55.767,0,29730,3,98,-153
11:21:55.972,0,31306,12,-32,-151
11:21:56.173,0,32847,-16,-71,-152
11:21:56.376,0,32847,-16,-71,-152
11:21:56.579,0,32847,-16,-71,-152
11:21:56.781,0,32847,-16,-71,-152
11:21:56.984,0,32847,-16,-71,-152
11:21:57.186,0,32847,-16,-71,-152
11:21:57.388,0,32847,-16,-71,-152
11:21:57.589,0,32847,-16,-71,-152
11:21:57.793,0,34017,-38,-49,-154
11:21:57.994,0,35592,-45,31,-153
11:21:58.195,0,35980,-39,56,-151
11:21:58.397,0,35980,-39,56,-151
11:21:58.600,0,35980,-39,56,-151
11:21:58.806,0,35980,-39,56,-151
11:21:59.011,0,35980,-39,56,-151
11:21:59.215,0,35980,-39,56,-151
11:21:59.417,0,35980,-39,56,-151
11:21:59.620,0,35980,-39,56,-151
11:21:59.822,0,37104,6,123,-142
11:22:00.024,0,38567,97,77,-149
11:22:00.225,0,38951,99,45,-152
11:22:00.429,0,38951,99,45,-152
11:22:00.633,0,38951,99,45,-152
11:22:00.836,0,38951,99,45,-152
11:22:01.038,0,38951,99,45,-152
