time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT,LAND_SPEED
17:17:02.145,GUIDED,-35.3632621,149.1652374,0,-0.000403018289944157,0.0016025528311729431,0.027187354862689972,0.0003793400537688285,0.00034439071896485984,0.002344752661883831,0,1,-1000,0,0,0,-1,0,0,1500.0,50.0
17:17:02.353,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:02.555,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:02.756,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:02.958,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:03.160,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:03.363,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:03.564,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:03.765,GUIDED,-35.3632621,149.1652374,0,-0.00040122208883985877,0.0016282352153211832,0.02705545350909233,0.00026686981436796486,0.00033803322003223,0.0023267215583473444,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
17:17:03.967,GUIDED,-35.3632621,149.1652374,0,-0.0004297513223718852,0.0016271164640784264,0.026618903502821922,0.0003069983213208616,0.0002700148615986109,0.002406406681984663,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
