,A.LAND2
14:01:02.598,-1.0
14:01:02.800,-1.0
14:01:03.002,-1.0
14:01:03.205,-1.0
14:01:03.407,-1.0
14:01:03.608,-1.0
14:01:03.811,-1.0
14:01:04.013,-1.0
14:01:04.215,-1.0
14:01:04.418,-1.0
14:01:04.620,-1.0
14:01:04.823,-1.0
14:01:05.024,-1.0
14:01:05.225,-1.0
14:01:05.431,-1.0
14:01:05.634,-1.0
14:01:05.837,-1.0
14:01:06.040,-1.0
14:01:06.243,-1.0
14:01:06.446,-1.0
14:01:06.648,-1.0
14:01:06.851,-1.0
14:01:07.057,-1.0
14:01:07.260,-1.0
14:01:07.462,-1.0
14:01:07.664,-1.0
14:01:07.869,-1.0
14:01:08.070,-1.0
14:01:08.275,-1.0
14:01:08.478,-1.0
14:01:08.683,-1.0
14:01:08.884,-1.0
14:01:09.088,-1.0
14:01:09.292,-1.0
14:01:09.495,-1.0
14:01:09.699,-1.0
14:01:09.902,-1.0
14:01:10.106,-1.0
14:01:10.311,-1.0
14:01:10.515,-1.0
14:01:10.716,-1.0
14:01:10.918,-1.0
14:01:11.125,-1.0
14:01:11.328,-1.0
14:01:11.531,-1.0
14:01:11.735,-1.0
14:01:11.938,-1.0
14:01:12.144,-1.0
14:01:12.345,-1.0
14:01:12.547,-1.0
14:01:12.753,-1.0
14:01:12.958,-1.0
14:01:13.160,-1.0
14:01:13.363,-1.0
14:01:13.568,-1.0
14:01:13.770,-1.0
14:01:13.973,-1.0
14:01:14.176,-1.0
14:01:14.378,-1.0
14:01:14.580,-1.0
14:01:14.783,-1.0
14:01:14.985,-1.0
14:01:15.189,-1.0
14:01:15.390,-1.0
14:01:15.592,-1.0
14:01:15.795,-1.0
14:01:15.998,-1.0
14:01:16.200,-1.0
14:01:16.401,-1.0
14:01:16.603,-1.0
14:01:16.805,-1.0
14:01:17.007,-1.0
14:01:17.212,-1.0
14:01:17.416,-1.0
14:01:17.618,-1.0
14:01:17.821,-1.0
14:01:18.025,-1.0
14:01:18.227,-1.0
14:01:18.429,-1.0
14:01:18.631,-1.0
14:01:18.836,-1.0
14:01:19.039,-1.0
14:01:19.241,-1.0
14:01:19.445,-1.0
14:01:19.647,-1.0
14:01:19.852,-1.0
14:01:20.054,-1.0
14:01:20.261,-1.0
14:01:20.465,-1.0
14:01:20.667,-1.0
14:01:20.869,-1.0
14:01:21.072,-1.0
14:01:21.274,-1.0
14:01:21.477,-1.0
14:01:21.680,-1.0
14:01:21.881,-1.0
14:01:22.084,-1.0
14:01:22.288,-1.0
14:01:22.490,-1.0
14:01:22.692,-1.0
14:01:22.894,-1.0
14:01:23.096,-1.0
14:01:23.299,-1.0
14:01:23.501,-1.0
14:01:23.702,-1.0
14:01:23.904,-1.0
14:01:24.107,-1.0
14:01:24.310,-1.0
14:01:24.515,-1.0
14:01:24.719,-1.0
14:01:24.921,-1.0
14:01:25.124,-1.0
14:01:25.327,-1.0
14:01:25.529,-1.0
14:01:25.733,-1.0
14:01:25.936,-1.0
14:01:26.138,-1.0
14:01:26.343,-1.0
14:01:26.549,-1.0
14:01:26.751,-1.0
14:01:26.953,-1.0
14:01:27.155,-1.0
14:01:27.358,-1.0
14:01:27.559,-1.0
14:01:27.762,-1.0
14:01:27.964,-1.0
14:01:28.165,-1.0
14:01:28.368,-1.0
14:01:28.569,-1.0
14:01:28.771,-1.0
14:01:28.972,-1.0
14:01:29.174,-1.0
14:01:29.377,-1.0
14:01:29.579,-1.0
14:01:29.780,-1.0
14:01:29.985,-1.0
14:01:30.188,-1.0
14:01:30.391,-1.0
14:01:30.594,-1.0
14:01:30.795,-1.0
14:01:30.996,-1.0
14:01:31.199,-1.0
14:01:31.402,-1.0
14:01:31.604,-1.0
14:01:31.809,-1.0
14:01:32.012,-1.0
14:01:32.215,-1.0
14:01:32.418,-1.0
14:01:32.620,-1.0
14:01:32.821,-1.0
14:01:33.024,-1.0
14:01:33.226,-1.0
14:01:33.428,-1.0
14:01:33.631,-1.0
14:01:33.834,-1.0
14:01:34.037,-1.0
14:01:34.242,-1.0
14:01:34.445,-1.0
14:01:34.647,-1.0
14:01:34.848,-1.0
14:01:35.050,-1.0
14:01:35.252,-1.0
14:01:35.454,-1.0
14:01:35.656,-1.0
14:01:35.858,-1.0
14:01:36.061,-1.0
14:01:36.264,-1.0
14:01:36.466,-1.0
14:01:36.668,-1.0
14:01:36.869,-1.0
14:01:37.072,-1.0
14:01:37.279,-1.0
14:01:37.483,-1.0
14:01:37.685,-1.0
14:01:37.887,-1.0
14:01:38.088,-1.0
14:01:38.291,-1.0
14:01:38.493,-1.0
14:01:38.694,-1.0
14:01:38.895,-1.0
14:01:39.098,-1.0
