time_stamp,MODE_AUTO,MODE_RTL,MODE_STABILIZE,relative_alt,RTL_ALT,vx,vy,vz
14:45:59.896,0,0,0,0,1500.0,-1,0,-4
14:46:00.098,0,0,0,0,1500.0,-1,0,-3
14:46:00.300,0,0,0,0,1500.0,-1,0,-3
14:46:00.502,0,0,0,0,1500.0,-1,0,-3
14:46:00.703,0,0,0,0,1500.0,-1,0,-3
14:46:00.904,0,0,0,0,1500.0,-1,0,-3
14:46:01.106,0,0,0,0,1500.0,-1,0,-3
14:46:01.309,0,0,0,0,1500.0,-1,0,-3
14:46:01.512,0,0,0,0,1500.0,-1,0,-3
14:46:01.716,0,0,0,0,1500.0,-1,1,-2
14:46:01.918,0,0,0,0,1500.0,-2,1,-2
14:46:02.119,0,0,0,8,1500.0,-2,1,-2
14:46:02.326,0,0,0,8,1500.0,-2,1,-2
14:46:02.530,0,0,0,8,1500.0,-2,1,-2
14:46:02.733,0,0,0,8,1500.0,-2,1,-2
14:46:02.934,0,0,0,8,1500.0,-2,1,-2
14:46:03.136,0,0,0,8,1500.0,-2,1,-2
14:46:03.338,0,0,0,8,1500.0,-2,1,-2
14:46:03.539,0,0,0,8,1500.0,-2,1,-2
14:46:03.742,0,0,0,11,1500.0,-1,1,-1
14:46:03.943,0,0,0,13,1500.0,0,0,-1
14:46:04.145,0,0,0,13,1500.0,0,0,-1
14:46:04.347,0,0,0,13,1500.0,0,0,-1
14:46:04.550,0,0,0,13,1500.0,0,0,-1
14:46:04.753,0,0,0,13,1500.0,0,0,-1
14:46:04.955,0,0,0,13,1500.0,0,0,-1
14:46:05.157,0,0,0,13,1500.0,0,0,-1
14:46:05.359,0,0,0,13,1500.0,0,0,-1
14:46:05.561,0,0,0,13,1500.0,0,0,-1
14:46:05.764,0,0,0,13,1500.0,0,0,-1
14:46:05.969,0,0,0,12,1500.0,0,0,0
14:46:06.171,0,0,0,51,1500.0,0,0,-32
14:46:06.374,0,0,0,51,1500.0,0,0,-32
14:46:06.583,0,0,0,51,1500.0,0,0,-32
14:46:06.788,0,0,0,51,1500.0,0,0,-32
14:46:06.990,0,0,0,51,1500.0,0,0,-32
14:46:07.194,0,0,0,51,1500.0,0,0,-32
14:46:07.395,0,0,0,51,1500.0,0,0,-32
14:46:07.598,0,0,0,51,1500.0,0,0,-32
14:46:07.801,0,0,0,975,1500.0,3,3,-137
14:46:08.004,0,0,0,2093,1500.0,7,22,-148
14:46:08.205,0,0,0,2476,1500.0,10,33,-148
14:46:08.407,0,0,0,2476,1500.0,10,33,-148
14:46:08.610,0,0,0,2476,1500.0,10,33,-148
14:46:08.814,0,0,0,2476,1500.0,10,33,-148
14:46:09.021,0,0,0,2476,1500.0,10,33,-148
14:46:09.224,0,0,0,2476,1500.0,10,33,-148
14:46:09.428,0,0,0,2476,1500.0,10,33,-148
14:46:09.629,0,0,0,2476,1500.0,10,33,-148
14:46:09.831,0,0,0,4373,1500.0,0,33,-148
14:46:10.033,0,0,0,5148,1500.0,-3,-3,-149
14:46:10.235,0,0,0,5534,1500.0,-5,-21,-149
14:46:10.437,0,0,0,5534,1500.0,-5,-21,-149
14:46:10.639,0,0,0,5534,1500.0,-5,-21,-149
14:46:10.842,0,0,0,5534,1500.0,-5,-21,-149
14:46:11.045,0,0,0,5534,1500.0,-5,-21,-149
14:46:11.248,0,0,0,5534,1500.0,-5,-21,-149
14:46:11.450,0,0,0,5534,1500.0,-5,-21,-149
14:46:11.652,0,0,0,5534,1500.0,-5,-21,-149
14:46:11.856,0,0,0,7459,1500.0,-13,-49,-151
14:46:12.058,0,0,0,8636,1500.0,-14,-22,-151
14:46:12.263,0,0,0,8636,1500.0,-14,-22,-151
14:46:12.465,0,0,0,8636,1500.0,-14,-22,-151
14:46:12.667,0,0,0,8636,1500.0,-14,-22,-151
14:46:12.872,0,0,0,8636,1500.0,-14,-22,-151
14:46:13.074,0,0,0,8636,1500.0,-14,-22,-151
14:46:13.278,0,0,0,8636,1500.0,-14,-22,-151
14:46:13.481,0,0,0,8636,1500.0,-14,-22,-151
14:46:13.682,0,0,0,8636,1500.0,-14,-22,-151
14:46:13.886,0,0,0,11188,1500.0,12,0,-150
14:46:14.087,0,0,0,11577,1500.0,11,-1,-151
14:46:14.290,0,0,0,11577,1500.0,11,-1,-151
14:46:14.492,0,0,0,11577,1500.0,11,-1,-151
14:46:14.695,0,0,0,11577,1500.0,11,-1,-151
14:46:14.900,0,0,0,11577,1500.0,11,-1,-151
14:46:15.102,0,0,0,11577,1500.0,11,-1,-151
14:46:15.304,0,0,0,11577,1500.0,11,-1,-151
14:46:15.509,0,0,0,11577,1500.0,11,-1,-151
14:46:15.711,0,0,0,12746,1500.0,4,-2,-151
14:46:15.912,0,0,0,14306,1500.0,-2,3,-151
14:46:16.114,0,0,0,14696,1500.0,-3,4,-151
14:46:16.320,0,0,0,14696,1500.0,-3,4,-151
14:46:16.531,0,0,0,14696,1500.0,-3,4,-151
14:46:16.734,0,0,0,14696,1500.0,-3,4,-151
14:46:16.935,0,0,0,14696,1500.0,-3,4,-151
14:46:17.137,0,0,0,14696,1500.0,-3,4,-151
14:46:17.340,0,0,0,14696,1500.0,-3,4,-151
14:46:17.542,0,0,0,14696,1500.0,-3,4,-151
14:46:17.747,0,0,0,14696,1500.0,-3,4,-151
14:46:17.949,0,0,0,15866,1500.0,-5,7,-152
14:46:18.151,0,0,0,17044,1500.0,-4,7,-152
14:46:18.358,0,0,0,18215,1500.0,-3,6,-152
14:46:18.562,0,0,0,18215,1500.0,-3,6,-152
14:46:18.763,0,0,0,18215,1500.0,-3,6,-152
14:46:18.966,0,0,0,18215,1500.0,-3,6,-152
14:46:19.168,0,0,0,18215,1500.0,-3,6,-152
14:46:19.372,0,0,0,18215,1500.0,-3,6,-152
14:46:19.577,0,0,0,18215,1500.0,-3,6,-152
14:46:19.779,0,0,0,18215,1500.0,-3,6,-152
14:46:19.981,0,0,0,18215,1500.0,-3,6,-152
14:46:20.183,0,0,0,20329,1500.0,-2,4,-152
14:46:20.388,0,0,0,21111,1500.0,-2,3,-152
14:46:20.591,0,0,0,21111,1500.0,-2,3,-152
14:46:20.794,0,0,0,21111,1500.0,-2,3,-152
14:46:20.996,0,0,0,21111,1500.0,-2,3,-152
14:46:21.199,0,0,0,21111,1500.0,-2,3,-152
14:46:21.403,0,0,0,21111,1500.0,-2,3,-152
14:46:21.608,0,0,0,21111,1500.0,-2,3,-152
14:46:21.810,0,0,0,22667,1500.0,-2,3,-153
14:46:22.012,0,0,0,23840,1500.0,-1,3,-153
14:46:22.214,0,0,0,24239,1500.0,-1,3,-153
14:46:22.416,0,0,0,24239,1500.0,-1,3,-153
14:46:22.621,0,0,0,24239,1500.0,-1,3,-153
14:46:22.823,0,0,0,24239,1500.0,-1,3,-153
14:46:23.025,0,0,0,24239,1500.0,-1,3,-153
14:46:23.231,0,0,0,24239,1500.0,-1,3,-153
14:46:23.435,0,0,0,24239,1500.0,-1,3,-153
14:46:23.638,0,0,0,25248,1500.0,-2,2,-151
14:46:23.841,0,0,0,26808,1500.0,-5,1,-153
14:46:24.046,0,0,0,27198,1500.0,-5,3,-153
14:46:24.248,0,0,0,27198,1500.0,-5,3,-153
14:46:24.450,0,0,0,27198,1500.0,-5,3,-153
14:46:24.652,0,0,0,27198,1500.0,-5,3,-153
14:46:24.853,0,0,0,27198,1500.0,-5,3,-153
14:46:25.056,0,0,0,27198,1500.0,-5,3,-153
14:46:25.257,0,0,0,27198,1500.0,-5,3,-153
14:46:25.459,0,0,0,27198,1500.0,-5,3,-153
14:46:25.662,0,0,0,27198,1500.0,-5,3,-153
14:46:25.864,0,0,0,29530,1500.0,0,7,-152
14:46:26.067,0,0,0,30308,1500.0,0,6,-152
14:46:26.269,0,0,0,30308,1500.0,0,6,-152
14:46:26.471,0,0,0,30308,1500.0,0,6,-152
14:46:26.673,0,0,0,30308,1500.0,0,6,-152
14:46:26.874,0,0,0,30308,1500.0,0,6,-152
14:46:27.076,0,0,0,30308,1500.0,0,6,-152
14:46:27.277,0,0,0,30308,1500.0,0,6,-152
14:46:27.481,0,0,0,30308,1500.0,0,6,-152
14:46:27.683,0,0,0,30308,1500.0,0,6,-152
14:46:27.885,0,0,0,33035,1500.0,0,1,-153
14:46:28.086,0,0,0,33424,1500.0,0,0,-153
14:46:28.287,0,0,0,33424,1500.0,0,0,-153
14:46:28.489,0,0,0,33424,1500.0,0,0,-153
14:46:28.691,0,0,0,33424,1500.0,0,0,-153
14:46:28.893,0,0,0,33424,1500.0,0,0,-153
14:46:29.095,0,0,0,33424,1500.0,0,0,-153
14:46:29.296,0,0,0,33424,1500.0,0,0,-153
14:46:29.499,0,0,0,33424,1500.0,0,0,-153
