time_stamp,alt,MODE_AUTO,MODE_LOITER,MODE_RTL,MODE_STABILIZE,vx,vy,vz
11:27:18.704,583970,0,0,0,1,-2,1,-1
11:27:18.910,583970,0,0,0,1,-2,1,-1
11:27:19.114,583970,0,0,0,1,-2,1,-1
11:27:19.319,583970,0,0,0,1,-2,1,-1
11:27:19.522,583970,0,0,0,1,-2,1,-1
11:27:19.739,583970,0,0,0,1,-2,1,-1
11:27:19.942,583970,0,0,0,1,-2,1,-1
11:27:20.145,583970,0,0,0,1,-2,1,-1
11:27:20.350,583970,0,0,0,1,-2,1,-1
11:27:20.551,583970,0,0,0,1,-2,1,-1
11:27:20.754,583970,0,0,0,1,-2,1,-1
11:27:20.957,583970,0,0,0,1,-2,1,-1
11:27:21.159,583970,0,0,0,1,-2,1,-1
11:27:21.363,583970,0,0,0,1,-2,1,-1
11:27:21.564,583970,0,0,0,1,-2,1,-1
11:27:21.767,583970,0,0,0,1,-2,1,-1
11:27:21.975,583970,0,0,0,1,-2,1,-1
11:27:22.188,583970,0,0,0,1,-2,1,-1
11:27:22.398,583950,0,0,0,1,-1,1,0
11:27:22.601,583950,0,0,0,1,-1,0,0
11:27:22.807,583950,0,0,0,1,-1,0,0
11:27:23.014,583950,0,0,0,1,-1,0,0
11:27:23.219,583950,0,0,0,1,-1,0,0
11:27:23.422,583950,0,0,0,1,-1,0,0
11:27:23.628,583950,0,0,0,1,-1,0,0
11:27:23.831,583950,0,0,0,1,-1,0,0
11:27:24.032,583950,0,0,0,1,-1,0,0
11:27:24.238,583950,0,0,0,1,-1,0,0
11:27:24.448,583950,0,0,0,1,-1,0,0
11:27:24.651,583950,0,0,0,1,-1,0,0
11:27:24.857,583950,0,0,0,1,-1,0,0
11:27:25.060,583950,0,0,0,1,-1,0,0
11:27:26.719,583950,0,0,0,1,-1,0,0
11:27:26.933,583950,0,0,0,1,-1,0,0
11:27:27.135,583950,0,0,0,1,-1,0,0
11:27:27.340,583950,0,0,0,1,-1,0,0
11:27:27.545,583950,0,0,0,1,-1,0,0
11:27:27.755,583950,0,0,0,1,-1,0,0
11:27:27.966,583950,0,0,0,1,-1,2,2
11:27:28.182,583950,0,0,0,1,-1,2,2
11:27:28.406,583950,0,0,0,1,-1,2,2
11:27:28.610,583950,0,0,0,1,-1,2,2
11:27:28.815,583950,0,0,0,1,-1,2,2
11:27:29.019,583950,0,0,0,1,-1,2,2
11:27:29.221,583950,0,0,0,1,-1,2,2
11:27:29.427,583950,0,0,0,1,-1,2,2
11:27:29.629,583950,0,0,0,1,-1,1,1
11:27:29.837,583950,0,0,0,1,-1,1,1
11:27:30.039,583950,0,0,0,1,-1,1,1
11:27:30.248,583950,0,0,0,1,-1,1,1
11:27:30.452,583950,0,0,0,1,-1,1,1
11:27:30.654,583950,0,0,0,1,-1,1,1
11:27:30.856,583950,0,0,0,1,-1,1,1
11:27:31.059,583950,0,0,0,1,-1,1,1
11:27:31.267,583950,0,0,0,1,-1,1,1
11:27:31.474,583950,0,0,0,1,-1,1,0
11:27:31.678,583950,0,0,0,1,-1,1,0
11:27:31.880,583950,0,0,0,1,-1,1,0
11:27:32.085,583950,0,0,0,1,-1,1,0
11:27:32.291,583950,0,0,0,1,-1,1,0
11:27:32.497,583950,0,0,0,1,-1,1,0
11:27:32.701,583950,0,0,0,1,-1,1,0
11:27:32.904,583950,0,0,0,1,-1,1,0
11:27:33.118,583950,0,0,0,1,-1,1,0
11:27:33.321,583950,0,0,0,1,-1,1,0
11:27:33.528,583950,0,0,0,1,-1,1,0
11:27:33.736,583960,0,0,0,1,-1,1,0
