,A.LOITER1
11:39:17.782,-1.0
11:39:17.984,-1.0
11:39:18.188,-1.0
11:39:18.391,-1.0
11:39:18.593,-1.0
11:39:18.801,-1.0
11:39:19.006,-1.0
11:39:19.212,-1.0
11:39:19.415,-1.0
11:39:19.616,-1.0
11:39:19.824,-1.0
11:39:20.026,-1.0
11:39:20.234,-1.0
11:39:20.438,-1.0
11:39:20.648,-1.0
11:39:20.852,-1.0
11:39:21.061,-1.0
11:39:21.282,-1.0
11:39:21.485,-1.0
11:39:21.687,-1.0
11:39:21.891,-1.0
11:39:22.093,-1.0
11:39:22.298,-1.0
11:39:22.503,-1.0
11:39:22.721,-1.0
11:39:22.929,-1.0
11:39:23.136,-1.0
11:39:23.338,-1.0
11:39:23.540,-1.0
11:39:23.751,-1.0
11:39:23.956,-1.0
11:39:24.166,-1.0
11:39:24.380,-1.0
11:39:24.585,-1.0
11:39:24.791,-1.0
11:39:24.996,-1.0
11:39:25.201,-1.0
11:39:25.410,-1.0
11:39:25.613,-1.0
11:39:25.823,-1.0
11:39:26.028,-1.0
11:39:26.235,-1.0
11:39:26.440,-1.0
11:39:26.644,-1.0
11:39:26.847,-1.0
11:39:27.049,-1.0
11:39:27.252,-1.0
11:39:27.456,-1.0
11:39:27.658,-1.0
11:39:27.863,-1.0
11:39:28.067,-1.0
11:39:29.775,-1.0
11:39:29.978,-1.0
11:39:30.183,-1.0
11:39:30.387,-1.0
11:39:30.605,-1.0
11:39:30.807,-1.0
11:39:31.010,-1.0
11:39:31.218,-1.0
11:39:31.439,-1.0
11:39:31.646,-1.0
11:39:31.851,-1.0
11:39:32.053,-1.0
11:39:32.255,-1.0
11:39:32.458,-1.0
11:39:32.661,-1.0
11:39:32.869,-1.0
11:39:33.073,-1.0
11:39:33.284,-1.0
11:39:33.488,-1.0
11:39:33.693,-1.0
11:39:33.897,-1.0
11:39:34.103,-1.0
11:39:34.310,-1.0
11:39:34.516,-1.0
11:39:34.723,-1.0
11:39:34.928,-1.0
11:39:35.131,-1.0
11:39:35.336,-1.0
11:39:35.541,-1.0
11:39:35.748,-1.0
11:39:35.951,-1.0
11:39:36.161,-1.0
11:39:36.363,-1.0
11:39:36.566,-1.0
11:39:36.770,-1.0
11:39:36.973,-1.0
11:39:37.181,-1.0
11:39:37.385,-1.0
11:39:37.587,-1.0
11:39:37.790,-1.0
11:39:37.993,-1.0
11:39:38.195,-1.0
11:39:38.399,-1.0
11:39:38.605,-1.0
11:39:38.808,-1.0
11:39:39.013,-1.0
11:39:39.216,-1.0
11:39:39.421,-1.0
11:39:39.625,-1.0
11:39:39.829,-1.0
11:39:40.032,-1.0
11:39:40.234,-1.0
11:39:40.438,-1.0
11:39:40.643,-1.0
11:39:40.847,-1.0
11:39:41.055,-1.0
11:39:41.257,-1.0
11:39:41.460,-1.0
11:39:41.665,-1.0
11:39:41.869,-1.0
11:39:42.071,-1.0
11:39:42.275,-1.0
11:39:42.478,-1.0
11:39:42.680,-1.0
11:39:42.884,-1.0
11:39:43.088,-1.0
11:39:43.294,-1.0
11:39:43.496,-1.0
11:39:43.698,-1.0
11:39:43.901,-1.0
11:39:44.104,-1.0
11:39:44.307,-1.0
11:39:44.511,-1.0
11:39:44.715,-1.0
11:39:44.918,-1.0
11:39:45.120,-1.0
11:39:45.322,-1.0
11:39:45.524,-1.0
11:39:45.729,-1.0
11:39:45.932,-1.0
11:39:46.134,-1.0
11:39:46.341,-1.0
11:39:46.547,-1.0
11:39:46.751,-1.0
11:39:46.955,-1.0
11:39:47.162,-1.0
11:39:47.366,-1.0
11:39:47.568,-1.0
11:39:47.772,-1.0
11:39:47.978,-1.0
11:39:48.180,-1.0
11:39:48.383,-1.0
11:39:48.589,-1.0
11:39:48.792,-1.0
11:39:48.995,-1.0
11:39:49.198,-1.0
11:39:49.402,-1.0
11:39:49.609,-1.0
11:39:49.814,-1.0
11:39:50.016,-1.0
11:39:50.218,-1.0
11:39:50.424,-1.0
11:39:50.627,-1.0
11:39:50.832,-1.0
11:39:51.035,-1.0
11:39:51.238,-1.0
11:39:51.441,-1.0
11:39:51.647,-1.0
11:39:51.850,-1.0
11:39:52.055,-1.0
11:39:52.277,-1.0
11:39:52.481,-1.0
11:39:52.684,-1.0
11:39:52.886,-1.0
11:39:53.090,-1.0
11:39:53.294,-1.0
11:39:53.497,-1.0
11:39:53.704,-1.0
11:39:53.907,-1.0
11:39:54.109,-1.0
11:39:54.314,-1.0
11:39:54.517,-1.0
11:39:54.721,-1.0
11:39:54.926,-1.0
11:39:55.129,-1.0
11:39:55.334,-1.0
11:39:55.540,-1.0
11:39:55.743,-1.0
11:39:55.946,-1.0
11:39:56.149,-1.0
11:39:56.359,-1.0
11:39:56.562,-1.0
11:39:56.768,-1.0
