,A.LOITER1
16:59:12.568,-1.0
16:59:12.775,-1.0
16:59:12.977,-1.0
16:59:13.183,-1.0
16:59:13.388,-1.0
16:59:13.592,-1.0
16:59:13.794,-1.0
16:59:14.000,-1.0
16:59:14.202,-1.0
16:59:14.406,-1.0
16:59:14.608,-1.0
16:59:14.810,-1.0
16:59:15.012,-1.0
16:59:15.220,-1.0
16:59:15.448,-1.0
16:59:15.655,-1.0
16:59:15.858,-1.0
16:59:16.060,-1.0
16:59:16.262,-1.0
16:59:16.464,-1.0
16:59:16.666,-1.0
16:59:16.868,-1.0
16:59:17.074,-1.0
16:59:17.281,-1.0
16:59:17.483,-1.0
16:59:17.695,-1.0
16:59:17.904,-1.0
16:59:18.107,-1.0
16:59:18.331,-1.0
16:59:18.533,-1.0
16:59:18.735,-1.0
16:59:18.937,-1.0
16:59:19.142,-1.0
16:59:19.350,-1.0
16:59:20.611,-1.0
16:59:20.822,-1.0
16:59:21.026,-1.0
16:59:21.247,-1.0
16:59:21.449,-1.0
16:59:21.653,-1.0
16:59:21.861,-1.0
16:59:22.068,-1.0
16:59:22.269,-1.0
16:59:22.473,-1.0
16:59:22.674,-1.0
16:59:22.877,-1.0
16:59:23.080,-1.0
16:59:23.284,-1.0
16:59:23.497,-1.0
16:59:23.702,-1.0
16:59:23.908,-1.0
16:59:24.116,-1.0
16:59:24.320,-1.0
16:59:24.531,-1.0
16:59:24.734,-1.0
16:59:24.938,-1.0
16:59:25.148,-1.0
16:59:25.351,-1.0
16:59:25.557,-1.0
16:59:25.760,-1.0
16:59:25.962,-1.0
16:59:26.163,-1.0
16:59:26.367,-1.0
16:59:26.570,-1.0
16:59:26.772,-1.0
16:59:26.975,-1.0
16:59:27.180,-1.0
16:59:27.384,-1.0
16:59:27.586,-1.0
16:59:27.792,-1.0
16:59:27.994,-1.0
16:59:28.200,-1.0
16:59:28.406,-1.0
16:59:28.613,-1.0
16:59:28.816,-1.0
16:59:29.018,-1.0
16:59:29.224,-1.0
16:59:29.427,-1.0
16:59:29.632,-1.0
16:59:29.836,-1.0
16:59:30.039,-1.0
16:59:30.240,-1.0
16:59:30.443,-1.0
16:59:30.645,-1.0
16:59:30.847,-1.0
16:59:31.049,-1.0
16:59:31.252,-1.0
16:59:31.456,-1.0
16:59:31.658,-1.0
16:59:31.860,-1.0
16:59:32.063,-1.0
16:59:32.268,-1.0
16:59:32.470,-1.0
16:59:32.674,-1.0
16:59:32.876,-1.0
16:59:33.078,-1.0
16:59:33.288,-1.0
16:59:33.491,-1.0
16:59:33.693,-1.0
16:59:33.899,-1.0
16:59:34.108,-1.0
16:59:34.313,-1.0
16:59:34.516,-1.0
16:59:34.718,-1.0
16:59:34.921,-1.0
16:59:35.126,-1.0
16:59:35.328,-1.0
16:59:35.538,-1.0
16:59:35.741,-1.0
16:59:35.945,-1.0
16:59:36.149,-1.0
16:59:36.355,-1.0
16:59:36.557,-1.0
16:59:36.760,-1.0
16:59:36.963,-1.0
16:59:37.168,-1.0
16:59:37.372,-1.0
16:59:37.575,-1.0
16:59:37.781,-1.0
16:59:37.983,-1.0
16:59:38.187,-1.0
16:59:38.391,-1.0
16:59:38.594,-1.0
16:59:38.796,-1.0
16:59:38.998,-1.0
16:59:39.201,-1.0
16:59:39.404,-1.0
