,A.LOITER1
18:21:59.746,-1
18:21:59.948,-1
18:22:00.149,-1
18:22:00.350,-1
18:22:00.552,-1
18:22:00.753,-1
18:22:00.954,-1
18:22:01.155,-1
18:22:01.356,-1
18:22:01.558,-1
18:22:01.759,-1
18:22:01.960,-1
18:22:02.162,-1
18:22:02.364,-1
18:22:02.566,-1
18:22:02.767,-1
18:22:02.968,-1
18:22:03.169,-1
18:22:03.370,-1
18:22:03.571,-1
18:22:03.772,-1
18:22:03.973,-1
18:22:04.174,-1
18:22:04.376,-1
18:22:04.578,-1
18:22:04.779,-1
18:22:04.980,-1
18:22:05.182,-1
18:22:05.383,-1
18:22:05.584,-1
18:22:05.785,-1
18:22:05.987,-1
18:22:06.189,-1
18:22:06.391,-1
18:22:06.593,-1
18:22:06.794,-1
18:22:06.995,-1
18:22:07.197,-1
18:22:07.398,-1
18:22:07.599,-1
18:22:07.800,-1
18:22:08.001,-1
18:22:08.202,-1
18:22:08.402,-1
18:22:08.603,-1
18:22:08.805,-1
18:22:09.006,-1
18:22:09.207,-1
18:22:09.408,-1
18:22:09.610,-1
18:22:09.811,-1
18:22:10.012,-1
18:22:10.213,-1
18:22:10.414,-1
18:22:10.615,-1
18:22:10.817,-1
18:22:11.020,-1
18:22:11.221,-1
18:22:11.422,-1
18:22:11.623,-1
18:22:11.824,-1
18:22:12.027,-1
18:22:12.230,-1
18:22:12.435,-1
18:22:12.636,-1
18:22:12.837,-1
18:22:13.038,-1
18:22:13.239,-1
18:22:13.440,-1
18:22:13.641,-1
18:22:13.842,-1
18:22:14.044,-1
18:22:14.245,-1
18:22:14.447,-1
18:22:14.648,-1
18:22:14.849,-1
18:22:15.051,-1
18:22:15.252,-1
18:22:15.453,-1
18:22:15.654,-1
18:22:15.855,-1
18:22:16.057,-1
18:22:16.259,-1
18:22:16.461,-1
18:22:16.662,-1
18:22:16.864,-1
18:22:17.065,-1
18:22:17.268,-1
18:22:17.469,-1
18:22:17.670,-1
18:22:17.872,-1
18:22:18.072,-1
18:22:18.275,-1
18:22:18.476,-1
18:22:18.678,-1
18:22:18.879,-1
18:22:19.080,-1
18:22:19.281,-1
18:22:19.482,-1
18:22:19.683,-1
18:22:19.884,-1
18:22:20.085,-1
18:22:20.286,-1
18:22:20.488,-1
18:22:20.689,-1
18:22:20.890,-1
18:22:21.091,-1
18:22:21.293,-1
18:22:21.494,-1
18:22:21.695,-1
18:22:21.896,-1
18:22:22.098,-1
18:22:22.299,-1
18:22:22.500,-1
18:22:22.702,-1
18:22:22.903,-1
18:22:23.104,-1
18:22:23.305,-1
18:22:23.506,-1
18:22:23.708,-1
18:22:23.909,-1
18:22:24.110,-1
18:22:24.312,-1
18:22:24.513,-1
18:22:24.715,-1
18:22:24.916,-1
18:22:25.117,-1
18:22:25.319,-1
18:22:25.520,-1
18:22:25.722,-1
18:22:25.923,-1
18:22:26.125,-1
18:22:26.327,-1
18:22:26.528,-1
18:22:26.731,-1
18:22:26.933,-1
18:22:27.135,-1
18:22:27.336,-1
18:22:27.537,-1
18:22:27.739,-1
18:22:27.940,-1
18:22:28.141,-1
18:22:28.343,-1
18:22:28.545,-1
18:22:28.746,-1
18:22:28.948,-1
18:22:29.150,-1
18:22:29.352,-1
18:22:29.553,-1
18:22:29.755,-1
18:22:29.956,-1
18:22:30.158,-1
18:22:30.360,-1
18:22:30.562,-1
18:22:30.763,-1
18:22:30.964,-1
18:22:31.165,-1
18:22:31.366,-1
18:22:31.567,-1
18:22:31.768,-1
18:22:31.969,-1
18:22:32.171,-1
18:22:32.372,-1
18:22:32.574,-1
18:22:32.776,-1
18:22:32.977,-1
18:22:33.179,-1
18:22:33.380,-1
18:22:33.581,-1
18:22:33.782,-1
18:22:33.983,-1
18:22:34.185,-1
18:22:34.387,-1
18:22:34.589,-1
18:22:34.790,-1
18:22:34.992,-1
18:22:35.193,-1
18:22:35.395,-1
18:22:35.596,-1
18:22:35.798,-1
18:22:35.999,-1
18:22:36.201,-1
18:22:36.403,-1
18:22:36.608,-1
18:22:36.810,-1
18:22:37.011,-1
18:22:37.212,-1
18:22:37.413,-1
18:22:37.615,-1
18:22:37.816,-1
18:22:38.017,-1
18:22:38.219,-1
18:22:38.420,-1
18:22:38.622,-1
18:22:38.824,-1
18:22:39.025,-1
18:22:39.227,-1
18:22:39.428,-1
18:22:39.630,-1
18:22:39.831,-1
18:22:40.035,-1
18:22:40.239,-1
18:22:40.441,-1
18:22:40.642,-1
18:22:40.843,-1
18:22:41.045,-1
18:22:41.246,-1
18:22:41.447,-1
18:22:41.648,-1
18:22:41.849,-1
18:22:42.051,-1
18:22:42.252,-1
18:22:42.454,-1
18:22:43.069,-1
18:22:43.271,-1
18:22:43.472,-1
18:22:43.673,-1
18:22:43.874,-1
18:22:44.075,-1
18:22:44.276,-1
18:22:44.478,-1
18:22:44.680,-1
18:22:44.881,-1
18:22:45.082,-1
18:22:45.283,-1
18:22:45.484,-1
18:22:45.685,-1
18:22:45.887,-1
18:22:46.088,-1
18:22:46.289,-1
18:22:46.491,-1
18:22:46.693,-1
18:22:46.895,-1
18:22:47.096,-1
18:22:47.298,-1
18:22:47.499,-1
18:22:47.701,-1
18:22:47.902,-1
18:22:48.103,-1
18:22:48.304,-1
18:22:48.505,-1
18:22:48.706,-1
18:22:48.908,-1
18:22:49.109,-1
18:22:49.310,-1
18:22:49.511,-1
18:22:49.713,-1
18:22:49.914,-1
18:22:50.115,-1
18:22:50.317,-1
18:22:50.518,-1
18:22:50.719,-1
18:22:50.921,-1
18:22:51.122,-1
18:22:51.324,-1
18:22:51.525,-1
18:22:51.726,-1
18:22:51.928,-1
18:22:52.129,-1
18:22:52.331,-1
18:22:52.532,-1
18:22:52.733,-1
18:22:52.934,-1
18:22:53.135,-1
18:22:53.336,-1
18:22:53.537,-1
18:22:53.739,-1
18:22:53.940,-1
18:22:54.141,-1
18:22:54.343,-1
18:22:54.544,-1
18:22:54.746,-1
18:22:54.947,-1
18:22:55.148,-1
18:22:55.349,-1
18:22:55.550,-1
18:22:55.751,-1
18:22:55.952,-1
18:22:56.153,-1
18:22:56.354,-1
18:22:56.556,-1
18:22:56.757,-1
18:22:56.958,-1
18:22:57.159,-1
18:22:57.360,-1
18:22:57.561,-1
18:22:57.762,-1
18:22:57.963,-1
18:22:58.165,-1
18:22:58.366,-1
18:22:58.568,-1
18:22:58.770,-1
18:22:58.973,-1
18:22:59.174,-1
18:22:59.375,-1
18:22:59.576,-1
18:22:59.777,-1
18:22:59.979,-1
18:23:00.181,-1
18:23:00.382,-1
18:23:00.584,-1
18:23:00.787,-1
18:23:00.989,-1
18:23:01.190,-1
18:23:01.391,-1
18:23:01.593,-1
18:23:01.794,-1
18:23:01.995,-1
18:23:02.196,-1
18:23:02.397,-1
18:23:02.599,-1
18:23:02.802,-1
18:23:03.003,-1
18:23:03.205,-1
18:23:03.406,-1
18:23:03.608,-1
18:23:03.809,-1
18:23:04.010,-1
18:23:04.211,-1
18:23:04.412,-1
18:23:04.614,-1
18:23:04.816,-1
18:23:05.018,-1
18:23:05.219,-1
18:23:05.421,-1
18:23:05.622,-1
18:23:05.823,-1
18:23:06.024,-1
18:23:06.226,-1
