,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
16:22:50.904,190403.0,0.0,0.6,-8.8,0.25,2.4,0.0,32000.0,630.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:22:54.444,192768.0,1.1,1.1,10.1,0.25,5.1,0.0,20699.0,1000.0,1.0,0.1,50.0,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
16:22:58.477,227408.0,1.1,0.5,-10.0,0.25,1.0,0.0,0.0,590.0,1.0,0.1,50.0,50.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:02.502,102673.0,0.1,0.6,9.2,0.25,1.8,0.0,32000.0,0.0,1.0,0.1,50.0,50.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:06.031,103733.0,0.9,0.0,-10.0,0.25,2.9,0.0,18326.0,0.0,1.0,0.1,50.0,50.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:10.050,52272.0,0.9,1.6,-5.1,0.25,3.6,0.0,15728.0,380.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:14.063,200.0,0.9,2.0,7.1,0.25,4.8,0.0,14778.0,0.0,1.0,0.1,50.0,50.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:18.096,139347.0,1.0,1.7,-10.0,0.25,3.5,0.0,19443.0,630.0,1.0,0.1,50.0,50.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:22.110,200.0,1.1,2.0,-3.5,0.25,0.2,0.0,15612.0,320.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:26.136,146652.0,0.2,1.8,-2.3,0.25,4.7,0.0,26722.0,300.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:30.170,300000.0,0.4,0.0,-5.5,0.25,0.0,0.0,1223.0,90.0,1.0,0.1,50.0,50.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:34.200,16687.0,0.0,2.0,-10.0,0.25,2.8,0.0,19365.0,970.0,1.0,0.1,50.0,50.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:38.214,200.0,0.8,1.2,2.5,0.25,2.2,0.0,11279.0,980.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:42.234,200.0,1.0,0.2,4.5,0.25,5.1,0.0,0.0,690.0,1.0,0.1,50.0,50.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:46.263,235588.0,1.0,1.0,-5.7,0.25,0.0,0.0,32000.0,150.0,1.0,0.1,50.0,50.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:50.298,300000.0,0.6,1.6,10.1,0.25,0.0,0.0,4299.0,90.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:54.327,255184.0,0.0,1.8,-6.6,0.25,3.5,0.0,22838.0,530.0,1.0,0.1,50.0,50.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
16:23:58.347,95665.0,0.1,2.0,-9.6,0.25,2.4,0.0,29704.0,0.0,1.0,0.1,50.0,50.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:02.381,300000.0,0.4,1.5,-9.3,0.25,3.3,0.0,11351.0,1000.0,1.0,0.1,50.0,50.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:06.405,200.0,1.1,1.4,10.1,0.25,4.3,0.0,23017.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:10.420,200.0,0.4,1.0,-8.0,0.25,2.1,0.0,24156.0,290.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:14.448,204605.0,0.1,0.1,-1.9,0.25,3.7,0.0,17525.0,130.0,1.0,0.1,50.0,50.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:18.475,198807.0,0.5,2.0,-10.0,0.25,0.0,0.0,0.0,520.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:21.499,115784.0,0.4,1.8,9.7,0.25,2.8,0.0,17667.0,200.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:25.053,287108.0,0.1,0.8,-3.1,0.25,2.6,0.0,4325.0,590.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:29.076,184401.0,0.8,2.0,7.4,0.25,1.6,0.0,32000.0,420.0,1.0,0.1,50.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:33.108,300000.0,0.6,1.9,-0.8,0.25,3.3,0.0,16620.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:37.154,248510.0,0.1,1.1,-5.0,0.25,1.0,0.0,10562.0,760.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:41.172,64429.0,0.3,0.0,3.1,0.25,0.0,0.0,17862.0,380.0,1.0,0.1,50.0,50.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:45.190,38360.0,1.1,1.5,-7.7,0.25,0.9,0.0,11433.0,630.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:49.209,200.0,0.9,0.0,-7.4,0.25,0.4,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:53.270,300000.0,0.4,0.0,-10.0,0.25,3.4,0.0,29394.0,850.0,1.0,0.1,50.0,50.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0
16:24:57.285,70658.0,1.1,0.2,7.9,0.25,0.8,0.0,0.0,0.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:01.320,300000.0,0.3,0.3,-6.9,0.25,0.0,0.0,24722.0,0.0,1.0,0.1,50.0,50.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:05.359,158680.0,0.4,0.0,-3.7,0.25,1.3,0.0,30660.0,0.0,1.0,0.1,50.0,50.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0
