,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
09:41:29.203,177666.0,0.25,0.1,1000.0,30.0,1.9,8300.0,1000.0,27373.0,0.0,0.0,1550.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:33.222,238778.0,0.25,0.1,1000.0,30.0,5.1,14400.0,1000.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:37.297,259377.0,0.25,0.1,1000.0,30.0,3.7,14000.0,1000.0,16341.0,3000.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:41.337,286811.0,0.25,0.1,1000.0,30.0,0.0,5900.0,1000.0,21366.0,1540.0,0.0,1450.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:45.357,200.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,32000.0,3000.0,0.0,1450.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:49.392,221448.0,0.25,0.1,1000.0,30.0,4.5,12200.0,1000.0,27053.0,1540.0,0.0,1400.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:53.428,186143.0,0.25,0.1,1000.0,30.0,0.3,500.0,1000.0,20772.0,1630.0,0.0,600.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:41:57.456,174672.0,0.25,0.1,1000.0,30.0,5.1,16900.0,1000.0,5275.0,1920.0,0.0,1000.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:01.487,300000.0,0.25,0.1,1000.0,30.0,2.3,8900.0,1000.0,10509.0,2870.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:05.521,255670.0,0.25,0.1,1000.0,30.0,0.0,5600.0,1000.0,12432.0,1610.0,0.0,800.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:09.059,300000.0,0.25,0.1,1000.0,30.0,2.3,5600.0,1000.0,11548.0,3000.0,0.0,750.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:13.097,300000.0,0.25,0.1,1000.0,30.0,0.0,17100.0,1000.0,10770.0,310.0,0.0,1050.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:17.141,300000.0,0.25,0.1,1000.0,30.0,2.1,4200.0,1000.0,18209.0,0.0,0.0,350.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:21.186,176961.0,0.25,0.1,1000.0,30.0,2.2,500.0,1000.0,17655.0,870.0,0.0,1000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:25.221,215237.0,0.25,0.1,1000.0,30.0,3.3,4800.0,1000.0,18003.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:29.254,300000.0,0.25,0.1,1000.0,30.0,1.2,14100.0,1000.0,7696.0,3000.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:33.290,300000.0,0.25,0.1,1000.0,30.0,0.7,2400.0,1000.0,15486.0,3000.0,0.0,1000.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:37.313,149606.0,0.25,0.1,1000.0,30.0,3.3,10900.0,1000.0,17236.0,0.0,0.0,650.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:41.328,200.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,10005.0,420.0,0.0,450.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:45.358,227598.0,0.25,0.1,1000.0,30.0,1.8,18000.0,1000.0,15675.0,2890.0,0.0,1050.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:49.382,200.0,0.25,0.1,1000.0,30.0,5.1,8400.0,1000.0,13850.0,1790.0,0.0,2000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:53.404,136072.0,0.25,0.1,1000.0,30.0,0.0,11000.0,1000.0,0.0,600.0,0.0,1500.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:42:57.438,112790.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,29937.0,0.0,0.0,2000.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:01.457,129665.0,0.25,0.1,1000.0,30.0,4.3,500.0,1000.0,3952.0,670.0,0.0,400.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:05.513,300000.0,0.25,0.1,1000.0,30.0,2.0,6400.0,1000.0,14342.0,760.0,0.0,800.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:09.047,300000.0,0.25,0.1,1000.0,30.0,3.3,16100.0,1000.0,29623.0,1070.0,0.0,2000.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:13.071,168818.0,0.25,0.1,1000.0,30.0,2.4,8700.0,1000.0,18849.0,1490.0,0.0,2000.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:17.093,8621.0,0.25,0.1,1000.0,30.0,2.6,6300.0,1000.0,26817.0,1850.0,0.0,1500.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:21.110,200.0,0.25,0.1,1000.0,30.0,0.0,6900.0,1000.0,15236.0,2100.0,0.0,450.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:25.142,232677.0,0.25,0.1,1000.0,30.0,0.0,5300.0,1000.0,0.0,750.0,0.0,1450.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:29.160,48631.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,24026.0,790.0,0.0,1250.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:33.193,72697.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,15670.0,1040.0,0.0,350.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:37.236,300000.0,0.25,0.1,1000.0,30.0,5.0,900.0,1000.0,32000.0,1980.0,0.0,1600.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:41.258,151692.0,0.25,0.1,1000.0,30.0,0.7,5400.0,1000.0,11520.0,2240.0,0.0,950.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:45.279,112083.0,0.25,0.1,1000.0,30.0,1.5,500.0,1000.0,0.0,3000.0,0.0,950.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:49.359,269553.0,0.25,0.1,1000.0,30.0,5.1,9400.0,1000.0,31297.0,2330.0,0.0,550.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:53.393,300000.0,0.25,0.1,1000.0,30.0,0.8,15900.0,1000.0,5484.0,1510.0,0.0,1450.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:43:57.422,195987.0,0.25,0.1,1000.0,30.0,3.5,18000.0,1000.0,27503.0,3000.0,0.0,1100.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:01.449,72714.0,0.25,0.1,1000.0,30.0,0.9,2800.0,1000.0,0.0,0.0,0.0,500.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:05.467,32348.0,0.25,0.1,1000.0,30.0,2.1,18000.0,1000.0,0.0,3000.0,0.0,300.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:09.498,266947.0,0.25,0.1,1000.0,30.0,0.8,15300.0,1000.0,14159.0,0.0,0.0,2000.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:13.046,300000.0,0.25,0.1,1000.0,30.0,2.9,6600.0,1000.0,12153.0,720.0,0.0,1800.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:17.065,23673.0,0.25,0.1,1000.0,30.0,4.1,4700.0,1000.0,15743.0,1680.0,0.0,150.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:21.096,232629.0,0.25,0.1,1000.0,30.0,3.1,5900.0,1000.0,0.0,290.0,0.0,300.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:25.125,157149.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,32000.0,480.0,0.0,1150.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:29.159,226502.0,0.25,0.1,1000.0,30.0,4.6,17800.0,1000.0,0.0,3000.0,0.0,2000.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:33.177,200.0,0.25,0.1,1000.0,30.0,0.6,12200.0,1000.0,5963.0,820.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:37.201,160139.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,0.0,470.0,0.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:41.234,195084.0,0.25,0.1,1000.0,30.0,2.5,3800.0,1000.0,28079.0,140.0,0.0,100.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:45.257,119243.0,0.25,0.1,1000.0,30.0,4.8,8100.0,1000.0,28686.0,1040.0,0.0,1250.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:49.280,123765.0,0.25,0.1,1000.0,30.0,0.5,4300.0,1000.0,21478.0,1110.0,0.0,850.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:53.317,255628.0,0.25,0.1,1000.0,30.0,3.1,18000.0,1000.0,7513.0,0.0,0.0,450.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:44:57.354,225761.0,0.25,0.1,1000.0,30.0,4.7,18000.0,1000.0,32000.0,2310.0,0.0,450.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:01.383,156044.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,28868.0,0.0,0.0,2000.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:05.411,224979.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,14421.0,1420.0,0.0,600.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:09.448,117526.0,0.25,0.1,1000.0,30.0,2.0,700.0,1000.0,9276.0,2500.0,0.0,700.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:13.481,300000.0,0.25,0.1,1000.0,30.0,0.2,4300.0,1000.0,0.0,1840.0,0.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:17.008,95100.0,0.25,0.1,1000.0,30.0,1.0,500.0,1000.0,11110.0,1750.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:21.033,200.0,0.25,0.1,1000.0,30.0,2.1,9800.0,1000.0,6024.0,2280.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:25.071,275504.0,0.25,0.1,1000.0,30.0,0.0,14700.0,1000.0,3839.0,2570.0,0.0,950.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:29.106,234908.0,0.25,0.1,1000.0,30.0,0.5,18000.0,1000.0,11411.0,3000.0,0.0,250.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:33.156,300000.0,0.25,0.1,1000.0,30.0,1.2,12900.0,1000.0,8163.0,1510.0,0.0,100.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:37.187,226229.0,0.25,0.1,1000.0,30.0,4.5,18000.0,1000.0,32000.0,2610.0,0.0,1100.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:41.217,196052.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,14712.0,0.0,0.0,1500.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:45.242,200.0,0.25,0.1,1000.0,30.0,0.0,6500.0,1000.0,29576.0,910.0,0.0,800.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:49.275,300000.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,14297.0,2750.0,0.0,1200.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:53.296,74961.0,0.25,0.1,1000.0,30.0,1.0,5700.0,1000.0,26566.0,2920.0,0.0,2000.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:57.323,54792.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,22967.0,1510.0,0.0,1550.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:01.358,300000.0,0.25,0.1,1000.0,30.0,1.3,12300.0,1000.0,0.0,10.0,0.0,350.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:05.398,300000.0,0.25,0.1,1000.0,30.0,4.4,11500.0,1000.0,3514.0,2870.0,0.0,300.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:09.434,257783.0,0.25,0.1,1000.0,30.0,3.3,500.0,1000.0,32000.0,1440.0,0.0,1800.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:13.448,200.0,0.25,0.1,1000.0,30.0,1.4,2600.0,1000.0,8568.0,0.0,0.0,1300.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:17.495,300000.0,0.25,0.1,1000.0,30.0,5.1,5600.0,1000.0,14376.0,2420.0,0.0,600.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:21.033,186275.0,0.25,0.1,1000.0,30.0,4.7,18000.0,1000.0,24933.0,50.0,0.0,500.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:25.076,223082.0,0.25,0.1,1000.0,30.0,0.7,12200.0,1000.0,7098.0,2220.0,0.0,1050.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:29.101,77991.0,0.25,0.1,1000.0,30.0,2.1,2800.0,1000.0,14514.0,310.0,0.0,2000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:33.134,300000.0,0.25,0.1,1000.0,30.0,4.5,15700.0,1000.0,9196.0,0.0,0.0,2000.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:37.173,143547.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,23161.0,3000.0,0.0,1950.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:41.193,27951.0,0.25,0.1,1000.0,30.0,2.3,7800.0,1000.0,19525.0,980.0,0.0,150.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:45.231,249363.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,5947.0,900.0,0.0,50.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:49.252,41141.0,0.25,0.1,1000.0,30.0,4.1,13800.0,1000.0,0.0,2570.0,0.0,1050.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:53.285,117065.0,0.25,0.1,1000.0,30.0,2.7,500.0,1000.0,13975.0,1650.0,0.0,850.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:46:57.301,200.0,0.25,0.1,1000.0,30.0,0.6,7200.0,1000.0,7439.0,1760.0,0.0,2000.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:01.334,287088.0,0.25,0.1,1000.0,30.0,5.1,7900.0,1000.0,4358.0,3000.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:05.367,52775.0,0.25,0.1,1000.0,30.0,1.0,2300.0,1000.0,18710.0,2460.0,0.0,1700.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:09.389,59753.0,0.25,0.1,1000.0,30.0,4.2,18000.0,1000.0,6494.0,0.0,0.0,650.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:13.408,86106.0,0.25,0.1,1000.0,30.0,2.8,8600.0,1000.0,864.0,0.0,0.0,2000.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:17.444,216229.0,0.25,0.1,1000.0,30.0,0.6,5700.0,1000.0,32000.0,3000.0,0.0,1000.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:21.481,300000.0,0.25,0.1,1000.0,30.0,0.0,7600.0,1000.0,14564.0,2110.0,0.0,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:25.506,132690.0,0.25,0.1,1000.0,30.0,5.1,9100.0,1000.0,18858.0,2110.0,0.0,1350.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:29.025,7882.0,0.25,0.1,1000.0,30.0,2.6,14300.0,1000.0,4218.0,1860.0,0.0,1350.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:33.063,227525.0,0.25,0.1,1000.0,30.0,3.0,500.0,1000.0,17432.0,2000.0,0.0,1050.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:37.095,300000.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,0.0,1560.0,0.0,1950.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:41.111,200.0,0.25,0.1,1000.0,30.0,3.3,14600.0,1000.0,0.0,3000.0,0.0,750.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:45.157,300000.0,0.25,0.1,1000.0,30.0,2.7,500.0,1000.0,17287.0,3000.0,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:49.179,139856.0,0.25,0.1,1000.0,30.0,5.1,17900.0,1000.0,0.0,1280.0,0.0,1550.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:53.222,300000.0,0.25,0.1,1000.0,30.0,2.6,5100.0,1000.0,2624.0,1310.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:47:57.248,119196.0,0.25,0.1,1000.0,30.0,5.1,7100.0,1000.0,12476.0,460.0,0.0,2000.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:01.265,200.0,0.25,0.1,1000.0,30.0,5.1,5500.0,1000.0,23368.0,0.0,0.0,1350.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:05.279,200.0,0.25,0.1,1000.0,30.0,1.1,6400.0,1000.0,23976.0,2750.0,0.0,2000.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:09.298,200.0,0.25,0.1,1000.0,30.0,0.5,9900.0,1000.0,14959.0,210.0,0.0,2000.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:13.322,126684.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,20841.0,3000.0,0.0,700.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:17.349,200.0,0.25,0.1,1000.0,30.0,1.4,500.0,1000.0,0.0,2780.0,0.0,2000.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:21.369,35627.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,0.0,420.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:25.404,257798.0,0.25,0.1,1000.0,30.0,0.9,17600.0,1000.0,32000.0,130.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:29.438,155949.0,0.25,0.1,1000.0,30.0,3.5,15500.0,1000.0,25727.0,410.0,0.0,900.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:33.459,64830.0,0.25,0.1,1000.0,30.0,1.9,8100.0,1000.0,16142.0,1130.0,0.0,1000.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:37.477,16462.0,0.25,0.1,1000.0,30.0,3.5,11500.0,1000.0,0.0,2570.0,0.0,2000.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:41.519,256230.0,0.25,0.1,1000.0,30.0,5.1,8800.0,1000.0,32000.0,1570.0,0.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:45.055,185469.0,0.25,0.1,1000.0,30.0,5.1,10000.0,1000.0,12980.0,3000.0,0.0,800.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:49.071,200.0,0.25,0.1,1000.0,30.0,2.6,500.0,1000.0,17610.0,930.0,0.0,2000.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:53.094,65086.0,0.25,0.1,1000.0,30.0,2.4,18000.0,1000.0,25528.0,1740.0,0.0,1200.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:48:57.144,255804.0,0.25,0.1,1000.0,30.0,3.1,18000.0,1000.0,14141.0,2060.0,0.0,2000.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:49:01.180,246932.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,11210.0,0.0,0.0,1150.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:49:05.209,200.0,0.25,0.1,1000.0,30.0,3.3,3600.0,1000.0,32000.0,2860.0,0.0,350.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:49:09.237,24924.0,0.25,0.1,1000.0,30.0,0.6,6800.0,1000.0,32000.0,3000.0,0.0,200.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
