time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,MODE
16:35:51,-35.3632621,149.1652374,0.0,-1.0,1.0,1.0,0.0,1.0,-1000.0,0.5,0.0,0.0,0.00014386430848389864,0.0015905278269201517,0.027048622258007526,0.0002792321756714955,0.00027471696375869215,0.0022819701116532087,1500.0,STABILIZE
16:36:05,-35.3632622,149.1652375,0.0,-1.0,2.0,1.0,0.0,15.0,-979.0,5.0,0.5,0.5,-0.0004364051710581407,0.0009846515313256532,0.021652749739587307,0.004501369461650029,0.0002547999902162701,0.0016086286632344127,1500.0,AUTO
16:36:06,-35.3632621,149.1652375,0.0,-0.25,0.25,1.0,0.0,1.0,-1000.0,0.25,0.25,0.0,-0.000511003119754605,0.0010723344457801431,0.021456327755004168,0.0002726972888922319,0.00024061044678092003,0.0014865228440612555,212985.0,AUTO
16:36:07,-35.3632621,149.1652374,0.0,0.0,0.0,0.5,0.0,1.5,-1000.0,0.5,0.0,0.0,-0.0003210984286852181,0.0013854895369149745,0.02114319894462824,0.00028709424077533185,0.00027819391107186675,0.0014598245616070926,212985.0,AUTO
16:36:09,-35.3632621,149.16523745,281.0,0.0,0.0,-83.5,0.0,0.0,-1120.0,1.0,4.0,1.0,0.002992231515236199,0.0007070608553476632,0.0208230372518301,0.0007891937566455454,0.004033322096802294,0.0021170711843296885,212985.0,AUTO
16:36:10,-35.363262075,149.16523755,1192.5,0.25,3.75,-137.5,0.0,0.0,-1039.75,33.75,-4.5,0.75,0.01617666459060274,-0.00022289286425802857,0.020467188209295273,0.03356154973153025,-0.005178123392397538,0.0015616111631970853,276590.0,AUTO
16:36:11,-35.3632615,149.1652402,3086.0,9.0,46.5,-146.5,1.5,-9.0,-991.5,-59.0,57.5,-66.5,0.05427389219403267,-0.00016884412616491318,-0.017850390635430813,-0.05936750257387757,0.05697072600014508,-0.0661474047228694,276590.0,AUTO
16:36:13,-35.363261,149.16524564999997,6141.0,-2.0,-30.0,-149.0,-1.5,4.0,-1002.5,50.0,-1.5,-7.0,-0.06529959291219711,-0.0074519391637295485,-0.09095364063978195,0.049508001655340195,-0.00202548922970891,-0.007353278109803796,276590.0,AUTO
16:36:14,-35.3632612,149.165241625,7301.75,-2.75,-56.25,-149.75,-6.0,10.5,-1002.25,64.75,10.75,-0.25,-0.020108125172555447,-0.003011390974279493,-0.09406540170311928,0.06446016486734152,0.010903649730607867,9.881813457468525e-05,300000.0,AUTO
16:36:17,-35.36326235,149.16523665,12342.0,6.5,6.0,-151.5,-0.5,-2.0,-1002.5,8.0,8.0,-32.5,-0.017710511572659016,-0.001804986735805869,-0.10682789236307144,0.007605782127939165,0.007738445419818163,-0.03264845162630081,300000.0,AUTO
16:36:18,-35.363261875,149.16523645,13510.5,4.5,-5.0,-152.0,-1.75,-0.25,-1000.25,19.25,7.75,-25.5,-0.005170873599126935,0.0036261918139643967,-0.1300566866993904,0.019062260631471872,0.007711401558481157,-0.025596390943974257,300000.0,AUTO
