,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
16:57:08.075,-1.0,-1.0,-1.0,-1
16:57:08.276,-1.0,-1.0,-1.0,-1
16:57:08.478,-1.0,-1.0,-1.0,-1
16:57:08.680,-1.0,-1.0,-1.0,-1
16:57:08.882,-1.0,-1.0,-1.0,-1
16:57:09.084,-1.0,-1.0,-1.0,-1
16:57:09.285,-1.0,-1.0,-1.0,-1
16:57:09.487,-1.0,-1.0,-1.0,-1
16:57:09.689,-1.0,-1.0,-1.0,-1
16:57:09.890,-1.0,-1.0,-1.0,-1
16:57:10.091,-1.0,-1.0,-1.0,-1
16:57:10.293,-1.0,-1.0,-1.0,-1
16:57:10.495,-1.0,-1.0,-1.0,-1
16:57:10.696,-1.0,-1.0,-1.0,-1
16:57:10.898,-1.0,-1.0,-1.0,-1
16:57:11.100,-1.0,-1.0,-1.0,-1
16:57:11.301,-1.0,-1.0,-1.0,-1
16:57:11.503,-1.0,-1.0,-1.0,-1
16:57:11.705,-1.0,-1.0,-1.0,-1
16:57:11.906,-1.0,-1.0,-1.0,-1
16:57:12.108,-1.0,-1.0,-1.0,-1
16:57:12.309,-1.0,-1.0,-1.0,-1
16:57:12.511,-1.0,-1.0,-1.0,-1
16:57:12.712,-1.0,-1.0,-1.0,-1
16:57:12.914,-1.0,-1.0,-1.0,-1
16:57:13.116,-1.0,-1.0,-1.0,-1
16:57:13.318,-1.0,-1.0,-1.0,-1
16:57:13.520,-1.0,-1.0,-1.0,-1
16:57:13.722,-1.0,-1.0,-1.0,-1
16:57:13.924,-1.0,-1.0,-1.0,-1
16:57:14.125,-1.0,-1.0,-1.0,-1
16:57:14.327,-1.0,-1.0,-1.0,-1
16:57:14.529,-1.0,-1.0,-1.0,-1
16:57:14.732,-1.0,-1.0,-1.0,-1
16:57:14.934,-1.0,-1.0,-1.0,-1
16:57:15.136,-1.0,-1.0,-1.0,-1
16:57:15.338,-1.0,-1.0,-1.0,-1
16:57:15.540,-1.0,-1.0,-1.0,-1
16:57:15.742,-1.0,-1.0,-1.0,-1
16:57:15.943,-1.0,-1.0,-1.0,-1
16:57:16.145,-1.0,-1.0,-1.0,-1
16:57:16.347,-1.0,-1.0,-1.0,-1
16:57:16.548,-1.0,-1.0,-1.0,-1
16:57:16.750,-1.0,-1.0,-1.0,-1
16:57:16.952,-1.0,-1.0,-1.0,-1
16:57:17.154,-1.0,-1.0,-1.0,-1
16:57:17.356,-1.0,-1.0,-1.0,-1
16:57:17.557,-1.0,-1.0,-1.0,-1
16:57:17.759,-1.0,-1.0,-1.0,-1
16:57:17.961,-1.0,-1.0,-1.0,-1
16:57:18.162,-1.0,-1.0,-1.0,-1
16:57:18.364,-1.0,-1.0,-1.0,-1
16:57:18.565,-1.0,-1.0,-1.0,-1
16:57:18.767,-1.0,-1.0,-1.0,-1
16:57:18.969,-1.0,-1.0,-1.0,-1
16:57:19.171,-1.0,-1.0,-1.0,-1
16:57:19.372,-1.0,-1.0,-1.0,-1
16:57:19.576,-1.0,-1.0,-1.0,-1
16:57:19.777,-1.0,-1.0,-1.0,-1
16:57:19.979,-1.0,-1.0,-1.0,-1
16:57:20.180,-1.0,-1.0,-1.0,-1
16:57:20.382,-1.0,-1.0,-1.0,-1
16:57:20.583,-1.0,-1.0,-1.0,-1
16:57:20.785,-1.0,-1.0,-1.0,-1
16:57:20.987,-1.0,-1.0,-1.0,-1
16:57:21.189,-1.0,-1.0,-1.0,-1
16:57:21.391,-1.0,-1.0,-1.0,-1
16:57:21.592,-1.0,-1.0,-1.0,-1
16:57:21.794,-1.0,-1.0,-1.0,-1
16:57:21.996,-1.0,-1.0,-1.0,-1
16:57:22.197,-1.0,-1.0,-1.0,-1
16:57:22.399,-1.0,-1.0,-1.0,-1
16:57:22.600,-1.0,-1.0,-1.0,-1
16:57:22.802,-1.0,-1.0,-1.0,-1
16:57:23.004,-1.0,-1.0,-1.0,-1
16:57:23.205,-1.0,-1.0,-1.0,-1
16:57:23.407,-1.0,-1.0,-1.0,-1
16:57:23.609,-1.0,-1.0,-1.0,-1
16:57:23.810,-1.0,-1.0,-1.0,-1
16:57:24.012,-1.0,-1.0,-1.0,-1
16:57:24.213,-1.0,-1.0,-1.0,-1
16:57:24.414,-1.0,-1.0,-1.0,-1
16:57:24.616,-1.0,-1.0,-1.0,-1
16:57:24.818,-1.0,-1.0,-1.0,-1
16:57:25.019,-1.0,-1.0,-1.0,-1
16:57:25.221,-1.0,-1.0,-1.0,-1
16:57:25.423,-1.0,-1.0,-1.0,-1
16:57:25.624,-1.0,-1.0,-1.0,-1
16:57:25.826,-1.0,-1.0,-1.0,-1
16:57:26.028,-1.0,-1.0,-1.0,-1
16:57:26.229,-1.0,-1.0,-1.0,-1
16:57:26.431,-1.0,-1.0,-1.0,-1
16:57:26.633,-1.0,-1.0,-1.0,-1
16:57:26.835,-1.0,-1.0,-1.0,-1
16:57:27.037,-1.0,-1.0,-1.0,-1
16:57:27.239,-1.0,-1.0,-1.0,-1
16:57:27.441,-1.0,-1.0,-1.0,-1
16:57:27.642,-1.0,-1.0,-1.0,-1
16:57:27.844,-1.0,-1.0,-1.0,-1
16:57:28.046,-1.0,-1.0,-1.0,-1
16:57:28.247,-1.0,-1.0,-1.0,-1
16:57:28.449,-1.0,-1.0,-1.0,-1
16:57:28.650,-1.0,-1.0,-1.0,-1
16:57:28.852,-1.0,-1.0,-1.0,-1
16:57:29.054,-1.0,-1.0,-1.0,-1
16:57:29.255,-1.0,-1.0,-1.0,-1
16:57:29.457,-1.0,-1.0,-1.0,-1
16:57:29.658,-1.0,-1.0,-1.0,-1
16:57:29.860,-1.0,-1.0,-1.0,-1
16:57:30.062,-1.0,-1.0,-1.0,-1
16:57:30.263,-1.0,-1.0,-1.0,-1
16:57:30.465,-1.0,-1.0,-1.0,-1
16:57:30.667,-1.0,-1.0,-1.0,-1
16:57:30.868,-1.0,-1.0,-1.0,-1
16:57:31.070,-1.0,-1.0,-1.0,-1
16:57:31.272,-1.0,-1.0,-1.0,-1
16:57:31.478,-1.0,-1.0,-1.0,-1
16:57:31.684,-1.0,-1.0,-1.0,-1
16:57:31.886,-1.0,-1.0,-1.0,-1
16:57:32.087,-1.0,-1.0,-1.0,-1
16:57:32.289,-1.0,-1.0,-1.0,-1
16:57:32.491,-1.0,-1.0,-1.0,-1
16:57:32.693,-1.0,-1.0,-1.0,-1
16:57:32.895,-1.0,-1.0,-1.0,-1
16:57:33.097,-1.0,-1.0,-1.0,-1
16:57:33.299,-1.0,-1.0,-1.0,-1
16:57:33.501,-1.0,-1.0,-1.0,-1
16:57:33.703,-1.0,-1.0,-1.0,-1
16:57:33.905,-1.0,-1.0,-1.0,-1
16:57:34.107,-1.0,-1.0,-1.0,-1
16:57:34.309,-1.0,-1.0,-1.0,-1
16:57:34.510,-1.0,-1.0,-1.0,-1
16:57:34.712,-1.0,-1.0,-1.0,-1
16:57:34.914,-1.0,-1.0,-1.0,-1
16:57:35.116,-1.0,-1.0,-1.0,-1
16:57:35.318,-1.0,-1.0,-1.0,-1
16:57:35.520,-1.0,-1.0,-1.0,-1
16:57:35.722,-1.0,-1.0,-1.0,-1
16:57:35.924,-1.0,-1.0,-1.0,-1
16:57:36.126,-1.0,-1.0,-1.0,-1
16:57:36.328,-1.0,-1.0,-1.0,-1
16:57:36.529,-1.0,-1.0,-1.0,-1
16:57:36.731,-1.0,-1.0,-1.0,-1
16:57:36.934,-1.0,-1.0,-1.0,-1
16:57:37.136,-1.0,-1.0,-1.0,-1
16:57:37.338,-1.0,-1.0,-1.0,-1
16:57:37.540,-1.0,-1.0,-1.0,-1
16:57:37.742,-1.0,-1.0,-1.0,-1
16:57:37.944,-1.0,-1.0,-1.0,-1
16:57:38.146,-1.0,-1.0,-1.0,-1
16:57:38.348,-1.0,-1.0,-1.0,-1
16:57:38.550,-1.0,-1.0,-1.0,-1
16:57:38.752,-1.0,-1.0,-1.0,-1
16:57:38.954,-1.0,-1.0,-1.0,-1
16:57:39.156,-1.0,-1.0,-1.0,-1
16:57:39.364,-1.0,-1.0,-1.0,-1
16:57:39.566,-1.0,-1.0,-1.0,-1
16:57:39.768,-1.0,-1.0,-1.0,-1
16:57:39.974,-1.0,-1.0,-1.0,-1
16:57:40.176,-1.0,-1.0,-1.0,-1
16:57:40.378,-1.0,-1.0,-1.0,-1
16:57:40.580,-1.0,-1.0,-1.0,-1
16:57:40.781,-1.0,-1.0,-1.0,-1
16:57:40.983,-1.0,-1.0,-1.0,-1
16:57:41.185,-1.0,-1.0,-1.0,-1
16:57:41.387,-1.0,-1.0,-1.0,-1
16:57:41.589,-1.0,-1.0,-1.0,-1
16:57:41.791,-1.0,-1.0,-1.0,-1
16:57:41.993,-1.0,-1.0,-1.0,-1
16:57:42.195,-1.0,-1.0,-1.0,-1
16:57:42.397,-1.0,-1.0,-1.0,-1
16:57:42.599,-1.0,-1.0,-1.0,-1
16:57:42.801,-1.0,-1.0,-1.0,-1
16:57:43.003,-1.0,-1.0,-1.0,-1
16:57:43.205,-1.0,-1.0,-1.0,-1
16:57:43.407,-1.0,-1.0,-1.0,-1
16:57:43.609,-1.0,-1.0,-1.0,-1
16:57:43.811,-1.0,-1.0,-1.0,-1
16:57:44.013,-1.0,-1.0,-1.0,-1
16:57:44.215,-1.0,-1.0,-1.0,-1
16:57:44.417,-1.0,-1.0,-1.0,-1
16:57:44.619,-1.0,-1.0,-1.0,-1
16:57:44.821,-1.0,-1.0,-1.0,-1
16:57:45.023,-1.0,-1.0,-1.0,-1
16:57:45.225,-1.0,-1.0,-1.0,-1
16:57:45.427,-1.0,-1.0,-1.0,-1
16:57:45.629,-1.0,-1.0,-1.0,-1
16:57:45.831,-1.0,-1.0,-1.0,-1
16:57:46.033,-1.0,-1.0,-1.0,-1
16:57:46.234,-1.0,-1.0,-1.0,-1
16:57:46.436,-1.0,-1.0,-1.0,-1
16:57:46.638,-1.0,-1.0,-1.0,-1
16:57:46.840,-1.0,-1.0,-1.0,-1
16:57:47.041,-1.0,-1.0,-1.0,-1
16:57:47.243,-1.0,-1.0,-1.0,-1
16:57:47.447,-1.0,-1.0,-1.0,-1
16:57:47.649,-1.0,-0.978,-1.0,-1
16:57:47.851,-1.0,-0.978,-1.0,-1
16:57:48.053,-1.0,-0.978,-1.0,-1
16:57:48.255,-1.0,-0.978,-1.0,-1
16:57:48.457,-1.0,-0.992,-1.0,-1
16:57:48.658,-1.0,-0.992,-1.0,-1
16:57:48.860,-1.0,-0.992,-1.0,-1
16:57:49.062,-1.0,-0.992,-1.0,-1
16:57:49.264,-1.0,-0.992,-1.0,-1
16:57:49.466,-1.0,-0.992,-1.0,-1
16:57:49.668,-1.0,-0.992,-1.0,-1
16:57:49.870,-1.0,-0.992,-1.0,-1
16:57:50.072,-1.0,-0.992,-1.0,-1
16:57:50.273,-1.0,-0.992,-1.0,-1
16:57:50.475,-1.0,-0.992,-1.0,-1
16:57:50.677,-1.0,-0.992,-1.0,-1
16:57:50.878,-1.0,-0.992,-1.0,-1
16:57:51.081,-1.0,-0.991,-1.0,-1
16:57:51.282,-1.0,-0.991,-1.0,-1
16:57:51.487,-1.0,-0.991,-1.0,-1
16:57:51.689,-1.0,-0.991,-1.0,-1
16:57:51.893,-1.0,-0.991,-1.0,-1
16:57:52.095,-1.0,-0.991,-1.0,-1
16:57:52.297,-1.0,-0.991,-1.0,-1
16:57:52.499,-1.0,-0.957,-1.0,-1
16:57:52.700,-1.0,-0.957,-1.0,-1
16:57:52.902,-1.0,-0.956,-1.0,-1
16:57:53.104,-1.0,-0.956,-1.0,-1
16:57:53.307,-1.0,-0.955,-1.0,-1
16:57:53.509,-1.0,-0.955,-1.0,-1
16:57:53.711,-1.0,-0.955,-1.0,-1
16:57:53.913,-1.0,-0.955,-1.0,-1
16:57:54.114,-1.0,-0.953,-1.0,-1
16:57:54.316,-1.0,-0.953,-1.0,-1
16:57:54.518,-1.0,-0.952,-1.0,-1
16:57:54.720,-1.0,-0.952,-1.0,-1
16:57:54.922,-1.0,-0.952,-1.0,-1
16:57:55.124,-1.0,-0.951,-1.0,-1
16:57:55.326,-1.0,-0.951,-1.0,-1
16:57:55.528,-1.0,-0.951,-1.0,-1
16:57:55.730,-1.0,-0.951,-1.0,-1
16:57:55.932,-1.0,-0.951,-1.0,-1
16:57:56.134,-1.0,-0.949,-1.0,-1
16:57:56.336,-1.0,-0.948,-1.0,-1
16:57:56.538,-1.0,-0.057,-1.0,-1
16:57:56.740,-1.0,-0.068,-1.0,-1
16:57:56.942,-1.0,-0.068,-1.0,-1
16:57:57.143,-1.0,-0.079,-1.0,-1
16:57:57.345,-1.0,0.435,-1.0,-1
16:57:57.547,-1.0,0.435,-1.0,-1
16:57:57.749,-1.0,0.435,-1.0,-1
16:57:57.951,-1.0,0.435,-1.0,-1
16:57:58.153,-1.0,0.309,-1.0,-1
16:57:58.354,-1.0,0.116,-1.0,-1
16:57:58.556,-1.0,-0.052,-1.0,-1
16:57:58.758,-1.0,-0.062,-1.0,-1
16:57:58.960,-1.0,-0.062,-1.0,-1
16:57:59.162,-1.0,-0.071,-1.0,-1
16:57:59.364,-1.0,0.31,-1.0,-1
16:57:59.566,-1.0,0.31,-1.0,-1
16:57:59.768,-1.0,0.31,-1.0,-1
16:57:59.970,-1.0,0.31,-1.0,-1
16:58:00.171,-1.0,0.815,-1.0,-1
16:58:00.373,-1.0,0.838,-1.0,-1
16:58:00.575,-1.0,0.906,-1.0,-1
16:58:00.777,-1.0,0.847,-1.0,-1
16:58:00.980,-1.0,0.847,-1.0,-1
16:58:01.182,-1.0,0.759,-1.0,-1
16:58:01.384,-1.0,0.641,-1.0,-1
16:58:01.588,-1.0,0.641,-1.0,-1
16:58:01.793,-1.0,0.641,-1.0,-1
16:58:01.995,-1.0,0.608,-1.0,-1
16:58:02.197,-1.0,0.608,-1.0,-1
16:58:02.399,-1.0,0.539,-1.0,-1
16:58:02.601,-1.0,0.557,-1.0,-1
16:58:02.802,-1.0,0.49,-1.0,-1
16:58:03.004,-1.0,0.463,-1.0,-1
16:58:03.206,-1.0,0.463,-1.0,-1
16:58:03.408,-1.0,0.812,-1.0,-1
16:58:03.610,-1.0,0.812,-1.0,-1
16:58:03.812,-1.0,0.812,-1.0,-1
16:58:04.014,-1.0,0.953,-1.0,-1
16:58:04.216,-1.0,0.953,-1.0,-1
16:58:04.417,-1.0,0.964,-1.0,-1
16:58:04.619,-1.0,-0.957,-1.0,-1
16:58:04.821,-1.0,-0.956,-1.0,-1
16:58:05.024,-1.0,-0.956,-1.0,-1
16:58:05.226,-1.0,-0.956,-1.0,-1
16:58:05.428,-1.0,-0.956,-1.0,-1
16:58:05.629,-1.0,-0.956,-1.0,-1
16:58:05.831,-1.0,-0.956,-1.0,-1
16:58:06.033,-1.0,-0.955,-1.0,-1
16:58:06.235,-1.0,-0.954,-1.0,-1
16:58:06.437,-1.0,-0.954,-1.0,-1
16:58:06.639,-1.0,-0.954,-1.0,-1
16:58:06.841,-1.0,-0.953,-1.0,-1
16:58:07.043,-1.0,-0.953,-1.0,-1
16:58:07.245,-1.0,-0.953,-1.0,-1
16:58:07.447,-1.0,-0.953,-1.0,-1
16:58:07.649,-1.0,-0.953,-1.0,-1
16:58:07.851,-1.0,-0.953,-1.0,-1
16:58:08.052,-1.0,-0.972,-1.0,-1
16:58:08.254,-1.0,-0.972,-1.0,-1
16:58:08.456,-1.0,-0.972,-1.0,-1
16:58:08.658,-1.0,-0.972,-1.0,-1
16:58:08.859,-1.0,-0.972,-1.0,-1
16:58:09.061,-1.0,-0.971,-1.0,-1
16:58:09.263,-1.0,-0.971,-1.0,-1
16:58:09.465,-1.0,-0.971,-1.0,-1
16:58:09.667,-1.0,-0.971,-1.0,-1
16:58:09.869,-1.0,-0.971,-1.0,-1
